Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 19 | Real Property Transactions (jpg:19,idx:15)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.3750000,3.0,(33|28)
0.3750000,4.0,(48|44)
0.3618582,2.0,(34|28)
0.3586957,4.0,(39|37)
0.3548387,1.0,(28|29)
0.3433735,1.0,(38|29)
0.3418367,4.0,(37|27)
0.3358779,3.0,(32|30)
0.3317308,1.0,(31|22)
0.3316062,4.0,(38|37)
0.3271889,1.0,(32|22)
0.3255814,1.0,(36|19)
0.3255814,1.0,(37|20)
0.3253012,3.0,(30|29)
0.3203883,2.0,(37|30)
0.3114754,4.0,(34|33)
0.3063063,4.0,(29|24)
0.2959184,3.0,(33|30)
0.2878788,4.0,(29|26)
0.2873563,2.0,(30|26)
0.2840909,3.0,(30|24)
0.2803738,3.0,(35|31)
0.2765957,4.0,(30|25)
0.2755102,4.0,(30|21)
0.2672673,3.0,(28|27)
0.2651072,4.0,(29|23)
0.2596154,3.0,(31|21)
0.2591241,4.0,(33|37)
0.2588235,4.0,(31|33)
0.2578125,4.0,(33|38)
0.2526316,1.0,(35|33)
0.2446809,4.0,(27|26)
0.2424242,3.0,(37|37)
0.2379471,4.0,(4|35)
0.2335766,4.0,(48|45)
0.2294521,4.0,(6|34)
0.2291667,3.0,(15|29)
0.2288136,4.0,(31|30)
0.2278481,4.0,(32|38)
0.2272727,3.0,(32|41)
0.2244898,4.0,(30|22)
0.2200000,4.0,(2|6)
0.2168675,3.0,(44|42)
0.2105263,4.0,(29|2)
0.2076923,4.0,(36|31)
0.2074468,4.0,(34|26)
0.2055838,4.0,(30|2)
0.2052980,4.0,(33|32)
0.2043011,4.0,(34|31)
0.2000000,1.0,(18|41)
0.2000000,2.0,(28|28)
0.1982507,1.0,(32|21)
0.1929825,3.0,(27|20)
0.1900000,4.0,(3|35)
0.1862745,4.0,(33|36)
0.1841004,4.0,(5|34)
0.1805556,4.0,(38|30)
0.1769231,4.0,(30|23)
0.1750600,4.0,(44|43)
0.1638418,3.0,(28|24)
0.1590909,2.0,(38|27)
0.1538462,3.0,(34|32)
0.1538462,2.0,(49|45)
0.1519337,3.0,(4|34)
0.1506849,4.0,(10|16)
0.1454545,4.0,(36|33)
0.1453744,3.0,(28|26)
0.1431193,4.0,(28|23)
0.1428571,4.0,(9|15)
0.1404959,4.0,(0|44)
0.1323529,2.0,(13|26)
0.1323529,4.0,(27|41)
0.1304348,1.0,(30|33)
0.1301370,4.0,(32|32)
0.1294118,3.0,(45|43)
0.1276596,3.0,(38|26)
0.1250000,4.0,(0|37)
0.1238095,3.0,(6|35)
0.1224490,2.0,(14|25)
0.1219963,4.0,(29|21)
0.1200000,2.0,(47|44)
0.1190476,4.0,(9|2)
0.1176471,1.0,(31|20)
0.1170213,3.0,(37|33)
0.1168831,3.0,(12|47)
0.1145374,3.0,(6|37)
0.1140351,4.0,(49|35)
0.1138211,1.0,(0|43)
0.1135029,4.0,(8|48)
0.1111111,2.0,(17|46)
0.1104651,4.0,(35|43)
0.1081731,4.0,(27|25)
0.1077586,4.0,(28|22)
0.1072875,4.0,(33|20)
0.1066667,2.0,(0|45)
0.1060606,3.0,(31|38)
0.1044776,3.0,(11|38)
0.1044776,2.0,(31|2)
0.1025641,3.0,(27|24)
0.1018519,2.0,(4|36)
0.1016949,4.0,(11|1)
0.1000000,3.0,(2|42)
0.09952607,4.0,(5|35)
0.09876543,3.0,(44|36)
0.09813084,4.0,(46|44)
0.09756097,2.0,(36|46)
0.09714286,4.0,(15|22)
0.09677419,3.0,(19|12)
0.09604520,2.0,(20|19)
0.09356725,4.0,(45|35)
0.09352518,4.0,(3|39)
0.09329446,4.0,(6|32)
0.09289618,3.0,(47|45)
0.09271523,4.0,(26|23)
0.09162304,4.0,(27|21)
0.09090909,2.0,(0|46)
0.09090909,3.0,(15|3)
0.09090909,1.0,(32|20)
0.09019608,3.0,(7|13)
0.08823530,3.0,(9|16)
0.08786611,4.0,(28|21)
0.08750000,3.0,(0|32)
0.08695652,1.0,(8|34)
0.08653846,4.0,(31|43)
0.08571429,2.0,(27|27)
0.08510638,2.0,(26|21)
0.08333334,1.0,(26|26)
0.08000000,2.0,(6|30)
0.07943925,4.0,(13|7)
0.07906977,1.0,(32|37)
0.07834101,3.0,(10|1)
0.07801419,4.0,(48|34)
0.07766990,4.0,(15|43)
0.07692308,1.0,(31|39)
0.07692308,1.0,(33|45)
0.07547170,3.0,(5|33)
0.07513417,4.0,(29|20)
0.07382550,3.0,(11|16)
0.07272727,2.0,(29|30)
0.07272727,2.0,(45|41)
0.07262570,4.0,(48|35)
0.07228915,2.0,(1|32)
0.07142857,2.0,(0|29)
0.07142857,4.0,(11|40)
0.07142857,3.0,(23|42)
0.07142857,2.0,(49|29)
0.07092199,3.0,(37|44)
0.07042254,3.0,(3|36)
0.06993007,3.0,(4|33)
0.06984127,3.0,(16|26)
0.06887755,1.0,(44|17)
0.06849315,3.0,(7|36)
0.06825939,3.0,(7|37)
0.06796116,2.0,(8|35)
0.06779661,2.0,(10|24)
0.06730770,3.0,(6|45)
0.06711409,2.0,(3|34)
0.06666667,3.0,(10|49)
0.06626506,4.0,(8|49)
0.06598984,4.0,(9|35)
0.06569343,3.0,(44|44)
0.06451613,3.0,(21|18)
0.06400000,3.0,(7|48)
0.06382979,1.0,(30|43)
0.06285714,3.0,(41|43)
0.06164384,2.0,(10|47)
