Product ID : 945 # of JPs covered : 1 : 66 : Antitrust, 
us_000046502,0.934710, 0.610954
us_000053087,0.934710, 0.618880
us_000470320,0.934710, 0.747753
us_000412853,0.934710, 1.015430
pr_000410977,0.915587, 0.000000
pr_000654632,0.915587, 0.000000
pr_000288982,0.915587, 0.000000
pr_001669311,0.915587, 0.000000
pr_000822427,0.915587, 0.000000
pr_001672149,0.915587, 0.000000
pr_000104980,0.915587, 0.000030
pr_000108929,0.915587, 0.000030
pr_001749814,0.915587, 0.000063
pr_000659536,0.915587, 0.000088
us_000464945,0.915587, 0.001470
us_000459685,0.915587, 0.002268
us_000552300,0.915587, 0.003062
us_000475861,0.915587, 0.004505
us_000459370,0.915587, 0.014019
us_000459927,0.915587, 0.019360
us_000498952,0.915587, 0.023953
us_000321771,0.915587, 0.658223
us_000480996,0.915587, 0.753740
us_000487379,0.915587, 1.500870
us_000482201,0.915587, 2.009297
us_000550214,0.890090, 0.000000
pr_000694678,0.890090, 0.000000
us_000493482,0.890090, 0.000071
pr_000662296,0.890090, 0.000101
us_000511515,0.890090, 0.000274
us_000555642,0.890090, 0.000337
pr_000636093,0.890090, 0.000464
pr_000664651,0.890090, 0.000588
pr_000945343,0.890090, 0.001695
pr_000124058,0.890090, 0.001716
pr_000145896,0.890090, 0.001823
us_000545196,0.890090, 0.006873
us_000547700,0.890090, 0.009329
us_000587976,0.890090, 0.009921
us_000538160,0.890090, 0.011485
us_000486983,0.890090, 0.308369
us_000572562,0.890090, 0.325626
us_000569245,0.890090, 0.342103
us_000487635,0.890090, 0.366754
us_000203801,0.890090, 0.639971
pr_000169063,0.791293, 0.000000
us_000465051,0.791293, 0.000000
us_000480142,0.791293, 0.000000
us_000471836,0.791293, 0.000000
us_000589624,0.791293, 0.000000
us_000469839,0.791293, 0.000000
us_000049443,0.791293, 0.000000
us_000018097,0.791293, 0.000000
us_000533102,0.791293, 0.000000
us_000487422,0.791293, 0.000000
us_000471272,0.791293, 0.000000
us_000474672,0.791293, 0.000000
us_000480456,0.791293, 0.000000
us_000334476,0.791293, 0.000000
us_000554344,0.791293, 0.000000
us_000468981,0.791293, 0.000000
us_000469269,0.791293, 0.000000
us_000479815,0.791293, 0.000000
us_000584734,0.791293, 0.000000
us_000487191,0.791293, 0.000000
us_000487126,0.791293, 0.000000
pr_001733898,0.791293, 0.000001
pr_000967362,0.791293, 0.000001
pr_001663126,0.791293, 0.000001
pr_000828695,0.791293, 0.000002
pr_000564048,0.791293, 0.000005
us_000602923,0.791293, 0.000006
us_000548294,0.791293, 0.000007
pr_000745570,0.791293, 0.000025
us_000577916,0.791293, 0.000044
us_000571406,0.791293, 0.000044
us_000570944,0.791293, 0.000044
us_000600945,0.791293, 0.000044
us_000595658,0.791293, 0.000044
us_000561710,0.791293, 0.000044
pr_000701201,0.791293, 0.000069
pr_000774772,0.791293, 0.000108
pr_000831928,0.791293, 0.000166
pr_001056304,0.791293, 0.000196
pr_001635004,0.791293, 0.000198
pr_001755371,0.791293, 0.000213
us_000526376,0.791293, 0.000726
pr_000900083,0.791293, 0.000903
pr_001002643,0.791293, 0.001304
us_000567308,0.791293, 0.003113
us_000425840,0.791293, 0.099150
pr_001030253,0.786802, 0.000000
us_000616643,0.786802, 0.000001
us_000539652,0.786802, 0.000001
pr_001048324,0.786802, 0.000018
us_000593362,0.786802, 0.000034
us_000578026,0.786802, 0.000043
pr_001406371,0.786802, 0.000051
us_000609792,0.786802, 0.000074
pr_000169488,0.786802, 0.000243
pr_001031469,0.786802, 0.000317
pr_000635327,0.786802, 0.000364
us_000489654,0.786802, 0.110282
us_000475423,0.786802, 0.124916
us_000079419,0.786802, 0.128767
us_000480971,0.786802, 0.130010
us_000460525,0.786802, 0.132696
us_000487642,0.786802, 0.136275
us_000477730,0.786802, 0.136702
us_000480870,0.786802, 0.136702
us_000493374,0.786802, 0.136702
us_000460709,0.786802, 0.136702
us_000467406,0.786802, 0.136702
us_000469812,0.786802, 0.136702
us_000487923,0.786802, 0.136702
us_000018190,0.786802, 0.140266
us_000573314,0.786802, 0.141439
us_000521355,0.786802, 0.141937
us_000487612,0.786802, 0.144131
us_000487092,0.786802, 0.145385
us_000467385,0.786802, 0.148916
us_000489609,0.786802, 0.149182
us_000467378,0.786802, 0.149182
us_000467244,0.786802, 0.149182
us_000482122,0.786802, 0.153497
us_000475343,0.786802, 0.154798
us_000522618,0.786802, 0.155996
us_000502545,0.786802, 0.157888
us_000542515,0.786802, 0.157888
us_000255315,0.786802, 0.159020
us_000476869,0.786802, 0.162357
us_000058894,0.786802, 0.167019
us_000522980,0.786802, 0.172612
us_000223167,0.786802, 0.179301
us_000480918,0.786802, 0.181131
us_000478348,0.786802, 0.185998
us_000124417,0.786802, 0.190500
us_000461197,0.786802, 0.191381
us_000472586,0.786802, 0.193160
us_000083644,0.786802, 0.196184
us_000262493,0.786802, 0.197041
us_000260830,0.786802, 0.208445
us_000474366,0.786802, 0.211153
us_000461530,0.786802, 0.212951
us_000286743,0.786802, 0.223973
us_000464879,0.786802, 0.229373
us_000486748,0.786802, 0.242005
us_000489937,0.786802, 0.265355
us_000459175,0.786802, 0.299115
us_000537001,0.786802, 0.331081
us_000475541,0.786802, 0.619617
us_000462633,0.786802, 0.643850
us_000549900,0.786802, 0.790197
us_000472700,0.786802, 0.836476
us_000471222,0.786802, 1.214545
us_000517421,0.786802, 1.365194
pr_000579134,0.768243, 0.000000
pr_000664089,0.768243, 0.000000
pr_000812284,0.768243, 0.000001
pr_000699753,0.768243, 0.000009
us_000461693,0.768243, 0.000041
us_000614644,0.768243, 0.003130
us_000549027,0.768243, 0.016413
us_000487025,0.768243, 0.123121
us_000502629,0.768243, 0.209572
us_000497969,0.768243, 0.254576
us_000584622,0.768243, 0.399506
us_000495452,0.768243, 0.486901
us_000493850,0.768243, 0.501110
us_000464491,0.768243, 0.501110
us_000528698,0.768243, 0.509281
us_000498442,0.768243, 0.569577
us_000252897,0.768243, 0.570718
us_000489069,0.768243, 0.570718
us_000487638,0.768243, 0.625386
us_000495222,0.768243, 0.627605
us_000528058,0.768243, 0.630460
us_000487921,0.768243, 0.630999
us_000487697,0.768243, 0.653232
us_000584618,0.768243, 0.674485
us_000033904,0.768243, 0.693784
pr_001066232,0.752894, 0.000000
pr_001589983,0.752894, 0.000000
pr_000319656,0.752894, 0.000000
pr_001632321,0.752894, 0.000000
pr_000901081,0.752894, 0.000000
pr_001751096,0.752894, 0.000000
pr_001595419,0.752894, 0.000000
us_000512587,0.752894, 0.000000
us_000538151,0.752894, 0.000000
pr_002144685,0.752894, 0.000000
pr_001038300,0.752894, 0.000000
us_000542652,0.752894, 0.000100
us_000473301,0.752894, 0.000116
us_000566011,0.752894, 0.000148
pr_000618062,0.752894, 0.000153
pr_002098303,0.752894, 0.000176
us_000547384,0.752894, 0.000715
us_000158977,0.752894, 0.096041
us_000569098,0.752894, 0.132494
us_000486859,0.752894, 0.138454
us_000489756,0.752894, 0.150596
us_000531584,0.752894, 0.155891
us_000539664,0.752894, 0.159338
us_000489765,0.752894, 0.161975
us_000381050,0.752894, 0.164596
us_000460371,0.752894, 0.168956
us_000459844,0.752894, 0.169680
us_000538096,0.752894, 0.172299
us_000489600,0.752894, 0.172734
us_000244096,0.752894, 0.173393
us_000488001,0.752894, 0.173393
us_000530505,0.752894, 0.173393
us_000487311,0.752894, 0.181356
us_000581550,0.752894, 0.181356
us_000577619,0.752894, 0.183291
us_000518696,0.752894, 0.188568
us_000486143,0.752894, 0.189043
us_000090673,0.752894, 0.196624
us_000463933,0.752894, 0.214817
us_000478826,0.752894, 0.234208
us_000518915,0.752894, 0.360000
pr_001012197,0.705659, 0.000001
pr_000656484,0.705659, 0.000037
us_000463939,0.705659, 0.114373
us_000486942,0.705659, 0.114373
us_000464065,0.705659, 0.114373
us_000464142,0.705659, 0.114373
us_000463921,0.705659, 0.114373
us_000406650,0.705659, 0.114373
us_000480750,0.705659, 0.114373
us_000464231,0.705659, 0.114373
us_000481638,0.705659, 0.114373
us_000197455,0.705659, 0.114373
us_000487012,0.705659, 0.114373
us_000464970,0.705659, 0.115747
us_000489802,0.705659, 0.118219
us_000463394,0.705659, 0.118219
us_000462550,0.705659, 0.118219
us_000462987,0.705659, 0.118219
us_000113221,0.705659, 0.118219
us_000463264,0.705659, 0.118219
us_000493050,0.705659, 0.118219
us_000462506,0.705659, 0.118219
us_000462793,0.705659, 0.118219
us_000463090,0.705659, 0.118219
us_000459236,0.705659, 0.120286
us_000480883,0.705659, 0.120294
us_000482400,0.705659, 0.121915
us_000542433,0.705659, 0.122141
us_000542495,0.705659, 0.122141
us_000262773,0.705659, 0.122141
us_000469103,0.705659, 0.122141
us_000481043,0.705659, 0.122141
us_000482189,0.705659, 0.122141
us_000461630,0.705659, 0.122141
us_000459308,0.705659, 0.122141
us_000460939,0.705659, 0.122141
us_000542445,0.705659, 0.122141
us_000476049,0.705659, 0.122141
us_000461230,0.705659, 0.122141
us_000476108,0.705659, 0.122141
us_000487701,0.705659, 0.122141
us_000461044,0.705659, 0.122141
us_000474163,0.705659, 0.122141
us_000486707,0.705659, 0.122141
us_000466079,0.705659, 0.122141
us_000462407,0.705659, 0.122141
us_000190906,0.705659, 0.122141
us_000469258,0.705659, 0.122141
us_000542412,0.705659, 0.122141
us_000490648,0.705659, 0.122141
us_000027656,0.705659, 0.122141
us_000542432,0.705659, 0.122141
us_000489516,0.705659, 0.122141
us_000502243,0.705659, 0.122141
us_000461566,0.705659, 0.122141
us_000188598,0.705659, 0.122141
us_000487536,0.705659, 0.122141
us_000481462,0.705659, 0.122141
us_000461208,0.705659, 0.122141
us_000460944,0.705659, 0.122141
us_000461309,0.705659, 0.122141
us_000461572,0.705659, 0.122141
us_000542400,0.705659, 0.123422
us_000460437,0.705659, 0.124393
us_000490153,0.705659, 0.124791
us_000464639,0.705659, 0.124898
us_000469143,0.705659, 0.125325
us_000467879,0.705659, 0.126141
us_000541615,0.705659, 0.126141
us_000459578,0.705659, 0.126141
us_000469296,0.705659, 0.126141
us_000555222,0.705659, 0.126141
us_000471040,0.705659, 0.126141
us_000470253,0.705659, 0.126141
us_000090368,0.705659, 0.126141
us_000475913,0.705659, 0.126141
us_000462157,0.705659, 0.126141
us_000477626,0.705659, 0.126141
us_000460322,0.705659, 0.126141
us_000486681,0.705659, 0.126141
us_000487598,0.705659, 0.126141
us_000306667,0.705659, 0.126141
us_000335726,0.705659, 0.126141
us_000460808,0.705659, 0.126141
us_000458638,0.705659, 0.126141
us_000475699,0.705659, 0.126141
us_000487246,0.705659, 0.126141
us_000484154,0.705659, 0.126141
us_000503542,0.705659, 0.126141
us_000543135,0.705659, 0.126141
us_000467427,0.705659, 0.126141
us_000487609,0.705659, 0.126141
us_000355594,0.705659, 0.126141
us_000096828,0.705659, 0.126141
us_000460223,0.705659, 0.126141
us_000542394,0.705659, 0.126141
us_000481626,0.705659, 0.126141
us_000218242,0.705659, 0.126141
us_000460317,0.705659, 0.126141
us_000488047,0.705659, 0.126141
us_000503269,0.705659, 0.126141
us_000480705,0.705659, 0.126141
us_000475806,0.705659, 0.126141
us_000481014,0.705659, 0.126141
us_000493935,0.705659, 0.126141
us_000468656,0.705659, 0.126141
us_000460724,0.705659, 0.126141
us_000083531,0.705659, 0.126141
us_000489984,0.705659, 0.126141
us_000469017,0.705659, 0.126141
us_000471084,0.705659, 0.126141
us_000493933,0.705659, 0.126141
us_000469870,0.705659, 0.126141
us_000490674,0.705659, 0.126141
us_000471063,0.705659, 0.126141
us_000538292,0.705659, 0.126141
us_000389468,0.705659, 0.126141
us_000541729,0.705659, 0.126141
us_000503421,0.705659, 0.126141
us_000486689,0.705659, 0.126141
us_000207440,0.705659, 0.126293
us_000123830,0.705659, 0.126813
us_000489965,0.705659, 0.126859
us_000479136,0.705659, 0.128969
us_000530405,0.705659, 0.130103
us_000099092,0.705659, 0.130218
us_000370029,0.705659, 0.130355
us_000484939,0.705659, 0.131504
us_000332815,0.705659, 0.131671
us_000469423,0.705659, 0.133841
us_000006698,0.705659, 0.134324
us_000419767,0.705659, 0.134885
us_000491735,0.705659, 0.136466
us_000475920,0.705659, 0.137189
us_000467335,0.705659, 0.138604
us_000489622,0.705659, 0.138604
us_000480524,0.705659, 0.138604
us_000467117,0.705659, 0.138604
us_000467288,0.705659, 0.138604
us_000489288,0.705659, 0.138941
us_000479556,0.705659, 0.141173
us_000468845,0.705659, 0.141188
us_000404610,0.705659, 0.142696
us_000212111,0.705659, 0.142912
us_000531537,0.705659, 0.142912
us_000102050,0.705659, 0.142912
us_000459583,0.705659, 0.142986
us_000479074,0.705659, 0.144557
us_000482541,0.705659, 0.145260
us_000542564,0.705659, 0.147298
us_000315026,0.705659, 0.147644
us_000482033,0.705659, 0.147883
us_000487651,0.705659, 0.148667
us_000481056,0.705659, 0.153298
us_000489305,0.705659, 0.156627
us_000469173,0.705659, 0.158879
us_000542482,0.705659, 0.164537
us_000227645,0.705659, 0.167995
us_000518298,0.705659, 0.170023
us_000498550,0.705659, 0.171348
us_000480448,0.705659, 0.178005
us_000423993,0.705659, 0.178083
us_000342483,0.705659, 0.183029
us_000442865,0.705659, 0.183550
us_000478068,0.705659, 0.186941
us_000576393,0.705659, 0.190863
us_000460260,0.705659, 0.191033
us_000495246,0.705659, 0.204530
us_000479407,0.705659, 0.211348
us_000518888,0.705659, 0.213719
us_000471043,0.705659, 0.217135
us_000463828,0.705659, 0.223880
us_000491568,0.705659, 0.241891
us_000177602,0.705659, 0.242838
us_000521002,0.705659, 0.251357
us_000489360,0.705659, 0.274613
us_000487922,0.705659, 0.288344
us_000223882,0.705659, 0.359995
us_000474357,0.705659, 0.389308
us_000228602,0.705659, 0.528665
us_000535172,0.705659, 0.531676
pr_001840173,0.680535, 0.000000
us_000546883,0.680535, 0.000002
us_000568810,0.680535, 0.000306
us_000478186,0.680535, 0.081780
us_000511168,0.680535, 0.517753
us_000493394,0.680535, 0.525450
us_000489415,0.680535, 0.538024
us_000496117,0.680535, 0.547444
us_000487692,0.680535, 0.554919
us_000535259,0.680535, 0.560784
us_000524139,0.680535, 0.567212
us_000488032,0.680535, 0.578920
us_000567262,0.680535, 0.579507
us_000480550,0.680535, 0.590990
us_000471282,0.680535, 0.610279
us_000518339,0.680535, 0.610385
us_000535222,0.680535, 0.613852
us_000539322,0.680535, 0.613852
us_000470124,0.680535, 0.628497
us_000541432,0.680535, 0.629750
us_000487310,0.680535, 0.635379
us_000044811,0.680535, 0.638919
us_000470966,0.680535, 0.670708
us_000458947,0.680535, 0.977433
us_000600771,0.670437, 0.000000
us_000600230,0.670437, 0.000000
us_000524096,0.670437, 0.000263
pr_000312440,0.670437, 0.000448
us_000598679,0.670437, 0.004584
pr_000572386,0.653085, 0.000000
pr_000188115,0.653085, 0.000001
us_000518771,0.653085, 0.187620
us_000498204,0.653085, 0.192216
us_000579864,0.653085, 0.194494
us_000472914,0.653085, 0.200591
us_000489358,0.653085, 0.223677
us_000554317,0.653085, 0.228716
us_000487160,0.653085, 0.230284
us_000525324,0.653085, 0.234239
us_000506238,0.653085, 0.234692
us_000532314,0.653085, 0.254075
us_000467601,0.653085, 0.254346
us_000182359,0.653085, 0.263613
us_000520182,0.653085, 0.280389
us_000495339,0.653085, 0.284148
us_000548948,0.653085, 0.294829
us_000548953,0.653085, 0.296237
us_000506122,0.653085, 0.297209
us_000581409,0.653085, 0.300280
us_000487449,0.653085, 0.302091
us_000585366,0.653085, 0.302547
us_000517082,0.653085, 0.304377
us_000467415,0.653085, 0.309560
us_000539665,0.653085, 0.315040
us_000581412,0.653085, 0.315732
us_000494371,0.653085, 0.317812
us_000515087,0.653085, 0.319261
us_000518020,0.653085, 0.324211
us_000534174,0.653085, 1.045925
pr_000981334,0.607079, 0.000000
pr_001166271,0.607079, 0.000000
us_000529328,0.607079, 0.000000
us_000528216,0.607079, 0.000000
us_000549162,0.607079, 0.000000
us_000482470,0.607079, 0.000000
us_000486685,0.607079, 0.000000
pr_000405478,0.607079, 0.000055
us_000542499,0.607079, 0.128541
us_000339485,0.607079, 0.132378
us_000486420,0.607079, 0.136367
us_000373616,0.607079, 0.136787
us_000487352,0.607079, 0.151141
us_000559644,0.607079, 0.154073
us_000479335,0.607079, 0.157357
us_000492947,0.607079, 0.158634
us_000487749,0.607079, 0.159816
us_000003715,0.607079, 0.160685
us_000438176,0.607079, 0.161746
us_000524243,0.607079, 0.162274
us_000487687,0.607079, 0.163010
us_000480687,0.607079, 0.163210
us_000543697,0.607079, 0.164934
us_000476679,0.607079, 0.165569
us_000487436,0.607079, 0.169896
us_000474053,0.607079, 0.173007
us_000065616,0.607079, 0.174045
us_000479935,0.607079, 0.176196
us_000487411,0.607079, 0.176866
us_000596069,0.607079, 0.177115
us_000583720,0.607079, 0.179581
us_000537741,0.607079, 0.180854
us_000495517,0.607079, 0.181710
us_000538005,0.607079, 0.182343
us_000039161,0.607079, 0.182805
us_000588408,0.607079, 0.186514
us_000489904,0.607079, 0.188492
us_000589249,0.607079, 0.191981
us_000543822,0.607079, 0.192320
us_000490258,0.607079, 0.192454
us_000141487,0.607079, 0.192997
us_000248861,0.607079, 0.194402
us_000493939,0.607079, 0.194709
us_000373348,0.607079, 0.195295
us_000585733,0.607079, 0.195714
us_000520507,0.607079, 0.197894
us_000586289,0.607079, 0.198635
us_000468432,0.607079, 0.203542
us_000572309,0.607079, 0.204621
us_000585159,0.607079, 0.204621
us_000600663,0.607079, 0.206153
us_000496279,0.607079, 0.206860
us_000487219,0.607079, 0.207761
us_000080953,0.607079, 0.210785
us_000585839,0.607079, 0.210820
us_000240141,0.607079, 0.216727
us_000598593,0.607079, 0.220747
us_000476952,0.607079, 0.237275
us_000559246,0.607079, 0.248116
us_000526771,0.607079, 0.249940
us_000506283,0.607079, 0.250338
us_000459974,0.607079, 0.271570
us_000511184,0.607079, 0.274028
us_000463001,0.607079, 0.298261
us_000499291,0.607079, 0.706987
pr_000768494,0.575502, 0.000001
us_000589863,0.575502, 0.000168
pr_000295285,0.575502, 0.000690
us_000515658,0.575502, 0.001115
us_000495145,0.575502, 0.002016
us_000564850,0.575502, 0.009095
us_000035404,0.575502, 0.045214
us_000462470,0.575502, 0.128588
us_000347673,0.575502, 0.129158
us_000455948,0.575502, 0.138924
us_000531579,0.575502, 0.144139
us_000480704,0.575502, 0.145805
us_000463949,0.575502, 0.153694
us_000577159,0.575502, 0.155957
us_000590046,0.575502, 0.156941
us_000538828,0.575502, 0.159815
us_000497730,0.575502, 0.159815
us_000480680,0.575502, 0.162766
us_000581938,0.575502, 0.162872
us_000474060,0.575502, 0.167858
us_000480295,0.575502, 0.175563
us_000537430,0.575502, 0.177092
us_000480833,0.575502, 0.177670
us_000531765,0.575502, 0.182771
us_000453125,0.575502, 0.183460
us_000479849,0.575502, 0.185384
us_000490634,0.575502, 0.188940
us_000552914,0.575502, 0.188940
us_000520265,0.575502, 0.189515
us_000552975,0.575502, 0.192571
us_000541292,0.575502, 0.192798
us_000481017,0.575502, 0.192798
us_000479924,0.575502, 0.196520
us_000499154,0.575502, 0.196520
us_000541434,0.575502, 0.196520
us_000535286,0.575502, 0.198992
us_000515273,0.575502, 0.200115
us_000352709,0.575502, 0.208175
us_000514444,0.575502, 0.208310
us_000578490,0.575502, 0.222737
us_000584371,0.575502, 0.222737
us_000578052,0.575502, 0.222737
us_000577648,0.575502, 0.222737
us_000584653,0.575502, 0.222737
us_000517089,0.575502, 0.223391
us_000487215,0.575502, 0.226267
us_000588946,0.575502, 0.230736
us_000460315,0.575502, 0.231923
us_000588943,0.575502, 0.232645
us_000588940,0.575502, 0.232645
us_000588941,0.575502, 0.232645
us_000548990,0.575502, 0.232645
us_000588948,0.575502, 0.232645
us_000588945,0.575502, 0.232645
us_000588647,0.575502, 0.232645
us_000588969,0.575502, 0.232645
us_000487508,0.575502, 0.246431
us_000523899,0.575502, 0.252419
us_000577337,0.575502, 0.266417
us_000477470,0.575502, 0.273104
us_000532407,0.575502, 0.285786
us_000474225,0.575502, 0.295543
us_000480650,0.575502, 0.362038
us_000479925,0.575502, 0.369070
us_000358991,0.575502, 0.375003
pr_000224098,0.532068, 0.000000
pr_001410115,0.532068, 0.000000
pr_000761655,0.532068, 0.000000
pr_001581234,0.532068, 0.000000
us_000566758,0.532068, 0.000003
us_000597219,0.532068, 0.000014
us_000612117,0.532068, 0.000032
us_000605961,0.532068, 0.000055
us_000604940,0.532068, 0.000057
us_000601249,0.532068, 0.000057
us_000211328,0.532068, 0.000066
us_000591631,0.532068, 0.000070
pr_001037350,0.532068, 0.080704
us_000585645,0.532068, 0.081399
us_000585648,0.532068, 0.081399
us_000585644,0.532068, 0.081399
us_000475345,0.532068, 0.084162
us_000492987,0.532068, 0.084555
us_000585752,0.532068, 0.087888
us_000589982,0.532068, 0.087888
us_000493435,0.532068, 0.087888
us_000610518,0.532068, 0.087987
us_000576713,0.532068, 0.087987
us_000481422,0.532068, 0.088033
us_000581411,0.532068, 0.090101
us_000581410,0.532068, 0.090101
us_000564384,0.532068, 0.090800
us_000585345,0.532068, 0.091297
us_000585362,0.532068, 0.091297
us_000573581,0.532068, 0.091297
us_000585344,0.532068, 0.091297
us_000585214,0.532068, 0.091297
us_000585347,0.532068, 0.091297
us_000581941,0.532068, 0.091297
us_000572560,0.532068, 0.091297
us_000585364,0.532068, 0.091297
us_000481062,0.532068, 0.091297
us_000584098,0.532068, 0.091297
us_000572270,0.532068, 0.091297
us_000588220,0.532068, 0.091297
us_000605662,0.532068, 0.091297
us_000581940,0.532068, 0.091297
us_000585346,0.532068, 0.091297
us_000480609,0.532068, 0.091297
us_000604074,0.532068, 0.091297
us_000507303,0.532068, 0.091297
us_000571474,0.532068, 0.091396
us_000590426,0.532068, 0.091396
us_000571257,0.532068, 0.091396
us_000218326,0.532068, 0.091396
us_000486618,0.532068, 0.091396
us_000486157,0.532068, 0.092674
us_000478945,0.532068, 0.093292
us_000573636,0.532068, 0.093787
us_000609412,0.532068, 0.096093
us_000586820,0.532068, 0.096774
us_000603476,0.532068, 0.097629
us_000606956,0.532068, 0.098109
us_000589248,0.532068, 0.098109
us_000585692,0.532068, 0.100099
us_000583043,0.532068, 0.100099
us_000607087,0.532068, 0.100099
us_000583084,0.532068, 0.100099
us_000581462,0.532068, 0.100099
us_000590435,0.532068, 0.100099
us_000580199,0.532068, 0.100099
us_000583045,0.532068, 0.100099
us_000460610,0.532068, 0.100099
