Product ID : 1006 # of JPs covered : 1 : 225 : Patent Litigation, 
OID,Confidence at Map Node,Error at Map Node
us_000487510,1.000000, 0.372995
us_000402635,1.000000, 0.841334
us_000464143,0.496479, 0.000000
us_000470870,0.496479, 0.000000
us_000469979,0.496479, 0.000000
pr_000755753,0.496479, 0.000000
pr_000904914,0.496479, 0.000000
us_000544555,0.496479, 0.000000
us_000529657,0.496479, 0.000001
us_000550596,0.496479, 0.000001
us_000524032,0.496479, 0.000001
us_000518607,0.496479, 0.000001
us_000515325,0.496479, 0.000001
us_000587374,0.496479, 0.000003
us_000612422,0.496479, 0.000004
us_000540214,0.496479, 0.000009
pr_000891919,0.496479, 0.000012
us_000587046,0.496479, 0.000015
us_000474921,0.496479, 0.000044
pr_001966302,0.496479, 0.000100
pr_001680645,0.496479, 0.000143
pr_000717967,0.496479, 0.000180
pr_000843326,0.496479, 0.000231
us_000551962,0.496479, 0.000344
us_000594653,0.496479, 0.000359
us_000615136,0.496479, 0.000376
us_000604801,0.496479, 0.000380
us_000188916,0.496479, 0.000636
us_000018297,0.496479, 0.000652
us_000580549,0.496479, 0.000659
us_000580553,0.496479, 0.000659
us_000492349,0.496479, 0.000713
us_000462998,0.496479, 0.000713
pr_000988753,0.496479, 0.000782
us_000556745,0.496479, 0.001005
us_000511878,0.496479, 0.001074
us_000609015,0.496479, 0.001162
us_000580552,0.496479, 0.001603
us_000532962,0.496479, 0.001673
us_000515865,0.496479, 0.002269
us_000510421,0.496479, 0.002897
us_000582562,0.496479, 0.003191
us_000522194,0.496479, 0.004967
us_000466905,0.496479, 0.005969
us_000544848,0.496479, 0.006184
us_000478493,0.496479, 0.008211
us_000580214,0.496479, 0.008385
us_000599358,0.496479, 0.009644
us_000483187,0.496479, 0.010976
us_000523846,0.496479, 0.011002
us_000465663,0.496479, 0.011660
us_000607949,0.496479, 0.012435
us_000481514,0.496479, 0.012447
us_000574050,0.496479, 0.012705
us_000463060,0.496479, 0.013028
us_000575679,0.496479, 0.019550
us_000536031,0.496479, 0.021246
us_000536332,0.496479, 0.022369
us_000547608,0.496479, 0.024668
us_000482363,0.496479, 0.027232
us_000475522,0.496479, 0.028480
us_000469422,0.496479, 0.029800
us_000103730,0.496479, 0.030832
us_000491611,0.496479, 0.035990
us_000479628,0.496479, 0.036183
us_000462028,0.496479, 0.038655
us_000557200,0.496479, 0.040854
us_000578936,0.496479, 0.042963
us_000616842,0.496479, 0.044720
us_000587968,0.496479, 0.047362
us_000534932,0.496479, 0.049621
us_000594982,0.496479, 0.062592
us_000521649,0.496479, 0.067461
us_000502052,0.496479, 0.071109
us_000541173,0.496479, 0.073995
us_000472184,0.496479, 0.093796
us_000599192,0.496479, 0.095175
us_000558207,0.496479, 0.098085
us_000535239,0.496479, 0.109734
us_000521559,0.496479, 0.124962
us_000487607,0.496479, 0.783015
us_000487472,0.496479, 1.167901
us_000534374,0.496479, 1.218816
us_000487270,0.496479, 1.827862
