Product ID : 2076 JPs covered : 96 : General Counsel, 
OID,Confidence at Map Node,Error at Map Node
pr_000648075,0.515691, 0.000012
pr_001004935,0.515691, 0.000013
pr_000652184,0.515691, 0.000013
pr_001017028,0.515691, 0.000013
pr_000284919,0.515691, 0.000014
pr_000014524,0.515691, 0.000015
pr_000730230,0.515691, 0.000016
pr_000588525,0.515691, 0.000016
pr_000223899,0.515691, 0.000016
pr_000592200,0.515691, 0.000016
pr_000983310,0.515691, 0.000016
pr_000814546,0.515691, 0.000016
pr_000588116,0.515691, 0.000018
pr_000313834,0.515691, 0.000018
pr_000896609,0.515691, 0.000018
pr_001637080,0.515691, 0.000018
pr_001654125,0.515691, 0.000018
pr_000742462,0.515691, 0.000018
pr_000993305,0.515691, 0.000019
pr_000977167,0.515691, 0.000020
pr_000849810,0.515691, 0.000020
pr_000344858,0.515691, 0.000020
pr_000638459,0.515691, 0.000021
pr_002231476,0.515691, 0.000022
pr_000433376,0.515691, 0.000023
pr_001703183,0.515691, 0.000024
pr_000970478,0.515691, 0.000026
pr_000344844,0.515691, 0.000030
pr_001703197,0.515691, 0.000038
pr_000011872,0.515691, 0.000047
pr_000238567,0.515691, 0.000047
pr_000216170,0.515691, 0.000047
pr_000158103,0.515691, 0.000049
pr_000347017,0.515691, 0.000051
pr_000223594,0.515691, 0.000052
pr_000933478,0.515691, 0.000054
pr_000284316,0.515691, 0.000054
pr_000378030,0.515691, 0.000058
pr_001412646,0.515691, 0.000058
pr_000573424,0.515691, 0.000060
pr_000587993,0.515691, 0.000060
pr_000701288,0.515691, 0.000060
pr_000950629,0.515691, 0.000060
pr_001062662,0.515691, 0.000060
pr_000952746,0.515691, 0.000060
pr_000892499,0.515691, 0.000060
pr_000076543,0.515691, 0.000063
pr_000987919,0.515691, 0.000064
pr_000334775,0.515691, 0.000065
pr_000630677,0.515691, 0.000065
pr_001020166,0.515691, 0.000066
pr_000765303,0.515691, 0.000066
pr_000275417,0.515691, 0.000077
pr_001062215,0.515691, 0.000085
pr_000657892,0.515691, 0.000093
pr_001635845,0.515691, 0.000094
pr_001085608,0.515691, 0.000095
pr_000572699,0.515691, 0.000097
us_000496214,0.515691, 0.000098
us_000528468,0.515691, 0.000098
pr_000927686,0.515691, 0.000099
pr_000899190,0.515691, 0.000099
pr_000733255,0.515691, 0.000099
pr_000930952,0.515691, 0.000099
pr_001021412,0.515691, 0.000099
pr_000866493,0.515691, 0.000099
pr_000587753,0.515691, 0.000099
pr_000652588,0.515691, 0.000099
pr_000906261,0.515691, 0.000099
pr_000767258,0.515691, 0.000099
pr_000859187,0.515691, 0.000099
pr_000981054,0.515691, 0.000099
pr_000744454,0.515691, 0.000099
pr_000295787,0.515691, 0.000099
pr_000712513,0.515691, 0.000099
pr_000020392,0.515691, 0.000101
pr_000167835,0.515691, 0.000111
pr_000003684,0.515691, 0.000114
pr_000591789,0.515691, 0.000119
pr_000012601,0.515691, 0.000121
pr_000702551,0.515691, 0.000125
pr_000582136,0.515691, 0.000125
pr_000002220,0.515691, 0.000131
pr_000591473,0.515691, 0.000133
us_000496463,0.515691, 0.000133
pr_000733572,0.515691, 0.000134
pr_000206994,0.515691, 0.000142
pr_000709391,0.515691, 0.000143
pr_000714561,0.515691, 0.000143
us_000546146,0.515691, 0.000144
pr_000578745,0.515691, 0.000145
pr_000869563,0.515691, 0.000146
pr_000209537,0.515691, 0.000148
pr_000584809,0.515691, 0.000156
pr_000536266,0.515691, 0.000159
pr_000116219,0.515691, 0.000172
pr_000626320,0.515691, 0.000183
pr_000165173,0.515691, 0.000186
pr_000829422,0.515691, 0.000195
pr_000598072,0.515691, 0.000200
pr_000332649,0.515691, 0.000206
pr_000588725,0.515691, 0.000206
pr_000191165,0.515691, 0.000224
pr_000705376,0.515691, 0.000239
pr_000717531,0.515691, 0.000252
pr_002126693,0.515691, 0.000277
us_000526261,0.515691, 0.000304
pr_000723769,0.515691, 0.000331
pr_001388634,0.515691, 0.000331
pr_001590678,0.515691, 0.000331
us_000541192,0.515691, 0.000348
us_000615134,0.515691, 0.000356
pr_001814538,0.515691, 0.000374
pr_000592952,0.515691, 0.000431
us_000476507,0.515691, 0.000438
us_000361429,0.515691, 0.000499
us_000528484,0.515691, 0.000546
pr_001076698,0.515691, 0.000605
us_000559043,0.515691, 0.000634
us_000558593,0.515691, 0.000762
pr_001658634,0.515691, 0.000771
us_000517536,0.515691, 0.000827
pr_000632305,0.515691, 0.000911
pr_000729601,0.515691, 0.000943
pr_000951909,0.515691, 0.000969
pr_000587972,0.515691, 0.001413
us_000592891,0.515691, 0.001430
us_000568600,0.515691, 0.003367
us_000474881,0.515691, 0.004047
pr_000710830,0.515691, 0.006290
pr_001105557,0.515691, 0.006563
us_000487119,0.515691, 0.009101
us_000567456,0.515691, 0.009693
us_000483472,0.515691, 0.010504
us_000607445,0.515691, 0.013712
us_000575838,0.515691, 0.018696
us_000549156,0.515691, 0.019100
us_000543909,0.515691, 0.021662
us_000494814,0.515691, 0.022122
pr_000888386,0.515691, 0.027904
us_000202203,0.515691, 0.039123
us_000530205,0.515691, 0.046045
us_000503596,0.515691, 0.046560
us_000484161,0.515691, 0.061247
us_000379696,0.515691, 0.070905
us_000490782,0.515691, 0.100420
us_000466349,0.508845, 0.000000
us_000473790,0.508845, 0.000000
us_000463768,0.508845, 0.000001
us_000469486,0.508845, 0.000001
us_000156841,0.508845, 0.000001
us_000303709,0.508845, 0.000001
us_000573020,0.508845, 0.000001
us_000573909,0.508845, 0.000004
pr_000079608,0.508845, 0.000005
us_000573140,0.508845, 0.000007
us_000585605,0.508845, 0.000007
pr_000404829,0.508845, 0.000012
us_000598793,0.508845, 0.000033
us_000598440,0.508845, 0.000037
us_000534300,0.508845, 0.000037
us_000576189,0.508845, 0.000049
us_000608716,0.508845, 0.000050
us_000544181,0.508845, 0.000051
us_000512876,0.508845, 0.000085
us_000573007,0.508845, 0.000086
us_000494197,0.508845, 0.000125
us_000594162,0.508845, 0.000132
us_000612610,0.508845, 0.000174
us_000575666,0.508845, 0.000174
us_000609677,0.508845, 0.000174
us_000575638,0.508845, 0.000206
us_000614323,0.508845, 0.000271
us_000520852,0.508845, 0.000400
us_000558119,0.508845, 0.000528
us_000560624,0.508845, 0.000532
pr_000781312,0.508845, 0.000624
us_000484931,0.508845, 0.000649
us_000530829,0.508845, 0.000754
us_000475082,0.508845, 0.000984
us_000481981,0.508845, 0.001000
pr_000870990,0.508845, 0.001134
pr_000995910,0.508845, 0.001145
pr_000761767,0.508845, 0.001159
us_000521308,0.508845, 0.001175
us_000475344,0.508845, 0.001194
us_000237905,0.508845, 0.001427
pr_000730660,0.508845, 0.001797
us_000495681,0.508845, 0.001920
us_000495704,0.508845, 0.002281
us_000572819,0.508845, 0.002359
pr_000711305,0.508845, 0.003005
us_000549721,0.508845, 0.003012
us_000574915,0.508845, 0.005378
us_000610683,0.508845, 0.005594
us_000502361,0.508845, 0.005897
us_000543719,0.508845, 0.005915
us_000472188,0.508845, 0.006003
us_000601388,0.508845, 0.006239
us_000564569,0.508845, 0.006273
us_000479599,0.508845, 0.006453
us_000528302,0.508845, 0.006713
