Product ID : 2142 # of JPs covered : 1 : 326 : Banking Lit-Consumer-Finance, 
OID,Confidence at Map Node,Error at Map Node
us_000521792,0.947061, 0.575686
us_000291713,0.947061, 0.576005
us_000553077,0.947061, 0.576742
us_000478940,0.947061, 0.576792
us_000507556,0.947061, 0.577774
us_000547449,0.947061, 0.578953
us_000513842,0.947061, 0.579722
us_000526513,0.947061, 0.580046
us_000477357,0.947061, 0.580825
us_000534189,0.947061, 0.582018
us_000413722,0.947061, 0.582072
us_000514082,0.947061, 0.582113
us_000549988,0.947061, 0.583965
us_000544637,0.947061, 0.584464
us_000559119,0.947061, 0.584618
us_000530809,0.947061, 0.585082
us_000476040,0.947061, 0.586196
us_000547335,0.947061, 0.589694
us_000477399,0.947061, 0.589947
us_000533713,0.947061, 0.589948
us_000532173,0.947061, 0.589948
us_000547499,0.947061, 0.589948
us_000478712,0.947061, 0.589948
us_000547500,0.947061, 0.589948
us_000503310,0.947061, 0.589948
us_000536607,0.947061, 0.589948
us_000479171,0.947061, 0.589948
us_000550278,0.947061, 0.589948
us_000513871,0.947061, 0.589948
us_000533291,0.947061, 0.589948
us_000547439,0.947061, 0.589948
us_000536608,0.947061, 0.589948
us_000547266,0.947061, 0.589948
us_000478851,0.947061, 0.589948
us_000479086,0.947061, 0.589948
us_000547248,0.947061, 0.589948
us_000532804,0.947061, 0.589948
us_000555519,0.947061, 0.589948
us_000547218,0.947061, 0.589948
us_000536709,0.947061, 0.589948
us_000548924,0.947061, 0.589948
us_000500366,0.947061, 0.589948
us_000535293,0.947061, 0.589948
us_000536711,0.947061, 0.589948
us_000546961,0.947061, 0.589948
us_000514768,0.947061, 0.589948
us_000475934,0.947061, 0.589948
us_000501780,0.947061, 0.589948
us_000502570,0.947061, 0.589948
us_000513836,0.947061, 0.589948
us_000543985,0.947061, 0.589948
us_000544541,0.947061, 0.589948
us_000533480,0.947061, 0.589948
us_000479289,0.947061, 0.589948
us_000547497,0.947061, 0.589948
us_000555539,0.947061, 0.589948
us_000547214,0.947061, 0.589948
us_000501678,0.947061, 0.589948
us_000544063,0.947061, 0.589948
us_000547498,0.947061, 0.589948
us_000547440,0.947061, 0.589948
us_000471593,0.947061, 0.589948
us_000500374,0.947061, 0.589948
us_000533520,0.947061, 0.589948
us_000478113,0.947061, 0.589948
us_000547250,0.947061, 0.589948
us_000311928,0.947061, 0.590167
us_000532715,0.947061, 0.590183
us_000482691,0.947061, 0.590278
us_000478543,0.947061, 0.591291
us_000477408,0.947061, 0.591502
us_000512879,0.947061, 0.592247
us_000477989,0.947061, 0.592811
us_000471075,0.947061, 0.593434
us_000546906,0.947061, 0.596490
us_000544678,0.947061, 0.598869
us_000488790,0.947061, 0.607334
us_000547230,0.947061, 0.608894
us_000512967,0.947061, 0.624465
us_000547496,0.947061, 0.627760
us_000526176,0.947061, 0.628107
us_000506765,0.947061, 0.628656
us_000157951,0.947061, 0.632585
us_000525350,0.947061, 0.640346
us_000513855,0.947061, 0.642530
us_000471797,0.947061, 0.648269
us_000452350,0.947061, 0.663156
us_000504317,0.947061, 0.690684
us_000525964,0.947061, 0.696973
us_000513655,0.947061, 0.804374
pr_000957523,0.919779, 0.000000
pr_001152176,0.919779, 0.000000
us_000548489,0.919779, 0.000003
pr_001639955,0.919779, 0.000005
pr_001686606,0.919779, 0.000005
pr_000180630,0.919779, 0.000010
pr_000629053,0.919779, 0.000012
pr_000737073,0.919779, 0.000018
pr_000851842,0.919779, 0.000109
pr_000004342,0.919779, 0.000127
pr_000193898,0.919779, 0.000145
pr_001003491,0.919779, 0.000195
pr_001694883,0.919779, 0.000620
pr_002082377,0.919779, 0.000884
us_000543482,0.919779, 0.000967
us_000474863,0.919779, 0.000988
us_000476221,0.919779, 0.001327
us_000475387,0.919779, 0.001553
pr_001009802,0.919779, 0.001554
us_000476150,0.919779, 0.001615
pr_000591078,0.919779, 0.001719
us_000499833,0.919779, 0.001930
us_000499166,0.919779, 0.003259
us_000485696,0.919779, 0.004004
us_000571758,0.919779, 0.004203
us_000571710,0.919779, 0.004203
us_000571804,0.919779, 0.004203
us_000515526,0.919779, 0.004364
us_000535213,0.919779, 0.004988
us_000497816,0.919779, 0.005422
us_000489027,0.919779, 0.005478
us_000506034,0.919779, 0.005587
us_000497228,0.919779, 0.005653
us_000507981,0.919779, 0.006196
us_000507242,0.919779, 0.006820
us_000510313,0.919779, 0.010203
us_000602588,0.919779, 0.011199
us_000459170,0.919779, 0.012453
us_000482844,0.919779, 0.013753
us_000502140,0.919779, 0.014604
us_000463875,0.919779, 0.015125
us_000539549,0.919779, 0.017001
us_000500112,0.919779, 0.020308
us_000552827,0.919779, 0.020470
us_000540706,0.919779, 0.022949
us_000526523,0.919779, 0.028557
us_000474512,0.919779, 0.044760
us_000584443,0.919779, 0.056199
us_000544641,0.919779, 0.060203
us_000523640,0.919779, 0.135671
us_000478299,0.919779, 0.493764
us_000477341,0.919779, 0.504055
us_000503678,0.919779, 0.506160
us_000553669,0.919779, 0.507636
us_000478741,0.919779, 0.513918
us_000536603,0.919779, 0.526923
us_000505883,0.919779, 0.549876
us_000547469,0.919779, 0.550191
us_000503359,0.919779, 0.552661
us_000533347,0.919779, 0.555902
us_000533673,0.919779, 0.563320
us_000477417,0.919779, 0.563320
us_000533553,0.919779, 0.563320
us_000527353,0.919779, 0.566024
us_000476756,0.919779, 0.567437
us_000463610,0.919779, 0.567607
us_000532583,0.919779, 0.567751
us_000549983,0.919779, 0.569370
us_000507570,0.919779, 0.570791
us_000536609,0.919779, 0.571085
us_000550030,0.919779, 0.571811
us_000490679,0.919779, 0.572475
us_000525681,0.919779, 0.574266
us_000479272,0.919779, 0.578457
us_000489158,0.919779, 0.580086
us_000525844,0.919779, 0.585168
us_000431058,0.919779, 0.591535
us_000492887,0.919779, 0.621076
us_000492878,0.919779, 0.662984
us_000501674,0.919779, 0.665507
us_000296228,0.919779, 0.667383
us_000299315,0.919779, 0.676562
us_000514667,0.919779, 0.683785
us_000549511,0.919779, 0.685745
us_000545115,0.919779, 0.686083
us_000478698,0.919779, 0.770626
us_000296867,0.919779, 0.889594
us_000532272,0.587825, 0.000558
us_000502542,0.587825, 0.001352
us_000472079,0.587825, 0.028616
us_000591711,0.587825, 0.029244
us_000606518,0.587825, 0.031198
us_000582885,0.587825, 0.044329
us_000616679,0.587825, 0.047702
us_000598018,0.587825, 0.049475
us_000475947,0.587825, 0.050014
us_000592850,0.587825, 0.055853
us_000546185,0.587825, 0.063674
us_000571325,0.587825, 0.069917
us_000480761,0.587825, 0.178740
us_000500867,0.587825, 0.179004
us_000536900,0.587825, 0.179004
us_000502142,0.587825, 0.189268
us_000603692,0.587825, 0.193041
us_000512749,0.587825, 0.193454
us_000502269,0.587825, 0.195767
us_000502143,0.587825, 0.195767
us_000554402,0.587825, 0.195767
us_000602598,0.587825, 0.198246
us_000507084,0.587825, 0.198931
us_000506264,0.587825, 0.200844
us_000602586,0.587825, 0.200993
us_000506020,0.587825, 0.201221
us_000602322,0.587825, 0.201244
us_000606425,0.587825, 0.201561
us_000502288,0.587825, 0.202682
us_000503846,0.587825, 0.203119
us_000479013,0.587825, 0.203465
us_000583101,0.587825, 0.203814
us_000500564,0.587825, 0.204311
us_000507000,0.587825, 0.204667
us_000503834,0.587825, 0.204667
us_000502300,0.587825, 0.204667
us_000502120,0.587825, 0.204667
us_000514321,0.587825, 0.204760
us_000513934,0.587825, 0.204760
us_000477864,0.587825, 0.205065
us_000517631,0.587825, 0.205423
us_000500411,0.587825, 0.207631
us_000477907,0.587825, 0.207923
us_000091726,0.587825, 0.208366
us_000559008,0.587825, 0.209970
us_000467495,0.587825, 0.210101
us_000546939,0.587825, 0.210814
us_000486724,0.587825, 0.210814
us_000474523,0.587825, 0.210814
us_000509774,0.587825, 0.211212
us_000613199,0.587825, 0.211584
us_000566541,0.587825, 0.211939
us_000479267,0.587825, 0.213377
us_000565703,0.587825, 0.213588
us_000531276,0.587825, 0.213777
us_000502774,0.587825, 0.213914
us_000503376,0.587825, 0.213914
us_000514724,0.587825, 0.213914
us_000550240,0.587825, 0.213914
us_000514030,0.587825, 0.213914
us_000513938,0.587825, 0.213914
us_000536626,0.587825, 0.213914
us_000505628,0.587825, 0.213914
us_000479198,0.587825, 0.213914
us_000514041,0.587825, 0.213914
us_000506240,0.587825, 0.213914
us_000477658,0.587825, 0.213914
us_000479194,0.587825, 0.213914
us_000514007,0.587825, 0.213914
us_000502915,0.587825, 0.213914
us_000512766,0.587825, 0.214353
us_000486544,0.587825, 0.214353
us_000507596,0.587825, 0.214353
us_000514671,0.587825, 0.214353
us_000480576,0.587825, 0.214353
us_000506308,0.587825, 0.214353
us_000187145,0.587825, 0.214410
us_000611621,0.587825, 0.214902
us_000473827,0.587825, 0.215600
us_000535768,0.587825, 0.216857
us_000503681,0.587825, 0.217708
us_000486092,0.587825, 0.218323
us_000542719,0.587825, 0.218500
us_000499227,0.587825, 0.219020
us_000486864,0.587825, 0.219429
us_000078472,0.587825, 0.220532
us_000463809,0.587825, 0.221100
us_000531545,0.587825, 0.221431
us_000583104,0.587825, 0.222562
us_000513477,0.587825, 0.222999
us_000530558,0.587825, 0.223497
us_000517190,0.587825, 0.223508
us_000544748,0.587825, 0.223508
us_000561689,0.587825, 0.223508
us_000477597,0.587825, 0.223508
us_000501936,0.587825, 0.223508
us_000503003,0.587825, 0.223508
us_000513874,0.587825, 0.223508
us_000502139,0.587825, 0.223508
us_000547592,0.587825, 0.223508
