Product ID : 101 JPs covered : 56 : Sales/Use, 
OID,Confidence at Map Node,Error at Map Node
us_000539503,1.000000, 0.000000
us_000546728,1.000000, 0.000000
pr_001787374,1.000000, 0.000000
pr_001773619,1.000000, 0.000000
pr_001892018,1.000000, 0.000000
pr_001891432,1.000000, 0.000000
us_000280299,1.000000, 0.916396
us_000012856,1.000000, 0.957611
us_000013507,1.000000, 1.131725
us_000554195,1.000000, 1.156728
us_000529911,1.000000, 1.196600
us_000519794,1.000000, 1.322831
us_000497648,1.000000, 1.346013
us_000469107,1.000000, 1.361186
us_000300352,1.000000, 1.372901
us_000296439,1.000000, 1.373197
us_000484495,1.000000, 1.435567
us_000472482,1.000000, 1.449647
us_000472118,1.000000, 1.456075
us_000473916,1.000000, 1.458196
us_000471894,1.000000, 1.464792
us_000501307,1.000000, 1.470856
us_000478445,1.000000, 1.476373
us_000506282,1.000000, 1.485404
us_000466831,1.000000, 1.485979
us_000022713,1.000000, 1.522879
us_000426466,1.000000, 1.524853
us_000107482,1.000000, 1.536232
us_000521825,1.000000, 1.536739
us_000501553,1.000000, 1.549692
us_000493375,1.000000, 1.550795
us_000557080,1.000000, 1.553958
us_000513627,1.000000, 1.557913
us_000494478,1.000000, 1.564699
us_000444611,1.000000, 1.587164
us_000467345,1.000000, 1.591710
us_000355547,1.000000, 1.596551
us_000232499,1.000000, 1.596613
us_000472083,1.000000, 1.603140
us_000504143,1.000000, 1.610733
us_000527884,1.000000, 1.612954
us_000232458,1.000000, 1.614371
us_000347003,1.000000, 1.614392
us_000498463,1.000000, 1.618664
us_000472411,1.000000, 1.640933
us_000112543,1.000000, 1.643959
us_000465321,1.000000, 1.652017
us_000296784,1.000000, 1.653254
us_000488897,1.000000, 1.664055
us_000478407,1.000000, 1.702047
us_000472074,1.000000, 1.703437
us_000479838,1.000000, 1.708996
us_000468971,1.000000, 1.727351
us_000544974,0.996558, 0.000039
us_000527868,0.996558, 0.000192
us_000487043,0.996558, 0.000462
us_000480710,0.996558, 0.000462
us_000504552,0.996558, 0.802943
us_000460016,0.996558, 0.845326
us_000472390,0.996558, 0.976161
us_000469960,0.996558, 0.980173
us_000461195,0.996558, 0.982496
us_000475825,0.996558, 1.025841
us_000469162,0.996558, 1.071664
us_000040613,0.996558, 1.073288
us_000478779,0.996558, 1.088761
us_000476393,0.996558, 1.089588
us_000530326,0.996558, 1.100529
us_000475202,0.996558, 1.113564
us_000524090,0.996558, 1.130352
us_000545636,0.996558, 1.147558
us_000498188,0.996558, 1.147917
us_000197128,0.996558, 1.164083
us_000328840,0.996558, 1.165694
us_000487823,0.996558, 1.168570
us_000478244,0.996558, 1.191260
us_000479625,0.996558, 1.199137
us_000500874,0.996558, 1.211405
us_000501909,0.996558, 1.216125
us_000473015,0.996558, 1.219248
us_000487359,0.996558, 1.223868
us_000460810,0.996558, 1.226186
us_000202089,0.996558, 1.226883
us_000545377,0.996558, 1.227505
us_000545483,0.996558, 1.227524
us_000516789,0.996558, 1.233095
us_000503009,0.996558, 1.239463
