Product ID : 992 JPs covered : 232 : ERISA Litigation, 
us_000488184,0.980945, 3.032360
us_000538562,0.980945, 3.063539
us_000499848,0.980945, 3.067356
us_000528268,0.980945, 3.073292
us_000192552,0.980945, 3.112177
us_000590879,0.980945, 3.117926
us_000542674,0.980945, 3.163557
us_000598855,0.980945, 3.166799
us_000562359,0.980945, 3.177483
us_000500856,0.980945, 3.411452
pr_001153019,0.835207, 0.000000
pr_001674097,0.835207, 0.000000
us_000529431,0.835207, 0.000000
us_000558958,0.835207, 0.000000
us_000559162,0.835207, 0.000454
us_000610956,0.835207, 0.001725
us_000526796,0.835207, 0.020373
us_000526544,0.835207, 0.027967
us_000517571,0.835207, 0.037160
us_000545309,0.835207, 0.037391
us_000520052,0.835207, 0.057234
us_000484126,0.835207, 0.064434
us_000502798,0.835207, 0.065032
us_000567172,0.835207, 0.109136
us_000515762,0.835207, 0.153005
us_000483725,0.835207, 0.363019
us_000519731,0.770980, 0.000012
us_000534065,0.770980, 0.048320
us_000492790,0.770980, 0.084733
us_000468074,0.770980, 2.062093
us_000462433,0.770980, 2.270882
us_000476392,0.770980, 2.281631
us_000468533,0.770980, 2.302365
us_000529561,0.770980, 2.328199
us_000529558,0.770980, 2.425229
us_000575828,0.770980, 2.448112
pr_000957355,0.522350, 0.000000
pr_000923741,0.522350, 0.000000
pr_000748374,0.522350, 0.000000
pr_000877501,0.522350, 0.000000
pr_001132430,0.522350, 0.000000
pr_000999325,0.522350, 0.000000
pr_000758461,0.522350, 0.000000
pr_001409947,0.522350, 0.000000
pr_000994641,0.522350, 0.000000
pr_000920552,0.522350, 0.000000
pr_000377025,0.522350, 0.000000
pr_001909248,0.522350, 0.000000
pr_000213405,0.522350, 0.000000
pr_000069777,0.522350, 0.000000
pr_000955807,0.522350, 0.000000
pr_000113443,0.522350, 0.000000
pr_000782585,0.522350, 0.000000
us_000600445,0.522350, 0.000001
us_000600259,0.522350, 0.000011
pr_001024597,0.522350, 0.000012
pr_001879776,0.522350, 0.000028
pr_001133101,0.522350, 0.000168
us_000479505,0.522350, 0.023417
us_000594943,0.522350, 1.092002
us_000580787,0.522350, 1.263221
us_000467707,0.522350, 1.265091
us_000537890,0.522350, 1.269817
us_000495101,0.522350, 1.273930
us_000127180,0.522350, 1.280527
us_000522991,0.522350, 1.283429
us_000486075,0.522350, 1.285481
us_000563160,0.522350, 1.304090
us_000568951,0.522350, 1.311048
us_000615317,0.522350, 1.333672
us_000530454,0.522350, 1.346855
us_000471736,0.522350, 1.350779
us_000465724,0.522350, 1.353044
us_000568299,0.522350, 1.353368
us_000523040,0.522350, 1.363145
us_000491490,0.522350, 1.376500
us_000593583,0.522350, 1.382784
us_000598031,0.522350, 1.401765
us_000593616,0.522350, 1.411876
us_000576626,0.522350, 1.420908
us_000503474,0.522350, 1.443499
us_000576422,0.522350, 1.458316
us_000497984,0.522350, 1.465456
us_000474042,0.522350, 1.472914
us_000568015,0.522350, 1.473473
us_000518791,0.522350, 1.514001
us_000192235,0.522350, 1.519357
us_000536303,0.522350, 1.522268
us_000477007,0.522350, 1.640487
