Product ID : 973 # of JPs covered : 1 : 50 : Federal, 
us_000534548,0.844947, 0.602192
us_000030550,0.844947, 0.606841
us_000466180,0.844947, 0.608192
us_000477650,0.844947, 0.617752
us_000469751,0.844947, 0.617918
us_000458664,0.844947, 0.618839
us_000505887,0.844947, 0.623629
us_000464568,0.844947, 0.624745
us_000500893,0.844947, 0.629229
us_000462059,0.844947, 0.630470
us_000476828,0.844947, 0.633970
us_000469021,0.844947, 0.634570
us_000491343,0.844947, 0.635887
us_000485788,0.844947, 0.646553
us_000458580,0.844947, 0.649572
us_000461480,0.844947, 0.649697
us_000183385,0.844947, 0.650495
us_000587915,0.844947, 0.650495
us_000108017,0.844947, 0.651806
us_000260600,0.844947, 0.651902
us_000539137,0.844947, 0.652259
us_000505539,0.844947, 0.653860
us_000114080,0.844947, 0.654204
us_000539197,0.844947, 0.654661
us_000458977,0.844947, 0.655450
us_000334219,0.844947, 0.656732
us_000505230,0.844947, 0.657755
us_000466749,0.844947, 0.665264
us_000458582,0.844947, 0.666079
us_000478315,0.844947, 0.666764
us_000473846,0.844947, 0.668007
us_000553914,0.844947, 0.669104
us_000464524,0.844947, 0.669728
us_000463959,0.844947, 0.670551
us_000482978,0.844947, 0.670876
us_000536010,0.844947, 0.670907
us_000576543,0.844947, 0.673838
us_000505470,0.844947, 0.677411
us_000135319,0.844947, 0.683136
us_000506126,0.844947, 0.683152
us_000505912,0.844947, 0.683674
us_000474084,0.844947, 0.683938
us_000506440,0.844947, 0.683947
us_000027687,0.844947, 0.687070
us_000466599,0.844947, 0.687160
us_000505522,0.844947, 0.687221
us_000576272,0.844947, 0.688394
us_000537240,0.844947, 0.688793
us_000463814,0.844947, 0.696183
us_000469990,0.844947, 0.699754
us_000461661,0.844947, 0.701240
us_000429425,0.844947, 0.702977
us_000460682,0.844947, 0.710457
us_000506067,0.844947, 0.713669
us_000497678,0.844947, 0.732845
us_000474530,0.844947, 0.749732
us_000580717,0.844947, 0.759552
us_000459261,0.844947, 0.789819
us_000539181,0.844947, 0.809532
us_000472013,0.844947, 0.857726
us_000462058,0.844947, 0.897044
us_000133814,0.844947, 0.916410
us_000477615,0.844947, 0.932965
us_000547417,0.689336, 0.000000
us_000535988,0.689336, 0.000000
us_000463701,0.689336, 1.120264
us_000519844,0.689336, 1.313205
us_000466027,0.689336, 1.364391
us_000554089,0.689336, 1.421492
us_000467262,0.689336, 1.485193
us_000469854,0.689336, 1.511663
us_000471554,0.689336, 1.512004
us_000480565,0.689336, 1.512677
us_000462817,0.689336, 1.535746
us_000468968,0.689336, 1.552098
us_000469248,0.689336, 1.591394
us_000471534,0.689336, 1.612614
us_000469491,0.689336, 1.629602
us_000234234,0.647186, 0.000000
us_000391735,0.647186, 0.278696
us_000220684,0.647186, 0.307968
us_000475307,0.647186, 0.323686
us_000408572,0.647186, 0.330150
us_000521631,0.647186, 0.334414
us_000464027,0.647186, 0.342583
us_000557255,0.647186, 0.350802
us_000583851,0.647186, 0.354599
us_000475088,0.647186, 0.355402
us_000221104,0.647186, 0.357930
us_000464652,0.647186, 0.358048
us_000470130,0.647186, 0.359993
us_000474499,0.647186, 0.361614
us_000583710,0.647186, 0.365670
us_000484151,0.647186, 0.376468
us_000475658,0.647186, 0.377160
us_000464831,0.647186, 0.380393
us_000465133,0.647186, 0.382518
us_000473172,0.647186, 0.382574
pr_001611456,0.647186, 0.382802
us_000364518,0.647186, 0.384500
us_000521985,0.647186, 0.385842
us_000231458,0.647186, 0.392843
us_000477725,0.647186, 0.394789
us_000469472,0.647186, 0.396158
us_000476212,0.647186, 0.400981
us_000261877,0.647186, 0.401144
us_000562762,0.647186, 0.406748
us_000497695,0.647186, 0.407151
us_000551292,0.647186, 0.407507
us_000293249,0.647186, 0.412257
us_000489616,0.647186, 0.412766
us_000462951,0.647186, 0.412859
us_000471538,0.647186, 0.415515
us_000513520,0.647186, 0.417617
us_000480780,0.647186, 0.420182
us_000548616,0.647186, 0.420954
us_000471556,0.647186, 0.422165
us_000501784,0.647186, 0.423063
us_000474534,0.647186, 0.423308
us_000459301,0.647186, 0.424801
us_000486053,0.647186, 0.426507
us_000365339,0.647186, 0.427694
us_000591590,0.647186, 0.427748
us_000549463,0.647186, 0.428080
us_000537784,0.647186, 0.429663
us_000554109,0.647186, 0.429819
us_000494672,0.647186, 0.429854
us_000521858,0.647186, 0.430041
us_000478329,0.647186, 0.430821
us_000563568,0.647186, 0.435356
us_000475115,0.647186, 0.437754
us_000487700,0.647186, 0.438010
us_000499159,0.647186, 0.438497
us_000486833,0.647186, 0.438892
us_000562513,0.647186, 0.439185
us_000477941,0.647186, 0.439249
us_000492425,0.647186, 0.439656
us_000262835,0.647186, 0.442477
us_000501519,0.647186, 0.443849
us_000295519,0.647186, 0.445579
us_000261428,0.647186, 0.446697
us_000463130,0.647186, 0.446858
us_000460694,0.647186, 0.449384
us_000243134,0.647186, 0.451939
us_000502147,0.647186, 0.451939
us_000472637,0.647186, 0.451939
us_000473579,0.647186, 0.452421
us_000461623,0.647186, 0.452653
us_000460858,0.647186, 0.453812
us_000477899,0.647186, 0.454523
us_000463751,0.647186, 0.454523
us_000478188,0.647186, 0.454523
us_000292182,0.647186, 0.454523
us_000583683,0.647186, 0.456338
us_000476917,0.647186, 0.456426
us_000553982,0.647186, 0.457135
us_000267035,0.647186, 0.457135
us_000084497,0.647186, 0.457135
us_000554214,0.647186, 0.457135
us_000484493,0.647186, 0.476346
us_000474776,0.647186, 0.482606
us_000268729,0.647186, 0.490420
us_000489533,0.647186, 0.491135
us_000263125,0.647186, 0.492575
us_000563525,0.647186, 0.524486
us_000537213,0.647186, 0.584509
us_000552423,0.647186, 0.765800
us_000537580,0.647186, 0.790434
us_000494702,0.647186, 1.423260
us_000605910,0.633950, 0.000001
pr_001072681,0.633950, 0.000002
pr_001056265,0.633950, 0.000002
pr_000398869,0.633950, 0.000009
pr_000400938,0.633950, 0.000010
pr_000401248,0.633950, 0.000010
pr_000774816,0.633950, 0.000012
pr_000820288,0.633950, 0.000012
pr_001843350,0.633950, 0.000012
pr_001767994,0.633950, 0.000012
pr_000788178,0.633950, 0.000012
pr_001114228,0.633950, 0.000012
pr_000850666,0.633950, 0.000022
pr_000885433,0.633950, 0.000022
pr_000779861,0.633950, 0.000025
us_000469081,0.633950, 0.000038
pr_000268758,0.633950, 0.000089
pr_000268369,0.633950, 0.000089
pr_000397943,0.633950, 0.000089
pr_001766721,0.633950, 0.000115
pr_000399329,0.633950, 0.000202
us_000560387,0.633950, 0.000274
pr_000377555,0.633950, 0.000413
us_000503281,0.633950, 0.000519
pr_000244902,0.633950, 0.000703
pr_001835565,0.633950, 0.000736
us_000548622,0.633950, 0.001049
pr_000161918,0.633950, 0.001079
pr_000767638,0.633950, 0.001485
pr_000590346,0.633950, 0.001485
us_000470377,0.633950, 0.001688
pr_000969843,0.633950, 0.002138
us_000533204,0.633950, 0.002189
us_000559878,0.633950, 0.002240
pr_001082201,0.633950, 0.005282
pr_001143112,0.633950, 0.006874
pr_002097464,0.633950, 0.007420
us_000594820,0.633950, 0.015908
us_000506999,0.633950, 0.182204
us_000546728,0.498805, 0.000000
us_000539503,0.498805, 0.000000
pr_001892018,0.498805, 0.000000
pr_001773619,0.498805, 0.000000
pr_001787374,0.498805, 0.000000
pr_001891432,0.498805, 0.000000
us_000280299,0.498805, 0.916396
us_000012856,0.498805, 0.957611
us_000013507,0.498805, 1.131725
us_000554195,0.498805, 1.156728
us_000529911,0.498805, 1.196600
us_000519794,0.498805, 1.322831
us_000497648,0.498805, 1.346013
us_000469107,0.498805, 1.361186
us_000300352,0.498805, 1.372901
us_000296439,0.498805, 1.373197
us_000484495,0.498805, 1.435567
us_000472482,0.498805, 1.449647
us_000472118,0.498805, 1.456075
us_000473916,0.498805, 1.458196
us_000471894,0.498805, 1.464792
us_000501307,0.498805, 1.470856
us_000478445,0.498805, 1.476373
us_000506282,0.498805, 1.485404
us_000466831,0.498805, 1.485979
us_000022713,0.498805, 1.522879
us_000426466,0.498805, 1.524853
us_000107482,0.498805, 1.536232
us_000521825,0.498805, 1.536739
us_000501553,0.498805, 1.549692
us_000493375,0.498805, 1.550795
us_000557080,0.498805, 1.553958
us_000513627,0.498805, 1.557913
us_000494478,0.498805, 1.564699
us_000444611,0.498805, 1.587164
us_000467345,0.498805, 1.591710
us_000355547,0.498805, 1.596551
us_000232499,0.498805, 1.596613
us_000472083,0.498805, 1.603140
us_000504143,0.498805, 1.610733
us_000527884,0.498805, 1.612954
us_000232458,0.498805, 1.614371
us_000347003,0.498805, 1.614392
us_000498463,0.498805, 1.618664
us_000472411,0.498805, 1.640933
us_000112543,0.498805, 1.643959
us_000465321,0.498805, 1.652017
us_000296784,0.498805, 1.653254
us_000488897,0.498805, 1.664055
us_000478407,0.498805, 1.702047
us_000472074,0.498805, 1.703437
us_000479838,0.498805, 1.708996
us_000468971,0.498805, 1.727351
pr_000544586,0.467958, 0.000153
pr_000655997,0.467958, 0.000154
us_000364996,0.467958, 0.596888
us_000466035,0.467958, 0.684278
us_000486715,0.467958, 0.689540
us_000469205,0.467958, 0.832779
us_000114621,0.467958, 0.833475
us_000460622,0.467958, 0.843450
us_000486285,0.467958, 0.861070
us_000468524,0.467958, 0.868399
us_000017523,0.467958, 0.869274
us_000558231,0.467958, 0.892977
us_000462102,0.467958, 0.903613
us_000470793,0.467958, 0.914978
us_000462382,0.467958, 0.915083
us_000462547,0.467958, 0.921077
us_000470786,0.467958, 0.934243
us_000478304,0.467958, 0.938549
us_000460184,0.467958, 0.957689
us_000464797,0.467958, 0.964129
us_000458890,0.467958, 0.967522
us_000472259,0.467958, 0.972497
us_000466883,0.467958, 0.982688
us_000464301,0.467958, 0.986226
us_000473483,0.467958, 0.997944
us_000458666,0.467958, 1.021758
us_000472564,0.467958, 1.026295
us_000462445,0.467958, 1.027378
us_000461640,0.467958, 1.029534
us_000507682,0.467958, 1.029770
us_000476307,0.467958, 1.032492
us_000464030,0.467958, 1.033851
us_000390577,0.467958, 1.035086
us_000459096,0.467958, 1.036185
us_000466211,0.467958, 1.036302
us_000474317,0.467958, 1.038433
us_000464021,0.467958, 1.040622
us_000474770,0.467958, 1.042996
us_000238702,0.467958, 1.044450
us_000460490,0.467958, 1.046036
us_000471164,0.467958, 1.048876
us_000479370,0.467958, 1.055303
us_000462177,0.467958, 1.056234
us_000217297,0.467958, 1.058353
us_000483061,0.467958, 1.060516
us_000461269,0.467958, 1.061197
us_000471458,0.467958, 1.061853
us_000484881,0.467958, 1.062925
us_000231774,0.467958, 1.069068
us_000489401,0.467958, 1.069587
us_000485428,0.467958, 1.070765
us_000470559,0.467958, 1.071271
us_000255267,0.467958, 1.071745
us_000478760,0.467958, 1.080381
us_000469076,0.467958, 1.080381
us_000434578,0.467958, 1.087021
us_000461593,0.467958, 1.088688
us_000459367,0.467958, 1.090794
us_000469447,0.467958, 1.093823
us_000206005,0.467958, 1.096078
us_000456257,0.467958, 1.099729
us_000467267,0.467958, 1.099882
us_000468386,0.467958, 1.099992
us_000041565,0.467958, 1.100639
us_000466982,0.467958, 1.103090
us_000468894,0.467958, 1.103328
us_000487935,0.467958, 1.105112
us_000010790,0.467958, 1.107438
us_000492628,0.467958, 1.109250
us_000486566,0.467958, 1.109571
us_000476549,0.467958, 1.116762
us_000476233,0.467958, 1.121883
us_000490437,0.467958, 1.124221
us_000470002,0.467958, 1.125500
us_000472378,0.467958, 1.125598
us_000478403,0.467958, 1.127493
us_000461602,0.467958, 1.127502
us_000470172,0.467958, 1.128096
us_000439009,0.467958, 1.129507
us_000581980,0.467958, 1.131101
us_000358672,0.467958, 1.132519
us_000466833,0.467958, 1.132588
us_000231161,0.467958, 1.136839
us_000339568,0.467958, 1.140044
us_000120382,0.467958, 1.142070
us_000229406,0.467958, 1.143547
us_000474697,0.467958, 1.143808
us_000449065,0.467958, 1.144482
us_000458701,0.467958, 1.147652
us_000479440,0.467958, 1.148170
us_000362179,0.467958, 1.149605
us_000477105,0.467958, 1.151798
us_000463354,0.467958, 1.154727
us_000459398,0.467958, 1.154792
us_000323991,0.467958, 1.154849
us_000480852,0.467958, 1.154863
us_000461204,0.467958, 1.155331
us_000461211,0.467958, 1.155626
us_000466524,0.467958, 1.156125
us_000480466,0.467958, 1.157565
us_000492793,0.467958, 1.158406
us_000475996,0.467958, 1.159883
us_000031926,0.467958, 1.163584
us_000465907,0.467958, 1.165491
us_000468505,0.467958, 1.166213
us_000466551,0.467958, 1.170449
us_000462767,0.467958, 1.171636
us_000488515,0.467958, 1.171636
us_000463104,0.467958, 1.174139
us_000487929,0.467958, 1.176138
us_000461201,0.467958, 1.188431
us_000490827,0.467958, 1.201392
us_000540135,0.467958, 1.323298
us_000407185,0.467958, 1.618640
us_000318670,0.408048, 0.155104
us_000478377,0.408048, 0.174036
us_000596561,0.408048, 0.194444
us_000513551,0.408048, 0.194611
us_000492655,0.408048, 0.200275
us_000466843,0.408048, 0.201352
us_000561326,0.408048, 0.208674
us_000467265,0.408048, 0.210749
us_000470766,0.408048, 0.214198
us_000485522,0.408048, 0.214214
us_000556624,0.408048, 0.215236
us_000242041,0.408048, 0.215708
us_000354034,0.408048, 0.217679
us_000461119,0.408048, 0.218899
us_000466310,0.408048, 0.218930
us_000491876,0.408048, 0.218972
us_000032476,0.408048, 0.219522
us_000501263,0.408048, 0.219983
us_000513578,0.408048, 0.220715
us_000469874,0.408048, 0.220842
us_000486976,0.408048, 0.222585
us_000489074,0.408048, 0.223333
us_000496662,0.408048, 0.224070
us_000485511,0.408048, 0.224794
us_000516646,0.408048, 0.225227
us_000195005,0.408048, 0.226906
us_000487719,0.408048, 0.226906
us_000500627,0.408048, 0.228546
us_000460496,0.408048, 0.229092
us_000467017,0.408048, 0.229397
us_000492567,0.408048, 0.230191
us_000359954,0.408048, 0.230622
us_000461775,0.408048, 0.231350
us_000500191,0.408048, 0.232319
us_000461827,0.408048, 0.232897
us_000471208,0.408048, 0.232897
us_000461140,0.408048, 0.232897
us_000140721,0.408048, 0.232897
us_000014584,0.408048, 0.233566
us_000349224,0.408048, 0.233683
us_000436400,0.408048, 0.233683
us_000312526,0.408048, 0.233683
us_000557118,0.408048, 0.234476
us_000460588,0.408048, 0.234476
us_000468626,0.408048, 0.234476
us_000493373,0.408048, 0.234476
us_000500424,0.408048, 0.234476
us_000314762,0.408048, 0.234736
us_000228793,0.408048, 0.236478
us_000304078,0.408048, 0.236478
us_000477243,0.408048, 0.236478
us_000471557,0.408048, 0.237253
us_000462144,0.408048, 0.237733
us_000462428,0.408048, 0.238578
us_000461646,0.408048, 0.238578
us_000477765,0.408048, 0.239410
us_000575522,0.408048, 0.239670
us_000466941,0.408048, 0.239873
us_000500579,0.408048, 0.240261
us_000551279,0.408048, 0.249510
us_000500527,0.408048, 0.250009
us_000503760,0.408048, 0.250086
us_000510326,0.408048, 0.250764
us_000480234,0.408048, 0.251756
us_000459873,0.408048, 0.269722
us_000536240,0.408048, 0.271234
us_000480544,0.408048, 0.301945
us_000470163,0.408048, 0.304176
us_000462668,0.366215, 0.069146
us_000402220,0.366215, 0.069952
us_000462709,0.366215, 0.092551
us_000122241,0.366215, 0.112916
us_000486690,0.366215, 0.115342
us_000486910,0.366215, 0.116556
us_000466652,0.366215, 0.117452
us_000120051,0.366215, 0.122299
us_000458672,0.366215, 0.126129
us_000478358,0.366215, 0.126274
us_000477136,0.366215, 0.127946
us_000263456,0.366215, 0.129608
us_000471072,0.366215, 0.129838
us_000587850,0.366215, 0.132087
us_000031921,0.366215, 0.132089
us_000342868,0.366215, 0.133485
us_000465443,0.366215, 0.133635
us_000032074,0.366215, 0.133699
us_000485645,0.366215, 0.134971
us_000481919,0.366215, 0.135013
us_000200317,0.366215, 0.136686
us_000487348,0.366215, 0.138114
us_000462847,0.366215, 0.138448
us_000478462,0.366215, 0.139239
us_000436020,0.366215, 0.140271
us_000323988,0.366215, 0.141249
us_000507106,0.366215, 0.141638
us_000573868,0.366215, 0.142262
us_000577299,0.366215, 0.142786
us_000296755,0.366215, 0.143005
us_000476673,0.366215, 0.144291
us_000472199,0.366215, 0.144498
us_000500944,0.366215, 0.145025
us_000255697,0.366215, 0.146684
us_000477135,0.366215, 0.147701
us_000525847,0.366215, 0.147735
us_000492890,0.366215, 0.149584
us_000462727,0.366215, 0.149983
us_000113192,0.366215, 0.150479
us_000465214,0.366215, 0.150525
us_000239426,0.366215, 0.150824
us_000491884,0.366215, 0.150962
us_000549658,0.366215, 0.151099
us_000459372,0.366215, 0.152633
us_000425360,0.366215, 0.153004
us_000498608,0.366215, 0.153269
us_000480074,0.366215, 0.153645
us_000484239,0.366215, 0.153670
us_000254672,0.366215, 0.153711
us_000479875,0.366215, 0.153788
us_000480610,0.366215, 0.154047
us_000594347,0.366215, 0.154131
us_000498768,0.366215, 0.155527
us_000190188,0.366215, 0.155994
us_000458995,0.366215, 0.156156
us_000501238,0.366215, 0.156187
us_000487000,0.366215, 0.156425
us_000480628,0.366215, 0.156484
us_000286672,0.366215, 0.156634
us_000476551,0.366215, 0.156659
us_000458643,0.366215, 0.156813
us_000597559,0.366215, 0.157240
us_000480629,0.366215, 0.157262
us_000485590,0.366215, 0.157446
us_000555854,0.366215, 0.157661
us_000495816,0.366215, 0.157685
us_000500790,0.366215, 0.157720
us_000475880,0.366215, 0.157779
us_000184523,0.366215, 0.157812
us_000104312,0.366215, 0.157812
us_000478969,0.366215, 0.158086
us_000514855,0.366215, 0.158086
us_000524438,0.366215, 0.158303
us_000480736,0.366215, 0.158813
us_000471328,0.366215, 0.159088
us_000581660,0.366215, 0.159802
us_000291677,0.366215, 0.160008
us_000481655,0.366215, 0.161765
us_000515793,0.366215, 0.162100
us_000549471,0.366215, 0.162392
us_000496513,0.366215, 0.162409
us_000478701,0.366215, 0.163025
us_000461738,0.366215, 0.163336
us_000477801,0.366215, 0.164197
us_000484893,0.366215, 0.165081
us_000266926,0.366215, 0.165434
us_000479795,0.366215, 0.165825
us_000474903,0.366215, 0.165837
us_000467857,0.366215, 0.165837
us_000492594,0.366215, 0.165837
us_000131184,0.366215, 0.166536
us_000549507,0.366215, 0.166648
us_000476120,0.366215, 0.166813
us_000485370,0.366215, 0.167120
us_000549292,0.366215, 0.167263
us_000489460,0.366215, 0.167375
us_000473493,0.366215, 0.167434
us_000492547,0.366215, 0.167594
us_000472107,0.366215, 0.167678
us_000484858,0.366215, 0.167741
us_000475523,0.366215, 0.167809
us_000485496,0.366215, 0.167921
us_000486511,0.366215, 0.168080
us_000540114,0.366215, 0.168221
us_000479862,0.366215, 0.168560
us_000483503,0.366215, 0.168635
us_000478688,0.366215, 0.168965
us_000479071,0.366215, 0.169055
us_000463543,0.366215, 0.169809
us_000483476,0.366215, 0.169809
us_000487656,0.366215, 0.169809
us_000466544,0.366215, 0.169809
us_000483049,0.366215, 0.169809
us_000171838,0.366215, 0.169809
us_000454600,0.366215, 0.169825
us_000486514,0.366215, 0.170071
us_000504223,0.366215, 0.170687
us_000555685,0.366215, 0.171919
us_000484716,0.366215, 0.172072
us_000589839,0.366215, 0.172146
us_000526026,0.366215, 0.172335
us_000486136,0.366215, 0.172444
us_000478432,0.366215, 0.172909
us_000460533,0.366215, 0.173690
us_000467404,0.366215, 0.174040
us_000552075,0.366215, 0.174492
us_000500882,0.366215, 0.174942
us_000492971,0.366215, 0.175235
us_000580791,0.366215, 0.175284
us_000480222,0.366215, 0.176284
us_000225696,0.366215, 0.176336
us_000496433,0.366215, 0.176429
us_000464221,0.366215, 0.176434
us_000464787,0.366215, 0.176523
us_000226899,0.366215, 0.176851
us_000580985,0.366215, 0.176950
us_000523290,0.366215, 0.177381
us_000558107,0.366215, 0.177535
us_000093694,0.366215, 0.178062
us_000465295,0.366215, 0.178179
us_000461863,0.366215, 0.178179
us_000487561,0.366215, 0.178179
us_000472595,0.366215, 0.178179
us_000575749,0.366215, 0.178298
us_000498944,0.366215, 0.178413
us_000557075,0.366215, 0.178793
us_000462543,0.366215, 0.179157
us_000466023,0.366215, 0.179221
us_000556734,0.366215, 0.179413
us_000477261,0.366215, 0.179431
us_000476956,0.366215, 0.179863
us_000476943,0.366215, 0.179863
us_000492760,0.366215, 0.179863
us_000587015,0.366215, 0.179863
us_000463577,0.366215, 0.179863
us_000471598,0.366215, 0.179863
us_000478199,0.366215, 0.179863
us_000472526,0.366215, 0.179863
us_000481704,0.366215, 0.179983
us_000460909,0.366215, 0.180042
us_000459836,0.366215, 0.180377
us_000489084,0.366215, 0.181072
us_000571737,0.366215, 0.181219
us_000478588,0.366215, 0.181576
us_000467505,0.366215, 0.181576
us_000471452,0.366215, 0.181576
us_000479680,0.366215, 0.181576
us_000499079,0.366215, 0.181576
us_000469850,0.366215, 0.181576
us_000487867,0.366215, 0.181576
us_000474674,0.366215, 0.181576
us_000489505,0.366215, 0.181576
us_000478830,0.366215, 0.181576
us_000486829,0.366215, 0.181576
us_000575498,0.366215, 0.181720
us_000503927,0.366215, 0.182183
us_000474407,0.366215, 0.182847
us_000481207,0.366215, 0.184790
us_000548492,0.366215, 0.184851
us_000516843,0.366215, 0.185072
us_000222221,0.366215, 0.185427
us_000550412,0.366215, 0.185450
us_000484707,0.366215, 0.186562
us_000515939,0.366215, 0.186564
us_000500665,0.366215, 0.186564
us_000536124,0.366215, 0.186564
us_000478961,0.366215, 0.186564
us_000573870,0.366215, 0.186595
us_000520694,0.366215, 0.186781
