Product ID : 2066 # of JPs covered : 1 : 126 : Products Liability, 
OID,Confidence at Map Node,Error at Map Node
us_000539316,0.758648, 0.116035
us_000459867,0.758648, 0.116035
us_000565004,0.758648, 0.116035
us_000541654,0.758648, 0.116035
us_000583892,0.758648, 0.116035
us_000527139,0.758648, 0.116035
us_000518648,0.758648, 0.116035
us_000584236,0.758648, 0.116035
us_000491829,0.751342, 0.115973
us_000471709,0.751342, 0.116076
us_000493628,0.751342, 0.118191
us_000505215,0.751342, 0.118191
us_000495802,0.751342, 0.118191
us_000493895,0.751342, 0.118191
us_000490044,0.751342, 0.118191
us_000491143,0.751342, 0.118191
us_000541164,0.751342, 0.118191
us_000523925,0.751342, 0.118191
us_000501409,0.751342, 0.118191
us_000506015,0.751342, 0.118191
us_000488901,0.751342, 0.118191
us_000496401,0.751342, 0.118191
us_000499107,0.751342, 0.118191
us_000583278,0.751342, 0.118191
us_000497339,0.751342, 0.118191
us_000491961,0.751342, 0.118191
us_000553608,0.751342, 0.118191
us_000541175,0.751342, 0.118191
us_000553263,0.751342, 0.118191
us_000553145,0.751342, 0.118191
us_000583828,0.751342, 0.118191
us_000553355,0.751342, 0.118191
us_000580962,0.751342, 0.118191
us_000551940,0.751342, 0.118191
us_000506479,0.751342, 0.118191
us_000521865,0.751342, 0.118191
us_000493368,0.751342, 0.118191
us_000523927,0.751342, 0.118191
us_000488247,0.751342, 0.118191
us_000496474,0.751342, 0.118191
us_000580087,0.751342, 0.118191
us_000504452,0.751342, 0.118191
us_000492576,0.751342, 0.118191
us_000496274,0.751342, 0.118191
us_000491211,0.751342, 0.118191
us_000574075,0.751342, 0.118191
us_000491238,0.751342, 0.118191
us_000564995,0.751342, 0.118191
us_000553768,0.751342, 0.118191
us_000579972,0.751342, 0.118191
us_000505411,0.751342, 0.118191
us_000537835,0.751342, 0.118191
us_000502691,0.751342, 0.118191
us_000552763,0.751342, 0.118191
us_000558686,0.751342, 0.118191
us_000574085,0.751342, 0.118191
us_000495983,0.751342, 0.118191
us_000523926,0.751342, 0.118191
us_000501481,0.751342, 0.118191
us_000553973,0.751342, 0.118191
us_000528852,0.751342, 0.118191
us_000494537,0.751342, 0.118191
us_000506045,0.751342, 0.118191
us_000553761,0.751342, 0.118191
us_000486657,0.751342, 0.118191
