Product ID : 7834 # of JPs covered : 1 : 433 : Personal Injury-Trial-Strategies, 
OID,Confidence at Map Node,Error at Map Node
pr_002003435,1.000000,0.000000
pr_001783221,1.000000,0.000000
pr_001888566,1.000000,0.000000
pr_001796006,1.000000,0.000000
pr_001806860,1.000000,0.000000
pr_001686293,1.000000,0.000000
pr_001940892,1.000000,0.000000
pr_001883719,1.000000,0.000000
pr_001788016,1.000000,0.000000
pr_001798849,1.000000,0.000000
pr_001090875,1.000000,0.000000
pr_000752352,1.000000,0.000000
pr_000808875,1.000000,0.000000
us_000524383,1.000000,0.000000
us_000532008,1.000000,0.000000
us_000532500,1.000000,0.000000
us_000532720,1.000000,0.000000
us_000618292,1.000000,0.000000
pr_000389485,1.000000,0.000000
pr_000362399,1.000000,0.000000
pr_001035210,1.000000,0.000000
pr_001035343,1.000000,0.000000
pr_001613410,1.000000,0.000000
pr_001034363,1.000000,0.000000
pr_000387393,1.000000,0.000000
pr_001622887,1.000000,0.000000
pr_001623503,1.000000,0.000000
pr_001680073,1.000000,0.000000
pr_001034598,1.000000,0.000000
pr_000644930,1.000000,0.000000
pr_001854161,1.000000,0.000000
pr_001623917,1.000000,0.000000
pr_001157041,1.000000,0.000000
pr_001611348,1.000000,0.000000
pr_001154714,1.000000,0.000000
pr_000366381,1.000000,0.000000
pr_000375997,1.000000,0.000000
pr_001613353,1.000000,0.000000
pr_001067317,1.000000,0.000000
pr_001621004,1.000000,0.000000
pr_001034273,1.000000,0.000000
pr_001623802,1.000000,0.000000
pr_001158119,1.000000,0.000000
pr_000570594,1.000000,0.000000
pr_001623738,1.000000,0.000000
pr_001156667,1.000000,0.000000
pr_000373417,1.000000,0.000000
pr_001034120,1.000000,0.000000
pr_001146474,1.000000,0.000000
pr_000773644,1.000000,0.000000
pr_000374599,1.000000,0.000000
us_000537070,1.000000,0.000000
us_000516719,1.000000,0.000001
us_000539895,1.000000,0.000001
us_000468619,1.000000,0.000001
us_000468270,1.000000,0.000001
us_000526761,1.000000,0.000002
us_000542616,1.000000,0.000002
us_000592099,1.000000,0.000002
pr_000373620,1.000000,0.000003
us_000557226,1.000000,0.000004
us_000506792,1.000000,0.000005
pr_001405941,1.000000,0.000007
pr_000667904,1.000000,0.000009
pr_001722079,1.000000,0.000009
pr_000991604,1.000000,0.000009
pr_000829350,1.000000,0.000009
pr_001827179,1.000000,0.000009
pr_000991006,1.000000,0.000009
pr_002082815,1.000000,0.000009
pr_000969525,1.000000,0.000009
pr_001405131,1.000000,0.000009
pr_000340955,1.000000,0.000009
pr_001727399,1.000000,0.000009
pr_001956758,1.000000,0.000009
pr_001832758,1.000000,0.000009
pr_001717803,1.000000,0.000009
pr_000283262,1.000000,0.000009
pr_001397565,1.000000,0.000009
pr_001943717,1.000000,0.000009
pr_000991366,1.000000,0.000009
pr_000896620,1.000000,0.000009
pr_000991680,1.000000,0.000009
pr_001728866,1.000000,0.000009
pr_000345215,1.000000,0.000009
pr_001109915,1.000000,0.000009
pr_000992264,1.000000,0.000009
pr_000660654,1.000000,0.000009
pr_001814603,1.000000,0.000009
pr_001408553,1.000000,0.000009
pr_000757074,1.000000,0.000009
pr_002145590,1.000000,0.000009
pr_002233286,1.000000,0.000009
pr_002164603,1.000000,0.000009
pr_001971249,1.000000,0.000009
pr_002229879,1.000000,0.000009
pr_002162429,1.000000,0.000009
pr_000983279,1.000000,0.000009
pr_001407136,1.000000,0.000009
pr_002164576,1.000000,0.000009
pr_001016450,1.000000,0.000009
pr_000818567,1.000000,0.000009
pr_000971274,1.000000,0.000009
pr_001943844,1.000000,0.000009
pr_000855899,1.000000,0.000009
pr_000987266,1.000000,0.000009
pr_000865800,1.000000,0.000009
pr_001408453,1.000000,0.000009
pr_001730138,1.000000,0.000009
pr_001833043,1.000000,0.000009
pr_001402708,1.000000,0.000009
pr_001607424,1.000000,0.000009
pr_001965773,1.000000,0.000009
pr_001823661,1.000000,0.000009
pr_001914763,1.000000,0.000009
pr_001927602,1.000000,0.000009
pr_000880003,1.000000,0.000009
pr_002235764,1.000000,0.000009
pr_001608229,1.000000,0.000009
pr_002137047,1.000000,0.000009
pr_002137364,1.000000,0.000009
pr_001403655,1.000000,0.000009
pr_002074752,1.000000,0.000009
pr_001626878,1.000000,0.000009
pr_000745774,1.000000,0.000009
pr_002164656,1.000000,0.000009
pr_000345692,1.000000,0.000009
pr_002161989,1.000000,0.000009
pr_001726808,1.000000,0.000009
pr_000874864,1.000000,0.000009
pr_000991928,1.000000,0.000009
pr_002136927,1.000000,0.000009
us_000552381,1.000000,0.000010
us_000512671,1.000000,0.000014
us_000535281,1.000000,0.000014
us_000468076,1.000000,0.000015
us_000558606,1.000000,0.000017
us_000464670,1.000000,0.000019
pr_000628823,1.000000,0.000025
pr_001146793,1.000000,0.000025
pr_000373100,1.000000,0.000025
pr_001054216,1.000000,0.000035
pr_001668348,1.000000,0.000036
pr_001681724,1.000000,0.000036
us_000131426,1.000000,0.000056
pr_000569826,1.000000,0.000058
pr_000568577,1.000000,0.000058
pr_000370079,1.000000,0.000058
pr_001691375,1.000000,0.000110
pr_001596209,1.000000,0.000123
pr_001592807,1.000000,0.000123
pr_001907338,1.000000,0.000123
pr_000832089,1.000000,0.000123
pr_002154586,1.000000,0.000123
pr_000872995,1.000000,0.000123
pr_001005020,1.000000,0.000123
pr_001841475,1.000000,0.000123
pr_000609905,1.000000,0.000123
pr_000277728,1.000000,0.000123
pr_001961717,1.000000,0.000123
pr_000171368,1.000000,0.000123
pr_001016220,1.000000,0.000123
pr_001725622,1.000000,0.000123
pr_002069473,1.000000,0.000123
pr_002053897,1.000000,0.000123
pr_002056655,1.000000,0.000123
pr_000549997,1.000000,0.000123
pr_000636615,1.000000,0.000123
