Product ID : 967 JPs covered : 79 : Corp Law, 
OID,Confidence at Map Node,Error at Map Node
us_000468508,1.000000, 0.009901
us_000468607,1.000000, 0.166777
us_000475939,1.000000, 0.331685
us_000545139,1.000000, 0.331685
us_000474826,1.000000, 0.375242
us_000469513,1.000000, 0.381684
us_000473992,1.000000, 0.388180
us_000440602,1.000000, 0.394732
us_000476387,1.000000, 0.394732
us_000474569,1.000000, 0.435191
us_000462276,1.000000, 0.442126
us_000465257,1.000000, 0.449116
us_000466218,1.000000, 0.449116
us_000466228,1.000000, 0.449116
us_000469526,1.000000, 0.449116
us_000474820,1.000000, 0.456161
us_000486713,1.000000, 0.456161
us_000469872,1.000000, 0.456161
us_000146473,1.000000, 0.463260
us_000490513,1.000000, 0.463260
us_000474404,1.000000, 0.463260
us_000469549,1.000000, 0.463260
us_000484906,1.000000, 0.463260
us_000469913,1.000000, 0.463260
us_000524849,1.000000, 0.463260
us_000461251,1.000000, 0.463260
us_000474908,1.000000, 0.463260
us_000487913,0.898997, 0.273486
us_000534833,0.898997, 0.301515
us_000478060,0.898997, 0.301515
us_000269734,0.898997, 0.301515
us_000482776,0.898997, 0.307285
us_000461163,0.898997, 0.307285
us_000050152,0.898997, 0.307285
us_000477763,0.898997, 0.307285
us_000463031,0.864599, 0.282572
us_000611267,0.864599, 0.284135
us_000490530,0.864599, 0.284135
us_000479454,0.864599, 0.284135
us_000611146,0.864599, 0.284135
us_000474630,0.864599, 0.284135
us_000462930,0.864599, 0.284135
us_000465888,0.864599, 0.284135
us_000482858,0.864599, 0.284135
us_000478216,0.864599, 0.284135
us_000460349,0.864599, 0.284135
us_000460582,0.864599, 0.284135
us_000473289,0.864599, 0.284135
us_000535562,0.864599, 0.284135
us_000460335,0.864599, 0.284135
us_000465695,0.864599, 0.284135
us_000026038,0.864599, 0.284135
us_000571491,0.780646, 0.406034
us_000589711,0.780646, 0.484886
us_000589733,0.780646, 0.484886
us_000469020,0.726141, 0.223316
us_000468335,0.726141, 0.223316
us_000479692,0.726141, 0.228292
us_000480119,0.726141, 0.228292
us_000482203,0.726141, 0.228292
us_000473901,0.726141, 0.228292
us_000482767,0.726141, 0.228292
us_000480076,0.726141, 0.228292
us_000481924,0.726141, 0.228292
us_000473895,0.726141, 0.228292
pr_000239771,0.677314, 0.000001
pr_000256207,0.677314, 0.000001
pr_000256573,0.677314, 0.000001
pr_000199592,0.677314, 0.000001
pr_000094804,0.677314, 0.000001
us_000493543,0.677314, 0.000002
us_000531295,0.677314, 0.000002
us_000569867,0.677314, 0.000002
us_000505447,0.677314, 0.000038
pr_000249237,0.677314, 0.000166
us_000518523,0.677314, 0.000392
us_000518828,0.677314, 0.001341
us_000598858,0.677314, 0.044749
us_000463870,0.633860, 0.192115
us_000468547,0.633860, 0.192115
us_000468573,0.633860, 0.192115
us_000524377,0.633860, 0.192115
us_000493785,0.633860, 0.192115
us_000464838,0.633860, 0.192115
us_000462334,0.633860, 0.192115
us_000463790,0.633860, 0.192115
us_000463518,0.633860, 0.196731
us_000484220,0.633860, 0.196731
us_000468143,0.633860, 0.196731
us_000478448,0.633860, 0.196731
us_000484190,0.633860, 0.196731
us_000487101,0.633860, 0.196731
us_000469307,0.633860, 0.196731
us_000464306,0.633860, 0.196731
us_000463517,0.633860, 0.196731
us_000481598,0.633860, 0.196731
us_000156858,0.633860, 0.196731
us_000465033,0.633860, 0.196731
us_000465787,0.633860, 0.196731
us_000478045,0.633860, 0.196731
us_000547024,0.616484, 0.000000
us_000497100,0.616484, 0.000000
us_000566152,0.616484, 0.000000
us_000525490,0.616484, 0.000000
us_000557641,0.616484, 0.000000
us_000506418,0.616484, 0.000000
us_000558888,0.616484, 0.000000
pr_001673419,0.616484, 0.000000
pr_001699464,0.616484, 0.000000
pr_000763681,0.616484, 0.000000
pr_001033794,0.616484, 0.000000
pr_000765310,0.616484, 0.000000
pr_000411504,0.616484, 0.000000
us_000558510,0.616484, 0.000002
pr_000762784,0.616484, 0.000003
us_000530380,0.616484, 0.000004
us_000569285,0.616484, 0.000004
us_000555251,0.616484, 0.000004
us_000515736,0.616484, 0.000004
pr_000857395,0.616484, 0.000014
us_000463286,0.616484, 0.000017
us_000463334,0.616484, 0.000017
us_000553617,0.616484, 0.000017
us_000560237,0.616484, 0.000022
us_000580273,0.616484, 0.000026
us_000543995,0.616484, 0.000027
us_000549015,0.616484, 0.000046
us_000581116,0.616484, 0.000051
us_000596978,0.616484, 0.000071
pr_000867146,0.616484, 0.000086
us_000593803,0.616484, 0.000100
us_000559389,0.616484, 0.000106
us_000612768,0.616484, 0.000119
us_000529376,0.616484, 0.000133
us_000596649,0.616484, 0.000159
pr_000763652,0.616484, 0.000174
us_000573033,0.616484, 0.000223
us_000569930,0.616484, 0.000266
us_000560054,0.616484, 0.000371
pr_000763261,0.616484, 0.000416
us_000555435,0.616484, 0.000548
us_000535745,0.616484, 0.001000
us_000550174,0.616484, 0.001095
us_000530886,0.616484, 0.001193
us_000607569,0.616484, 0.001670
us_000558185,0.616484, 0.002608
us_000479346,0.616484, 0.003334
us_000540804,0.616484, 0.003363
pr_000647859,0.616484, 0.003508
us_000550023,0.616484, 0.004081
us_000544525,0.616484, 0.014191
us_000473291,0.616484, 0.030113
us_000566157,0.616484, 0.218401
us_000567796,0.616484, 0.223306
us_000568089,0.616484, 0.389748
us_000567648,0.616484, 0.412663
us_000473832,0.616484, 0.479114
us_000568918,0.616484, 0.518324
us_000568725,0.616484, 0.525001
us_000479568,0.616484, 0.556071
us_000493472,0.616484, 0.573573
us_000473945,0.616484, 0.577865
us_000490831,0.616484, 0.632233
us_000488208,0.616484, 0.649577
us_000474869,0.616484, 0.688173
us_000492851,0.616484, 1.200209
us_000485194,0.616484, 1.226049
us_000476404,0.616484, 1.255759
us_000486688,0.614623, 0.194184
us_000534785,0.614623, 0.194184
us_000171536,0.614623, 0.194184
us_000480263,0.614623, 0.194184
us_000461158,0.614623, 0.194184
us_000462557,0.614623, 0.194184
us_000484859,0.614623, 0.194184
us_000486319,0.614623, 0.194184
us_000494639,0.614623, 0.194184
us_000242110,0.614623, 0.194184
us_000483202,0.614623, 0.194184
us_000384288,0.614623, 0.194184
us_000466475,0.614623, 0.194184
us_000480409,0.614623, 0.194184
us_000524421,0.614623, 0.194184
us_000482004,0.614623, 0.194184
us_000478288,0.614623, 0.194184
us_000461692,0.614623, 0.194184
us_000473489,0.614623, 0.194184
us_000484830,0.614623, 0.194184
us_000461584,0.614623, 0.194184
us_000469875,0.614623, 0.194184
us_000462559,0.614623, 0.194184
us_000468008,0.614623, 0.194184
us_000483785,0.614623, 0.194184
us_000468058,0.614623, 0.194184
us_000468495,0.614623, 0.194184
us_000484880,0.614623, 0.194184
us_000482794,0.614623, 0.194184
pr_000574235,0.598022, 0.000000
pr_001663147,0.598022, 0.000000
pr_000701582,0.598022, 0.000000
pr_000425201,0.598022, 0.000000
pr_000693482,0.598022, 0.000000
pr_001031864,0.598022, 0.000001
pr_001065938,0.598022, 0.000006
pr_000164845,0.598022, 0.000023
pr_001660075,0.598022, 0.000206
pr_000295958,0.598022, 0.000558
pr_000312184,0.598022, 0.000635
pr_000382377,0.598022, 0.000740
us_000575616,0.598022, 0.003026
us_000597882,0.598022, 0.011954
us_000478634,0.598022, 0.021508
us_000461162,0.582504, 0.185516
us_000486666,0.582504, 0.186715
us_000494652,0.582504, 0.186715
us_000481267,0.582504, 0.186715
us_000476115,0.582504, 0.186715
us_000466142,0.582504, 0.186715
us_000493824,0.582504, 0.186715
us_000475921,0.582504, 0.186715
us_000461768,0.582504, 0.186715
us_000282720,0.582504, 0.186715
us_000469368,0.582504, 0.186715
us_000473526,0.582504, 0.186715
us_000484067,0.582504, 0.186715
us_000487679,0.582504, 0.186715
us_000478390,0.582504, 0.186715
us_000231644,0.582504, 0.186715
us_000558341,0.582504, 0.186715
us_000545065,0.582504, 0.186715
us_000289647,0.582504, 0.186715
us_000215116,0.582504, 0.186715
us_000489866,0.582504, 0.186715
us_000475436,0.582504, 0.186715
us_000461860,0.582504, 0.186715
us_000486776,0.582504, 0.186715
us_000474276,0.582504, 0.186715
us_000475455,0.582504, 0.186715
us_000545048,0.582504, 0.186715
us_000572263,0.582504, 0.186715
us_000483117,0.582504, 0.186715
us_000465362,0.582504, 0.186715
us_000545056,0.582504, 0.186715
us_000545274,0.582504, 0.186715
us_000474490,0.582504, 0.186715
us_000484944,0.582504, 0.186715
us_000486851,0.582504, 0.186715
us_000545064,0.582504, 0.186715
us_000486371,0.582504, 0.186715
us_000482095,0.582504, 0.186715
us_000545069,0.582504, 0.186715
us_000615789,0.582504, 0.186715
us_000545361,0.582504, 0.186715
us_000480280,0.582504, 0.186715
us_000545072,0.582504, 0.186715
us_000545271,0.582504, 0.186715
us_000545074,0.582504, 0.186715
us_000474382,0.582504, 0.186715
us_000480372,0.582504, 0.186715
