Product ID : 7842 # of JPs covered : 1 : 435 : Tax Prep-Pass-Through-Planning, 
OID,Confidence at Map Node,Error at Map Node
pr_001390127,1.000000,0.000000
pr_001682156,1.000000,0.000000
us_000503769,1.000000,0.000000
pr_001413072,1.000000,0.000001
pr_000747141,1.000000,0.000005
pr_000092087,1.000000,0.000007
pr_001689428,1.000000,0.000048
pr_000858982,1.000000,0.000048
pr_001036304,1.000000,0.000192
pr_000115449,1.000000,0.000337
pr_000308042,1.000000,0.002641
us_000597653,1.000000,1.041930
us_000561303,1.000000,1.415051
us_000561196,1.000000,2.205095
us_000574330,1.000000,2.297670
us_000531294,1.000000,2.465563
us_000565560,1.000000,2.667526
us_000597708,1.000000,2.764997
pr_001063720,0.980533,0.000000
pr_001222506,0.980533,0.000000
pr_000601959,0.980533,0.000000
pr_001540761,0.980533,0.000000
pr_000340038,0.980533,0.000000
pr_002123718,0.980533,0.000000
pr_000836860,0.980533,0.000000
pr_001061080,0.980533,0.000000
pr_001392533,0.980533,0.000000
pr_001064147,0.980533,0.000000
us_000554888,0.980533,0.000001
us_000566550,0.980533,0.000001
us_000526424,0.980533,0.000001
us_000581454,0.980533,0.000001
us_000557209,0.980533,0.000001
us_000605516,0.980533,0.000001
pr_000692181,0.980533,0.000005
pr_000626818,0.980533,0.000005
pr_000701428,0.980533,0.000005
us_000559177,0.980533,0.000006
us_000557501,0.980533,0.000006
us_000537941,0.980533,0.000006
us_000601278,0.980533,0.000006
us_000611587,0.980533,0.000006
us_000558409,0.980533,0.000006
us_000543440,0.980533,0.000006
us_000515855,0.980533,0.000006
us_000570701,0.980533,0.000006
us_000546627,0.980533,0.000006
us_000538048,0.980533,0.000006
us_000606733,0.980533,0.000006
pr_000519972,0.980533,0.000008
us_000571819,0.980533,0.000015
us_000614215,0.980533,0.000015
us_000562890,0.980533,0.000015
us_000520342,0.980533,0.000015
us_000569532,0.980533,0.000015
us_000572311,0.980533,0.000015
us_000522942,0.980533,0.000015
us_000560086,0.980533,0.000015
us_000521926,0.980533,0.000015
us_000569879,0.980533,0.000015
us_000606839,0.980533,0.000015
us_000515520,0.980533,0.000019
us_000537695,0.980533,0.000019
us_000530306,0.980533,0.000019
us_000523661,0.980533,0.000025
us_000542600,0.980533,0.000035
us_000521917,0.980533,0.000047
pr_001089714,0.980533,0.000223
pr_000652914,0.980533,0.000575
us_000555644,0.980533,0.001011
us_000539705,0.980533,0.001393
us_000147737,0.980533,0.001558
us_000526395,0.980533,0.002201
us_000605154,0.980533,0.002206
us_000527597,0.980533,0.002363
pr_001374356,0.980533,0.003139
us_000595053,0.980533,0.003862
us_000545690,0.980533,0.006056
pr_001508922,0.980533,0.015492
us_000521744,0.980533,0.016443
us_000527925,0.980533,0.016972
us_000612408,0.980533,0.017225
us_000565921,0.980533,0.018492
pr_001285178,0.980533,0.019740
us_000572342,0.980533,0.019801
us_000540304,0.980533,0.019910
us_000552777,0.980533,0.022259
us_000542194,0.980533,0.025467
