Product ID : 894 JPs covered : 186 : Acct-Tax, 
OID,Confidence at Map Node,Error at Map Node
us_000019407,0.842419, 0.856574
us_000460007,0.842419, 0.863810
us_000471944,0.842419, 0.867745
us_000471822,0.842419, 0.871607
us_000454538,0.842419, 0.878101
us_000473005,0.842419, 0.899799
us_000515890,0.842419, 0.904435
us_000463527,0.842419, 0.904988
us_000397468,0.842419, 0.905459
us_000486041,0.842419, 0.905901
us_000473645,0.842419, 0.908485
us_000478291,0.842419, 0.910125
us_000480077,0.842419, 0.913068
us_000516548,0.842419, 0.917211
us_000478286,0.842419, 0.919191
us_000510605,0.842419, 0.920709
us_000465516,0.842419, 0.921148
us_000478919,0.842419, 0.923399
us_000474403,0.842419, 0.928063
us_000492377,0.842419, 0.930348
us_000504787,0.842419, 0.932822
us_000482353,0.842419, 0.940658
us_000471776,0.842419, 0.942244
us_000470734,0.842419, 0.942599
us_000467833,0.842419, 0.947289
us_000474160,0.842419, 1.389878
us_000475107,0.781350, 0.081527
us_000537869,0.781350, 0.216617
us_000473816,0.781350, 0.236939
us_000396870,0.781350, 0.256659
us_000476087,0.781350, 0.267545
us_000464824,0.781350, 0.284530
us_000242989,0.781350, 0.293667
us_000558414,0.781350, 0.296082
us_000460975,0.781350, 0.296744
us_000464043,0.781350, 0.296744
us_000465156,0.781350, 0.296744
us_000468066,0.781350, 0.297106
us_000017262,0.781350, 0.299634
us_000471223,0.781350, 0.324056
us_000469146,0.781350, 0.328417
us_000463203,0.781350, 0.328417
us_000489009,0.781350, 0.328417
us_000478024,0.781350, 0.328417
us_000464672,0.781350, 0.331073
us_000538241,0.781350, 0.341604
us_000464618,0.781350, 0.347547
us_000328809,0.781350, 0.348199
us_000470851,0.781350, 0.348199
us_000461237,0.781350, 0.354924
us_000482386,0.781350, 0.354924
us_000354752,0.781350, 0.354924
us_000480378,0.781350, 0.354924
us_000482351,0.781350, 0.354924
us_000465522,0.781350, 0.357648
us_000458646,0.781350, 0.358310
us_000478545,0.781350, 0.358310
us_000479415,0.781350, 0.358310
us_000471422,0.781350, 0.358310
us_000464894,0.781350, 0.358310
us_000358428,0.781350, 0.361713
us_000464458,0.781350, 0.361713
us_000474304,0.781350, 0.361713
us_000465664,0.781350, 0.361713
us_000459392,0.781350, 0.361713
us_000465183,0.781350, 0.361713
us_000492473,0.781350, 0.361713
us_000492651,0.781350, 0.361713
us_000483582,0.781350, 0.361713
us_000464009,0.781350, 0.361713
us_000489188,0.781350, 0.361713
us_000464505,0.781350, 0.361713
us_000464016,0.781350, 0.361713
us_000469666,0.781350, 0.361713
us_000465286,0.781350, 0.361713
us_000465216,0.781350, 0.361713
us_000464074,0.781350, 0.361713
us_000187141,0.781350, 0.361713
us_000592001,0.781350, 0.362703
us_000466877,0.781350, 0.366527
us_000458716,0.781350, 0.368567
us_000475747,0.781350, 0.368567
us_000475722,0.781350, 0.368567
us_000506632,0.781350, 0.369338
us_000471101,0.781350, 0.372018
us_000466290,0.781350, 0.374187
us_000470718,0.781350, 0.382469
us_000482677,0.781350, 0.382469
us_000461012,0.781350, 0.385986
us_000492335,0.781350, 0.385986
us_000469684,0.781350, 0.389518
us_000490894,0.781350, 0.389518
us_000465446,0.781350, 0.389518
us_000475148,0.781350, 0.391355
us_000465562,0.781350, 0.391761
us_000471144,0.781350, 0.391761
us_000482029,0.781350, 0.392591
us_000470834,0.781350, 0.393067
us_000466467,0.781350, 0.393067
us_000465366,0.781350, 0.393067
us_000466938,0.781350, 0.393067
us_000470752,0.781350, 0.393067
us_000472502,0.781350, 0.393067
us_000476953,0.781350, 0.393067
us_000549009,0.781350, 0.396490
us_000464068,0.781350, 0.396632
us_000483397,0.781350, 0.396632
us_000466793,0.781350, 0.396632
us_000476780,0.781350, 0.396632
us_000483733,0.781350, 0.396632
us_000492382,0.781350, 0.396632
us_000469137,0.781350, 0.396632
us_000490071,0.781350, 0.396632
us_000467436,0.781350, 0.396632
us_000462553,0.781350, 0.396632
us_000479787,0.781350, 0.396632
us_000465163,0.781350, 0.396632
us_000467492,0.781350, 0.397481
us_000470165,0.781350, 0.397622
us_000460150,0.781350, 0.400713
us_000475742,0.781350, 0.403810
us_000473377,0.781350, 0.403810
