Product ID : 1036 JPs covered : 198 : Corporate Finance, 
pr_001780997,0.950079, 0.000000
pr_001787742,0.950079, 0.000000
pr_001788807,0.950079, 0.000000
pr_001775158,0.950079, 0.000000
pr_002041730,0.950079, 0.000000
pr_001789345,0.950079, 0.000000
pr_001893310,0.950079, 0.000000
pr_002014622,0.950079, 0.000000
pr_001807085,0.950079, 0.000000
pr_001801550,0.950079, 0.000000
pr_001855520,0.950079, 0.000000
pr_001790182,0.950079, 0.000000
pr_002038214,0.950079, 0.000000
pr_001888505,0.950079, 0.000000
pr_001792214,0.950079, 0.000000
pr_001888259,0.950079, 0.000000
pr_001784218,0.950079, 0.000000
pr_001723260,0.950079, 0.000000
pr_001887259,0.950079, 0.000000
pr_002046060,0.950079, 0.000000
pr_002045508,0.950079, 0.000000
pr_001853070,0.950079, 0.000000
pr_002027453,0.950079, 0.000000
pr_002015461,0.950079, 0.000000
pr_001782314,0.950079, 0.000000
pr_001776950,0.950079, 0.000000
pr_002039158,0.950079, 0.000000
pr_001800718,0.950079, 0.000000
pr_001887074,0.950079, 0.000000
pr_001893720,0.950079, 0.000000
pr_001778720,0.950079, 0.000000
pr_002044527,0.950079, 0.000000
pr_001778244,0.950079, 0.000000
pr_001939377,0.950079, 0.000000
pr_001808991,0.950079, 0.000000
pr_001801516,0.950079, 0.000000
pr_001888383,0.950079, 0.000000
pr_001887909,0.950079, 0.000000
pr_001807756,0.950079, 0.000000
pr_001886976,0.950079, 0.000000
pr_001851210,0.950079, 0.000000
pr_002036846,0.950079, 0.000000
pr_001942498,0.950079, 0.000000
pr_001939003,0.950079, 0.000000
pr_001785022,0.950079, 0.000000
pr_001806660,0.950079, 0.000000
pr_001789866,0.950079, 0.000000
pr_001939951,0.950079, 0.000000
pr_001789882,0.950079, 0.000000
pr_001883045,0.950079, 0.000000
pr_001940739,0.950079, 0.000000
pr_001808080,0.950079, 0.000000
pr_001804044,0.950079, 0.000000
pr_001894852,0.950079, 0.000000
pr_002046720,0.950079, 0.000000
pr_000321042,0.950079, 0.000000
pr_001669504,0.950079, 0.000000
pr_000100881,0.950079, 0.000000
pr_000416456,0.950079, 0.000000
pr_000217600,0.950079, 0.000000
pr_000889566,0.950079, 0.000000
pr_001095196,0.950079, 0.000000
pr_000940023,0.950079, 0.000000
pr_000019526,0.950079, 0.000000
pr_001025461,0.950079, 0.000000
pr_001899472,0.950079, 0.000000
pr_002159986,0.950079, 0.000000
pr_000311069,0.950079, 0.000000
pr_002169387,0.950079, 0.000000
pr_001902389,0.950079, 0.000000
pr_002195202,0.950079, 0.000000
pr_001667457,0.950079, 0.000000
pr_002056314,0.950079, 0.000000
pr_000962802,0.950079, 0.000000
pr_000833285,0.950079, 0.000000
pr_000084796,0.950079, 0.000000
pr_000742101,0.950079, 0.000000
pr_000995430,0.950079, 0.000000
pr_002159674,0.950079, 0.000000
pr_001691496,0.950079, 0.000000
pr_000787486,0.950079, 0.000000
pr_002067179,0.950079, 0.000000
pr_001927824,0.950079, 0.000000
pr_000980070,0.950079, 0.000000
pr_000624374,0.950079, 0.000000
pr_001015676,0.950079, 0.000000
pr_000802855,0.950079, 0.000000
pr_001739022,0.950079, 0.000000
pr_001955073,0.950079, 0.000000
pr_002082631,0.950079, 0.000000
pr_001906052,0.950079, 0.000000
pr_000418004,0.950079, 0.000000
pr_001950046,0.950079, 0.000000
pr_002155532,0.950079, 0.000000
pr_001093925,0.950079, 0.000000
pr_001981636,0.950079, 0.000000
pr_001735013,0.950079, 0.000000
pr_002160037,0.950079, 0.000000
pr_000013887,0.950079, 0.000000
pr_001911149,0.950079, 0.000000
pr_000997378,0.950079, 0.000000
pr_000426594,0.950079, 0.000000
pr_002161109,0.950079, 0.000000
pr_001898355,0.950079, 0.000000
pr_001935962,0.950079, 0.000000
pr_001719205,0.950079, 0.000000
pr_002192204,0.950079, 0.000000
pr_001096969,0.950079, 0.000000
pr_000024315,0.950079, 0.000000
pr_001983418,0.950079, 0.000000
pr_000419929,0.950079, 0.000000
pr_000426131,0.950079, 0.000000
pr_001907687,0.950079, 0.000000
pr_000740839,0.950079, 0.000000
pr_000107153,0.950079, 0.000000
pr_000312107,0.950079, 0.000000
pr_001602856,0.950079, 0.000000
pr_001075554,0.950079, 0.000000
pr_002079977,0.950079, 0.000000
pr_002159957,0.950079, 0.000000
pr_000227784,0.950079, 0.000000
pr_001417964,0.950079, 0.000000
pr_001949354,0.950079, 0.000000
pr_002072168,0.950079, 0.000000
pr_000741488,0.950079, 0.000000
pr_001764356,0.950079, 0.000000
pr_001967259,0.950079, 0.000000
pr_000783849,0.950079, 0.000000
pr_001870854,0.950079, 0.000000
us_000520972,0.950079, 0.000000
us_000493215,0.950079, 0.000001
us_000481566,0.950079, 0.000001
pr_000400779,0.950079, 0.000001
pr_000740472,0.950079, 0.000001
pr_001781451,0.950079, 0.000002
pr_001782739,0.950079, 0.000002
pr_001014403,0.950079, 0.000006
pr_000012178,0.950079, 0.000006
pr_000082908,0.950079, 0.000011
pr_000567537,0.950079, 0.000015
pr_000964904,0.950079, 0.000033
us_000608112,0.950079, 0.000170
us_000606342,0.950079, 0.000194
us_000600360,0.950079, 0.000351
us_000571677,0.950079, 0.000408
us_000466616,0.950079, 0.012021
us_000518119,0.950079, 2.640129
us_000533917,0.950079, 2.854441
us_000260693,0.950079, 3.157577
us_000574580,0.950079, 3.366055
us_000534001,0.950079, 3.397267
us_000567566,0.950079, 3.476426
us_000524059,0.950079, 3.486218
us_000518065,0.950079, 3.494004
us_000524097,0.950079, 3.501140
us_000504096,0.950079, 3.572701
us_000496476,0.950079, 3.581113
us_000534125,0.950079, 3.585050
us_000546909,0.950079, 3.615952
us_000462223,0.950079, 3.623647
us_000534042,0.950079, 3.653504
us_000462225,0.950079, 3.668966
us_000141464,0.950079, 3.672641
us_000593911,0.950079, 3.775726
us_000506964,0.950079, 3.966600
us_000574935,0.950079, 4.106942
pr_001130253,0.916950, 0.000000
pr_001128564,0.916950, 0.000000
pr_001129814,0.916950, 0.000000
pr_001128467,0.916950, 0.000000
pr_001126350,0.916950, 0.000000
pr_001126527,0.916950, 0.000000
pr_001401058,0.916950, 0.000000
pr_001014452,0.916950, 0.000000
pr_001128274,0.916950, 0.000000
pr_000979316,0.916950, 0.000000
pr_001130343,0.916950, 0.000000
pr_000979388,0.916950, 0.000000
pr_000553631,0.916950, 0.000000
us_000558652,0.916950, 0.000000
us_000542920,0.916950, 0.000000
us_000553651,0.916950, 0.000000
pr_001612512,0.916950, 0.000000
pr_000689893,0.916950, 0.000000
pr_001661875,0.916950, 0.000003
pr_000733337,0.916950, 0.000003
pr_000626543,0.916950, 0.000003
pr_001682170,0.916950, 0.000003
pr_001056907,0.916950, 0.000003
pr_001008637,0.916950, 0.000004
pr_002095344,0.916950, 0.000004
us_000537309,0.916950, 0.000006
pr_000526777,0.916950, 0.000007
pr_001013248,0.916950, 0.000007
pr_001033568,0.916950, 0.000012
pr_000847702,0.916950, 0.000015
pr_002062722,0.916950, 0.000019
pr_001999429,0.916950, 0.000020
pr_000633068,0.916950, 0.000026
us_000597549,0.916950, 0.000044
us_000551173,0.916950, 0.000098
us_000542916,0.916950, 0.000543
us_000476765,0.916950, 0.000860
us_000546502,0.916950, 0.001415
us_000594803,0.916950, 0.002058
us_000483853,0.916950, 0.003330
us_000478803,0.916950, 0.016506
us_000545942,0.916950, 0.032574
us_000537082,0.916950, 0.038749
us_000497706,0.916950, 0.065039
us_000531618,0.916950, 4.458370
us_000491042,0.916950, 4.718196
us_000305409,0.901109, 0.000000
us_000522179,0.901109, 0.000000
us_000478414,0.901109, 0.000000
us_000519134,0.901109, 0.000000
us_000540444,0.901109, 0.000000
us_000519974,0.901109, 0.000000
us_000567582,0.901109, 0.000000
us_000523258,0.901109, 0.000001
us_000564050,0.901109, 0.000008
us_000530426,0.901109, 0.000011
us_000586402,0.901109, 0.000012
us_000491525,0.901109, 0.000348
us_000562178,0.901109, 0.001234
us_000542750,0.828164, 0.000000
us_000565681,0.828164, 0.000000
us_000528739,0.828164, 0.000000
pr_000420566,0.828164, 0.000000
us_000501913,0.828164, 0.000000
us_000550260,0.828164, 0.000000
us_000466009,0.828164, 0.000000
us_000489486,0.828164, 0.000000
pr_000938572,0.828164, 0.000000
us_000589529,0.828164, 0.000001
pr_000427914,0.828164, 0.000001
pr_000448576,0.828164, 0.000001
pr_000419005,0.828164, 0.000001
pr_000787365,0.828164, 0.000001
pr_000586759,0.828164, 0.000002
pr_000018436,0.828164, 0.000002
us_000474481,0.828164, 0.000003
pr_000588158,0.828164, 0.000003
us_000551971,0.828164, 0.000004
pr_000083349,0.828164, 0.000006
pr_000895474,0.828164, 0.000006
pr_000731922,0.828164, 0.000006
pr_000823640,0.828164, 0.000006
pr_000887621,0.828164, 0.000006
pr_000863533,0.828164, 0.000006
pr_001037123,0.828164, 0.000006
pr_000979111,0.828164, 0.000006
pr_002190567,0.828164, 0.000006
pr_000990121,0.828164, 0.000006
pr_000725633,0.828164, 0.000006
pr_001723258,0.828164, 0.000006
pr_000729868,0.828164, 0.000006
pr_000850003,0.828164, 0.000006
pr_000736763,0.828164, 0.000006
pr_000668727,0.828164, 0.000006
pr_001397434,0.828164, 0.000006
pr_000844399,0.828164, 0.000006
pr_001826522,0.828164, 0.000006
pr_000995488,0.828164, 0.000006
pr_000707098,0.828164, 0.000006
pr_000977622,0.828164, 0.000006
pr_000823576,0.828164, 0.000006
pr_000843091,0.828164, 0.000006
pr_000706852,0.828164, 0.000006
pr_002213544,0.828164, 0.000006
pr_000695599,0.828164, 0.000006
pr_000690558,0.828164, 0.000006
pr_000584981,0.828164, 0.000006
pr_001735668,0.828164, 0.000006
pr_000854761,0.828164, 0.000006
pr_000445991,0.828164, 0.000006
pr_000707549,0.828164, 0.000006
pr_002133050,0.828164, 0.000006
pr_001768136,0.828164, 0.000006
pr_000496433,0.828164, 0.000006
pr_000653725,0.828164, 0.000007
pr_000726267,0.828164, 0.000007
pr_001659033,0.828164, 0.000008
pr_000653944,0.828164, 0.000009
us_000471038,0.828164, 0.000011
pr_000995077,0.828164, 0.000013
pr_000443375,0.828164, 0.000013
us_000531754,0.828164, 0.000013
pr_000416065,0.828164, 0.000015
pr_000323234,0.828164, 0.000015
us_000470134,0.828164, 0.000020
us_000616757,0.828164, 0.000022
us_000613807,0.828164, 0.000022
us_000588310,0.828164, 0.000022
us_000616746,0.828164, 0.000022
us_000591200,0.828164, 0.000022
us_000614082,0.828164, 0.000022
us_000578427,0.828164, 0.000022
us_000573556,0.828164, 0.000022
pr_001913795,0.828164, 0.000022
pr_000004851,0.828164, 0.000027
pr_000440160,0.828164, 0.000032
pr_000159256,0.828164, 0.000032
pr_000440433,0.828164, 0.000032
pr_000308158,0.828164, 0.000032
pr_000907820,0.828164, 0.000035
pr_001659278,0.828164, 0.000037
pr_001807462,0.828164, 0.000038
pr_001940965,0.828164, 0.000038
us_000613205,0.828164, 0.000042
us_000613444,0.828164, 0.000042
us_000293188,0.828164, 0.000049
us_000527014,0.828164, 0.000063
pr_000668099,0.828164, 0.000063
pr_000664342,0.828164, 0.000076
pr_002145620,0.828164, 0.000076
pr_001926527,0.828164, 0.000076
pr_001007869,0.828164, 0.000076
pr_000829832,0.828164, 0.000076
pr_001014782,0.828164, 0.000078
pr_000735769,0.828164, 0.000078
pr_001020107,0.828164, 0.000081
us_000604513,0.828164, 0.000085
pr_001982513,0.828164, 0.000092
us_000576466,0.828164, 0.000095
us_000576467,0.828164, 0.000095
us_000527704,0.828164, 0.000131
us_000566659,0.828164, 0.000131
us_000478607,0.828164, 0.000138
pr_000260145,0.828164, 0.000146
us_000477088,0.828164, 0.000168
pr_000709150,0.828164, 0.000201
pr_000953170,0.828164, 0.000253
pr_000990719,0.828164, 0.000276
pr_001905643,0.828164, 0.000291
pr_001819578,0.828164, 0.000291
pr_002164897,0.828164, 0.000291
pr_001910062,0.828164, 0.000291
us_000524768,0.828164, 0.000310
pr_000567740,0.828164, 0.000331
pr_000428022,0.828164, 0.000434
pr_000983438,0.828164, 0.000450
us_000496163,0.828164, 0.000505
us_000565522,0.828164, 2.197837
us_000498034,0.828164, 2.230567
us_000498032,0.828164, 2.344376
us_000561709,0.820090, 0.000000
pr_000891354,0.820090, 0.000000
pr_000288851,0.820090, 0.000000
pr_000790923,0.820090, 0.000000
pr_000894498,0.820090, 0.000001
us_000531889,0.820090, 0.000001
us_000492346,0.820090, 0.000001
us_000502071,0.820090, 0.000001
us_000562431,0.820090, 0.000001
pr_001728901,0.820090, 0.000002
us_000538334,0.820090, 0.000006
pr_000890222,0.820090, 0.000006
pr_000904459,0.820090, 0.000006
us_000588932,0.820090, 0.000008
us_000470712,0.820090, 0.000008
us_000474089,0.820090, 0.000008
us_000365962,0.820090, 0.000008
us_000460458,0.820090, 0.000008
us_000465330,0.820090, 0.000008
us_000471845,0.820090, 0.000008
us_000460766,0.820090, 0.000008
us_000490448,0.820090, 0.000008
us_000486045,0.820090, 0.000008
us_000469939,0.820090, 0.000008
us_000584165,0.820090, 0.000008
us_000549627,0.820090, 0.000022
pr_000606227,0.820090, 0.000025
us_000471814,0.820090, 0.000060
pr_000279563,0.820090, 0.000100
us_000462353,0.820090, 0.000105
pr_000951097,0.820090, 0.000174
pr_002077593,0.820090, 0.000174
pr_000806306,0.820090, 0.000301
us_000493702,0.820090, 0.003710
us_000602365,0.820090, 0.053765
us_000322805,0.820090, 0.223181
pr_002026641,0.776744, 0.000000
pr_000813029,0.776744, 0.000000
pr_001058312,0.776744, 0.000000
pr_000949088,0.776744, 0.000000
pr_000894551,0.776744, 0.000000
pr_001029459,0.776744, 0.000000
pr_001098365,0.776744, 0.000000
pr_000895276,0.776744, 0.000000
pr_000986052,0.776744, 0.000000
pr_001051126,0.776744, 0.000000
pr_000813058,0.776744, 0.000000
pr_001051539,0.776744, 0.000000
pr_001027840,0.776744, 0.000000
pr_000978986,0.776744, 0.000000
pr_000727175,0.776744, 0.000000
pr_000531162,0.776744, 0.000000
pr_000706736,0.776744, 0.000000
pr_000894446,0.776744, 0.000000
pr_000288004,0.776744, 0.000000
pr_000759569,0.776744, 0.000000
pr_000893697,0.776744, 0.000000
pr_001041066,0.776744, 0.000000
pr_001039738,0.776744, 0.000000
pr_001062802,0.776744, 0.000000
pr_000789561,0.776744, 0.000000
pr_000982576,0.776744, 0.000000
pr_000893453,0.776744, 0.000000
pr_001075671,0.776744, 0.000000
pr_000434156,0.776744, 0.000000
pr_000989885,0.776744, 0.000000
pr_001041214,0.776744, 0.000000
pr_001040764,0.776744, 0.000000
pr_001049237,0.776744, 0.000000
pr_000704013,0.776744, 0.000000
pr_000759124,0.776744, 0.000000
pr_000941781,0.776744, 0.000000
pr_000758201,0.776744, 0.000000
pr_001052454,0.776744, 0.000000
pr_001051924,0.776744, 0.000000
pr_001103448,0.776744, 0.000000
pr_001040644,0.776744, 0.000000
pr_000607320,0.776744, 0.000000
pr_001027332,0.776744, 0.000000
pr_000932806,0.776744, 0.000000
pr_000875283,0.776744, 0.000000
pr_001049147,0.776744, 0.000000
pr_000545366,0.776744, 0.000000
pr_000657634,0.776744, 0.000000
pr_000610218,0.776744, 0.000000
pr_000290480,0.776744, 0.000000
pr_001073919,0.776744, 0.000000
pr_001046568,0.776744, 0.000000
pr_000927280,0.776744, 0.000000
pr_001057683,0.776744, 0.000000
pr_000732117,0.776744, 0.000000
pr_001092420,0.776744, 0.000000
pr_001103615,0.776744, 0.000000
pr_001027493,0.776744, 0.000000
pr_001039913,0.776744, 0.000000
pr_001047873,0.776744, 0.000000
pr_000976557,0.776744, 0.000000
pr_001102711,0.776744, 0.000000
pr_001026771,0.776744, 0.000000
pr_001078722,0.776744, 0.000000
pr_000579047,0.776744, 0.000000
pr_001039906,0.776744, 0.000000
pr_001058318,0.776744, 0.000000
pr_001100671,0.776744, 0.000000
pr_001039793,0.776744, 0.000000
pr_001027775,0.776744, 0.000000
pr_001029718,0.776744, 0.000000
pr_001032183,0.776744, 0.000000
pr_001028187,0.776744, 0.000000
pr_000724477,0.776744, 0.000000
pr_000904904,0.776744, 0.000000
pr_001039908,0.776744, 0.000000
pr_001061773,0.776744, 0.000000
pr_001086799,0.776744, 0.000000
pr_001046455,0.776744, 0.000000
pr_000895769,0.776744, 0.000000
pr_001026649,0.776744, 0.000000
pr_001040545,0.776744, 0.000000
pr_001047813,0.776744, 0.000000
pr_001047738,0.776744, 0.000000
pr_001022468,0.776744, 0.000000
pr_000936575,0.776744, 0.000000
pr_000936417,0.776744, 0.000000
pr_001061518,0.776744, 0.000000
pr_000929609,0.776744, 0.000000
pr_000284324,0.776744, 0.000000
pr_001086720,0.776744, 0.000000
pr_000997987,0.776744, 0.000000
pr_001051000,0.776744, 0.000000
pr_000893048,0.776744, 0.000000
pr_001013683,0.776744, 0.000000
pr_000845536,0.776744, 0.000000
pr_000895190,0.776744, 0.000000
pr_000903973,0.776744, 0.000000
pr_000287173,0.776744, 0.000000
pr_001062361,0.776744, 0.000000
pr_000941832,0.776744, 0.000000
pr_000927041,0.776744, 0.000000
pr_001050424,0.776744, 0.000000
pr_000941796,0.776744, 0.000000
pr_000762865,0.776744, 0.000000
pr_001051387,0.776744, 0.000000
pr_000893666,0.776744, 0.000000
pr_000891960,0.776744, 0.000000
pr_000725937,0.776744, 0.000000
pr_000899693,0.776744, 0.000000
pr_001061720,0.776744, 0.000000
pr_000746674,0.776744, 0.000000
pr_000934798,0.776744, 0.000000
pr_000927242,0.776744, 0.000000
pr_001068605,0.776744, 0.000000
pr_001041801,0.776744, 0.000000
pr_000693414,0.776744, 0.000000
pr_001063494,0.776744, 0.000000
pr_001104602,0.776744, 0.000000
pr_001062250,0.776744, 0.000000
pr_000945545,0.776744, 0.000000
pr_001051139,0.776744, 0.000000
pr_000434271,0.776744, 0.000000
pr_001050719,0.776744, 0.000000
pr_000851860,0.776744, 0.000000
pr_001003706,0.776744, 0.000000
pr_001046646,0.776744, 0.000000
pr_001053364,0.776744, 0.000000
pr_000579021,0.776744, 0.000000
pr_001040556,0.776744, 0.000000
pr_000817484,0.776744, 0.000000
pr_000930391,0.776744, 0.000000
pr_001057110,0.776744, 0.000000
pr_001040105,0.776744, 0.000000
pr_000857821,0.776744, 0.000000
pr_000767962,0.776744, 0.000000
pr_000290979,0.776744, 0.000000
pr_000826543,0.776744, 0.000000
pr_000724271,0.776744, 0.000000
pr_000737051,0.776744, 0.000000
pr_000745787,0.776744, 0.000000
pr_001040691,0.776744, 0.000000
pr_001050865,0.776744, 0.000000
pr_001046623,0.776744, 0.000000
pr_000846277,0.776744, 0.000000
pr_000925242,0.776744, 0.000000
pr_001021534,0.776744, 0.000000
us_000492637,0.776744, 0.000001
pr_000290288,0.776744, 0.000006
pr_001057441,0.776744, 0.000006
pr_001027207,0.776744, 0.000006
pr_001040606,0.776744, 0.000006
pr_001040640,0.776744, 0.000006
pr_000658316,0.776744, 0.000006
pr_000694571,0.776744, 0.000006
pr_001416687,0.776744, 0.000011
pr_000755793,0.776744, 0.000019
pr_000815524,0.776744, 0.000019
pr_001786251,0.776744, 0.000023
pr_001105188,0.776744, 0.000043
pr_001036872,0.776744, 0.000047
us_000610393,0.776744, 0.000270
us_000567706,0.776744, 0.000516
pr_001154623,0.776744, 0.000916
us_000568342,0.776744, 0.004619
us_000461613,0.776744, 0.005659
us_000514688,0.776744, 0.030681
us_000466929,0.776744, 0.065524
us_000605910,0.440492, 0.000001
pr_001056265,0.440492, 0.000002
pr_001072681,0.440492, 0.000002
pr_000398869,0.440492, 0.000009
pr_000401248,0.440492, 0.000010
pr_000400938,0.440492, 0.000010
pr_000788178,0.440492, 0.000012
pr_001843350,0.440492, 0.000012
pr_000774816,0.440492, 0.000012
pr_000820288,0.440492, 0.000012
pr_001114228,0.440492, 0.000012
pr_001767994,0.440492, 0.000012
pr_000850666,0.440492, 0.000022
pr_000885433,0.440492, 0.000022
pr_000779861,0.440492, 0.000025
us_000469081,0.440492, 0.000038
pr_000268369,0.440492, 0.000089
pr_000397943,0.440492, 0.000089
pr_000268758,0.440492, 0.000089
pr_001766721,0.440492, 0.000115
pr_000399329,0.440492, 0.000202
us_000560387,0.440492, 0.000274
pr_000377555,0.440492, 0.000413
us_000503281,0.440492, 0.000519
pr_000244902,0.440492, 0.000703
pr_001835565,0.440492, 0.000736
us_000548622,0.440492, 0.001049
pr_000161918,0.440492, 0.001079
pr_000590346,0.440492, 0.001485
pr_000767638,0.440492, 0.001485
us_000470377,0.440492, 0.001688
pr_000969843,0.440492, 0.002138
us_000533204,0.440492, 0.002189
us_000559878,0.440492, 0.002240
pr_001082201,0.440492, 0.005282
pr_001143112,0.440492, 0.006874
pr_002097464,0.440492, 0.007420
us_000594820,0.440492, 0.015908
us_000506999,0.440492, 0.182204
pr_000288420,0.428898, 0.000000
us_000595782,0.428898, 0.000000
us_000510354,0.428898, 0.000000
us_000553602,0.428898, 0.000000
us_000617241,0.428898, 0.000000
pr_000781138,0.428898, 0.000000
us_000600838,0.428898, 0.000000
us_000503155,0.428898, 0.000000
pr_000183149,0.428898, 0.000000
pr_000008480,0.428898, 0.000001
pr_001908772,0.428898, 0.000002
us_000553257,0.428898, 0.000002
us_000461994,0.428898, 0.000012
pr_000788288,0.428898, 0.000013
us_000539539,0.428898, 0.000019
pr_000013758,0.428898, 0.000025
pr_000553074,0.428898, 0.000045
us_000562645,0.428898, 0.000092
us_000517654,0.428898, 0.000113
pr_000429636,0.428898, 0.000138
us_000463861,0.428898, 0.000229
pr_000559981,0.428898, 0.000296
pr_000162296,0.428898, 0.000310
us_000555002,0.428898, 0.000542
pr_000287517,0.428898, 0.000628
pr_000559147,0.428898, 0.001115
pr_000652595,0.428898, 0.001342
us_000467350,0.428898, 0.001489
us_000372490,0.428898, 0.001565
us_000549831,0.428898, 0.002645
us_000597087,0.428898, 0.003396
us_000501047,0.428898, 0.003505
us_000492307,0.428898, 0.032239
us_000540035,0.196905, 0.000000
pr_000651906,0.196905, 0.000002
us_000512920,0.196905, 0.000019
pr_001149774,0.196905, 0.000088
us_000501143,0.196905, 0.000103
us_000502654,0.196905, 0.000103
us_000498349,0.196905, 0.000103
pr_000903050,0.196905, 0.000117
pr_001806616,0.196905, 0.000128
pr_000930785,0.196905, 0.000151
pr_000874577,0.196905, 0.000151
pr_002077351,0.196905, 0.000154
pr_001961003,0.196905, 0.000154
pr_001134915,0.196905, 0.000154
pr_001029050,0.196905, 0.000246
pr_000627459,0.196905, 0.000430
us_000500588,0.196905, 0.000507
us_000522052,0.196905, 0.000673
us_000610450,0.196905, 0.000689
us_000594830,0.196905, 0.000693
us_000612430,0.196905, 0.000733
pr_000756997,0.196905, 0.001035
us_000588669,0.196905, 0.001129
us_000577052,0.196905, 0.001609
us_000610119,0.196905, 0.002575
us_000609931,0.196905, 0.002576
us_000609127,0.196905, 0.002666
us_000614799,0.196905, 0.003224
us_000555086,0.196905, 0.003426
us_000609010,0.196905, 0.004445
pr_002230237,0.196905, 0.007885
us_000552066,0.196905, 0.012105
us_000607956,0.196905, 0.061227
us_000601185,0.196905, 0.080645
us_000531682,0.196905, 2.149151
us_000523277,0.196905, 2.308396
us_000532872,0.196905, 2.335972
us_000504410,0.196905, 2.907133
us_000545038,0.111750, 0.000000
us_000491591,0.111750, 0.000000
us_000483091,0.111750, 0.000000
us_000468009,0.111750, 0.000000
us_000240392,0.111750, 0.000000
us_000511468,0.111750, 0.000000
us_000462921,0.111750, 0.000000
us_000493170,0.111750, 0.000000
us_000553551,0.111750, 0.000000
us_000493115,0.111750, 0.000000
us_000484490,0.111750, 0.000000
us_000478918,0.111750, 0.000000
us_000460028,0.111750, 0.000000
us_000465107,0.111750, 0.000000
us_000490984,0.111750, 0.000000
us_000460155,0.111750, 0.000000
us_000475176,0.111750, 0.000000
us_000479864,0.111750, 0.000000
us_000465225,0.111750, 0.000000
us_000472508,0.111750, 0.000000
us_000601730,0.111750, 0.000000
us_000475588,0.111750, 0.000000
us_000613188,0.111750, 0.000001
us_000467328,0.111750, 0.000001
us_000469270,0.111750, 0.000002
us_000616768,0.111750, 0.000002
us_000593253,0.111750, 0.000002
us_000599268,0.111750, 0.000003
us_000600990,0.111750, 0.000004
us_000462815,0.111750, 0.000004
us_000460461,0.111750, 0.000006
pr_000486261,0.111750, 0.000014
pr_000620787,0.111750, 0.000022
us_000530659,0.111750, 0.000030
