Product ID : 2105 JPs covered : 256 : Tax Law-Real Property, 
OID,Confidence at Map Node,Error at Map Node
us_000520191,1.000000, 0.000000
us_000513104,1.000000, 0.000000
us_000512893,1.000000, 0.000000
us_000554548,1.000000, 0.000000
us_000520571,1.000000, 0.000000
us_000513150,1.000000, 0.000000
us_000566392,1.000000, 0.000000
us_000514144,1.000000, 0.000000
us_000508752,1.000000, 0.000000
us_000548735,1.000000, 0.000000
us_000569176,1.000000, 0.000000
us_000565803,1.000000, 0.000000
us_000541197,1.000000, 0.000000
us_000556752,1.000000, 0.000000
us_000547211,1.000000, 0.000000
us_000540248,1.000000, 0.000000
us_000563527,1.000000, 0.000000
us_000594032,1.000000, 0.000000
us_000468096,1.000000, 0.000000
us_000472443,1.000000, 0.000000
us_000584807,1.000000, 0.000000
us_000597981,1.000000, 0.000000
us_000512765,1.000000, 0.000000
us_000586165,1.000000, 0.000000
us_000521149,1.000000, 0.000000
us_000588165,1.000000, 0.000000
us_000575964,1.000000, 0.000000
us_000513749,1.000000, 0.000000
us_000541285,1.000000, 0.000000
us_000531792,1.000000, 0.000000
us_000538281,1.000000, 0.000000
us_000531826,1.000000, 0.000000
pr_001155516,1.000000, 0.000000
pr_001146805,1.000000, 0.000000
pr_000910415,1.000000, 0.000000
us_000510892,1.000000, 0.000000
us_000542756,1.000000, 0.000000
us_000581299,1.000000, 0.000009
pr_001050845,1.000000, 0.000009
us_000583522,1.000000, 0.000011
us_000595472,1.000000, 0.000011
us_000565590,1.000000, 0.000014
us_000509150,1.000000, 0.000014
us_000569805,1.000000, 0.000014
us_000569882,1.000000, 0.000014
pr_001673484,1.000000, 0.000015
us_000547831,1.000000, 0.000031
us_000597560,1.000000, 0.000038
us_000598293,1.000000, 0.000041
pr_000941310,1.000000, 0.000043
pr_000958077,1.000000, 0.000076
pr_001800144,1.000000, 0.000093
us_000040060,1.000000, 0.000109
pr_000820095,1.000000, 0.000156
pr_000882501,1.000000, 0.000156
pr_000816738,1.000000, 0.000160
pr_001150673,1.000000, 0.000204
us_000608611,1.000000, 0.000241
us_000478689,1.000000, 0.000292
us_000587766,1.000000, 0.000296
us_000484245,1.000000, 0.000478
pr_002095206,1.000000, 0.000568
us_000538248,1.000000, 0.000646
us_000509763,1.000000, 0.000936
us_000574346,1.000000, 0.001978
