Product ID : 211 # of JPs covered : 1 : 214 : Insurance Litigation, 
OID,Confidence at Map Node,Error at Map Node
us_000459243,0.914608, 0.424357
us_000573519,0.914608, 0.426283
us_000612782,0.914608, 0.426283
us_000572169,0.914608, 0.426283
us_000463076,0.914608, 0.427054
us_000463782,0.914608, 0.427054
us_000485706,0.914608, 0.427161
us_000489938,0.914608, 0.427999
us_000546048,0.914608, 0.427999
us_000477217,0.914608, 0.427999
us_000460684,0.914608, 0.427999
us_000524730,0.914608, 0.427999
us_000541080,0.914608, 0.427999
us_000613079,0.914608, 0.432594
us_000583775,0.914608, 0.432594
us_000459886,0.914608, 0.432594
us_000477125,0.914608, 0.432594
us_000612224,0.914608, 0.432594
us_000612713,0.914608, 0.432594
us_000580576,0.914608, 0.432594
us_000477302,0.914608, 0.432748
us_000531748,0.914608, 0.433404
us_000461609,0.914608, 0.433427
us_000501551,0.914608, 0.433550
us_000485821,0.914608, 0.433550
us_000501594,0.914608, 0.433550
us_000501569,0.914608, 0.433550
us_000555607,0.914608, 0.433550
us_000555606,0.914608, 0.433550
us_000501568,0.914608, 0.433550
us_000501571,0.914608, 0.433550
us_000555605,0.914608, 0.433550
us_000503246,0.914608, 0.436440
us_000476540,0.914608, 0.437749
us_000472198,0.914608, 0.437749
us_000502728,0.914608, 0.438124
us_000524753,0.914608, 0.438192
us_000599200,0.914608, 0.438708
us_000004492,0.914608, 0.439139
us_000475520,0.914608, 0.439139
us_000475957,0.914608, 0.439139
us_000463007,0.914608, 0.439139
us_000476662,0.914608, 0.439139
us_000462288,0.914608, 0.439139
us_000549582,0.914608, 0.439141
us_000490067,0.914608, 0.439141
us_000549598,0.914608, 0.439141
us_000488182,0.914608, 0.439141
us_000472232,0.914608, 0.439713
us_000612308,0.914608, 0.440408
us_000587255,0.914608, 0.441008
us_000518795,0.914608, 0.442215
us_000565818,0.914608, 0.443565
us_000501184,0.914608, 0.444773
us_000489404,0.914608, 0.444773
us_000465666,0.914608, 0.444773
us_000479268,0.914608, 0.444773
us_000545099,0.914608, 0.444773
us_000501246,0.914608, 0.444773
us_000534199,0.914608, 0.444773
us_000486203,0.914608, 0.444773
us_000465668,0.914608, 0.444773
us_000549264,0.914608, 0.444773
us_000459274,0.914608, 0.444773
us_000520452,0.914608, 0.444773
us_000479120,0.914608, 0.444773
us_000495581,0.914608, 0.444773
us_000540196,0.914608, 0.444773
us_000520433,0.914608, 0.444773
us_000545804,0.914608, 0.444773
us_000489619,0.914608, 0.444773
us_000520237,0.914608, 0.444773
us_000486885,0.914608, 0.444773
us_000479258,0.914608, 0.444773
us_000465647,0.914608, 0.444773
us_000459520,0.914608, 0.444773
us_000479873,0.914608, 0.444773
us_000533772,0.914608, 0.447343
us_000522943,0.914608, 0.447704
us_000516982,0.914608, 0.450444
us_000518758,0.914608, 0.450444
us_000438558,0.914608, 0.450444
us_000532640,0.914608, 0.450444
us_000474571,0.914608, 0.450444
us_000599775,0.914608, 0.450444
us_000533990,0.914608, 0.450444
us_000542612,0.914608, 0.450444
us_000495426,0.914608, 0.450444
us_000542993,0.914608, 0.450444
us_000552608,0.914608, 0.450444
us_000534551,0.914608, 0.450444
us_000568581,0.914608, 0.450444
us_000480520,0.914608, 0.450444
us_000552645,0.914608, 0.450444
us_000481052,0.914608, 0.450444
us_000555650,0.914608, 0.450444
us_000480562,0.914608, 0.450444
us_000548769,0.914608, 0.450444
us_000459533,0.914608, 0.450444
us_000465007,0.914608, 0.450444
us_000479499,0.914608, 0.450444
us_000477824,0.914608, 0.450444
us_000500230,0.914608, 0.450444
