Product ID : 2121 JPs covered : 145 : White Collar Crime, 
OID,Confidence at Map Node,Error at Map Node
pr_000990559,0.997030, 0.000002
pr_000108977,0.997030, 0.000002
pr_000901393,0.997030, 0.000002
pr_000977442,0.997030, 0.000002
pr_000867407,0.997030, 0.000002
pr_000227322,0.997030, 0.000003
pr_000845770,0.997030, 0.000003
pr_000749987,0.997030, 0.000003
pr_000595222,0.997030, 0.000003
us_000475293,0.997030, 0.000004
us_000464841,0.997030, 0.000004
pr_000736889,0.997030, 0.000005
pr_001702259,0.997030, 0.000006
pr_000916816,0.997030, 0.000007
pr_000731356,0.997030, 0.000008
pr_000812605,0.997030, 0.000008
pr_000954472,0.997030, 0.000008
pr_000344888,0.997030, 0.000008
us_000489478,0.997030, 0.000008
us_000474289,0.997030, 0.000008
us_000458560,0.997030, 0.000008
pr_000885662,0.997030, 0.000011
pr_000175312,0.997030, 0.000011
pr_001071136,0.997030, 0.000017
pr_000178057,0.997030, 0.000018
pr_000936768,0.997030, 0.000023
pr_002181871,0.997030, 0.000023
pr_000880822,0.997030, 0.000024
pr_000281624,0.997030, 0.000028
pr_000299336,0.997030, 0.000036
pr_000335033,0.997030, 0.000036
pr_000334130,0.997030, 0.000036
pr_000023592,0.997030, 0.000036
pr_000002234,0.997030, 0.000038
pr_001024552,0.997030, 0.000043
pr_000012310,0.997030, 0.000049
pr_000878847,0.997030, 0.000050
pr_001706843,0.997030, 0.000050
pr_000692632,0.997030, 0.000050
pr_001071009,0.997030, 0.000050
pr_001693774,0.997030, 0.000050
pr_000725695,0.997030, 0.000050
pr_000899879,0.997030, 0.000050
pr_000919014,0.997030, 0.000050
pr_001026032,0.997030, 0.000050
pr_000939632,0.997030, 0.000050
pr_001096906,0.997030, 0.000052
pr_000588093,0.997030, 0.000062
pr_000651695,0.997030, 0.000062
pr_001077524,0.997030, 0.000063
pr_000343517,0.997030, 0.000063
pr_001005465,0.997030, 0.000064
pr_000892995,0.997030, 0.000070
pr_000183888,0.997030, 0.000070
pr_000339428,0.997030, 0.000070
pr_000341429,0.997030, 0.000071
pr_000554553,0.997030, 0.000071
pr_000845307,0.997030, 0.000072
pr_000220824,0.997030, 0.000074
pr_000330795,0.997030, 0.000075
pr_001586616,0.997030, 0.000077
pr_000966908,0.997030, 0.000080
pr_000660847,0.997030, 0.000084
pr_000733043,0.997030, 0.000087
pr_000188058,0.997030, 0.000089
us_000492229,0.997030, 0.000093
pr_001035748,0.997030, 0.000100
pr_000929999,0.997030, 0.000102
pr_000708632,0.997030, 0.000102
pr_001652383,0.997030, 0.000109
pr_000975628,0.997030, 0.000112
pr_000884303,0.997030, 0.000112
pr_000725665,0.997030, 0.000112
pr_000853035,0.997030, 0.000112
pr_000573254,0.997030, 0.000112
pr_000548823,0.997030, 0.000112
pr_001388227,0.997030, 0.000112
pr_001026147,0.997030, 0.000112
pr_000693731,0.997030, 0.000112
pr_001029353,0.997030, 0.000112
pr_000857576,0.997030, 0.000112
pr_000175575,0.997030, 0.000112
pr_001688174,0.997030, 0.000113
pr_002081605,0.997030, 0.000115
pr_001603988,0.997030, 0.000116
pr_000561661,0.997030, 0.000119
pr_000719522,0.997030, 0.000119
pr_000717034,0.997030, 0.000121
pr_001697301,0.997030, 0.000124
