Product ID : 2099 # of JPs covered : 1 : 363 : LoanDoc-UCC, 
OID,Confidence at Map Node,Error at Map Node
us_000600360,0.956498, 0.000351
us_000571677,0.956498, 0.000408
us_000466616,0.956498, 0.012021
us_000518119,0.956498, 2.640129
us_000533917,0.956498, 2.854441
us_000260693,0.956498, 3.157577
us_000574580,0.956498, 3.366055
us_000534001,0.956498, 3.397267
us_000567566,0.956498, 3.476426
us_000524059,0.956498, 3.486218
us_000518065,0.956498, 3.494004
us_000524097,0.956498, 3.501140
us_000504096,0.956498, 3.572701
us_000496476,0.956498, 3.581113
us_000534125,0.956498, 3.585050
us_000546909,0.956498, 3.615952
us_000462223,0.956498, 3.623647
us_000534042,0.956498, 3.653504
us_000462225,0.956498, 3.668966
us_000141464,0.956498, 3.672641
us_000593911,0.956498, 3.775726
us_000506964,0.956498, 3.966600
us_000574935,0.956498, 4.106942
us_000614007,0.938133, 0.000000
us_000579584,0.938133, 0.000001
pr_000811684,0.938133, 0.000014
pr_001008642,0.938133, 0.000034
us_000591676,0.938133, 0.000070
pr_001393097,0.938133, 0.000075
pr_001050782,0.938133, 0.000075
pr_000587451,0.938133, 0.000075
pr_001078712,0.938133, 0.000075
pr_001581120,0.938133, 0.000075
pr_000846122,0.938133, 0.000075
pr_000990603,0.938133, 0.000075
pr_000976558,0.938133, 0.000075
pr_000292008,0.938133, 0.000075
pr_000812083,0.938133, 0.000075
pr_000948664,0.938133, 0.000075
pr_000816001,0.938133, 0.000075
pr_000694566,0.938133, 0.000075
pr_000836651,0.938133, 0.000101
pr_000291763,0.938133, 0.000129
pr_000900143,0.938133, 0.000147
pr_000335205,0.938133, 0.000163
us_000591679,0.938133, 0.000179
pr_000989145,0.938133, 0.000231
pr_000769560,0.938133, 0.000245
us_000604368,0.938133, 0.000261
pr_001583770,0.938133, 0.000265
pr_000985350,0.938133, 0.000336
pr_001013456,0.938133, 0.000664
pr_000953342,0.938133, 0.000664
pr_000343248,0.938133, 0.000664
pr_000952750,0.938133, 0.000664
pr_000648118,0.938133, 0.000664
pr_002056356,0.938133, 0.000664
pr_000958584,0.938133, 0.000664
pr_000944114,0.938133, 0.000664
pr_000960086,0.938133, 0.000664
pr_000817392,0.938133, 0.000673
pr_000759739,0.938133, 0.000679
pr_000943183,0.938133, 0.000753
pr_000730907,0.938133, 0.000753
pr_001611431,0.938133, 0.000753
pr_001686073,0.938133, 0.000817
pr_001651438,0.938133, 0.000834
pr_001954439,0.938133, 0.000879
pr_001012546,0.938133, 0.000934
pr_001003537,0.938133, 0.001022
pr_000628353,0.938133, 0.001070
pr_002139046,0.938133, 0.001153
pr_000756940,0.938133, 0.001234
pr_000092933,0.938133, 0.001312
us_000497147,0.938133, 0.001508
us_000510323,0.938133, 0.001508
us_000542463,0.938133, 0.001508
pr_001686026,0.938133, 0.001812
pr_000690384,0.938133, 0.001936
pr_000666471,0.938133, 0.001955
pr_000845920,0.938133, 0.002341
pr_000759221,0.938133, 0.002533
us_000490526,0.938133, 0.005416
us_000500303,0.938133, 0.005858
us_000598732,0.938133, 0.005946
us_000557539,0.938133, 0.006657
us_000536764,0.938133, 0.006935
us_000494504,0.938133, 0.007796
us_000611276,0.938133, 0.007807
us_000488330,0.938133, 0.010306
us_000523477,0.938133, 0.021918
us_000523609,0.938133, 0.025177
us_000549475,0.938133, 0.029777
us_000522323,0.938133, 0.037256
us_000490156,0.938133, 0.053228
us_000500308,0.938133, 0.056203
us_000379896,0.938133, 0.110415
us_000481771,0.938133, 0.110844
us_000305409,0.890911, 0.000000
us_000522179,0.890911, 0.000000
