Product ID : 987 JPs covered : 123 : Patents, 
OID,Confidence at Map Node,Error at Map Node
pr_000851804,1.000000, 0.000000
pr_000732878,1.000000, 0.000000
pr_001145099,1.000000, 0.000000
us_000487510,0.979381, 0.372995
us_000402635,0.979381, 0.841334
us_000462879,0.890091, 0.000001
us_000480304,0.890091, 0.000001
us_000514008,0.890091, 0.000001
us_000468801,0.890091, 0.000001
us_000519932,0.890091, 0.000648
us_000528083,0.890091, 0.076261
us_000527063,0.890091, 0.686083
us_000545650,0.890091, 0.773882
us_000586080,0.890091, 0.782821
us_000612483,0.890091, 0.795326
us_000577369,0.890091, 0.923102
us_000522606,0.890091, 0.936297
us_000572798,0.890091, 1.028255
us_000508683,0.890091, 1.090570
us_000508672,0.890091, 1.159357
us_000528374,0.890091, 1.315420
us_000203791,0.875070, 0.000032
us_000514559,0.875070, 0.000094
us_000509328,0.875070, 1.439861
us_000517231,0.875070, 1.497891
us_000535409,0.730878, 0.000000
us_000509377,0.730878, 0.000066
us_000561270,0.730878, 0.512376
us_000525413,0.730878, 0.616268
us_000508269,0.730878, 0.705035
us_000504039,0.730878, 0.742143
us_000586446,0.730878, 0.870494
us_000472843,0.730878, 0.978567
us_000534336,0.730878, 1.033813
us_000526216,0.730878, 1.294048
us_000560902,0.730878, 1.347474
us_000463788,0.730878, 1.387180
us_000513670,0.730878, 1.396358
us_000549241,0.730878, 1.622818
us_000542064,0.366360, 0.000000
us_000500082,0.366360, 0.000000
us_000562339,0.366360, 0.001302
us_000516803,0.366360, 0.003123
us_000470870,0.244360, 0.000000
us_000464143,0.244360, 0.000000
us_000469979,0.244360, 0.000000
pr_000904914,0.244360, 0.000000
pr_000755753,0.244360, 0.000000
us_000544555,0.244360, 0.000000
us_000524032,0.244360, 0.000001
us_000529657,0.244360, 0.000001
us_000518607,0.244360, 0.000001
us_000550596,0.244360, 0.000001
us_000515325,0.244360, 0.000001
us_000587374,0.244360, 0.000003
us_000612422,0.244360, 0.000004
us_000540214,0.244360, 0.000009
pr_000891919,0.244360, 0.000012
us_000587046,0.244360, 0.000015
us_000474921,0.244360, 0.000044
pr_001966302,0.244360, 0.000100
pr_001680645,0.244360, 0.000143
pr_000717967,0.244360, 0.000180
pr_000843326,0.244360, 0.000231
us_000551962,0.244360, 0.000344
us_000594653,0.244360, 0.000359
us_000615136,0.244360, 0.000376
us_000604801,0.244360, 0.000380
us_000188916,0.244360, 0.000636
us_000018297,0.244360, 0.000652
us_000580553,0.244360, 0.000659
us_000580549,0.244360, 0.000659
us_000462998,0.244360, 0.000713
us_000492349,0.244360, 0.000713
pr_000988753,0.244360, 0.000782
us_000556745,0.244360, 0.001005
us_000511878,0.244360, 0.001074
us_000609015,0.244360, 0.001162
us_000580552,0.244360, 0.001603
us_000532962,0.244360, 0.001673
us_000515865,0.244360, 0.002269
us_000510421,0.244360, 0.002897
us_000582562,0.244360, 0.003191
us_000522194,0.244360, 0.004967
us_000466905,0.244360, 0.005969
us_000544848,0.244360, 0.006184
us_000478493,0.244360, 0.008211
us_000580214,0.244360, 0.008385
us_000599358,0.244360, 0.009644
us_000483187,0.244360, 0.010976
us_000523846,0.244360, 0.011002
us_000465663,0.244360, 0.011660
us_000607949,0.244360, 0.012435
us_000481514,0.244360, 0.012447
us_000574050,0.244360, 0.012705
us_000463060,0.244360, 0.013028
us_000575679,0.244360, 0.019550
us_000536031,0.244360, 0.021246
us_000536332,0.244360, 0.022369
us_000547608,0.244360, 0.024668
us_000482363,0.244360, 0.027232
us_000475522,0.244360, 0.028480
us_000469422,0.244360, 0.029800
us_000103730,0.244360, 0.030832
us_000491611,0.244360, 0.035990
us_000479628,0.244360, 0.036183
us_000462028,0.244360, 0.038655
us_000557200,0.244360, 0.040854
us_000578936,0.244360, 0.042963
us_000616842,0.244360, 0.044720
us_000587968,0.244360, 0.047362
us_000534932,0.244360, 0.049621
us_000594982,0.244360, 0.062592
us_000521649,0.244360, 0.067461
us_000502052,0.244360, 0.071109
us_000541173,0.244360, 0.073995
us_000472184,0.244360, 0.093796
us_000599192,0.244360, 0.095175
us_000558207,0.244360, 0.098085
us_000535239,0.244360, 0.109734
us_000521559,0.244360, 0.124962
us_000487607,0.244360, 0.783015
us_000487472,0.244360, 1.167901
us_000534374,0.244360, 1.218816
us_000487270,0.244360, 1.827862
pr_001092265,0.150317, 0.000000
us_000460679,0.150317, 0.000000
us_000488681,0.150317, 0.000002
pr_001961812,0.150317, 0.000057
pr_002094060,0.150317, 0.000074
us_000577628,0.150317, 0.001694
us_000513914,0.150317, 0.001894
us_000602720,0.150317, 0.001979
us_000579462,0.150317, 0.003332
us_000529307,0.150317, 0.010280
us_000492775,0.150317, 0.014517
us_000469219,0.150317, 0.018214
us_000560316,0.150317, 0.020141
us_000471586,0.150317, 0.026386
us_000546972,0.150317, 0.033355
us_000497129,0.150317, 1.066658
us_000330350,0.150317, 2.452195
