OID,Sq Dist to BMU, BMU Map Loc,Sq Dist to Nbr Map Node, Neighbor Node Map Loc,Sq Dist to Nbr Map Node, Neighbor Node Map Loc,Sq Dist to Nbr Map Node, Neighbor Node Map Loc,Sq Dist to Nbr Map Node, Neighbor Node Map Loc,Sq Dist to Nbr Map Node, Neighbor Node Map Loc,Sq Dist to Nbr Map Node, Neighbor Node Map Loc,Sq Dist to Nbr Map Node, Neighbor Node Map Loc,Sq Dist to Nbr Map Node, Neighbor Node Map Loc,
1009,0.00001156,(30|1),0.00006151,(29|1),0.00177951,(30|2),0.00527025,(31|1),0.00770860,(31|2),0.03353687,(30|0),0.07222667,(31|0),0.52703714,(29|2),0.60238755,(29|0),
101,0.00000000,(20|40),0.00000001,(20|41),0.00000010,(21|40),0.00000174,(19|40),0.00000252,(20|39),0.00003593,(21|41),0.00014486,(21|39),0.00079656,(19|39),0.02168158,(19|41),
1010,0.00000190,(32|36),0.00006986,(31|36),0.00152774,(31|35),0.00159258,(31|37),0.00189162,(33|36),0.00504836,(32|37),0.04557579,(32|35),0.05888364,(33|37),0.20088099,(33|35),
1011,0.00000000,(8|12),0.00000018,(8|13),0.00000023,(9|12),0.00000101,(7|12),0.00001491,(8|11),0.00015358,(7|13),0.00054125,(9|13),0.00134882,(9|11),0.00311940,(7|11),
1013,0.00000000,(26|31),0.00000392,(26|30),0.00000401,(27|31),0.00005762,(26|32),0.00021972,(25|31),0.00097679,(27|30),0.00346459,(25|32),0.00763442,(27|32),0.00985263,(25|30),
1014,0.00000000,(40|37),0.00000515,(40|36),0.00001478,(40|38),0.00002006,(41|37),0.00016586,(39|37),0.00089347,(39|38),0.00121088,(41|36),0.00805774,(39|36),0.04540359,(41|38),
1015,0.00000023,(21|44),0.00013004,(22|44),0.00044214,(21|43),0.00054202,(22|43),0.00073775,(20|44),0.00288378,(21|45),0.04365980,(20|43),0.07726564,(20|45),0.16942358,(22|45),
1016,0.00000000,(48|42),0.00000773,(48|43),0.00002157,(47|42),0.00004238,(48|41),0.00018569,(49|42),0.00029509,(47|43),0.00354519,(47|41),0.00600985,(49|41),0.00845820,(49|43),
1017,0.00000000,(34|10),0.00000977,(35|10),0.00001448,(34|11),0.00002362,(33|10),0.00004592,(34|9),0.00073775,(35|9),0.00136537,(33|9),0.00313945,(35|11),0.00333403,(33|11),
1018,0.00000019,(23|5),0.00022310,(23|6),0.00082878,(22|5),0.00151109,(24|5),0.00165761,(23|4),0.00196361,(24|6),0.00689547,(22|4),0.03705577,(22|6),0.06063512,(24|4),
1019,0.00000001,(37|0),0.00001580,(37|1),0.00007289,(38|0),0.00007428,(37|49),0.00013491,(36|0),0.00160818,(38|1),0.00684134,(36|1),0.00922658,(38|49),0.02915551,(36|49),
102,0.00000000,(20|34),0.00000002,(19|34),0.00000952,(21|34),0.00001580,(20|35),0.00002288,(20|33),0.00022025,(19|33),0.00130750,(19|35),0.00200504,(21|35),0.00252917,(21|33),
1020,0.00000002,(12|0),0.00002965,(13|0),0.00007990,(12|49),0.00011955,(12|1),0.00080777,(11|1),0.00127154,(11|0),0.00152676,(13|1),0.00159865,(13|49),0.00451832,(11|49),
1021,0.00001156,(30|1),0.00006151,(29|1),0.00177951,(30|2),0.00527025,(31|1),0.00770860,(31|2),0.03353687,(30|0),0.07222667,(31|0),0.52703714,(29|2),0.60238755,(29|0),
