Product ID : 2103 # of JPs covered : 1 : 279 : Professional Liability, 
OID,Confidence at Map Node,Error at Map Node
us_000496357,0.999918, 0.413223
us_000509905,0.999918, 0.417328
us_000540453,0.999918, 0.424535
us_000466744,0.999918, 0.435086
us_000495646,0.999918, 0.437240
us_000543463,0.999918, 0.443990
us_000515021,0.999918, 0.454168
us_000515009,0.999918, 0.456448
us_000432140,0.999918, 0.497678
us_000492560,0.999918, 0.580195
us_000559140,0.994425, 0.000000
us_000492624,0.994425, 0.000000
us_000574932,0.994425, 0.000000
us_000493441,0.994425, 0.000000
pr_001957881,0.994425, 0.000000
pr_001686863,0.994425, 0.000000
pr_000023963,0.994425, 0.000000
pr_000931338,0.994425, 0.000000
pr_000166674,0.994425, 0.000000
pr_001686666,0.994425, 0.000000
pr_001686667,0.994425, 0.000000
pr_000903452,0.994425, 0.000000
pr_000117313,0.994425, 0.000000
pr_001719089,0.994425, 0.000000
pr_001678071,0.994425, 0.000000
pr_001689182,0.994425, 0.000000
pr_001097338,0.994425, 0.000000
pr_000180941,0.994425, 0.000000
pr_001047287,0.994425, 0.000000
pr_000814437,0.994425, 0.000000
pr_001639966,0.994425, 0.000000
pr_000704151,0.994425, 0.000000
pr_001677653,0.994425, 0.000000
pr_000955298,0.994425, 0.000000
pr_000696668,0.994425, 0.000000
pr_000665465,0.994425, 0.000000
pr_000758229,0.994425, 0.000000
pr_000811938,0.994425, 0.000000
pr_000987974,0.994425, 0.000000
pr_000298043,0.994425, 0.000000
pr_001640042,0.994425, 0.000000
pr_001693369,0.994425, 0.000000
pr_000634998,0.994425, 0.000000
pr_000692159,0.994425, 0.000000
pr_001733344,0.994425, 0.000000
pr_000226342,0.994425, 0.000000
pr_001719210,0.994425, 0.000000
pr_000695819,0.994425, 0.000000
pr_001682875,0.994425, 0.000000
pr_001688452,0.994425, 0.000000
pr_001006346,0.994425, 0.000000
pr_001689364,0.994425, 0.000000
pr_000695843,0.994425, 0.000000
pr_001688885,0.994425, 0.000000
pr_000995858,0.994425, 0.000000
pr_001822210,0.994425, 0.000000
pr_000210456,0.994425, 0.000000
pr_001084147,0.994425, 0.000000
pr_001688764,0.994425, 0.000000
pr_000297968,0.994425, 0.000000
pr_000342575,0.994425, 0.000000
pr_000584933,0.994425, 0.000000
pr_000337423,0.994425, 0.000000
pr_001002324,0.994425, 0.000000
pr_001097495,0.994425, 0.000000
pr_001689261,0.994425, 0.000000
pr_001686971,0.994425, 0.000000
pr_001688504,0.994425, 0.000000
pr_000661534,0.994425, 0.000000
pr_001076246,0.994425, 0.000000
pr_001693003,0.994425, 0.000000
pr_000002303,0.994425, 0.000000
pr_001074639,0.994425, 0.000000
pr_000874676,0.994425, 0.000000
pr_001693462,0.994425, 0.000000
pr_000692274,0.994425, 0.000000
pr_001686616,0.994425, 0.000000
pr_000893093,0.994425, 0.000000
pr_000923914,0.994425, 0.000000
pr_001599636,0.994425, 0.000000
pr_000180645,0.994425, 0.000000
pr_000292085,0.994425, 0.000000
pr_001813960,0.994425, 0.000000
pr_000999190,0.994425, 0.000000
pr_000668092,0.994425, 0.000000
pr_001686944,0.994425, 0.000000
pr_001687304,0.994425, 0.000000
pr_000998427,0.994425, 0.000000
pr_000405519,0.994425, 0.000001
pr_001014145,0.994425, 0.000001
pr_000589055,0.994425, 0.000001
pr_000846363,0.994425, 0.000001
pr_000470006,0.994425, 0.000001
pr_001056479,0.994425, 0.000001
pr_000896992,0.994425, 0.000001
pr_000581905,0.994425, 0.000003
pr_001689243,0.994425, 0.000005
pr_000227245,0.994425, 0.000009
pr_000758652,0.994425, 0.000014
pr_000896517,0.994425, 0.000018
pr_000354771,0.994425, 0.000018
pr_001061843,0.994425, 0.000028
pr_000171536,0.994425, 0.000032
pr_000596443,0.994425, 0.000032
pr_000155207,0.994425, 0.000032
pr_000990195,0.994425, 0.000070
pr_001686476,0.994425, 0.000199
pr_000952344,0.994425, 0.000258
pr_001686786,0.994425, 0.000324
pr_001689258,0.994425, 0.000339
pr_001025739,0.994425, 0.000340
pr_001685414,0.994425, 0.000340
pr_001102728,0.994425, 0.000341
pr_000173442,0.994425, 0.000364
pr_001090630,0.994425, 0.000391
pr_001687408,0.994425, 0.000395
pr_001688180,0.994425, 0.000395
pr_001621886,0.994425, 0.000396
pr_001024153,0.994425, 0.000396
pr_000598037,0.994425, 0.000419
pr_000219398,0.994425, 0.005776
us_000561954,0.994425, 0.342531
us_000481086,0.994425, 0.343797
us_000496384,0.994425, 0.346804
us_000467358,0.994425, 0.347364
us_000522434,0.994425, 0.347678
us_000513323,0.994425, 0.353495
us_000498081,0.994425, 0.356364
us_000483489,0.994425, 0.356588
us_000523480,0.994425, 0.357007
us_000218830,0.994425, 0.365475
us_000515030,0.994425, 0.368816
us_000495605,0.994425, 0.368951
us_000497789,0.994425, 0.372854
us_000513357,0.994425, 0.421128
us_000466820,0.994425, 0.473804
us_000080868,0.994425, 0.487874
pr_000922203,0.780626, 0.000000
pr_001055716,0.780626, 0.000000
pr_001121444,0.780626, 0.000000
us_000612090,0.780626, 0.000000
us_000496546,0.780626, 0.000000
us_000590143,0.780626, 0.000000
us_000551283,0.780626, 0.000000
us_000582881,0.780626, 0.000000
us_000583177,0.780626, 0.000000
pr_000698276,0.780626, 0.000003
us_000531016,0.780626, 0.000391
us_000572574,0.780626, 0.000561
us_000600840,0.780626, 0.001437
us_000554540,0.780626, 0.157457
us_000532805,0.780626, 0.165664
us_000523428,0.780626, 0.168697
us_000515244,0.780626, 0.168697
us_000603345,0.780626, 0.168697
us_000536403,0.780626, 0.174115
us_000603690,0.780626, 0.348253
pr_001111156,0.736079, 0.000000
pr_000956546,0.736079, 0.000000
pr_001710855,0.736079, 0.000000
pr_001692589,0.736079, 0.000000
pr_001689691,0.736079, 0.000000
pr_001002624,0.736079, 0.000000
pr_001692337,0.736079, 0.000000
pr_000642089,0.736079, 0.000000
pr_000657453,0.736079, 0.000000
pr_002105118,0.736079, 0.000000
pr_002239064,0.736079, 0.000000
pr_002102329,0.736079, 0.000000
pr_002106116,0.736079, 0.000000
pr_001656591,0.736079, 0.000000
pr_001398012,0.736079, 0.000000
pr_002073277,0.736079, 0.000000
pr_000725910,0.736079, 0.000000
pr_000861433,0.736079, 0.000000
pr_001630698,0.736079, 0.000000
pr_001859613,0.736079, 0.000000
pr_001109222,0.736079, 0.000000
pr_001118438,0.736079, 0.000000
pr_001076729,0.736079, 0.000001
pr_000892257,0.736079, 0.000004
pr_000896664,0.736079, 0.000005
pr_000891879,0.736079, 0.000005
pr_001086650,0.736079, 0.000005
pr_000745239,0.736079, 0.000005
pr_000891083,0.736079, 0.000005
pr_001040038,0.736079, 0.000005
pr_000608370,0.736079, 0.000009
pr_001686664,0.736079, 0.000021
pr_001135066,0.736079, 0.000031
us_000487527,0.736079, 0.000777
us_000535916,0.736079, 0.001777
us_000535233,0.736079, 0.010474
us_000563324,0.736079, 0.017346
us_000496938,0.736079, 0.022610
us_000514362,0.736079, 0.138668
us_000551870,0.736079, 0.141342
us_000496170,0.736079, 0.154140
us_000496198,0.736079, 0.154140
us_000495718,0.736079, 0.163217
us_000497180,0.736079, 0.178634
us_000526238,0.736079, 0.182021
us_000523279,0.736079, 0.205474
us_000558985,0.736079, 0.298667
pr_000560950,0.689368, 0.000000
pr_001726420,0.689368, 0.000098
pr_001670724,0.689368, 0.000098
pr_001696749,0.689368, 0.000098
pr_001696981,0.689368, 0.000098
pr_000886268,0.689368, 0.000106
pr_001020449,0.689368, 0.000106
pr_001024579,0.689368, 0.000106
pr_001831728,0.689368, 0.000106
