Product ID : 2067 # of JPs covered : 1 : 143 : Trademarks, 
OID,Confidence at Map Node,Error at Map Node
us_000500107,0.887483, 0.374648
us_000477112,0.887483, 0.379280
us_000599679,0.887483, 0.379280
us_000012127,0.887483, 0.379280
us_000510338,0.887483, 0.379280
us_000417001,0.887483, 0.379280
us_000463855,0.887483, 0.379280
us_000381324,0.887483, 0.379280
us_000472835,0.887483, 0.379280
us_000490716,0.887483, 0.379280
us_000489844,0.887483, 0.379280
us_000012309,0.887483, 0.379280
us_000555665,0.887483, 0.379280
us_000492034,0.887483, 0.379280
us_000511654,0.887483, 0.379280
us_000491167,0.887483, 0.379280
us_000474175,0.887483, 0.379280
us_000463355,0.887483, 0.379280
us_000411369,0.887483, 0.379280
us_000508066,0.887483, 0.379280
us_000463302,0.887483, 0.383754
us_000558304,0.887483, 0.383940
us_000473624,0.887483, 0.383940
us_000503339,0.887483, 0.383940
us_000500189,0.887483, 0.383940
us_000496521,0.887483, 0.383940
us_000462292,0.887483, 0.383940
us_000489456,0.887483, 0.383940
us_000503855,0.887483, 0.383940
us_000543711,0.887483, 0.383940
us_000464812,0.887483, 0.383940
us_000459585,0.887483, 0.383940
us_000543063,0.887483, 0.383940
us_000500091,0.887483, 0.383940
us_000556411,0.887483, 0.383940
us_000489407,0.887483, 0.383940
us_000464905,0.887483, 0.383940
us_000543436,0.887483, 0.383940
us_000483505,0.887483, 0.383940
us_000502231,0.887483, 0.383940
us_000464903,0.887483, 0.383940
us_000460078,0.887483, 0.383940
us_000568890,0.887483, 0.383940
us_000464866,0.887483, 0.383940
us_000543702,0.887483, 0.383940
us_000558302,0.887483, 0.383940
us_000591742,0.887483, 0.383940
us_000473743,0.887483, 0.383940
us_000473059,0.887483, 0.383940
us_000543408,0.887483, 0.383940
us_000490763,0.887483, 0.383940
us_000558281,0.887483, 0.383940
us_000473519,0.887483, 0.383940
us_000542544,0.887483, 0.383940
us_000482354,0.887483, 0.383940
us_000474205,0.887483, 0.383940
us_000558274,0.887483, 0.383940
us_000489441,0.887483, 0.383940
us_000490484,0.887483, 0.383940
us_000503367,0.887483, 0.383940
us_000543707,0.887483, 0.384240
us_000571698,0.887483, 0.384240
us_000579151,0.887483, 0.384240
us_000604606,0.887483, 0.384240
us_000498490,0.887483, 0.384240
us_000571840,0.887483, 0.384537
us_000556210,0.887483, 0.384903
us_000477784,0.887483, 0.384903
us_000572375,0.887483, 0.384903
us_000503366,0.887483, 0.384984
us_000543683,0.887483, 0.388629
us_000591055,0.887483, 0.388629
us_000591048,0.887483, 0.388629
us_000570362,0.887483, 0.388629
us_000510499,0.887483, 0.388629
us_000459566,0.887483, 0.388629
us_000459984,0.887483, 0.388629
us_000496803,0.887483, 0.388629
us_000525258,0.887483, 0.388629
us_000488436,0.887483, 0.388629
us_000467657,0.887483, 0.388629
us_000492039,0.887483, 0.388629
us_000478650,0.887483, 0.388629
us_000595088,0.887483, 0.388629
us_000459137,0.887483, 0.388629
us_000508834,0.887483, 0.388629
us_000464183,0.887483, 0.388629
us_000468387,0.887483, 0.388629
us_000488215,0.887483, 0.388629
us_000459400,0.887483, 0.388629
us_000496950,0.887483, 0.388629
us_000591177,0.887483, 0.388629
us_000500136,0.887483, 0.388629
us_000464146,0.887483, 0.388629
us_000468396,0.887483, 0.388629
us_000511055,0.887483, 0.388629
us_000468385,0.887483, 0.388629
us_000510459,0.887483, 0.388629
us_000503324,0.887483, 0.388629
us_000459381,0.887483, 0.388629
us_000495392,0.887483, 0.388629
us_000464202,0.887483, 0.388629
us_000554340,0.887483, 0.388629
us_000475765,0.887483, 0.388629
us_000464064,0.887483, 0.388629
us_000464310,0.887483, 0.388629
us_000497030,0.887483, 0.388629
us_000490177,0.887483, 0.388629
us_000487011,0.887483, 0.388629
us_000568639,0.887483, 0.388629
us_000497905,0.887483, 0.388629
us_000472947,0.887483, 0.388629
us_000314927,0.887483, 0.388629
us_000606281,0.887483, 0.388629
us_000591034,0.887483, 0.388629
us_000483819,0.887483, 0.388629
us_000504792,0.887483, 0.388629
us_000595822,0.887483, 0.388629
us_000504973,0.887483, 0.388629
us_000198815,0.887483, 0.388629
us_000507516,0.887483, 0.388629
us_000477915,0.887483, 0.388629
us_000570252,0.887483, 0.388629
us_000497519,0.887483, 0.388629
us_000490395,0.887483, 0.388629
us_000059419,0.887483, 0.388629
us_000519910,0.887483, 0.388629
us_000482233,0.887483, 0.388629
us_000554764,0.887483, 0.388629
us_000464549,0.887483, 0.388629
us_000475691,0.887483, 0.388629
us_000459971,0.887483, 0.388629
us_000483765,0.887483, 0.388629
us_000459973,0.887483, 0.388629
us_000504890,0.887483, 0.388629
us_000491710,0.887483, 0.388629
us_000568604,0.887483, 0.388629
us_000457639,0.887483, 0.388629
us_000447014,0.887483, 0.388629
us_000498010,0.887483, 0.388629
us_000591175,0.887483, 0.388629
us_000198837,0.887483, 0.388629
us_000459597,0.887483, 0.388629
us_000460072,0.887483, 0.388629
us_000616497,0.887483, 0.388629
us_000595820,0.887483, 0.388629
us_000491864,0.887483, 0.388629
us_000589779,0.887483, 0.388629
us_000590801,0.887483, 0.388629
us_000554261,0.887483, 0.388629
us_000487042,0.887483, 0.388629
us_000006487,0.887483, 0.388629
us_000489782,0.887483, 0.388629
us_000391881,0.887483, 0.388629
us_000477392,0.887483, 0.388629
us_000463114,0.887483, 0.388629
us_000467629,0.887483, 0.388629
us_000482685,0.887483, 0.388629
us_000473411,0.887483, 0.388629
us_000616234,0.887483, 0.388629
us_000474218,0.887483, 0.388629
us_000555614,0.887483, 0.388629
us_000601174,0.887483, 0.388629
us_000483849,0.887483, 0.388629
us_000616790,0.887483, 0.388629
us_000477387,0.887483, 0.388629
us_000590621,0.887483, 0.388629
us_000580384,0.887483, 0.388929
us_000460429,0.887483, 0.388929
us_000592200,0.887483, 0.388929
us_000579197,0.887483, 0.388929
us_000571124,0.887483, 0.388929
us_000579198,0.887483, 0.388929
us_000571246,0.887483, 0.388929
us_000472946,0.887483, 0.388929
us_000591560,0.887483, 0.388929
us_000323658,0.887483, 0.388929
us_000601056,0.887483, 0.388929
us_000574414,0.887483, 0.388983
us_000594912,0.887483, 0.388983
us_000574492,0.887483, 0.388983
us_000608470,0.887483, 0.388983
us_000592156,0.887483, 0.389039
us_000615583,0.887483, 0.389039
us_000600509,0.887483, 0.389099
us_000600511,0.887483, 0.389099
us_000574502,0.887483, 0.389364
us_000482768,0.887483, 0.389889
us_000553358,0.887483, 0.390001
us_000486024,0.887483, 0.390335
us_000462763,0.887483, 0.390338
us_000464937,0.887483, 0.392098
us_000201856,0.887483, 0.394025
us_000498224,0.887483, 0.398093
us_000498124,0.887483, 0.398093
us_000472847,0.887483, 0.402868
us_000490056,0.887483, 0.413546
us_000488780,0.887483, 0.415755
pr_001674314,0.844422, 0.000000
pr_000198641,0.844422, 0.000000
pr_001025566,0.844422, 0.000000
pr_000932037,0.844422, 0.000000
pr_000917811,0.844422, 0.000000
pr_001982711,0.844422, 0.000001
pr_001937638,0.844422, 0.000001
pr_002140402,0.844422, 0.000001
pr_001658476,0.844422, 0.000001
pr_001926416,0.844422, 0.000001
pr_002066307,0.844422, 0.000001
pr_000997142,0.844422, 0.000001
pr_001880960,0.844422, 0.000001
pr_001673653,0.844422, 0.000001
pr_001686472,0.844422, 0.000001
pr_001749171,0.844422, 0.000004
pr_000785216,0.844422, 0.000004
us_000515892,0.844422, 0.000005
pr_002076014,0.844422, 0.000035
pr_000620992,0.844422, 0.000409
us_000562046,0.844422, 0.002652
us_000488216,0.844422, 0.764652
us_000507957,0.844422, 0.794790
us_000534467,0.844422, 1.001539
us_000577469,0.844422, 1.014279
us_000532135,0.844422, 1.106928
us_000595369,0.844422, 1.177061
us_000539812,0.844422, 1.282363
us_000505681,0.844422, 1.417419
us_000514355,0.844422, 1.582639
us_000534402,0.844422, 1.619099
us_000511527,0.798660, 0.000000
us_000574064,0.798660, 0.000069
us_000574780,0.798660, 0.000487
us_000575831,0.798660, 0.000607
us_000576785,0.798660, 0.000807
us_000599287,0.798660, 0.002857
us_000590964,0.798660, 0.003279
us_000590963,0.798660, 0.008316
us_000578388,0.798660, 0.010468
us_000560320,0.798660, 0.019617
us_000592614,0.798660, 0.025067
us_000551598,0.798660, 0.026711
us_000573047,0.798660, 0.029303
us_000508385,0.798660, 0.029775
us_000478965,0.798660, 0.030700
us_000557180,0.798660, 0.039157
us_000536239,0.798660, 0.095630
us_000517234,0.798660, 0.401625
us_000505361,0.798660, 0.434390
us_000543974,0.798660, 0.452393
us_000586390,0.798660, 0.548638
us_000539822,0.798660, 0.602063
us_000540212,0.798660, 0.606533
us_000541140,0.798660, 0.608665
us_000532576,0.798660, 0.616428
us_000545930,0.798660, 0.657816
us_000489239,0.754085, 0.266543
us_000095723,0.754085, 0.364964
us_000483256,0.754085, 0.399446
us_000579159,0.754085, 0.421710
us_000489246,0.754085, 0.425065
us_000579157,0.754085, 0.495281
us_000508825,0.754085, 0.501495
us_000562607,0.754085, 0.509034
us_000508773,0.754085, 0.514639
us_000483249,0.754085, 0.544965
us_000518164,0.754085, 0.600229
us_000561516,0.754085, 0.628817
us_000568213,0.747873, 0.000000
us_000563646,0.747873, 0.000000
us_000517432,0.747873, 0.000000
us_000517217,0.747873, 0.000000
us_000549403,0.747873, 0.000000
us_000551182,0.747873, 0.000000
us_000551175,0.747873, 0.000000
us_000492706,0.747873, 0.000002
us_000548263,0.747873, 0.000002
us_000564663,0.747873, 0.000006
us_000502283,0.747873, 0.000007
us_000604843,0.747873, 0.000007
us_000555941,0.747873, 0.000007
us_000488622,0.747873, 0.000023
us_000610885,0.747873, 0.000024
us_000568842,0.747873, 0.000027
pr_002212163,0.747873, 0.000051
pr_000725303,0.747873, 0.000051
us_000536981,0.747873, 0.000051
us_000601575,0.747873, 0.000051
us_000594028,0.747873, 0.000067
us_000612339,0.747873, 0.000076
us_000593528,0.747873, 0.000080
us_000606152,0.747873, 0.000084
us_000568820,0.747873, 0.000092
us_000590423,0.747873, 0.000096
pr_001400851,0.747873, 0.000119
pr_001754253,0.747873, 0.000200
us_000477932,0.747873, 0.000687
us_000592232,0.747873, 0.000700
us_000484851,0.747873, 0.000761
us_000609243,0.747873, 0.000966
us_000526563,0.747873, 0.002394
us_000485086,0.747873, 0.002586
us_000181666,0.747873, 0.005181
us_000480560,0.747873, 0.005518
us_000595439,0.747873, 0.011373
us_000584043,0.747873, 0.022225
us_000543280,0.747873, 0.050343
us_000465853,0.747873, 0.468740
us_000480601,0.747873, 0.498850
us_000540251,0.747873, 0.735040
us_000539865,0.747873, 0.737717
pr_001709935,0.744805, 0.000000
pr_001084159,0.744805, 0.000000
pr_000728675,0.744805, 0.000000
pr_000729195,0.744805, 0.000000
pr_000023964,0.744805, 0.000000
pr_000211168,0.744805, 0.000000
pr_000162605,0.744805, 0.000000
pr_000205730,0.744805, 0.000000
pr_000957521,0.744805, 0.000000
pr_000950256,0.744805, 0.000000
us_000469456,0.744805, 0.000000
us_000469641,0.744805, 0.000000
pr_000084081,0.744805, 0.000001
pr_000158317,0.744805, 0.000001
pr_001689167,0.744805, 0.000001
us_000547964,0.744805, 0.000006
pr_001029298,0.744805, 0.000009
pr_000854579,0.744805, 0.000029
pr_000750997,0.744805, 0.000029
pr_000743682,0.744805, 0.000029
pr_000194077,0.744805, 0.000031
pr_001722518,0.744805, 0.000090
pr_000603716,0.744805, 0.000105
pr_000104760,0.744805, 0.000110
pr_000668839,0.744805, 0.000123
pr_000657865,0.744805, 0.000139
us_000599677,0.744805, 0.000141
pr_000978495,0.744805, 0.000216
pr_000751166,0.744805, 0.000217
pr_000734993,0.744805, 0.000220
pr_001044141,0.744805, 0.000251
pr_001094427,0.744805, 0.000272
pr_000974406,0.744805, 0.000272
pr_001638107,0.744805, 0.000272
pr_001099825,0.744805, 0.000276
pr_000529605,0.744805, 0.000279
pr_000555321,0.744805, 0.000522
us_000477398,0.744805, 0.002550
us_000598717,0.744805, 0.004003
us_000514460,0.744805, 0.016014
us_000583985,0.744805, 0.019194
us_000559267,0.744805, 0.090444
us_000538934,0.744805, 0.537273
us_000568267,0.726235, 0.000017
us_000510631,0.726235, 0.000056
pr_001583251,0.726235, 0.001686
pr_000581871,0.726235, 0.001686
pr_000743988,0.726235, 0.003042
pr_001987361,0.726235, 0.008986
pr_001904659,0.726235, 0.008986
pr_002140480,0.726235, 0.008986
pr_001869135,0.726235, 0.013812
us_000072773,0.726235, 0.113917
us_000514581,0.726235, 0.392970
us_000538688,0.726235, 0.516797
us_000514220,0.726235, 0.557093
us_000488570,0.726235, 1.639554
pr_000235860,0.714801, 0.000000
pr_000118180,0.714801, 0.000000
us_000561743,0.714801, 0.000002
us_000538093,0.714801, 0.000002
us_000547894,0.714801, 0.000002
us_000461069,0.714801, 0.000006
us_000553345,0.714801, 0.000006
us_000556241,0.714801, 0.000006
us_000461660,0.714801, 0.000006
us_000500417,0.714801, 0.000006
us_000601507,0.714801, 0.000013
pr_001120316,0.714801, 0.000031
us_000538024,0.714801, 0.000048
us_000552437,0.714801, 0.000048
us_000483880,0.714801, 0.000936
us_000603790,0.714801, 0.001034
us_000614340,0.714801, 0.001175
us_000617308,0.714801, 0.003055
us_000480816,0.714801, 0.003788
