Product ID : 2120 JPs covered : 297 : Emp-Lit-Wage Hour, 
us_000612818,0.473068, 0.012460
us_000475844,0.473068, 0.013202
us_000524420,0.473068, 0.015576
us_000489422,0.473068, 0.068764
us_000492605,0.473068, 1.103252
us_000476071,0.473068, 1.273072
us_000466281,0.473068, 1.399427
us_000463067,0.473068, 1.404085
us_000530114,0.473068, 1.436232
us_000197126,0.473068, 1.557468
pr_000583242,0.435426, 0.000000
us_000499991,0.435426, 0.000600
us_000497405,0.435426, 0.000847
us_000493124,0.435426, 0.003249
us_000535279,0.435426, 0.003465
us_000556757,0.435426, 0.004515
us_000500794,0.435426, 0.012028
us_000415077,0.435426, 0.014483
us_000495978,0.435426, 0.026363
us_000551280,0.435426, 1.041928
us_000524821,0.435426, 1.119001
us_000551317,0.435426, 1.278655
us_000507329,0.435426, 1.451370
us_000501514,0.435426, 1.456969
us_000445984,0.435426, 1.736010
us_000506380,0.435426, 3.129814
us_000519182,0.427397, 0.000004
pr_002052258,0.427397, 0.000010
pr_000410567,0.427397, 0.000232
us_000500668,0.427397, 0.000990
us_000596158,0.427397, 0.013424
us_000501734,0.427397, 0.031248
us_000478295,0.427397, 1.550014
us_000480110,0.427397, 2.020654
us_000507274,0.427397, 2.049726
us_000520316,0.427397, 2.093015
us_000477816,0.427397, 2.125984
pr_001120826,0.426019, 0.000000
pr_001091065,0.426019, 0.000000
pr_000915845,0.426019, 0.000000
pr_000915711,0.426019, 0.000000
us_000616082,0.426019, 0.000005
us_000500459,0.426019, 0.000228
us_000493117,0.426019, 0.006521
us_000504734,0.426019, 0.014084
us_000580935,0.426019, 0.588482
pr_000393018,0.216867, 0.000000
pr_000375187,0.216867, 0.000000
pr_000434515,0.216867, 0.000000
pr_000283479,0.216867, 0.000000
pr_000434487,0.216867, 0.000000
pr_000368217,0.216867, 0.000000
pr_000375852,0.216867, 0.000000
pr_000522919,0.216867, 0.000000
pr_000525658,0.216867, 0.000000
pr_000433441,0.216867, 0.000000
pr_000435535,0.216867, 0.000000
pr_000434966,0.216867, 0.000000
pr_000579041,0.216867, 0.000000
pr_000518307,0.216867, 0.000000
pr_000515959,0.216867, 0.000000
pr_000394305,0.216867, 0.000000
pr_000435338,0.216867, 0.000000
pr_000286123,0.216867, 0.000000
pr_000283136,0.216867, 0.000000
pr_000377876,0.216867, 0.000000
pr_000432027,0.216867, 0.000000
pr_000283675,0.216867, 0.000000
pr_000386894,0.216867, 0.000000
pr_000380934,0.216867, 0.000000
us_000552738,0.216867, 0.000000
us_000542379,0.216867, 0.000000
us_000509293,0.216867, 0.000000
us_000498538,0.216867, 0.000001
us_000564682,0.216867, 0.000001
us_000493786,0.216867, 0.000001
us_000509220,0.216867, 0.000001
us_000616946,0.216867, 0.000001
us_000517624,0.216867, 0.000001
us_000563068,0.216867, 0.000001
us_000545198,0.216867, 0.000001
us_000504934,0.216867, 0.000001
pr_001727440,0.216867, 0.000032
pr_000947071,0.216867, 0.000072
pr_000941954,0.216867, 0.000072
pr_000991901,0.216867, 0.000236
us_000563328,0.216867, 0.000398
us_000599450,0.216867, 0.000398
us_000599452,0.216867, 0.000398
us_000479655,0.216867, 0.001041
us_000587118,0.216867, 0.006306
us_000514686,0.216867, 0.006530
us_000471055,0.216867, 0.011897
us_000504083,0.216867, 0.860951
us_000132257,0.216867, 0.953468
us_000487474,0.216867, 0.990409
us_000480700,0.216867, 1.001750
us_000453244,0.216867, 1.366230
us_000547884,0.207817, 0.000000
us_000510348,0.207817, 0.000000
pr_000915826,0.207817, 0.000001
pr_000909723,0.207817, 0.000001
pr_000707006,0.207817, 0.000001
pr_000786271,0.207817, 0.000002
pr_001079016,0.207817, 0.000002
pr_001413167,0.207817, 0.000002
pr_001647711,0.207817, 0.000004
pr_001748304,0.207817, 0.000004
pr_001011588,0.207817, 0.000004
pr_000923956,0.207817, 0.000004
pr_000942654,0.207817, 0.000006
pr_001922355,0.207817, 0.000007
pr_000929640,0.207817, 0.000007
pr_000810507,0.207817, 0.000013
pr_001928680,0.207817, 0.000035
pr_000879253,0.207817, 0.000042
pr_001947034,0.207817, 0.000062
pr_000709869,0.207817, 0.000069
pr_000842837,0.207817, 0.000077
pr_000735153,0.207817, 0.000109
pr_000948458,0.207817, 0.000261
pr_000228660,0.207817, 0.001048
pr_000168994,0.207817, 0.001978
pr_000335899,0.207817, 0.002053
pr_000752172,0.207817, 0.004416
us_000537976,0.207817, 0.012576
pr_000838195,0.207817, 0.021874
pr_000641879,0.207817, 0.022757
us_000504093,0.207817, 0.827569
us_000486446,0.207817, 1.052866
us_000459255,0.207817, 1.100320
us_000459014,0.207817, 1.127559
us_000459217,0.207817, 1.129640
us_000466235,0.207817, 1.161066
us_000378787,0.207817, 1.166800
us_000473310,0.207817, 1.181775
us_000466216,0.207817, 1.213829
us_000468266,0.207817, 1.233720
us_000474126,0.207817, 1.240872
us_000459035,0.207817, 1.246929
us_000257180,0.207817, 1.261801
us_000292885,0.207817, 1.278708
us_000473578,0.207817, 1.280168
us_000466147,0.207817, 1.285454
us_000460359,0.207817, 3.163280
pr_001022224,0.045913, 0.000000
pr_001012084,0.045913, 0.000000
pr_000506815,0.045913, 0.000000
pr_000489831,0.045913, 0.000000
pr_000952846,0.045913, 0.000000
pr_000181011,0.045913, 0.000000
pr_000701272,0.045913, 0.000000
pr_000230238,0.045913, 0.000000
pr_001103126,0.045913, 0.000000
pr_001079005,0.045913, 0.000000
pr_000643600,0.045913, 0.000000
pr_000490129,0.045913, 0.000000
pr_001685149,0.045913, 0.000000
pr_000875722,0.045913, 0.000000
pr_000769245,0.045913, 0.000000
pr_000922684,0.045913, 0.000000
pr_000880953,0.045913, 0.000000
pr_001103504,0.045913, 0.000000
pr_000656743,0.045913, 0.000000
pr_000908151,0.045913, 0.000000
pr_000977667,0.045913, 0.000000
pr_001051592,0.045913, 0.000000
pr_000837348,0.045913, 0.000000
pr_001012383,0.045913, 0.000000
pr_000171463,0.045913, 0.000000
pr_001075719,0.045913, 0.000000
pr_000597697,0.045913, 0.000000
pr_000014757,0.045913, 0.000000
pr_000856898,0.045913, 0.000000
pr_000701907,0.045913, 0.000000
pr_000919319,0.045913, 0.000000
pr_001139129,0.045913, 0.000000
pr_000446403,0.045913, 0.000002
pr_001030144,0.045913, 0.000004
pr_000579179,0.045913, 0.000004
pr_000925418,0.045913, 0.000005
pr_000760604,0.045913, 0.000005
pr_000760720,0.045913, 0.000005
pr_000285229,0.045913, 0.000005
pr_000951540,0.045913, 0.000005
pr_000564084,0.045913, 0.000007
pr_001603376,0.045913, 0.000007
pr_000012880,0.045913, 0.000008
pr_000116106,0.045913, 0.000015
pr_000733421,0.045913, 0.000016
pr_001078754,0.045913, 0.000016
pr_000710579,0.045913, 0.000016
pr_000589571,0.045913, 0.000020
pr_000175988,0.045913, 0.000020
pr_001901245,0.045913, 0.000020
pr_000504358,0.045913, 0.000020
pr_000855910,0.045913, 0.000023
pr_001077321,0.045913, 0.000023
pr_000885286,0.045913, 0.000023
pr_000712274,0.045913, 0.000026
pr_000970633,0.045913, 0.000026
pr_000702437,0.045913, 0.000026
pr_000838306,0.045913, 0.000034
pr_000317211,0.045913, 0.000035
pr_001076718,0.045913, 0.000035
pr_001132056,0.045913, 0.000036
pr_000889901,0.045913, 0.000045
pr_000734037,0.045913, 0.000051
pr_000022094,0.045913, 0.000051
pr_001102114,0.045913, 0.000051
pr_000886428,0.045913, 0.000056
us_000502102,0.045913, 0.000056
us_000541889,0.045913, 0.000056
us_000558919,0.045913, 0.000056
us_000537825,0.045913, 0.000056
us_000502028,0.045913, 0.000056
us_000519032,0.045913, 0.000056
us_000555165,0.045913, 0.000056
pr_001077751,0.045913, 0.000086
pr_000341744,0.045913, 0.000154
pr_001838338,0.045913, 0.000172
pr_000813614,0.045913, 0.000252
pr_000585667,0.045913, 0.000344
pr_000191926,0.045913, 0.000345
pr_000763590,0.045913, 0.000345
pr_001032053,0.045913, 0.000407
pr_000667057,0.045913, 0.000422
pr_000863744,0.045913, 0.000422
pr_001009779,0.045913, 0.000461
pr_000593839,0.045913, 0.000489
us_000543543,0.045913, 0.024442
us_000583928,0.045913, 0.031657
us_000491534,0.045913, 0.031716
us_000481742,0.045913, 0.050075
us_000467455,0.045913, 1.008145
us_000487903,0.045913, 2.850511
