Product ID : 2071 # of JPs covered : 1 : 403 : Tax Law-Foreign, 
OID,Confidence at Map Node,Error at Map Node
pr_001096959,0.308757, 0.000004
pr_001924400,0.308757, 0.000004
pr_001583823,0.308757, 0.000004
pr_002149190,0.308757, 0.000004
pr_002167054,0.308757, 0.000004
pr_002141899,0.308757, 0.000004
pr_001743407,0.308757, 0.000004
pr_001956685,0.308757, 0.000004
pr_001975741,0.308757, 0.000004
us_000525147,0.308757, 0.000005
pr_001006955,0.308757, 0.000008
pr_001739317,0.308757, 0.000008
pr_001734461,0.308757, 0.000008
pr_001397213,0.308757, 0.000008
us_000585051,0.308757, 0.000009
us_000596540,0.308757, 0.000011
us_000589082,0.308757, 0.000011
pr_000599774,0.308757, 0.000015
pr_001766376,0.308757, 0.000018
pr_000780655,0.308757, 0.000036
pr_000874465,0.308757, 0.000042
pr_000568541,0.308757, 0.000438
pr_001033664,0.308757, 0.000593
us_000536254,0.308757, 0.000842
us_000520424,0.308757, 0.001735
pr_001035060,0.308757, 0.007421
us_000513736,0.308757, 0.015975
us_000594048,0.308757, 0.102720
us_000591288,0.308757, 0.749786
us_000553841,0.308757, 1.015027
us_000580160,0.308757, 1.054533
us_000558321,0.308757, 1.143865
us_000482275,0.308757, 1.160819
us_000489352,0.308757, 1.167139
us_000550871,0.308757, 1.170438
us_000572235,0.308757, 1.174709
us_000491038,0.308757, 1.176070
us_000572362,0.308757, 1.184484
us_000572261,0.308757, 1.191278
us_000489362,0.308757, 1.196926
us_000559032,0.308757, 1.198985
us_000513755,0.308757, 1.205431
us_000502826,0.308757, 1.207224
us_000473782,0.308757, 1.209854
us_000473823,0.308757, 1.213660
us_000572265,0.308757, 1.218083
us_000587517,0.308757, 1.218887
us_000499320,0.308757, 1.227151
us_000513712,0.308757, 1.231944
us_000489364,0.308757, 1.233383
us_000591292,0.308757, 1.239773
us_000489359,0.308757, 1.257432
us_000559733,0.308757, 1.259321
us_000489405,0.308757, 1.264769
us_000586719,0.308757, 1.278004
us_000503628,0.308757, 1.313097
us_000494740,0.308757, 1.520704
us_000550838,0.308757, 1.882000
us_000559488,0.308757, 2.129156
us_000572371,0.308757, 2.330307
us_000523221,0.308757, 2.445294
us_000523225,0.308757, 2.795187
pr_001141797,0.279809, 0.000000
pr_000195780,0.279809, 0.000000
pr_000005695,0.279809, 0.000000
pr_000821400,0.279809, 0.000003
pr_002194657,0.279809, 0.000005
pr_001954405,0.279809, 0.000005
pr_001955329,0.279809, 0.000031
pr_001082350,0.279809, 0.000038
pr_000868117,0.279809, 0.000178
us_000539741,0.279809, 0.000433
us_000487223,0.279809, 0.001993
us_000565111,0.279809, 0.006251
us_000561618,0.279809, 0.015073
us_000536331,0.279809, 0.377924
us_000484507,0.279809, 1.739734
us_000542861,0.279809, 1.960187
us_000543715,0.277879, 0.000000
us_000565771,0.277879, 0.000000
pr_000839794,0.277879, 0.000002
pr_000255516,0.277879, 0.000013
pr_000005092,0.277879, 0.000013
pr_000633155,0.277879, 0.000017
pr_000823888,0.277879, 0.000022
pr_000310247,0.277879, 0.000042
pr_000027542,0.277879, 0.000053
pr_001056512,0.277879, 0.000067
pr_000348786,0.277879, 0.000067
us_000610545,0.277879, 0.000079
us_000467097,0.277879, 0.000901
us_000592358,0.277879, 0.001613
us_000554106,0.277879, 0.002705
us_000574941,0.277879, 0.003312
us_000565322,0.277879, 0.006035
us_000538492,0.277879, 0.007249
us_000525648,0.277108, 0.000018
us_000580645,0.277108, 0.000850
us_000552221,0.277108, 0.313783
us_000500994,0.277108, 0.354583
us_000523776,0.277108, 0.376343
us_000524949,0.277108, 0.377026
us_000500933,0.277108, 0.395650
us_000465121,0.277108, 0.405294
us_000484294,0.277108, 0.414184
us_000465617,0.277108, 0.437382
us_000572542,0.277108, 0.455349
us_000534210,0.277108, 0.487742
us_000468881,0.277108, 0.497839
us_000497936,0.277108, 0.515829
us_000093193,0.277108, 0.538477
us_000459275,0.277108, 0.900375
us_000459279,0.277108, 0.937100
pr_000274296,0.271411, 0.000000
pr_000766343,0.271411, 0.000000
pr_000849141,0.271411, 0.000000
pr_000590894,0.271411, 0.000000
pr_001456783,0.271411, 0.000000
pr_001554008,0.271411, 0.000000
pr_001548626,0.271411, 0.000000
pr_001505607,0.271411, 0.000000
us_000518177,0.271411, 0.000000
us_000557596,0.271411, 0.000000
pr_000898982,0.271411, 0.000000
pr_000976484,0.271411, 0.000000
pr_002179503,0.271411, 0.000000
pr_000983584,0.271411, 0.000000
pr_001068032,0.271411, 0.000000
pr_001116905,0.271411, 0.000000
pr_000977095,0.271411, 0.000000
pr_000669856,0.271411, 0.000000
pr_000709682,0.271411, 0.000000
pr_001388386,0.271411, 0.000000
pr_001149015,0.271411, 0.000000
pr_000830590,0.271411, 0.000000
pr_000665180,0.271411, 0.000000
pr_002141916,0.271411, 0.000000
pr_001041877,0.271411, 0.000000
pr_001514615,0.271411, 0.000000
pr_001557041,0.271411, 0.000000
pr_000108645,0.271411, 0.000000
pr_000129134,0.271411, 0.000000
pr_000008074,0.271411, 0.000000
pr_001496959,0.271411, 0.000002
pr_001159042,0.271411, 0.000002
us_000557150,0.271411, 0.000002
pr_000914848,0.271411, 0.000003
pr_001173301,0.271411, 0.000003
pr_000696259,0.271411, 0.000003
pr_001146397,0.271411, 0.000004
pr_001719308,0.271411, 0.000004
pr_001873326,0.271411, 0.000005
pr_001045280,0.271411, 0.000005
pr_001065888,0.271411, 0.000010
pr_001149829,0.271411, 0.000010
pr_001795455,0.271411, 0.000011
pr_001301144,0.271411, 0.000011
pr_001338579,0.271411, 0.000012
pr_001206700,0.271411, 0.000013
pr_001172919,0.271411, 0.000013
pr_001291129,0.271411, 0.000013
pr_000852034,0.271411, 0.000018
pr_001354917,0.271411, 0.000023
pr_001273426,0.271411, 0.000023
pr_001511469,0.271411, 0.000023
pr_001187551,0.271411, 0.000042
pr_001256596,0.271411, 0.000046
pr_001337946,0.271411, 0.000055
pr_001331581,0.271411, 0.000055
pr_001365884,0.271411, 0.000062
pr_001346410,0.271411, 0.000062
pr_001357966,0.271411, 0.000062
pr_001283805,0.271411, 0.000079
pr_000466477,0.271411, 0.000082
pr_001917438,0.271411, 0.000084
pr_001954239,0.271411, 0.000084
pr_001411351,0.271411, 0.000084
pr_002115356,0.271411, 0.000084
pr_001920147,0.271411, 0.000084
pr_002170669,0.271411, 0.000084
pr_001949255,0.271411, 0.000084
pr_001365369,0.271411, 0.000104
pr_001538861,0.271411, 0.000105
pr_001354269,0.271411, 0.000114
pr_001167568,0.271411, 0.000120
pr_001933097,0.271411, 0.000120
pr_002146395,0.271411, 0.000120
pr_001974897,0.271411, 0.000120
pr_000669596,0.271411, 0.000120
pr_002162043,0.271411, 0.000120
pr_001151594,0.271411, 0.000120
pr_000866690,0.271411, 0.000120
pr_001934285,0.271411, 0.000120
pr_000968997,0.271411, 0.000120
pr_001917693,0.271411, 0.000120
pr_001971903,0.271411, 0.000120
pr_001932166,0.271411, 0.000120
pr_002146374,0.271411, 0.000120
pr_000658531,0.271411, 0.000120
pr_002139218,0.271411, 0.000120
pr_001917456,0.271411, 0.000120
pr_001951880,0.271411, 0.000120
pr_002089365,0.271411, 0.000120
pr_001928865,0.271411, 0.000120
pr_002162188,0.271411, 0.000120
pr_002135403,0.271411, 0.000120
pr_002153242,0.271411, 0.000120
pr_000847058,0.271411, 0.000126
pr_001239440,0.271411, 0.000134
pr_000736713,0.271411, 0.000137
pr_001265160,0.271411, 0.000154
pr_001281327,0.271411, 0.000155
pr_001211810,0.271411, 0.000180
pr_000669883,0.271411, 0.000181
pr_001323199,0.271411, 0.000183
pr_001338867,0.271411, 0.000183
pr_001231576,0.271411, 0.000183
pr_001313125,0.271411, 0.000183
pr_001292851,0.271411, 0.000183
pr_001250103,0.271411, 0.000183
pr_001259663,0.271411, 0.000183
pr_001306255,0.271411, 0.000199
pr_001334843,0.271411, 0.000209
pr_001237312,0.271411, 0.000213
