Product ID : 2086 # of JPs covered : 1 : 427 : Foreign Business, 
OID,Confidence at Map Node,Error at Map Node
us_000594495,0.256835, 0.059972
us_000609077,0.256835, 0.322540
us_000578350,0.041444, 0.000000
us_000484501,0.041444, 0.000000
us_000462944,0.041444, 0.000000
us_000418846,0.041444, 0.000000
us_000478346,0.041444, 0.000000
us_000475335,0.041444, 0.000000
us_000423517,0.041444, 0.000000
us_000494307,0.041444, 0.000000
us_000486355,0.041444, 0.000000
us_000528713,0.041444, 0.000002
us_000586224,0.041444, 0.000002
us_000615470,0.041444, 0.000145
us_000563544,0.041444, 0.000210
us_000525807,0.041444, 0.000289
us_000525562,0.041444, 0.000334
us_000586393,0.041444, 0.000573
us_000464475,0.041444, 0.000752
us_000475896,0.041444, 0.000790
us_000511531,0.041444, 0.001933
us_000532809,0.041444, 0.002740
us_000573661,0.041444, 0.003022
us_000595346,0.041444, 0.003471
us_000560338,0.041444, 0.004382
us_000571161,0.041444, 0.004972
us_000589813,0.041444, 0.007017
us_000579536,0.041444, 0.010729
us_000596103,0.041444, 0.011768
us_000471875,0.041444, 0.012543
us_000588844,0.041444, 0.012558
us_000540946,0.041444, 0.016508
us_000581085,0.041444, 0.020146
us_000521331,0.041444, 0.032641
us_000474489,0.041444, 0.034637
us_000581511,0.041444, 0.035046
us_000564727,0.041444, 0.043543
us_000532136,0.041444, 0.052119
us_000473247,0.041444, 0.058835
us_000493053,0.041444, 0.115546
