Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 190 | Accounting-Valuation Services (jp:190,idx:34)
Class Probability,Ex Count at BMU,BMU Map Loc
0.6382979,300.0,(41|12)
0.3261538,106.0,(43|12)
0.2722222,49.0,(41|13)
0.1495327,32.0,(41|11)
0.1046512,9.0,(46|2)
0.07377049,9.0,(42|12)
0.05970149,8.0,(41|10)
0.05785124,7.0,(42|11)
0.03465347,7.0,(0|47)
0.03333334,1.0,(40|13)
0.03105590,5.0,(44|2)
0.02739726,4.0,(44|3)
0.02564103,1.0,(3|46)
0.02040816,2.0,(40|14)
0.01694915,2.0,(41|5)
0.01652892,2.0,(38|1)
0.01307190,2.0,(41|2)
0.01265823,1.0,(0|1)
0.01250000,1.0,(9|21)
0.01041667,2.0,(39|17)
0.009756098,2.0,(43|43)
0.009708738,2.0,(39|16)
0.009523810,1.0,(40|12)
0.007575758,1.0,(39|10)
0.006896552,2.0,(44|6)
0.006711409,1.0,(3|0)
0.006211180,1.0,(42|6)
0.005747126,2.0,(37|5)
0.005235602,1.0,(16|25)
0.003623188,1.0,(49|43)
0.003424658,1.0,(43|48)
0.002702703,1.0,(17|26)
0.002277904,1.0,(24|37)
