Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 244 | Tax Law-Non-Profit (jp:244,idx:64)
Class Probability,Ex Count at BMU,BMU Map Loc
0.3243902,133.0,(36|19)
0.03571429,2.0,(3|38)
0.03260870,3.0,(38|16)
0.02857143,1.0,(27|1)
0.01960784,3.0,(0|43)
0.01680672,2.0,(40|6)
0.01369863,2.0,(44|3)
0.01250000,1.0,(33|3)
0.01117318,2.0,(40|5)
0.01063830,2.0,(43|23)
0.01000000,1.0,(3|49)
0.009433962,1.0,(0|35)
0.009259259,1.0,(7|45)
0.009230769,3.0,(0|37)
0.009009009,1.0,(43|14)
0.007462686,1.0,(5|43)
0.007159905,3.0,(46|29)
0.006289308,1.0,(18|38)
0.006134969,1.0,(48|45)
0.005494506,1.0,(42|23)
0.005244755,3.0,(8|42)
0.004524887,2.0,(34|44)
0.004189944,3.0,(35|22)
0.004149378,1.0,(41|15)
0.002949852,1.0,(18|48)
0.002659574,1.0,(37|17)
0.002525253,1.0,(27|0)
0.002518892,1.0,(3|41)
0.002518892,1.0,(4|42)
0.001798561,1.0,(37|23)
0.001798561,1.0,(46|34)
0.001686341,1.0,(11|20)
0.001661130,1.0,(19|20)
0.001574803,1.0,(12|27)
0.001161440,1.0,(47|3)
