Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 466 | Corporate Risk Mgt (jp:466,idx:201)
Class Probability,Ex Count at BMU,BMU Map Loc
0.07913669,11.0,(26|32)
0.05128205,2.0,(1|22)
0.04922644,35.0,(30|24)
0.03389831,2.0,(29|43)
0.02941176,1.0,(3|12)
0.02941176,1.0,(33|19)
0.02597403,2.0,(13|44)
0.02380952,1.0,(1|6)
0.02083333,1.0,(17|15)
0.01739130,2.0,(5|26)
0.01574803,2.0,(18|3)
0.01501502,5.0,(17|39)
0.01324503,2.0,(22|33)
0.008810572,2.0,(24|31)
0.008771930,1.0,(4|11)
0.008771930,1.0,(22|40)
0.008264462,1.0,(9|27)
0.008196721,1.0,(15|11)
0.007462686,1.0,(5|43)
0.006451613,1.0,(17|45)
0.005714286,1.0,(11|27)
0.005665722,2.0,(26|30)
0.005649718,1.0,(16|3)
0.005617978,1.0,(29|46)
0.005586592,3.0,(25|28)
0.005376344,1.0,(12|49)
0.005319149,1.0,(8|47)
0.005319149,1.0,(24|28)
0.005235602,1.0,(45|15)
0.005235602,1.0,(47|24)
0.004975124,1.0,(5|33)
0.004636785,3.0,(17|21)
0.004385965,2.0,(13|37)
0.004291845,1.0,(27|47)
0.004291845,1.0,(33|1)
0.003861004,2.0,(15|41)
0.003846154,1.0,(26|49)
0.003787879,1.0,(15|12)
0.003521127,1.0,(20|33)
0.003460208,1.0,(19|46)
0.003194888,1.0,(27|30)
0.003154574,1.0,(35|4)
0.002976191,1.0,(28|2)
0.002898551,1.0,(12|10)
0.002873563,1.0,(6|40)
0.002873563,1.0,(7|40)
0.002873563,1.0,(7|41)
0.002617801,1.0,(31|6)
0.002139037,2.0,(25|14)
0.001879699,1.0,(21|35)
0.001834862,1.0,(25|27)
0.001610306,1.0,(9|12)
0.001483680,1.0,(25|31)
0.001443001,1.0,(7|23)
0.001121076,1.0,(28|48)
0.0008525149,1.0,(18|31)
