Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 157 | Accounting-Accounting/Audit/Assurance (jp:157,idx:32)
Class Probability,Ex Count at BMU,BMU Map Loc
0.9368836,475.0,(40|17)
0.8095238,119.0,(40|16)
0.6941748,143.0,(39|16)
0.5121951,252.0,(40|18)
0.5000000,96.0,(39|17)
0.2444444,44.0,(41|13)
0.2285714,8.0,(39|15)
0.1379310,4.0,(43|3)
0.1095890,16.0,(44|3)
0.1067961,11.0,(45|4)
0.09302326,8.0,(46|2)
0.08965518,13.0,(46|3)
0.08695652,14.0,(44|2)
0.08108108,3.0,(45|3)
0.06289309,10.0,(45|7)
0.06172840,5.0,(45|6)
0.05333333,4.0,(44|5)
0.05128205,2.0,(3|46)
0.04255319,6.0,(38|17)
0.03571429,2.0,(42|16)
0.03488372,9.0,(43|10)
0.02212389,5.0,(43|5)
0.01869159,4.0,(41|11)
0.01639344,2.0,(42|12)
0.01492537,2.0,(41|10)
0.01230769,4.0,(43|12)
0.01212121,2.0,(41|1)
0.01092896,2.0,(41|8)
0.01030928,2.0,(2|3)
0.008474576,1.0,(42|7)
0.008264462,1.0,(44|1)
0.007692308,1.0,(6|22)
0.007194245,1.0,(4|45)
0.006896552,2.0,(44|6)
0.006382979,3.0,(41|12)
0.005464481,1.0,(41|48)
0.005050505,1.0,(40|8)
0.004724409,3.0,(12|27)
0.004454343,2.0,(40|1)
0.003278689,1.0,(49|4)
0.003278689,1.0,(49|5)
0.003086420,1.0,(2|1)
0.002564103,1.0,(39|14)
0.002217295,1.0,(26|46)
0.0009784736,1.0,(36|14)
0.0006988120,1.0,(32|17)
0.0006988120,1.0,(32|18)
