Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 376 | Energy-Renewable-Tax (jp:376,idx:140)
Class Probability,Ex Count at BMU,BMU Map Loc
0.4007092,113.0,(11|19)
0.2327150,138.0,(11|20)
0.2000000,2.0,(12|18)
0.1343284,9.0,(9|19)
0.1250000,1.0,(12|19)
0.1209677,15.0,(11|18)
0.09289618,17.0,(10|18)
0.05882353,2.0,(10|20)
0.02941176,1.0,(9|15)
0.02941176,1.0,(11|14)
0.02816901,2.0,(11|17)
0.02083333,2.0,(9|36)
0.02068966,3.0,(8|43)
0.02061856,4.0,(7|42)
0.02061856,4.0,(7|43)
0.01980198,2.0,(11|16)
0.01818182,1.0,(10|19)
0.01746725,4.0,(10|17)
0.01574803,2.0,(10|21)
0.01449275,1.0,(15|14)
0.01298701,2.0,(9|18)
0.01041667,3.0,(21|37)
0.01000000,1.0,(4|43)
0.01000000,1.0,(5|44)
0.009950249,2.0,(5|33)
0.009259259,1.0,(7|45)
0.009009009,2.0,(38|25)
0.007874016,1.0,(13|15)
0.007633588,1.0,(36|5)
0.007518797,2.0,(16|42)
0.007352941,1.0,(4|34)
0.006666667,1.0,(11|13)
0.006493506,1.0,(16|36)
0.005747126,2.0,(37|5)
0.005347594,1.0,(49|41)
0.005319149,1.0,(2|39)
0.005235602,1.0,(10|27)
0.004975124,1.0,(49|23)
0.004878049,1.0,(15|39)
0.004784689,1.0,(6|38)
0.004716981,1.0,(1|37)
0.004273504,1.0,(9|38)
0.003831418,1.0,(9|43)
0.003344482,1.0,(3|40)
0.003215434,1.0,(21|16)
0.003076923,1.0,(0|37)
0.002702703,1.0,(18|16)
0.002544529,2.0,(6|46)
0.002518892,1.0,(3|41)
0.002518892,1.0,(4|42)
0.002257336,1.0,(8|14)
0.002247191,1.0,(49|33)
0.001805054,1.0,(19|36)
