Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 445 | Municipal Finance-Admin (jp:445,idx:196)
Class Probability,Ex Count at BMU,BMU Map Loc
0.7173913,33.0,(22|16)
0.5884244,183.0,(21|16)
0.4545455,10.0,(22|15)
0.3537906,98.0,(21|15)
0.1557377,19.0,(20|16)
0.09677419,3.0,(21|17)
0.05714286,2.0,(47|29)
0.03249098,9.0,(18|13)
0.02272727,1.0,(17|14)
0.02040816,2.0,(10|3)
0.02000000,1.0,(20|15)
0.01980198,2.0,(11|16)
0.01785714,1.0,(9|1)
0.01492537,1.0,(9|19)
0.01282051,5.0,(19|0)
0.01092896,2.0,(3|35)
0.009685230,4.0,(15|48)
0.009569378,2.0,(6|38)
0.009259259,1.0,(22|5)
0.008928572,1.0,(24|32)
0.008196721,1.0,(11|39)
0.008000000,2.0,(8|28)
0.006756757,1.0,(6|49)
0.006172840,1.0,(10|14)
0.004975124,1.0,(49|23)
0.004854369,1.0,(2|33)
0.004629630,1.0,(5|48)
0.004555809,2.0,(24|37)
0.004514673,2.0,(8|14)
0.003913894,2.0,(27|5)
0.003401360,1.0,(16|15)
0.003278689,1.0,(10|13)
0.003012048,1.0,(12|1)
0.003012048,1.0,(13|49)
0.002724796,1.0,(24|27)
0.002439024,1.0,(36|19)
0.002386635,1.0,(46|29)
0.001798561,1.0,(46|34)
0.001748252,1.0,(8|42)
0.001745201,1.0,(30|14)
0.001574803,1.0,(12|27)
0.001443001,1.0,(7|23)
0.001272265,1.0,(6|46)
