Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 335 | Tax Prep-Pass-Through (jp:335,idx:118)
Class Probability,Ex Count at BMU,BMU Map Loc
0.9116719,289.0,(36|32)
0.7322835,186.0,(35|32)
0.5714286,68.0,(34|32)
0.4753087,77.0,(35|31)
0.3073593,71.0,(35|33)
0.06593407,6.0,(36|33)
0.05780347,10.0,(33|40)
0.05780347,10.0,(33|41)
0.05769231,6.0,(36|31)
0.03875969,5.0,(47|34)
0.02758621,4.0,(34|33)
0.02666667,2.0,(49|1)
0.01811594,5.0,(49|43)
0.01538462,6.0,(39|14)
0.01324503,2.0,(33|44)
0.01307190,2.0,(30|40)
0.01265823,2.0,(35|47)
0.01219512,2.0,(2|41)
0.01142857,2.0,(36|46)
0.01025641,2.0,(38|14)
0.008849557,1.0,(37|42)
0.008746356,3.0,(31|40)
0.008264462,1.0,(44|1)
0.007782101,2.0,(41|4)
0.006191950,2.0,(49|2)
0.006172840,2.0,(2|1)
0.006147541,3.0,(48|3)
0.005649718,1.0,(36|42)
0.005649718,1.0,(43|35)
0.005405406,1.0,(37|47)
0.005235602,1.0,(36|41)
0.004524887,2.0,(34|44)
0.004494382,2.0,(49|33)
0.004405286,1.0,(32|41)
0.004291845,1.0,(16|38)
0.004291845,1.0,(39|40)
0.004255319,2.0,(41|12)
0.004048583,1.0,(46|43)
0.003952569,1.0,(47|41)
0.003875969,1.0,(43|10)
0.003802281,1.0,(45|42)
0.003663004,2.0,(36|48)
0.003289474,1.0,(38|2)
0.003225806,1.0,(39|11)
0.003003003,1.0,(42|17)
0.002915452,1.0,(43|1)
0.002544529,1.0,(38|40)
0.001976285,1.0,(37|28)
0.001798561,1.0,(37|23)
0.001404494,1.0,(18|34)
