Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 362 | LoanDoc-TermsTrends (jp:362,idx:127)
Class Probability,Ex Count at BMU,BMU Map Loc
0.03703704,2.0,(5|4)
0.03703704,3.0,(16|24)
0.03659743,37.0,(20|24)
0.03636364,2.0,(11|35)
0.03603604,4.0,(6|23)
0.03571429,2.0,(16|30)
0.03529412,3.0,(3|37)
0.03529412,12.0,(19|26)
0.03493450,8.0,(11|33)
0.03448276,5.0,(6|41)
0.03448276,3.0,(20|27)
0.03448276,3.0,(23|22)
0.03448276,1.0,(23|24)
0.03439803,14.0,(9|31)
0.03424658,5.0,(17|37)
0.03385417,13.0,(9|13)
0.03370786,3.0,(14|22)
0.03333334,1.0,(22|2)
0.03319502,8.0,(41|15)
0.03225806,1.0,(21|17)
0.03212851,8.0,(17|28)
0.03157895,3.0,(7|25)
0.03137255,8.0,(5|25)
0.03045685,6.0,(8|35)
0.03012048,5.0,(23|23)
0.03000000,3.0,(4|43)
0.03000000,3.0,(5|44)
0.02990897,23.0,(17|32)
0.02985075,2.0,(9|19)
0.02941176,1.0,(10|20)
0.02928870,7.0,(5|39)
0.02898551,2.0,(14|11)
0.02898551,2.0,(45|31)
0.02819549,15.0,(21|35)
0.02816901,4.0,(11|23)
0.02793296,5.0,(8|37)
0.02758621,4.0,(16|29)
0.02747253,5.0,(4|35)
0.02659575,5.0,(24|28)
0.02631579,3.0,(4|11)
0.02620087,6.0,(21|31)
0.02617801,5.0,(16|25)
0.02608696,3.0,(5|26)
0.02597403,4.0,(9|18)
0.02597403,2.0,(45|26)
0.02590674,5.0,(22|30)
0.02586207,9.0,(6|40)
0.02586207,9.0,(7|40)
0.02586207,9.0,(7|41)
0.02586207,3.0,(10|35)
0.02577320,5.0,(7|42)
0.02577320,5.0,(7|43)
0.02531646,8.0,(22|23)
0.02500000,2.0,(9|21)
0.02479339,3.0,(9|29)
0.02459016,6.0,(3|31)
0.02439024,2.0,(7|18)
0.02421308,10.0,(17|30)
0.02419355,9.0,(28|23)
0.02400000,6.0,(8|28)
0.02336449,5.0,(26|10)
0.02285714,4.0,(12|28)
0.02272727,5.0,(6|37)
0.02259887,4.0,(16|39)
0.02222222,1.0,(11|8)
0.02222222,1.0,(47|11)
0.02197802,2.0,(3|11)
0.02185792,4.0,(7|27)
0.02158273,3.0,(16|22)
0.02150538,8.0,(15|37)
0.02142857,6.0,(5|24)
0.02127660,4.0,(5|32)
0.02105263,2.0,(14|7)
0.02105263,2.0,(18|14)
0.02083333,2.0,(9|36)
0.02083333,1.0,(17|33)
0.02068966,3.0,(6|35)
0.02040816,1.0,(13|21)
0.02033898,6.0,(7|29)
0.02027027,3.0,(13|22)
0.02008032,5.0,(7|26)
0.02000000,1.0,(5|11)
0.02000000,1.0,(10|29)
0.01990050,4.0,(5|33)
0.01977401,7.0,(10|30)
0.01960784,1.0,(36|6)
0.01948052,3.0,(16|36)
0.01941748,6.0,(7|31)
0.01935484,3.0,(20|35)
0.01923077,1.0,(7|37)
0.01904762,2.0,(11|4)
0.01877934,4.0,(44|26)
0.01869159,2.0,(25|4)
0.01863354,3.0,(18|24)
0.01851852,3.0,(3|29)
0.01851852,2.0,(7|45)
0.01834862,2.0,(14|13)
0.01808318,10.0,(17|24)
0.01785714,1.0,(3|38)
0.01785714,1.0,(10|26)
0.01775148,3.0,(17|12)
0.01773836,8.0,(26|46)
0.01746725,4.0,(10|17)
0.01739130,2.0,(8|46)
0.01724138,2.0,(21|19)
0.01724138,4.0,(26|11)
0.01716738,4.0,(27|47)
0.01712329,5.0,(43|48)
0.01709402,2.0,(33|13)
0.01707317,7.0,(36|19)
0.01702128,4.0,(13|18)
0.01694915,2.0,(43|17)
0.01686341,10.0,(11|20)
0.01680672,2.0,(17|23)
0.01673640,4.0,(34|48)
0.01666667,2.0,(11|24)
0.01657459,3.0,(20|30)
0.01639344,2.0,(3|34)
0.01639344,3.0,(3|35)
0.01639344,3.0,(10|18)
0.01628223,12.0,(20|23)
0.01624549,9.0,(19|36)
0.01612903,2.0,(11|18)
0.01612903,1.0,(14|30)
0.01606426,4.0,(28|0)
0.01600000,2.0,(18|29)
0.01587302,2.0,(17|29)
0.01583114,6.0,(24|35)
0.01562500,2.0,(7|35)
0.01546392,3.0,(4|41)
0.01546392,3.0,(14|17)
0.01542416,6.0,(26|27)
0.01538462,2.0,(13|11)
0.01538462,6.0,(19|0)
0.01538462,4.0,(26|49)
0.01486620,15.0,(26|25)
0.01470588,4.0,(4|40)
0.01470588,4.0,(5|40)
0.01470588,4.0,(5|41)
0.01470588,2.0,(14|40)
0.01457726,5.0,(43|1)
0.01428571,1.0,(26|28)
0.01428571,1.0,(33|47)
0.01419214,13.0,(17|25)
0.01408451,2.0,(4|13)
0.01408451,1.0,(5|38)
0.01408451,1.0,(6|39)
0.01395349,3.0,(19|33)
0.01388889,3.0,(4|30)
0.01369863,2.0,(29|49)
0.01362398,5.0,(24|27)
0.01360544,2.0,(11|6)
0.01356589,7.0,(15|30)
0.01333333,1.0,(12|32)
0.01330798,7.0,(19|28)
0.01315789,1.0,(10|28)
0.01315789,2.0,(11|10)
0.01315789,1.0,(17|34)
0.01315789,1.0,(41|28)
0.01311475,4.0,(10|13)
0.01298701,3.0,(4|31)
0.01298701,1.0,(17|3)
0.01282051,1.0,(20|34)
0.01282051,1.0,(21|27)
0.01282051,2.0,(27|48)
0.01265823,1.0,(11|7)
0.01259446,5.0,(3|41)
0.01259446,5.0,(4|42)
0.01250000,1.0,(8|22)
0.01250000,1.0,(12|20)
0.01250000,1.0,(41|21)
0.01242236,2.0,(6|32)
0.01219512,1.0,(25|2)
0.01212121,2.0,(28|28)
0.01204819,3.0,(15|36)
0.01204819,6.0,(22|26)
0.01201201,4.0,(22|21)
0.01201201,4.0,(22|29)
0.01186944,4.0,(30|43)
0.01162791,1.0,(24|47)
0.01140684,3.0,(7|46)
0.01136364,3.0,(19|32)
0.01131222,5.0,(25|26)
0.01119403,3.0,(5|36)
0.01117318,2.0,(40|5)
0.01111111,3.0,(8|23)
0.01111111,2.0,(47|8)
0.01098901,3.0,(6|36)
0.01098901,2.0,(24|3)
0.01098901,1.0,(47|10)
0.01094890,3.0,(11|15)
0.01092896,2.0,(42|18)
0.01090909,3.0,(12|5)
0.01083033,3.0,(21|15)
0.01081081,2.0,(13|43)
0.01081081,2.0,(16|26)
0.01081081,4.0,(18|16)
0.01075269,1.0,(4|38)
0.01063830,2.0,(8|47)
0.01063830,6.0,(16|11)
0.01063830,1.0,(31|48)
0.01052632,4.0,(25|47)
0.01047120,2.0,(20|32)
0.01046025,5.0,(20|28)
0.01023018,12.0,(18|31)
0.01020408,3.0,(34|0)
0.01017812,8.0,(6|46)
0.01000000,1.0,(13|24)
0.009900990,1.0,(4|29)
0.009803922,3.0,(19|24)
0.009708738,1.0,(9|34)
0.009708738,1.0,(31|7)
0.009661836,2.0,(9|17)
0.009569378,2.0,(6|38)
0.009523810,1.0,(9|46)
0.009523810,1.0,(22|24)
0.009497965,7.0,(1|29)
0.009463723,3.0,(11|9)
0.009336100,9.0,(27|21)
0.009259259,2.0,(5|48)
0.009090909,1.0,(32|5)
0.009029346,4.0,(8|14)
0.008928572,5.0,(20|26)
0.008902078,6.0,(25|31)
