Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 407 | Tax Law-Invest-Vehicles (jp:407,idx:166)
Class Probability,Ex Count at BMU,BMU Map Loc
0.006410256,2.0,(14|34)
0.006410256,1.0,(44|7)
0.006382979,3.0,(41|12)
0.006329114,2.0,(22|23)
0.006329114,1.0,(47|13)
0.006309148,2.0,(46|49)
0.006289308,1.0,(18|38)
0.006250000,1.0,(45|20)
0.006211180,1.0,(46|14)
0.006134969,2.0,(13|38)
0.006134969,2.0,(40|27)
0.006134969,1.0,(48|45)
0.006079027,2.0,(46|0)
0.005747126,2.0,(37|5)
0.005747126,1.0,(49|34)
0.005730659,2.0,(0|38)
0.005555556,2.0,(38|45)
0.005524862,1.0,(44|36)
0.005464481,1.0,(3|48)
0.005464481,1.0,(10|18)
0.005449591,2.0,(24|27)
0.005434783,1.0,(45|24)
0.005434783,1.0,(45|25)
0.005376344,1.0,(5|30)
0.005376344,1.0,(43|47)
0.005291005,1.0,(43|49)
0.005263158,2.0,(46|24)
0.005208333,1.0,(41|27)
0.005181347,1.0,(48|36)
0.005076142,1.0,(47|46)
0.005025126,1.0,(41|9)
0.004950495,1.0,(43|34)
0.004950495,1.0,(46|47)
0.004926108,3.0,(44|17)
0.004878049,1.0,(15|39)
0.004878049,2.0,(36|19)
0.004784689,1.0,(6|38)
0.004773270,2.0,(46|29)
0.004739337,1.0,(48|38)
0.004705882,2.0,(22|12)
0.004694836,1.0,(44|26)
0.004662005,2.0,(37|26)
0.004494382,2.0,(49|33)
0.004464286,1.0,(32|33)
0.004366812,1.0,(21|31)
0.004347826,1.0,(45|39)
0.004329004,1.0,(35|3)
0.004319654,2.0,(37|12)
0.004310345,1.0,(7|24)
0.004310345,1.0,(25|13)
0.004291845,1.0,(16|38)
0.004255319,1.0,(13|18)
0.004255319,2.0,(38|35)
0.004237288,1.0,(42|36)
0.004219409,1.0,(34|49)
0.004184100,1.0,(46|37)
0.004166667,2.0,(32|6)
0.004065040,1.0,(0|41)
0.004048583,2.0,(6|26)
0.004000000,1.0,(15|33)
0.003964321,4.0,(26|25)
0.003952569,1.0,(2|32)
0.003745318,2.0,(23|3)
0.003745318,2.0,(23|4)
0.003735990,3.0,(45|10)
0.003597122,1.0,(40|46)
0.003546099,1.0,(11|19)
0.003424658,1.0,(47|22)
0.003389830,1.0,(7|29)
0.003322259,1.0,(43|7)
0.003289474,1.0,(19|16)
0.003220612,2.0,(9|12)
0.003215434,1.0,(21|16)
0.003134796,1.0,(27|27)
0.002732240,1.0,(41|35)
0.002706360,2.0,(28|14)
0.002688172,1.0,(15|37)
0.002583979,1.0,(42|28)
0.002544529,2.0,(6|46)
0.002500000,1.0,(1|44)
0.002487562,1.0,(35|48)
0.002487562,1.0,(36|49)
0.002444988,1.0,(7|32)
0.002433090,1.0,(20|42)
0.002415459,1.0,(32|35)
0.002227172,1.0,(40|1)
0.002217295,1.0,(26|46)
0.002079002,1.0,(44|10)
0.002049180,1.0,(18|20)
0.001956947,1.0,(27|5)
0.001937984,1.0,(15|30)
0.001834862,1.0,(25|27)
0.001773050,1.0,(16|11)
0.001724138,2.0,(21|20)
0.001692047,1.0,(24|20)
0.001579779,1.0,(44|32)
0.001574803,1.0,(12|27)
0.001562500,1.0,(27|32)
0.001547988,1.0,(35|5)
0.001529052,1.0,(31|21)
0.001443001,1.0,(7|23)
0.001410437,1.0,(19|31)
0.001396648,1.0,(35|22)
0.001253133,1.0,(23|34)
0.001250000,1.0,(37|21)
0.001196172,1.0,(13|6)
0.001037344,1.0,(27|21)
0.0009615385,1.0,(36|25)
0.0009225092,1.0,(14|27)
0.0008525149,1.0,(18|31)
0.0007315289,1.0,(31|34)
0.0007315289,1.0,(32|36)
