Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 97 | Healthcare (jp:97,idx:17)
Class Probability,Ex Count at BMU,BMU Map Loc
0.02325581,4.0,(14|49)
0.02290076,3.0,(8|0)
0.02290076,3.0,(9|4)
0.02238806,3.0,(49|19)
0.02222222,1.0,(11|8)
0.02202643,5.0,(24|31)
0.02197802,2.0,(10|4)
0.02173913,1.0,(22|13)
0.02173913,2.0,(38|16)
0.02150538,6.0,(24|0)
0.02142857,3.0,(11|3)
0.02083333,7.0,(28|2)
0.02040816,1.0,(7|16)
0.02020202,4.0,(12|41)
0.02020202,2.0,(16|40)
0.01982379,9.0,(24|49)
0.01960784,3.0,(8|34)
0.01960784,1.0,(23|2)
0.01941748,4.0,(2|33)
0.01941748,2.0,(17|35)
0.01904762,2.0,(9|46)
0.01886792,2.0,(46|36)
0.01869159,2.0,(3|6)
0.01851852,2.0,(17|38)
0.01851852,2.0,(19|29)
0.01822917,7.0,(9|13)
0.01818182,2.0,(10|45)
0.01805869,8.0,(8|14)
0.01805054,5.0,(29|4)
0.01785714,1.0,(10|26)
0.01785714,1.0,(42|16)
0.01779359,5.0,(12|11)
0.01754386,2.0,(4|11)
0.01754386,2.0,(6|31)
0.01652892,2.0,(38|1)
0.01626016,2.0,(23|11)
0.01612903,2.0,(12|3)
0.01612903,5.0,(25|48)
0.01602262,17.0,(25|12)
0.01587302,1.0,(12|2)
0.01587302,2.0,(48|39)
0.01578947,3.0,(17|7)
0.01578947,6.0,(25|47)
0.01577287,5.0,(18|7)
0.01562500,1.0,(4|22)
0.01562500,2.0,(15|28)
0.01557632,5.0,(12|6)
0.01546392,3.0,(4|41)
0.01542416,6.0,(26|27)
0.01503759,8.0,(21|35)
0.01470588,3.0,(15|29)
0.01449275,5.0,(12|10)
0.01442308,3.0,(6|33)
0.01435407,3.0,(6|38)
0.01428571,3.0,(33|48)
0.01418440,4.0,(29|44)
0.01408451,1.0,(5|38)
0.01408451,1.0,(6|27)
0.01408451,1.0,(6|39)
0.01401869,3.0,(41|11)
0.01379310,2.0,(26|1)
0.01351351,3.0,(8|1)
0.01351351,1.0,(23|47)
0.01351351,3.0,(27|37)
0.01346801,4.0,(2|49)
0.01315789,1.0,(17|34)
0.01293103,3.0,(25|13)
0.01288660,5.0,(11|49)
0.01286174,4.0,(21|16)
0.01282051,1.0,(21|27)
0.01282051,2.0,(27|48)
0.01258993,7.0,(46|34)
0.01250000,2.0,(15|49)
0.01250000,1.0,(19|7)
0.01212121,4.0,(1|5)
0.01197605,2.0,(29|40)
0.01190476,2.0,(2|10)
0.01190476,1.0,(24|25)
0.01183432,2.0,(17|12)
0.01171875,3.0,(34|3)
0.01156069,2.0,(21|32)
0.01149425,2.0,(13|41)
0.01149425,2.0,(13|42)
0.01136364,1.0,(14|36)
0.01117318,2.0,(5|22)
0.01111111,1.0,(0|33)
0.01098901,2.0,(24|3)
0.01098901,1.0,(47|10)
0.01096491,10.0,(22|25)
0.01092896,2.0,(3|35)
0.01092896,2.0,(7|27)
0.01090909,3.0,(12|5)
0.01086957,1.0,(25|1)
0.01075269,2.0,(12|49)
0.01075269,1.0,(15|23)
0.01075269,2.0,(18|28)
0.01075269,1.0,(22|22)
0.01058201,2.0,(31|25)
0.01033592,4.0,(17|8)
0.01020408,3.0,(24|2)
0.01020408,1.0,(35|0)
0.01017812,8.0,(6|46)
0.009900990,1.0,(20|0)
0.009756098,2.0,(15|39)
0.009523810,2.0,(43|22)
0.009380863,5.0,(10|6)
0.009302326,2.0,(19|33)
0.009259259,1.0,(10|5)
0.009259259,1.0,(22|5)
0.009174312,6.0,(31|21)
0.009009009,1.0,(6|23)
0.009009009,1.0,(32|48)
0.008968610,2.0,(8|12)
0.008771930,1.0,(10|7)
0.008771930,1.0,(25|45)
0.008771930,1.0,(30|0)
0.008733625,2.0,(21|31)
0.008695652,1.0,(5|26)
0.008583691,2.0,(16|38)
0.008547009,2.0,(9|38)
0.008547009,1.0,(33|13)
0.008438818,2.0,(33|0)
0.008368201,2.0,(34|48)
0.008264462,1.0,(2|26)
0.008196721,1.0,(22|4)
0.008064516,1.0,(26|48)
0.008032128,4.0,(22|26)
0.008032128,2.0,(28|0)
0.007936508,1.0,(17|29)
0.007915568,3.0,(25|11)
0.007905139,2.0,(32|12)
0.007782101,2.0,(20|25)
0.007751938,1.0,(14|2)
0.007692308,1.0,(6|22)
0.007692308,2.0,(26|49)
0.007662835,2.0,(9|43)
0.007604563,2.0,(7|46)
0.007575758,7.0,(33|15)
0.007462686,1.0,(19|27)
0.007448790,4.0,(25|28)
0.007352941,1.0,(19|10)
0.007339450,4.0,(25|27)
0.007285974,4.0,(30|5)
0.007263923,3.0,(15|48)
0.007263923,3.0,(17|30)
0.007159905,3.0,(9|6)
0.006993007,4.0,(8|42)
0.006944444,2.0,(8|19)
0.006920415,2.0,(2|6)
0.006896552,1.0,(6|41)
0.006896552,1.0,(34|2)
0.006802721,1.0,(24|10)
0.006802721,2.0,(34|0)
0.006779661,2.0,(7|29)
0.006756757,1.0,(6|49)
0.006666667,1.0,(19|9)
0.006666667,2.0,(48|46)
0.006622517,1.0,(30|3)
0.006578947,2.0,(15|21)
0.006472492,2.0,(14|4)
0.006410256,1.0,(6|4)
0.006410256,1.0,(12|33)
0.006410256,1.0,(44|7)
0.006309148,2.0,(11|9)
0.006211180,1.0,(4|49)
