Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 117 | Litigation (jp:117,idx:22)
Class Probability,Ex Count at BMU,BMU Map Loc
0.01869159,2.0,(3|6)
0.01857585,6.0,(14|43)
0.01851852,2.0,(7|45)
0.01843318,4.0,(19|18)
0.01843318,4.0,(30|20)
0.01818182,2.0,(10|45)
0.01811594,5.0,(20|7)
0.01807229,9.0,(22|26)
0.01785714,1.0,(16|30)
0.01754386,1.0,(2|17)
0.01754386,1.0,(7|6)
0.01724138,4.0,(5|10)
0.01724138,2.0,(7|5)
0.01724138,1.0,(9|25)
0.01694915,7.0,(15|48)
0.01666667,3.0,(18|41)
0.01652892,4.0,(26|5)
0.01639344,1.0,(4|16)
0.01612903,2.0,(12|3)
0.01612903,5.0,(25|48)
0.01587302,2.0,(5|18)
0.01587302,2.0,(47|7)
0.01577287,5.0,(18|7)
0.01574803,2.0,(41|19)
0.01565558,8.0,(27|5)
0.01562500,2.0,(7|12)
0.01562500,2.0,(15|28)
0.01562500,1.0,(48|8)
0.01550388,2.0,(14|2)
0.01550388,2.0,(49|17)
0.01538462,1.0,(3|9)
0.01538462,1.0,(26|19)
0.01492537,1.0,(21|8)
0.01483051,7.0,(21|14)
0.01470588,1.0,(25|38)
0.01449275,1.0,(15|14)
0.01449275,1.0,(16|10)
0.01444043,4.0,(18|13)
0.01428571,2.0,(4|20)
0.01428571,2.0,(7|38)
0.01428571,2.0,(11|3)
0.01428571,1.0,(16|2)
0.01415929,8.0,(29|10)
0.01398601,2.0,(12|42)
0.01398601,2.0,(14|5)
0.01392758,5.0,(12|46)
0.01388889,2.0,(2|14)
0.01388889,3.0,(5|48)
0.01388889,3.0,(30|48)
0.01379310,2.0,(16|29)
0.01369863,1.0,(5|7)
0.01369863,1.0,(7|20)
0.01369863,1.0,(11|12)
0.01362398,5.0,(24|27)
0.01351351,3.0,(8|1)
0.01351351,3.0,(27|37)
0.01333333,2.0,(7|7)
0.01327434,3.0,(20|47)
0.01298701,1.0,(28|8)
0.01298701,3.0,(31|10)
0.01282051,1.0,(5|13)
0.01282051,2.0,(6|4)
0.01282051,2.0,(12|33)
0.01265823,1.0,(11|7)
0.01261830,4.0,(11|9)
0.01250000,1.0,(8|5)
0.01250000,1.0,(9|21)
0.01232033,6.0,(27|19)
0.01223242,4.0,(17|18)
0.01219512,1.0,(22|6)
0.01219512,2.0,(48|22)
0.01185771,3.0,(32|12)
0.01159420,8.0,(12|21)
0.01149425,1.0,(20|27)
0.01142857,2.0,(12|28)
