Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 263 | Estate Planning-Wills & Probate (jp:263,idx:78)
Class Probability,Ex Count at BMU,BMU Map Loc
0.5000000,1.0,(48|28)
0.5000000,1.0,(49|29)
0.4000000,12.0,(49|31)
0.3508353,147.0,(46|29)
0.3333333,2.0,(46|30)
0.3142857,11.0,(47|29)
0.2908163,57.0,(45|30)
0.2500000,2.0,(49|27)
0.2105263,4.0,(47|28)
0.1898734,15.0,(49|30)
0.1897810,26.0,(48|27)
0.1612903,5.0,(45|28)
0.1411765,12.0,(0|28)
0.1403509,8.0,(47|26)
0.1376812,19.0,(49|28)
0.1085271,28.0,(46|28)
0.1071429,3.0,(47|27)
0.1052632,2.0,(45|29)
0.1041667,5.0,(48|30)
0.09821428,11.0,(46|27)
0.08163265,4.0,(48|26)
0.05263158,9.0,(48|31)
0.04958678,6.0,(45|27)
0.03846154,1.0,(5|45)
0.02690583,6.0,(44|29)
0.02666667,4.0,(46|31)
0.02362205,3.0,(46|26)
0.02000000,2.0,(47|25)
0.01639344,1.0,(26|4)
0.01522843,3.0,(47|46)
0.01515152,1.0,(5|46)
0.01492537,1.0,(49|25)
0.01418440,2.0,(44|28)
0.01351351,2.0,(0|27)
0.01298701,1.0,(45|26)
0.01197605,2.0,(48|47)
0.01142857,2.0,(11|27)
0.01036269,2.0,(47|23)
0.008620690,1.0,(48|23)
0.007751938,1.0,(14|2)
0.007518797,1.0,(45|23)
0.006944444,1.0,(49|26)
0.006250000,1.0,(15|49)
0.005747126,2.0,(37|5)
0.005714286,1.0,(12|28)
0.005235602,1.0,(47|24)
0.004854369,1.0,(2|33)
0.004705882,2.0,(22|12)
0.003861004,1.0,(2|36)
0.003424658,1.0,(47|22)
0.002638523,1.0,(24|35)
0.002500000,1.0,(1|44)
0.002421308,1.0,(15|48)
0.001610306,1.0,(9|12)
0.001272265,1.0,(6|46)
