Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 54 | Property / Excise (jp:54,idx:1)
Class Probability,Ex Count at BMU,BMU Map Loc
0.6540404,259.0,(39|3)
0.6530172,303.0,(40|4)
0.5319149,25.0,(38|4)
0.5319149,25.0,(39|4)
0.4545455,5.0,(40|3)
0.4163424,107.0,(41|4)
0.1794872,28.0,(39|5)
0.1610170,19.0,(41|5)
0.1284916,23.0,(40|5)
0.1111111,2.0,(38|5)
0.08536585,21.0,(39|6)
0.08510638,4.0,(3|44)
0.06593407,6.0,(41|6)
0.06060606,2.0,(4|44)
0.05042017,6.0,(40|6)
0.04761905,7.0,(39|7)
0.03597122,5.0,(4|45)
0.03389831,2.0,(41|3)
0.02857143,3.0,(3|45)
0.02307692,3.0,(49|48)
0.01960784,2.0,(48|42)
0.01734104,3.0,(38|11)
0.01639344,2.0,(34|45)
0.01398601,2.0,(0|46)
0.01315789,1.0,(38|44)
0.01041667,1.0,(42|48)
0.008474576,2.0,(43|41)
0.008264462,1.0,(44|1)
0.008196721,1.0,(42|12)
0.007246377,2.0,(49|43)
0.004975124,1.0,(40|41)
0.004950495,1.0,(0|47)
0.004424779,1.0,(43|5)
0.004219409,1.0,(3|25)
0.004000000,1.0,(45|0)
0.003558719,1.0,(12|11)
0.003344482,1.0,(47|45)
0.003225806,1.0,(25|48)
0.002564103,1.0,(3|1)
0.001976285,1.0,(37|28)
