Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 250 | Energy-Finance (jp:250,idx:68)
Class Probability,Ex Count at BMU,BMU Map Loc
0.5407166,166.0,(7|21)
0.3750000,219.0,(8|20)
0.2222222,64.0,(8|19)
0.1232877,9.0,(7|20)
0.08108108,9.0,(8|21)
0.07407407,2.0,(8|17)
0.06896552,4.0,(9|20)
0.06250000,5.0,(9|21)
0.05555556,1.0,(10|10)
0.02702703,5.0,(16|26)
0.01041667,1.0,(7|19)
0.007168459,2.0,(24|0)
0.006622517,1.0,(10|12)
0.006493506,1.0,(9|18)
0.006172840,1.0,(10|14)
0.004210526,2.0,(18|18)
0.003225806,1.0,(25|48)
0.003134796,1.0,(27|27)
0.002257336,1.0,(8|14)
0.002242153,2.0,(28|48)
0.002118644,1.0,(21|14)
0.001848429,1.0,(16|20)
0.001808318,1.0,(11|22)
0.001610306,1.0,(9|12)
0.001574803,1.0,(12|27)
0.001096491,1.0,(22|25)
