Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 329 | Bankruptcy-Asset-Sales (jp:329,idx:113)
Class Probability,Ex Count at BMU,BMU Map Loc
0.7522936,82.0,(13|31)
0.5454546,60.0,(12|31)
0.2936170,69.0,(13|32)
0.08000000,6.0,(12|32)
0.07692308,10.0,(13|30)
0.05633803,4.0,(12|30)
0.04166667,2.0,(11|31)
0.03571429,1.0,(11|30)
0.03508772,4.0,(11|45)
0.03056769,7.0,(11|33)
0.02941176,2.0,(10|36)
0.02127660,1.0,(14|31)
0.01818182,1.0,(11|35)
0.01675978,3.0,(8|37)
0.01666667,1.0,(11|37)
0.009523810,1.0,(10|33)
0.009259259,1.0,(7|45)
0.008695652,1.0,(8|46)
0.008620690,1.0,(10|35)
0.006410256,1.0,(12|33)
0.006329114,2.0,(22|23)
0.005747126,1.0,(0|16)
0.005102041,1.0,(10|44)
0.005102041,1.0,(11|44)
0.004016064,1.0,(7|26)
0.004016064,1.0,(17|28)
0.003344482,1.0,(3|40)
0.003278689,1.0,(10|13)
0.003267974,1.0,(19|24)
0.002873563,1.0,(37|5)
0.001265823,1.0,(9|3)
