Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 400 | RP Fin-Restructuring (jp:400,idx:161)
Class Probability,Ex Count at BMU,BMU Map Loc
0.6666667,70.0,(22|24)
0.4841772,153.0,(22|23)
0.1612903,15.0,(22|22)
0.07228915,12.0,(23|23)
0.03174603,2.0,(10|32)
0.01694915,1.0,(9|23)
0.01449275,2.0,(7|9)
0.01315789,1.0,(4|37)
0.01257862,2.0,(13|12)
0.01234568,2.0,(9|37)
0.01234568,2.0,(10|37)
0.01140684,3.0,(10|23)
0.01075269,1.0,(4|38)
0.009708738,2.0,(2|33)
0.009708738,1.0,(9|34)
0.009523810,1.0,(10|33)
0.008620690,1.0,(10|35)
0.008264462,1.0,(7|44)
0.007874016,1.0,(10|21)
0.007692308,1.0,(13|30)
0.007246377,1.0,(16|23)
0.007092198,2.0,(11|19)
0.006756757,1.0,(13|22)
0.006535948,2.0,(21|18)
0.004405286,1.0,(7|0)
0.004405286,1.0,(7|1)
0.003875969,2.0,(15|30)
0.003289474,1.0,(14|24)
0.002583979,1.0,(21|23)
0.002020202,1.0,(12|35)
0.001879699,1.0,(21|35)
0.001443001,1.0,(7|23)
