Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 256 | Tax Law-Real Property (jp:256,idx:72)
Class Probability,Ex Count at BMU,BMU Map Loc
0.6493506,300.0,(42|15)
0.4117647,14.0,(43|15)
0.3579882,121.0,(43|16)
0.2666667,4.0,(41|14)
0.2127660,30.0,(42|14)
0.1428571,1.0,(42|13)
0.1428571,8.0,(42|16)
0.09009009,10.0,(43|14)
0.06779661,8.0,(43|17)
0.05000000,4.0,(8|22)
0.02830189,3.0,(0|35)
0.02083333,2.0,(9|36)
0.02040816,2.0,(40|14)
0.01904762,2.0,(3|45)
0.01769911,4.0,(43|5)
0.01501502,5.0,(42|17)
0.01449275,2.0,(7|9)
0.01449275,1.0,(15|14)
0.01351351,3.0,(38|25)
0.01086957,2.0,(37|6)
0.009950249,2.0,(49|23)
0.009708738,1.0,(9|34)
0.009661836,2.0,(43|6)
0.009615385,2.0,(45|49)
0.009009009,1.0,(8|21)
0.007874016,1.0,(10|21)
0.007462686,1.0,(20|18)
0.007194245,1.0,(4|45)
0.006622517,1.0,(33|44)
0.006535948,1.0,(0|43)
0.005830904,2.0,(43|1)
0.005747126,2.0,(37|5)
0.005681818,1.0,(24|42)
0.005319149,1.0,(2|39)
0.005244755,3.0,(8|42)
0.005181347,1.0,(48|36)
0.004975124,1.0,(40|41)
0.004950495,1.0,(0|47)
0.004830918,1.0,(49|42)
0.004494382,2.0,(49|33)
0.003875969,1.0,(46|28)
0.003875969,1.0,(49|20)
0.003731343,1.0,(5|36)
0.003424658,1.0,(43|48)
0.003289474,1.0,(14|24)
0.002638523,1.0,(24|35)
0.002604167,1.0,(9|13)
0.002127660,1.0,(41|12)
0.001879699,1.0,(21|35)
