Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 287 | Corp Law Operational (jp:287,idx:94)
Class Probability,Ex Count at BMU,BMU Map Loc
0.6484848,214.0,(24|29)
0.3510638,66.0,(24|28)
0.3333333,5.0,(18|5)
0.3333333,5.0,(19|6)
0.1250000,1.0,(9|47)
0.1250000,1.0,(23|29)
0.1000000,1.0,(23|0)
0.03703704,1.0,(49|11)
0.02597403,2.0,(25|29)
0.02352941,2.0,(3|37)
0.01020408,3.0,(24|2)
0.009900990,1.0,(8|4)
0.009900990,1.0,(20|0)
0.007194245,2.0,(15|47)
0.007042253,1.0,(48|19)
0.006622517,1.0,(25|34)
0.006006006,2.0,(17|39)
0.004901961,1.0,(15|29)
0.004878049,2.0,(47|9)
0.004773270,2.0,(46|29)
0.004494382,2.0,(49|33)
0.004484305,1.0,(8|12)
0.003952569,1.0,(0|14)
0.003623188,1.0,(19|38)
0.003134796,1.0,(21|36)
0.002577320,1.0,(11|49)
0.002531646,1.0,(31|44)
0.002409639,1.0,(17|40)
0.001956947,1.0,(27|5)
