Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 340 | Tax Prep-Other (jp:340,idx:121)
Class Probability,Ex Count at BMU,BMU Map Loc
1.000000,1.0,(0|34)
0.8787062,326.0,(35|42)
0.3647059,31.0,(35|41)
0.3617021,17.0,(34|42)
0.2962963,8.0,(34|43)
0.2786885,17.0,(35|43)
0.1612903,25.0,(33|45)
0.1447964,64.0,(34|44)
0.08609272,13.0,(33|44)
0.08510638,16.0,(35|46)
0.07352941,5.0,(33|43)
0.07196030,29.0,(35|44)
0.04444445,4.0,(0|33)
0.03571429,1.0,(36|44)
0.03278688,4.0,(34|45)
0.02654867,3.0,(37|42)
0.02259887,4.0,(36|42)
0.02142857,3.0,(36|43)
0.02097902,3.0,(0|46)
0.01898734,3.0,(35|47)
0.01886792,1.0,(36|45)
0.01694915,1.0,(41|3)
0.01538462,1.0,(45|2)
0.01120448,4.0,(48|43)
0.01020408,2.0,(35|45)
0.009259259,2.0,(34|46)
0.006410256,1.0,(37|44)
0.005747126,1.0,(37|43)
0.005714286,1.0,(36|46)
0.005464481,1.0,(41|8)
0.004950495,1.0,(0|47)
0.003448276,1.0,(44|6)
0.003086420,1.0,(2|1)
0.002659574,1.0,(37|17)
0.002638523,1.0,(24|35)
0.002427184,1.0,(32|34)
