Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 421 | Litigation-Damages (jp:421,idx:177)
Class Probability,Ex Count at BMU,BMU Map Loc
0.5636364,186.0,(28|11)
0.3519737,107.0,(27|11)
0.2695652,31.0,(8|46)
0.2105263,4.0,(28|10)
0.1333333,6.0,(28|12)
0.1250000,1.0,(9|47)
0.06451613,2.0,(20|8)
0.05555556,1.0,(31|14)
0.03225806,1.0,(5|1)
0.02631579,2.0,(4|37)
0.02564103,3.0,(21|5)
0.02325581,2.0,(19|3)
0.02173913,2.0,(14|48)
0.02040816,1.0,(20|2)
0.01818182,1.0,(11|35)
0.01639344,1.0,(12|14)
0.01595745,3.0,(8|47)
0.01587302,1.0,(12|2)
0.01459854,2.0,(4|9)
0.01398601,2.0,(12|42)
0.01140684,3.0,(20|6)
0.01081081,2.0,(13|43)
0.01052632,1.0,(16|49)
0.01010101,1.0,(11|28)
0.01010101,2.0,(20|45)
0.009708738,1.0,(17|35)
0.009685230,4.0,(15|48)
0.009090909,1.0,(10|45)
0.009009009,1.0,(8|21)
0.008928572,1.0,(27|3)
0.008771930,1.0,(4|11)
0.008264462,1.0,(7|44)
0.008264462,1.0,(14|16)
0.007462686,1.0,(27|9)
0.006756757,1.0,(6|49)
0.006369427,1.0,(15|22)
0.006191950,2.0,(14|43)
0.005586592,1.0,(8|45)
0.005586592,1.0,(9|45)
0.005154639,2.0,(11|49)
0.004761905,1.0,(10|2)
0.004566210,1.0,(23|1)
0.004310345,1.0,(23|45)
0.004310345,1.0,(26|11)
0.004201681,1.0,(10|11)
0.004132231,1.0,(26|5)
0.003787879,1.0,(2|31)
0.003610108,1.0,(18|13)
0.003154574,1.0,(30|15)
0.002785515,1.0,(12|46)
0.002604167,1.0,(9|13)
0.002570694,1.0,(26|27)
0.001808318,1.0,(11|22)
