Product ID : 2119 JPs covered : 370 : Construction Contracts, 
OID,Confidence at Map Node,Error at Map Node
pr_000972009,1.000000, 0.000000
pr_001627507,1.000000, 0.000000
pr_001087116,1.000000, 0.000000
pr_000835396,1.000000, 0.000000
us_000598724,1.000000, 0.000004
pr_001835584,1.000000, 0.000051
us_000604438,1.000000, 0.000115
us_000579651,1.000000, 0.000153
pr_000886077,1.000000, 0.000158
us_000588991,1.000000, 0.000698
us_000575411,1.000000, 0.000753
us_000615760,1.000000, 0.001337
us_000597538,1.000000, 0.001337
us_000569807,1.000000, 0.001337
us_000555143,1.000000, 0.001337
us_000599108,1.000000, 0.001337
us_000592319,1.000000, 0.001337
us_000582083,1.000000, 0.001337
us_000580751,1.000000, 0.001337
us_000599117,1.000000, 0.001337
us_000591019,1.000000, 0.001337
us_000615759,1.000000, 0.001337
us_000615366,1.000000, 0.001353
us_000600600,1.000000, 0.001739
us_000465315,1.000000, 0.001879
us_000581513,1.000000, 0.002130
pr_000605045,1.000000, 0.002617
us_000570070,1.000000, 0.004754
us_000549435,1.000000, 0.007093
us_000569803,1.000000, 0.008330
us_000564033,1.000000, 0.010416
us_000528614,1.000000, 0.010457
us_000509725,1.000000, 0.011676
us_000510562,1.000000, 0.027847
us_000582237,1.000000, 0.039440
us_000465783,1.000000, 0.099510
us_000476077,1.000000, 1.004666
us_000525887,1.000000, 1.064365
us_000486325,1.000000, 1.316416
us_000499551,1.000000, 1.482571
us_000495621,1.000000, 1.628553
us_000292496,1.000000, 1.666743
us_000589781,1.000000, 1.681162
us_000589518,1.000000, 1.714944
us_000495693,1.000000, 1.728053
us_000586000,1.000000, 1.729734
us_000585933,1.000000, 1.766578
us_000487982,1.000000, 1.803741
us_000527753,1.000000, 1.814778
us_000488234,1.000000, 1.829641
us_000537379,1.000000, 1.872085
us_000488015,1.000000, 1.873659
us_000537464,1.000000, 1.885186
us_000468149,1.000000, 1.891515
us_000486466,1.000000, 1.956812
