Product ID : 2119 JPs covered : 370 : Construction Contracts, 
us_000488033,1.000000, 1.975552
us_000500843,1.000000, 2.003440
us_000512862,1.000000, 2.026688
us_000589929,1.000000, 2.068544
us_000586087,1.000000, 2.074639
us_000537731,1.000000, 2.109096
us_000503660,1.000000, 2.266546
us_000495276,1.000000, 2.277052
us_000504907,1.000000, 2.304615
us_000503675,1.000000, 2.321935
us_000486590,1.000000, 2.454964
pr_001059142,0.769662, 0.000001
pr_000293388,0.769662, 0.000001
pr_000444824,0.769662, 0.000001
pr_000726723,0.769662, 0.000001
pr_000470311,0.769662, 0.000001
us_000599490,0.769662, 0.000003
us_000576188,0.769662, 0.000003
us_000602218,0.769662, 0.000003
us_000573126,0.769662, 0.000003
us_000594691,0.769662, 0.000003
us_000595442,0.769662, 0.000003
us_000590403,0.769662, 0.000007
us_000555059,0.769662, 0.000029
us_000602121,0.769662, 0.000081
pr_002189269,0.769662, 0.000081
us_000505011,0.769662, 0.000088
pr_000719682,0.769662, 0.000090
pr_000753255,0.769662, 0.000090
pr_001006443,0.769662, 0.000090
pr_001012273,0.769662, 0.000110
pr_000879839,0.769662, 0.000239
pr_000164623,0.769662, 0.000279
pr_000739968,0.769662, 0.000279
pr_000860287,0.769662, 0.000279
pr_001066136,0.769662, 0.000279
pr_000900147,0.769662, 0.000279
pr_000719669,0.769662, 0.000279
pr_001017762,0.769662, 0.000279
pr_000880808,0.769662, 0.000279
pr_000950328,0.769662, 0.000350
us_000565179,0.769662, 0.000354
us_000570034,0.769662, 0.000429
pr_000507875,0.769662, 0.000430
us_000528812,0.769662, 0.001290
us_000525740,0.769662, 0.067762
us_000535536,0.769662, 0.116677
us_000461604,0.359052, 0.000000
us_000495327,0.359052, 0.000000
us_000461491,0.359052, 0.000000
us_000458484,0.359052, 0.000000
pr_000570123,0.359052, 0.000000
pr_001146734,0.359052, 0.000000
pr_001679873,0.359052, 0.000000
pr_000287946,0.359052, 0.000000
pr_001611200,0.359052, 0.000000
pr_000619561,0.359052, 0.000000
pr_000655708,0.359052, 0.000000
pr_001146034,0.359052, 0.000000
pr_000648799,0.359052, 0.000000
pr_001673475,0.359052, 0.000000
pr_001731874,0.359052, 0.000000
pr_000373505,0.359052, 0.000000
pr_001613349,0.359052, 0.000000
pr_002150367,0.359052, 0.000000
pr_000362828,0.359052, 0.000000
pr_000914842,0.359052, 0.000000
pr_000519840,0.359052, 0.000000
pr_000982303,0.359052, 0.000000
pr_000633801,0.359052, 0.000000
pr_000567737,0.359052, 0.000000
pr_001146665,0.359052, 0.000000
pr_001155260,0.359052, 0.000000
pr_001612494,0.359052, 0.000000
pr_000363406,0.359052, 0.000000
pr_001673491,0.359052, 0.000000
pr_000397250,0.359052, 0.000000
pr_001611088,0.359052, 0.000000
pr_001001478,0.359052, 0.000000
pr_001147542,0.359052, 0.000000
pr_001148532,0.359052, 0.000000
pr_001612158,0.359052, 0.000000
pr_000968440,0.359052, 0.000000
pr_001148648,0.359052, 0.000000
pr_001614170,0.359052, 0.000000
pr_001611105,0.359052, 0.000000
pr_000510883,0.359052, 0.000000
pr_001620348,0.359052, 0.000000
pr_000560938,0.359052, 0.000000
pr_000436052,0.359052, 0.000000
pr_001148950,0.359052, 0.000000
pr_000817149,0.359052, 0.000000
pr_001059499,0.359052, 0.000000
pr_000561490,0.359052, 0.000000
pr_001679828,0.359052, 0.000000
pr_000926096,0.359052, 0.000000
pr_001871761,0.359052, 0.000000
pr_000558873,0.359052, 0.000000
pr_001633432,0.359052, 0.000000
pr_000285844,0.359052, 0.000000
pr_001612375,0.359052, 0.000000
pr_000370883,0.359052, 0.000000
pr_001147287,0.359052, 0.000000
pr_000627248,0.359052, 0.000000
pr_000654809,0.359052, 0.000000
pr_000551913,0.359052, 0.000000
pr_001612215,0.359052, 0.000000
pr_000372373,0.359052, 0.000000
pr_001671331,0.359052, 0.000000
pr_001158890,0.359052, 0.000000
pr_001871814,0.359052, 0.000000
pr_001165867,0.359052, 0.000000
pr_001146379,0.359052, 0.000000
pr_001033477,0.359052, 0.000000
pr_000364083,0.359052, 0.000000
pr_000639090,0.359052, 0.000000
pr_000385570,0.359052, 0.000000
pr_000406559,0.359052, 0.000000
pr_001679807,0.359052, 0.000000
pr_001151485,0.359052, 0.000000
pr_000396272,0.359052, 0.000000
pr_000569927,0.359052, 0.000000
pr_000569565,0.359052, 0.000000
pr_001620321,0.359052, 0.000000
pr_000570581,0.359052, 0.000000
pr_000373590,0.359052, 0.000000
pr_000565624,0.359052, 0.000000
pr_001415719,0.359052, 0.000000
pr_001622157,0.359052, 0.000000
pr_001158008,0.359052, 0.000000
pr_000553087,0.359052, 0.000000
pr_000396908,0.359052, 0.000001
pr_000397212,0.359052, 0.000006
us_000547672,0.359052, 0.000010
pr_000372759,0.359052, 0.000015
us_000588225,0.359052, 0.000022
us_000538680,0.359052, 0.000027
us_000528748,0.359052, 0.000255
us_000549174,0.359052, 0.000312
us_000498980,0.359052, 0.000455
us_000528841,0.359052, 0.001060
us_000490321,0.359052, 0.001810
us_000578715,0.359052, 0.005779
us_000522624,0.039735, 0.000000
us_000474370,0.039735, 0.000019
us_000557930,0.039735, 0.000172
us_000519502,0.039735, 0.000695
us_000539970,0.039735, 0.001446
us_000527779,0.039735, 0.002105
us_000568853,0.039735, 0.002221
us_000490140,0.039735, 0.003284
us_000489931,0.039735, 0.003672
us_000467954,0.039735, 0.068347
us_000275301,0.039735, 0.131439
us_000538468,0.039735, 0.154703
us_000494452,0.039735, 0.518112
us_000498154,0.039735, 0.607857
us_000473280,0.039735, 0.649236
us_000540259,0.039735, 0.654961
us_000594145,0.039735, 0.668887
us_000540042,0.039735, 0.678188
us_000557491,0.039735, 0.685558
us_000544383,0.039735, 0.691810
us_000118437,0.039735, 0.703070
us_000543667,0.039735, 0.711071
us_000321489,0.039735, 0.712718
us_000594159,0.039735, 0.714416
us_000468370,0.039735, 0.714762
us_000544045,0.039735, 0.715987
us_000562614,0.039735, 0.716428
us_000498153,0.039735, 0.725188
us_000591743,0.039735, 0.725510
us_000476313,0.039735, 0.726798
us_000490132,0.039735, 0.732935
us_000590889,0.039735, 0.733600
us_000556101,0.039735, 0.733744
us_000599693,0.039735, 0.734173
us_000593523,0.039735, 0.734173
us_000472767,0.039735, 0.734603
us_000599624,0.039735, 0.735137
us_000556146,0.039735, 0.736275
us_000540570,0.039735, 0.736859
us_000591546,0.039735, 0.737897
us_000590511,0.039735, 0.738589
us_000484284,0.039735, 0.740382
us_000473539,0.039735, 0.740412
us_000550386,0.039735, 0.742629
us_000572713,0.039735, 0.750886
us_000489150,0.039735, 0.757477
us_000549677,0.039735, 0.759076
us_000470685,0.039735, 0.761922
us_000511311,0.039735, 0.763103
us_000511276,0.039735, 0.767256
us_000594807,0.039735, 0.770148
us_000488429,0.039735, 0.772457
us_000511715,0.039735, 0.774089
us_000583350,0.039735, 0.774231
us_000528942,0.039735, 0.777142
us_000526857,0.039735, 0.777632
us_000590954,0.039735, 0.778603
us_000553893,0.039735, 0.780730
us_000511371,0.039735, 0.782345
us_000376863,0.039735, 0.782587
us_000476492,0.039735, 0.782764
us_000514806,0.039735, 0.782820
us_000591199,0.039735, 0.786416
us_000594804,0.039735, 0.786741
us_000562713,0.039735, 0.787945
us_000526797,0.039735, 0.790266
us_000582393,0.039735, 0.790490
us_000493829,0.039735, 0.790649
us_000598697,0.039735, 0.791141
us_000591372,0.039735, 0.793125
us_000591379,0.039735, 0.793959
us_000484352,0.039735, 0.794430
us_000529998,0.039735, 0.795647
us_000600553,0.039735, 0.797062
us_000583521,0.039735, 0.799203
us_000505049,0.039735, 0.799801
us_000513772,0.039735, 0.801047
us_000488249,0.039735, 0.801109
us_000592632,0.039735, 0.801148
us_000484134,0.039735, 0.801432
us_000572719,0.039735, 0.801496
us_000479188,0.039735, 0.801936
us_000591412,0.039735, 0.803616
us_000522338,0.039735, 0.804462
us_000504795,0.039735, 0.804845
us_000541964,0.039735, 0.805356
us_000590802,0.039735, 0.807390
us_000594194,0.039735, 0.807390
us_000600986,0.039735, 0.807390
us_000594193,0.039735, 0.807390
us_000591810,0.039735, 0.811260
us_000590946,0.039735, 0.811260
us_000599690,0.039735, 0.811260
us_000591835,0.039735, 0.811260
us_000591866,0.039735, 0.811260
us_000598675,0.039735, 0.811260
us_000590291,0.039735, 0.811260
us_000591223,0.039735, 0.811260
us_000591312,0.039735, 0.811260
us_000600195,0.039735, 0.811260
us_000612350,0.039735, 0.811260
us_000504788,0.039735, 0.811699
us_000576003,0.039735, 0.820944
us_000588988,0.039735, 0.822171
us_000506267,0.039735, 0.826609
us_000566938,0.039735, 0.828788
us_000548551,0.039735, 0.835616
us_000530391,0.039735, 0.836146
us_000560384,0.039735, 0.839353
us_000461336,0.039735, 0.839706
us_000530190,0.039735, 0.847615
us_000582601,0.039735, 0.848632
us_000583677,0.039735, 0.849053
us_000582691,0.039735, 0.849193
us_000582038,0.039735, 0.849834
us_000557399,0.039735, 0.850386
us_000566056,0.039735, 0.850986
us_000583239,0.039735, 0.852237
us_000585151,0.039735, 0.853242
us_000536410,0.039735, 0.854465
us_000594393,0.039735, 0.857621
us_000585072,0.039735, 0.858270
us_000208994,0.039735, 0.858849
us_000549195,0.039735, 0.859883
us_000494535,0.039735, 0.864462
us_000488369,0.039735, 0.870151
us_000488654,0.039735, 0.873081
us_000498039,0.039735, 0.874149
us_000503480,0.039735, 0.881986
us_000592543,0.039735, 0.884239
us_000496558,0.039735, 0.886732
us_000493527,0.039735, 0.891297
us_000483571,0.039735, 0.891745
us_000486568,0.039735, 0.895658
us_000485894,0.039735, 0.899471
us_000548343,0.039735, 0.901427
us_000524360,0.039735, 0.902495
us_000529263,0.039735, 0.903886
us_000585232,0.039735, 0.906014
us_000486669,0.039735, 0.907019
us_000476253,0.039735, 0.907645
us_000528910,0.039735, 0.911359
us_000494520,0.039735, 0.915395
us_000506212,0.039735, 0.917875
us_000523303,0.039735, 0.918979
us_000545010,0.039735, 0.918993
us_000489886,0.039735, 0.924623
us_000544727,0.039735, 0.925875
us_000501166,0.039735, 0.927972
us_000504144,0.039735, 0.932510
us_000522626,0.039735, 0.935672
us_000504206,0.039735, 0.936366
us_000495286,0.039735, 0.940226
us_000522935,0.039735, 0.946637
us_000502209,0.039735, 0.949432
us_000498073,0.039735, 0.957123
us_000501280,0.039735, 0.958533
us_000504656,0.039735, 0.959351
us_000547892,0.039735, 0.959437
us_000489598,0.039735, 0.959856
us_000484947,0.039735, 0.960185
us_000523829,0.039735, 0.960556
us_000506507,0.039735, 0.963047
us_000554322,0.039735, 0.963367
us_000513729,0.039735, 0.963720
us_000530459,0.039735, 0.963720
us_000530458,0.039735, 0.963720
us_000558627,0.039735, 0.963720
us_000482290,0.039735, 0.965478
us_000553740,0.039735, 0.965682
us_000523544,0.039735, 0.966594
us_000557438,0.039735, 0.966904
us_000503739,0.039735, 0.967550
us_000547993,0.039735, 0.967716
us_000495097,0.039735, 0.968109
us_000557729,0.039735, 0.968109
us_000511625,0.039735, 0.968342
us_000557416,0.039735, 0.968975
us_000511735,0.039735, 0.968975
us_000580804,0.039735, 0.969072
us_000494600,0.039735, 0.971748
us_000502126,0.039735, 0.972371
us_000504215,0.039735, 0.972870
us_000581224,0.039735, 0.973088
us_000524754,0.039735, 0.973163
us_000581403,0.039735, 0.973532
us_000502158,0.039735, 0.973559
us_000493745,0.039735, 0.973856
us_000522464,0.039735, 0.973934
us_000495369,0.039735, 0.973934
us_000374074,0.039735, 0.973934
us_000502009,0.039735, 0.974175
us_000501194,0.039735, 0.974953
us_000524879,0.039735, 0.975865
us_000468687,0.039735, 0.977096
us_000466012,0.039735, 0.978093
us_000580851,0.039735, 0.978485
us_000494997,0.039735, 0.979088
us_000505758,0.039735, 0.979088
us_000557480,0.039735, 0.979088
us_000495786,0.039735, 0.979088
us_000502128,0.039735, 0.979088
us_000513770,0.039735, 0.979088
us_000504576,0.039735, 0.979088
us_000496024,0.039735, 0.979088
us_000502378,0.039735, 0.979088
us_000502127,0.039735, 0.979088
us_000504421,0.039735, 0.979088
us_000529191,0.039735, 0.979088
us_000495099,0.039735, 0.979088
us_000515821,0.039735, 0.982013
us_000573161,0.039735, 0.982918
us_000485987,0.039735, 0.985818
us_000502380,0.039735, 0.985896
us_000225351,0.039735, 0.989497
us_000495255,0.039735, 0.989687
us_000500418,0.039735, 0.999075
us_000472572,0.039735, 1.002238
us_000402662,0.039735, 1.003432
us_000485695,0.039735, 1.003754
us_000576331,0.039735, 1.006273
us_000505773,0.039735, 1.007848
us_000505564,0.039735, 1.008009
us_000202392,0.039735, 1.011861
us_000522628,0.039735, 1.013582
us_000502308,0.039735, 1.021948
us_000500733,0.039735, 1.026025
us_000378962,0.039735, 1.028971
us_000518150,0.039735, 1.031753
us_000501845,0.039735, 1.043386
us_000505934,0.039735, 1.043774
us_000588840,0.039735, 1.068640
us_000518455,0.039735, 1.165491
us_000499296,0.039735, 1.172974
us_000484379,0.039735, 1.275053
us_000510347,0.039735, 1.503161
