Product ID : 7834 # of JPs covered : 1 : 433 : Personal Injury-Trial-Strategies, 
OID,Confidence at Map Node,Error at Map Node
pr_000593725,0.389026,1.321588
pr_001409427,0.389026,1.404539
pr_000872611,0.389026,1.730789
us_000608713,0.389026,1.910498
us_000608712,0.389026,2.274844
us_000570484,0.389026,2.496570
pr_000128754,0.302169,0.000000
us_000559136,0.302169,0.000002
us_000582807,0.302169,0.000010
us_000611263,0.302169,0.000087
us_000529657,0.302169,0.000401
us_000532736,0.302169,0.000762
us_000582849,0.302169,0.012419
us_000487696,0.302169,0.021675
us_000616834,0.302169,0.031009
pr_000790386,0.302169,0.031696
us_000567796,0.302169,2.169512
us_000566157,0.302169,2.505412
us_000473945,0.302169,2.700998
us_000597107,0.302169,3.421385
us_000506125,0.256123,0.000000
us_000534512,0.256123,0.000000
us_000539834,0.256123,0.000002
pr_001953423,0.256123,0.000005
us_000563976,0.256123,0.000193
pr_001037845,0.256123,0.001123
pr_001812068,0.256123,0.001483
us_000494542,0.256123,0.002629
us_000535713,0.256123,0.008664
us_000573004,0.256123,0.009956
us_000565684,0.256123,0.015241
pr_001002296,0.256123,0.017200
pr_001583573,0.256123,0.024665
pr_001584621,0.256123,0.848739
pr_001582923,0.256123,0.848739
pr_001583571,0.256123,0.848739
pr_001583771,0.256123,0.848739
us_000537331,0.256123,0.848739
us_000167029,0.256123,0.848741
pr_000785867,0.256123,0.853756
pr_001584612,0.256123,0.874009
pr_001582583,0.256123,1.462107
us_000502135,0.256123,1.520264
pr_000811942,0.256123,1.531258
us_000502140,0.256123,1.566063
pr_001630080,0.256123,1.572266
pr_001153272,0.256123,1.616464
us_000500803,0.256123,1.621164
us_000487702,0.256123,1.629119
us_000501667,0.256123,1.630010
pr_000866210,0.256123,1.641820
us_000502288,0.256123,1.646993
pr_000092527,0.256123,1.647125
us_000519915,0.256123,1.647213
pr_000711999,0.256123,1.649374
pr_000194792,0.256123,1.649374
pr_000008561,0.256123,1.663690
us_000603692,0.256123,1.665678
us_000492878,0.256123,1.674856
us_000514649,0.256123,1.674982
us_000494528,0.256123,1.678619
us_000531103,0.256123,1.685493
us_000547434,0.256123,1.685894
us_000514683,0.256123,1.686517
us_000514714,0.256123,1.688345
us_000547439,0.256123,1.688581
us_000547440,0.256123,1.688581
us_000547437,0.256123,1.688581
us_000547431,0.256123,1.688581
us_000547430,0.256123,1.688581
us_000514671,0.256123,1.689007
us_000514665,0.256123,1.690814
pr_000775395,0.256123,1.691015
us_000503985,0.256123,1.691199
us_000503785,0.256123,1.691201
us_000537214,0.256123,1.692225
us_000480974,0.256123,1.692663
us_000583101,0.256123,1.692907
us_000517190,0.256123,1.693249
us_000504713,0.256123,1.693488
us_000504566,0.256123,1.693490
us_000503834,0.256123,1.693497
us_000502120,0.256123,1.693535
pr_001661590,0.256123,1.695829
pr_000701919,0.256123,1.695829
pr_001152197,0.256123,1.695829
pr_001584956,0.256123,1.695829
pr_000925387,0.256123,1.695829
pr_001149774,0.256123,1.695829
pr_000925767,0.256123,1.695829
pr_000568290,0.256123,1.695829
us_000500411,0.256123,1.697612
pr_000003595,0.256123,1.698478
pr_000657865,0.256123,1.702013
us_000547468,0.256123,1.717952
us_000506264,0.256123,1.718919
pr_001151242,0.256123,1.723879
pr_000195061,0.256123,1.723879
pr_000703653,0.256123,1.723879
pr_001031891,0.256123,1.723879
us_000602598,0.256123,1.734837
us_000523471,0.256123,1.738800
us_000501971,0.256123,1.746915
pr_000655221,0.256123,1.747088
us_000555541,0.256123,1.747290
us_000547490,0.256123,1.747583
us_000566244,0.256123,1.749278
us_000525374,0.256123,1.750000
us_000544645,0.256123,1.750212
us_000544640,0.256123,1.750212
us_000555540,0.256123,1.751035
us_000547495,0.256123,1.752401
us_000547489,0.256123,1.752401
us_000547487,0.256123,1.752401
us_000547473,0.256123,1.752402
us_000547471,0.256123,1.752402
us_000544648,0.256123,1.752794
us_000544649,0.256123,1.752794
us_000544642,0.256123,1.752794
us_000544644,0.256123,1.752794
us_000514321,0.256123,1.754568
us_000513934,0.256123,1.754781
us_000502825,0.256123,1.756024
us_000501880,0.256123,1.756108
us_000479013,0.256123,1.756240
us_000506020,0.256123,1.756944
us_000550687,0.256123,1.756988
us_000479052,0.256123,1.757023
us_000550240,0.256123,1.757036
us_000479054,0.256123,1.757128
us_000478727,0.256123,1.757139
us_000492887,0.256123,1.757631
pr_000769686,0.256123,1.757895
us_000462483,0.256123,1.758793
us_000547451,0.256123,1.759006
us_000505628,0.256123,1.759092
us_000503376,0.256123,1.759130
us_000500867,0.256123,1.759207
us_000479267,0.256123,1.759642
us_000477864,0.256123,1.760049
pr_001151985,0.256123,1.760117
pr_001716113,0.256123,1.762284
pr_000121363,0.256123,1.762284
pr_000967780,0.256123,1.762284
pr_000865350,0.256123,1.762284
pr_001153187,0.256123,1.762284
pr_000017455,0.256123,1.762284
pr_000194589,0.256123,1.762284
pr_000293243,0.256123,1.762284
pr_000601996,0.256123,1.762284
pr_001045272,0.256123,1.762284
pr_000844090,0.256123,1.762284
pr_000790790,0.256123,1.762284
pr_001581845,0.256123,1.762284
pr_001715791,0.256123,1.762284
pr_001157800,0.256123,1.762284
pr_001080425,0.256123,1.762284
pr_001081915,0.256123,1.762284
pr_000211126,0.256123,1.762284
pr_001022605,0.256123,1.762284
pr_001085541,0.256123,1.762284
pr_000016196,0.256123,1.762284
pr_000404949,0.256123,1.762284
pr_001019426,0.256123,1.762284
pr_000197743,0.256123,1.762284
pr_000197267,0.256123,1.762284
pr_000709797,0.256123,1.762284
pr_000852732,0.256123,1.762284
pr_001660679,0.256123,1.762284
pr_001166311,0.256123,1.762284
pr_001766457,0.256123,1.762284
pr_001668386,0.256123,1.762284
pr_000159623,0.256123,1.762284
pr_000844116,0.256123,1.762284
pr_000735818,0.256123,1.762284
pr_000612064,0.256123,1.762284
pr_000360021,0.256123,1.762284
pr_001417129,0.256123,1.762284
pr_000619504,0.256123,1.762284
pr_001122716,0.256123,1.762284
us_000519550,0.256123,1.762457
pr_000596101,0.256123,1.763152
us_000617210,0.256123,1.768494
us_000585457,0.256123,1.769713
us_000611621,0.256123,1.770597
us_000595837,0.256123,1.772540
us_000477907,0.256123,1.775752
us_000536479,0.256123,1.776564
us_000613662,0.256123,1.778460
pr_002182117,0.256123,1.778844
pr_001918547,0.256123,1.778844
us_000585993,0.256123,1.783040
us_000599367,0.256123,1.783823
pr_000786870,0.256123,1.785547
us_000599900,0.256123,1.803725
us_000588786,0.256123,1.806667
us_000554217,0.256123,1.823514
pr_001049647,0.256123,1.858072
pr_000967124,0.256123,1.858072
us_000521039,0.256123,1.861684
us_000521082,0.256123,1.861818
us_000521080,0.256123,1.861965
us_000521081,0.256123,1.861965
us_000535576,0.256123,1.862626
us_000574787,0.256123,1.872021
us_000590914,0.256123,1.874253
pr_000162641,0.256123,1.875921
pr_001583926,0.256123,1.875921
pr_000332043,0.256123,1.878325
us_000511187,0.256123,1.879948
pr_000830240,0.256123,1.880894
pr_000988610,0.256123,1.892643
pr_000771024,0.256123,1.893559
us_000488989,0.256123,1.894202
us_000580017,0.256123,1.894842
us_000515051,0.256123,1.899510
us_000566400,0.256123,1.907463
pr_001003528,0.256123,1.909670
pr_001116732,0.256123,1.912931
us_000568518,0.256123,1.925320
us_000490685,0.256123,1.928461
us_000580568,0.256123,1.930437
us_000489369,0.256123,1.934666
us_000585551,0.256123,1.940657
us_000565058,0.256123,1.948462
us_000602494,0.256123,1.961190
pr_001133278,0.256123,1.964496
us_000572729,0.256123,1.965728
us_000533787,0.256123,1.984010
us_000607790,0.256123,1.989535
pr_000195632,0.256123,1.998672
us_000528418,0.256123,2.064958
us_000528412,0.256123,2.064958
us_000528433,0.256123,2.066701
