Product ID : 7842 # of JPs covered : 1 : 435 : Tax Prep-Pass-Through-Planning, 
OID,Confidence at Map Node,Error at Map Node
pr_001194538,0.898501,0.000074
pr_001176430,0.898501,0.000074
pr_001208598,0.898501,0.000074
pr_001353224,0.898501,0.000074
pr_001322676,0.898501,0.000074
pr_001201562,0.898501,0.000074
pr_001321591,0.898501,0.000074
pr_001192410,0.898501,0.000074
pr_001369860,0.898501,0.000074
pr_001370316,0.898501,0.000074
pr_001365284,0.898501,0.000074
pr_001781443,0.898501,0.000074
pr_001182125,0.898501,0.000074
pr_001344262,0.898501,0.000074
pr_001206194,0.898501,0.000074
pr_000706483,0.898501,0.000074
pr_001380931,0.898501,0.000074
pr_001200260,0.898501,0.000074
pr_001774096,0.898501,0.000074
pr_001340941,0.898501,0.000074
pr_001189925,0.898501,0.000074
pr_001794273,0.898501,0.000074
pr_001308773,0.898501,0.000074
pr_001470912,0.898501,0.000074
pr_001854687,0.898501,0.000074
pr_001200261,0.898501,0.000074
pr_001347436,0.898501,0.000074
pr_001284391,0.898501,0.000074
pr_001366376,0.898501,0.000074
pr_001210894,0.898501,0.000074
pr_001373821,0.898501,0.000074
pr_001384236,0.898501,0.000074
pr_001365057,0.898501,0.000074
pr_001999109,0.898501,0.000074
pr_002001385,0.898501,0.000074
pr_001371219,0.898501,0.000074
pr_002171991,0.898501,0.000074
pr_001274530,0.898501,0.000074
pr_001230628,0.898501,0.000074
pr_001321609,0.898501,0.000074
pr_001885039,0.898501,0.000074
pr_001260438,0.898501,0.000074
pr_001140820,0.898501,0.000074
pr_001367196,0.898501,0.000074
pr_002121577,0.898501,0.000074
pr_001360202,0.898501,0.000074
pr_001212893,0.898501,0.000074
pr_001177345,0.898501,0.000074
pr_001179778,0.898501,0.000074
pr_001791630,0.898501,0.000074
pr_001318023,0.898501,0.000074
pr_001385548,0.898501,0.000074
pr_001256545,0.898501,0.000074
pr_001199865,0.898501,0.000074
pr_001237526,0.898501,0.000074
pr_001314305,0.898501,0.000074
pr_001171393,0.898501,0.000074
pr_001365985,0.898501,0.000074
pr_001269267,0.898501,0.000074
pr_001780926,0.898501,0.000074
pr_001265989,0.898501,0.000074
pr_001335940,0.898501,0.000074
pr_001267900,0.898501,0.000074
pr_001331476,0.898501,0.000074
pr_001200923,0.898501,0.000074
pr_001383563,0.898501,0.000074
pr_002046906,0.898501,0.000074
pr_001361642,0.898501,0.000074
pr_001434437,0.898501,0.000074
pr_001313420,0.898501,0.000074
pr_001378612,0.898501,0.000074
pr_001383653,0.898501,0.000074
pr_000991987,0.898501,0.000074
pr_001157080,0.898501,0.000074
pr_001855487,0.898501,0.000074
pr_001196346,0.898501,0.000074
pr_001282543,0.898501,0.000074
pr_001233544,0.898501,0.000074
pr_001373394,0.898501,0.000074
pr_001273250,0.898501,0.000074
pr_001942412,0.898501,0.000074
pr_001939963,0.898501,0.000074
pr_001371988,0.898501,0.000074
pr_001313765,0.898501,0.000074
pr_001334676,0.898501,0.000074
pr_001336831,0.898501,0.000074
pr_001356109,0.898501,0.000074
pr_001180594,0.898501,0.000074
pr_001210377,0.898501,0.000074
pr_001355771,0.898501,0.000074
pr_001234534,0.898501,0.000074
pr_001370867,0.898501,0.000074
pr_001324167,0.898501,0.000074
pr_001194056,0.898501,0.000074
pr_001775916,0.898501,0.000074
pr_001807006,0.898501,0.000074
pr_001218385,0.898501,0.000074
pr_001357997,0.898501,0.000074
pr_001208611,0.898501,0.000074
pr_001799661,0.898501,0.000074
pr_001853031,0.898501,0.000074
pr_001938889,0.898501,0.000074
pr_001363209,0.898501,0.000074
pr_001350811,0.898501,0.000074
us_000504109,0.898501,0.000076
us_000505062,0.898501,0.000076
us_000505076,0.898501,0.000076
us_000505197,0.898501,0.000076
us_000505593,0.898501,0.000076
us_000505607,0.898501,0.000076
us_000569973,0.898501,0.000079
us_000532600,0.898501,0.000080
us_000579520,0.898501,0.000081
us_000560895,0.898501,0.000083
us_000561776,0.898501,0.000083
us_000570568,0.898501,0.000085
us_000577595,0.898501,0.000087
pr_001385174,0.898501,0.000102
us_000615710,0.898501,0.000106
us_000596695,0.898501,0.000121
us_000613185,0.898501,0.000123
pr_001218641,0.898501,0.000127
pr_001883866,0.898501,0.000160
pr_001265825,0.898501,0.000160
pr_001774396,0.898501,0.000160
pr_001555688,0.898501,0.000160
pr_001779324,0.898501,0.000160
pr_001471060,0.898501,0.000160
us_000566575,0.898501,0.000174
us_000580163,0.898501,0.000177
us_000562661,0.898501,0.000243
pr_001485378,0.898501,0.000248
pr_001364912,0.898501,0.000437
pr_001688266,0.898501,0.000511
pr_001207435,0.898501,0.000511
pr_001341850,0.898501,0.000511
pr_001313704,0.898501,0.001133
pr_001197778,0.898501,0.001445
pr_001387584,0.898501,0.001445
pr_001348046,0.898501,0.001445
pr_001464642,0.898501,0.001445
pr_001383756,0.898501,0.001445
pr_001285336,0.898501,0.001445
pr_001541846,0.898501,0.001445
pr_001212926,0.898501,0.001445
pr_001381974,0.898501,0.001445
pr_001366760,0.898501,0.001445
pr_001352133,0.898501,0.001445
pr_001367006,0.898501,0.001445
pr_001318507,0.898501,0.001445
pr_001361885,0.898501,0.001445
pr_001279400,0.898501,0.001445
pr_001370526,0.898501,0.001445
pr_001320096,0.898501,0.001445
pr_001286390,0.898501,0.001445
pr_001344394,0.898501,0.001445
pr_001273709,0.898501,0.001445
us_000505659,0.898501,0.001455
us_000504403,0.898501,0.001455
pr_001207779,0.898501,0.001532
pr_001339926,0.898501,0.001532
pr_001440467,0.898501,0.001909
pr_001467534,0.898501,0.001921
pr_001219494,0.898501,0.004547
pr_001268651,0.898501,0.004547
pr_001210541,0.898501,0.004547
pr_001347766,0.898501,0.004547
pr_001269826,0.898501,0.004547
pr_001322981,0.898501,0.004547
us_000504207,0.898501,0.004563
us_000560016,0.898501,0.004611
us_000505291,0.898501,0.004618
pr_001505183,0.898501,0.004662
pr_001356571,0.898501,0.004711
pr_001385052,0.898501,0.004711
pr_001177484,0.898501,0.004711
pr_001233953,0.898501,0.004711
pr_001219150,0.898501,0.004711
pr_001200105,0.898501,0.004711
pr_001211989,0.898501,0.004711
pr_001287971,0.898501,0.004711
pr_001333187,0.898501,0.004711
pr_001319604,0.898501,0.004711
pr_001370003,0.898501,0.004711
pr_001236723,0.898501,0.004711
pr_001201234,0.898501,0.004711
pr_001348180,0.898501,0.004711
pr_001332983,0.898501,0.004711
pr_001365837,0.898501,0.004711
pr_001265634,0.898501,0.004711
pr_001351487,0.898501,0.004711
pr_001386833,0.898501,0.004711
pr_001218597,0.898501,0.004711
pr_001177456,0.898501,0.004711
pr_001255677,0.898501,0.004711
us_000581226,0.898501,0.004722
pr_001355207,0.898501,0.004797
pr_001358953,0.898501,0.004797
pr_001347221,0.898501,0.004921
pr_001275197,0.898501,0.006082
pr_001366747,0.898501,0.006082
pr_001373277,0.898501,0.006082
pr_001237538,0.898501,0.006082
pr_001425393,0.898501,0.007991
pr_001468765,0.898501,0.008513
pr_001367553,0.898501,0.009183
us_000536940,0.898501,0.009643
pr_001442879,0.898501,0.009754
pr_001273380,0.898501,0.009791
pr_001357009,0.898501,0.009791
pr_001210525,0.898501,0.009791
pr_001313509,0.898501,0.009791
pr_001205802,0.898501,0.009791
pr_001234346,0.898501,0.009791
pr_001373807,0.898501,0.009791
us_000532061,0.898501,0.010635
us_000533586,0.898501,0.011119
pr_001201860,0.898501,0.011162
pr_001210511,0.898501,0.011162
pr_001217403,0.898501,0.013069
pr_001278497,0.898501,0.013069
pr_001219796,0.898501,0.013069
pr_001280261,0.898501,0.013069
pr_001286601,0.898501,0.013069
us_000505159,0.898501,0.013071
us_000523994,0.898501,0.013077
pr_001358532,0.898501,0.013328
pr_001170243,0.898501,0.013328
pr_001255753,0.898501,0.013328
pr_001324134,0.898501,0.013328
pr_001347825,0.898501,0.013328
pr_001380674,0.898501,0.013328
pr_001234965,0.898501,0.013328
pr_001200358,0.898501,0.013328
pr_001310316,0.898501,0.013328
pr_001255946,0.898501,0.013328
pr_001233143,0.898501,0.013328
pr_001276143,0.898501,0.013328
pr_001234013,0.898501,0.013328
pr_001349141,0.898501,0.013328
pr_001375836,0.898501,0.013328
pr_001365233,0.898501,0.013328
pr_001201891,0.898501,0.013328
pr_001355272,0.898501,0.013328
pr_001182361,0.898501,0.013328
pr_001174044,0.898501,0.013328
pr_001381494,0.898501,0.013328
pr_001276427,0.898501,0.013328
pr_001375781,0.898501,0.013328
pr_001367283,0.898501,0.013328
pr_001349885,0.898501,0.013328
pr_001200064,0.898501,0.013328
pr_001341640,0.898501,0.013328
pr_001335306,0.898501,0.013328
pr_001230916,0.898501,0.013328
us_000572016,0.898501,0.013642
pr_001232478,0.898501,0.014143
pr_001236878,0.898501,0.014143
pr_001321128,0.898501,0.014387
pr_001283874,0.898501,0.014440
pr_001381500,0.898501,0.014700
pr_001360603,0.898501,0.014700
pr_001232602,0.898501,0.014700
pr_001337081,0.898501,0.014700
pr_001272270,0.898501,0.014700
pr_001346397,0.898501,0.014700
us_000532054,0.898501,0.014776
us_000562946,0.898501,0.014801
pr_001276224,0.898501,0.015215
pr_001211814,0.898501,0.015215
pr_001321765,0.898501,0.015215
pr_001365148,0.898501,0.015215
pr_001178858,0.898501,0.015215
pr_001260447,0.898501,0.015215
pr_001369136,0.898501,0.015215
pr_001383422,0.898501,0.015215
us_000560876,0.898501,0.015288
pr_001359078,0.898501,0.016586
us_000504420,0.898501,0.017613
pr_001217601,0.898501,0.017705
pr_001318473,0.898501,0.017801
pr_001498595,0.898501,0.017844
us_000504271,0.898501,0.017919
pr_001199792,0.898501,0.017965
pr_001312661,0.898501,0.017965
pr_001310482,0.898501,0.017965
pr_001231475,0.898501,0.017965
pr_001320611,0.898501,0.017965
pr_001232283,0.898501,0.018558
pr_001355050,0.898501,0.018558
pr_001386645,0.898501,0.018558
pr_001310054,0.898501,0.018558
pr_001317344,0.898501,0.018586
us_000560542,0.898501,0.018662
us_000590973,0.898501,0.019053
pr_001270799,0.898501,0.019337
pr_001231426,0.898501,0.019337
pr_001234450,0.898501,0.019337
us_000567591,0.898501,0.019342
us_000511116,0.898501,0.019810
pr_001337927,0.898501,0.019929
pr_001211257,0.898501,0.019937
pr_001208299,0.898501,0.019962
us_000588825,0.898501,0.020002
us_000574652,0.898501,0.020031
pr_001938509,0.898501,0.020190
pr_001233020,0.898501,0.020708
us_000578994,0.898501,0.020769
pr_001256396,0.898501,0.021309
pr_001353430,0.898501,0.022438
pr_001363594,0.898501,0.023045
pr_001346830,0.898501,0.023195
pr_001336395,0.898501,0.023281
us_000527174,0.898501,0.024204
us_000505046,0.898501,0.024305
pr_001446821,0.898501,0.024380
pr_001349055,0.898501,0.024566
pr_001181233,0.898501,0.024656
pr_001542018,0.898501,0.024895
pr_001234988,0.898501,0.027397
pr_001287216,0.898501,0.028209
pr_001332838,0.898501,0.028395
pr_001261806,0.898501,0.028395
pr_001207388,0.898501,0.028395
pr_001312490,0.898501,0.028395
pr_001338742,0.898501,0.028395
pr_001352838,0.898501,0.028395
pr_001349323,0.898501,0.028395
pr_001263766,0.898501,0.029453
us_000581062,0.898501,0.029601
pr_001235227,0.898501,0.029646
us_000577176,0.898501,0.031843
pr_001287444,0.898501,0.032407
pr_001376066,0.898501,0.032748
pr_001301793,0.898501,0.033624
pr_001331880,0.898501,0.033661
pr_001191083,0.898501,0.033661
pr_001206914,0.898501,0.033959
pr_001250164,0.898501,0.034613
pr_001343894,0.898501,0.034613
pr_001364215,0.898501,0.034613
pr_001283075,0.898501,0.034613
pr_001205835,0.898501,0.034613
pr_001287246,0.898501,0.034613
pr_001199651,0.898501,0.034613
pr_001322420,0.898501,0.034613
pr_001310824,0.898501,0.034613
pr_001342911,0.898501,0.034613
pr_001347453,0.898501,0.034613
pr_001307732,0.898501,0.034613
pr_001339140,0.898501,0.034613
pr_001187247,0.898501,0.034641
pr_001212554,0.898501,0.034665
pr_001361949,0.898501,0.034699
pr_001335759,0.898501,0.034699
pr_001284709,0.898501,0.035032
pr_001368653,0.898501,0.035032
pr_001199842,0.898501,0.035032
pr_001270459,0.898501,0.035984
pr_001279496,0.898501,0.035984
pr_001286030,0.898501,0.035984
us_000556795,0.898501,0.036098
us_000504163,0.898501,0.036876
pr_001235334,0.898501,0.037228
pr_001275952,0.898501,0.038200
pr_001219707,0.898501,0.038226
pr_001179535,0.898501,0.038261
pr_001994760,0.898501,0.038324
pr_001210668,0.898501,0.038404
pr_001370522,0.898501,0.038724
pr_001279198,0.898501,0.039114
pr_001322741,0.898501,0.039249
pr_001354576,0.898501,0.039249
pr_001274794,0.898501,0.039335
pr_001450604,0.898501,0.039377
us_000505067,0.898501,0.039647
pr_001372264,0.898501,0.039669
us_000514472,0.898501,0.040006
pr_001345591,0.898501,0.040045
pr_001359213,0.898501,0.040159
pr_001363838,0.898501,0.041178
pr_001360019,0.898501,0.041178
pr_001339198,0.898501,0.041178
us_000556750,0.898501,0.041247
us_000554327,0.898501,0.041255
pr_001267914,0.898501,0.041264
us_000565921,0.898501,0.041922
us_000556212,0.898501,0.041939
us_000512024,0.898501,0.042520
pr_001472167,0.898501,0.042549
us_000610738,0.898501,0.043418
pr_001312313,0.898501,0.043628
pr_001311689,0.898501,0.044329
pr_001336210,0.898501,0.044329
us_000523893,0.898501,0.046736
pr_001361332,0.898501,0.046915
pr_001238926,0.898501,0.047100
pr_001211251,0.898501,0.047600
pr_001171182,0.898501,0.047607
pr_001279212,0.898501,0.047607
pr_001279206,0.898501,0.047607
pr_001259128,0.898501,0.047867
pr_001338781,0.898501,0.047867
pr_001342539,0.898501,0.047867
us_000507982,0.898501,0.047917
us_000543434,0.898501,0.047946
us_000509941,0.898501,0.047953
us_000545848,0.898501,0.048023
pr_001267378,0.898501,0.048314
pr_001238864,0.898501,0.048681
us_000505147,0.898501,0.048687
pr_001364325,0.898501,0.049238
us_000511463,0.898501,0.050008
pr_001208794,0.898501,0.050579
pr_001203818,0.898501,0.051912
pr_001208149,0.898501,0.051912
pr_001331900,0.898501,0.052145
pr_001270577,0.898501,0.052145
pr_001345461,0.898501,0.052503
pr_001363578,0.898501,0.052503
pr_001336800,0.898501,0.052503
pr_001357970,0.898501,0.052503
pr_001369915,0.898501,0.052897
pr_001281995,0.898501,0.052950
pr_001212364,0.898501,0.053097
pr_001204482,0.898501,0.053097
pr_001257360,0.898501,0.053097
pr_001285770,0.898501,0.054099
pr_001209216,0.898501,0.054432
pr_001316663,0.898501,0.054809
pr_001352665,0.898501,0.055803
pr_001319184,0.898501,0.056021
pr_001361795,0.898501,0.056318
us_000513294,0.898501,0.056587
pr_001234581,0.898501,0.057142
pr_001208389,0.898501,0.057569
pr_001205333,0.898501,0.057733
pr_001371487,0.898501,0.058514
pr_001369795,0.898501,0.058514
us_000512045,0.898501,0.058881
pr_001204646,0.898501,0.059104
pr_001131369,0.898501,0.059247
pr_001366397,0.898501,0.059822
us_000523467,0.898501,0.059955
pr_001287993,0.898501,0.061309
pr_001337062,0.898501,0.061982
us_000513067,0.898501,0.062844
pr_001352699,0.898501,0.062933
pr_001357487,0.898501,0.062933
pr_001249438,0.898501,0.062933
pr_001344903,0.898501,0.062947
us_000577439,0.898501,0.063376
pr_001347535,0.898501,0.064298
us_000569895,0.898501,0.064372
us_000586145,0.898501,0.064453
us_000577541,0.898501,0.064746
pr_001256528,0.898501,0.064825
us_000553117,0.898501,0.065005
pr_001339943,0.898501,0.065759
pr_001324281,0.898501,0.068249
pr_001203856,0.898501,0.069113
pr_001543475,0.898501,0.069204
pr_001237808,0.898501,0.069432
us_000528687,0.898501,0.069672
pr_001285518,0.898501,0.071247
pr_001238587,0.898501,0.071685
pr_001441095,0.898501,0.072699
pr_001266855,0.898501,0.072895
us_000577685,0.898501,0.073318
us_000506306,0.898501,0.073482
pr_001370513,0.898501,0.073820
pr_001286740,0.898501,0.074584
pr_001335769,0.898501,0.074670
us_000508590,0.898501,0.074754
pr_001212379,0.898501,0.074765
pr_001351306,0.898501,0.075706
pr_001357446,0.898501,0.079198
pr_001498544,0.898501,0.079502
pr_001379293,0.898501,0.080812
pr_001482543,0.898501,0.081760
pr_001458171,0.898501,0.083855
pr_001437740,0.898501,0.084896
pr_001323813,0.898501,0.085786
pr_001348479,0.898501,0.086537
pr_001272980,0.898501,0.086623
us_000509474,0.898501,0.087078
pr_001350309,0.898501,0.087838
pr_001324310,0.898501,0.088443
pr_001308445,0.898501,0.088911
pr_001264425,0.898501,0.090005
pr_001210265,0.898501,0.090282
us_000532158,0.898501,0.090706
pr_001199312,0.898501,0.091087
us_000597637,0.898501,0.091753
pr_001249974,0.898501,0.093143
pr_001349431,0.898501,0.094118
pr_001238988,0.898501,0.096318
pr_001323251,0.898501,0.096520
pr_001196608,0.898501,0.096520
pr_001358489,0.898501,0.106013
pr_001315507,0.898501,0.106694
pr_001361112,0.898501,0.107550
pr_001319077,0.898501,0.115350
pr_001337439,0.898501,0.120605
pr_001313472,0.898501,0.125110
pr_001190631,0.898501,0.126511
pr_001418769,0.898501,0.127268
pr_001341680,0.898501,0.142978
pr_001336135,0.898501,0.157789
us_000506307,0.898501,0.160795
pr_001484302,0.898501,0.185328
us_000573981,0.898501,0.186833
us_000555091,0.898501,0.187743
us_000514319,0.898501,0.202940
pr_001199264,0.898501,0.234648
pr_001497686,0.883555,0.002869
pr_001459285,0.883555,0.002869
pr_001435128,0.883555,0.002869
pr_001485170,0.883555,0.002869
us_000521122,0.883555,0.002986
us_000529110,0.883555,0.003621
pr_001424952,0.883555,0.003635
pr_001470061,0.883555,0.037407
pr_001514685,0.883555,0.060751
us_000540185,0.883555,0.467848
us_000552728,0.883555,0.479075
us_000552941,0.883555,0.479463
us_000525247,0.883555,0.480546
pr_001276312,0.883555,0.480801
us_000552775,0.883555,0.662203
pr_001261175,0.879263,0.017180
us_000526931,0.879263,0.042783
pr_001262782,0.879263,0.043638
pr_000553543,0.879263,0.048144
pr_000559637,0.879263,0.048299
pr_001336034,0.879263,0.053269
pr_001200740,0.879263,0.056172
pr_001316887,0.879263,0.059988
pr_001207486,0.879263,0.061336
us_000510969,0.879263,0.061440
pr_001262539,0.879263,0.064551
us_000527077,0.879263,0.066606
pr_001311602,0.879263,0.074899
us_000581107,0.879263,0.080258
us_000537627,0.879263,0.088939
pr_001318462,0.879263,0.096313
pr_001318963,0.879263,0.106173
pr_000286260,0.859670,0.000000
pr_000376285,0.859670,0.000000
pr_000435073,0.859670,0.000000
pr_000434054,0.859670,0.000000
pr_001434531,0.859670,0.004494
pr_001327914,0.859670,0.004743
pr_001452876,0.859670,0.014807
pr_000779096,0.859670,0.044388
us_000555463,0.859670,0.408074
us_000525814,0.859670,0.419401
us_000507735,0.859670,0.424742
pr_001265757,0.859670,0.443402
us_000612152,0.859670,0.446031
pr_001545374,0.859670,0.450394
pr_001334033,0.859670,0.457120
pr_001231949,0.859670,0.469703
us_000592637,0.859670,0.478246
us_000578385,0.859670,0.489642
us_000555700,0.859670,0.490120
pr_001323956,0.859670,0.493473
us_000612622,0.859670,0.498556
us_000562137,0.859670,0.505225
pr_001429323,0.859670,0.508401
pr_001259788,0.859670,0.512717
pr_001233524,0.859670,0.512808
us_000580759,0.859670,0.513684
us_000508806,0.859670,0.516065
us_000558201,0.859670,0.516379
pr_001308055,0.859670,0.525676
us_000591023,0.848171,0.030237
pr_001312791,0.848171,0.184725
us_000586304,0.848171,0.194011
pr_001337377,0.848171,0.205514
us_000556638,0.848171,0.205604
pr_001516095,0.848171,0.207534
us_000562922,0.848171,0.218906
pr_001273039,0.848171,0.223553
pr_001345453,0.848171,0.227803
pr_001200731,0.848171,0.227803
pr_001485322,0.848171,0.227803
pr_001217935,0.848171,0.227803
us_000577997,0.842487,0.000000
pr_001378515,0.842487,0.022910
pr_001376841,0.842487,0.070165
us_000514051,0.842487,0.300838
us_000601109,0.842487,0.406013
us_000600759,0.842487,0.419349
us_000561513,0.842487,0.441082
pr_001425835,0.842487,0.441337
pr_001340992,0.842487,0.461126
pr_001294526,0.837899,0.024810
us_000558419,0.837899,0.032369
pr_001273725,0.837899,0.068017
pr_001448343,0.837899,0.068381
pr_000723739,0.837899,0.096917
us_000510355,0.837899,0.940685
pr_001149189,0.830344,0.000000
pr_001686164,0.830344,0.000000
pr_001686152,0.830344,0.000000
pr_000435503,0.830344,0.000000
pr_001155989,0.830344,0.000000
pr_000394746,0.830344,0.000000
pr_000626405,0.830344,0.000000
pr_001146281,0.830344,0.000000
pr_000611786,0.830344,0.000000
pr_001147365,0.830344,0.000000
pr_000368839,0.830344,0.000000
pr_001147541,0.830344,0.000000
pr_001034235,0.830344,0.000000
pr_000621851,0.830344,0.000000
pr_001146815,0.830344,0.000000
us_000480557,0.830344,0.000000
us_000480849,0.830344,0.000000
us_000474254,0.830344,0.000000
us_000475041,0.830344,0.000000
us_000493422,0.830344,0.000001
pr_001156760,0.830344,0.000004
pr_000716029,0.830344,0.001121
pr_000374111,0.830344,0.001121
pr_000656319,0.830344,0.001121
us_000496756,0.830344,0.001306
pr_000911058,0.830344,0.001354
pr_000816243,0.830344,0.001356
us_000555494,0.830344,0.001429
us_000469993,0.830344,0.001434
pr_000911119,0.830344,0.001435
pr_000912170,0.830344,0.001435
pr_000817775,0.830344,0.001435
pr_000373432,0.830344,0.001435
