Product ID : 7875 # of JPs covered : 1 : 426 : Tax Prep-Foreign Individual, 
OID,Confidence at Map Node,Error at Map Node
us_000556579,1.000000,0.000000
us_000557505,1.000000,0.000000
us_000545607,1.000000,0.000000
us_000567434,1.000000,0.000026
pr_001721086,1.000000,0.000102
pr_000485626,1.000000,0.000245
us_000615084,1.000000,0.000249
pr_000266781,1.000000,0.000355
us_000599472,1.000000,0.000367
us_000615734,1.000000,0.001674
us_000609877,1.000000,0.002744
us_000530628,1.000000,0.008164
us_000533134,1.000000,0.043212
us_000492826,1.000000,0.074704
us_000611882,1.000000,2.327627
us_000618901,1.000000,2.346603
us_000511255,0.974776,0.000000
pr_002088814,0.974776,0.000000
pr_001078109,0.974776,0.000000
pr_002079728,0.974776,0.000000
pr_000920353,0.974776,0.000000
pr_000761212,0.974776,0.000000
pr_001020841,0.974776,0.000000
pr_001044539,0.974776,0.000000
pr_000790484,0.974776,0.000000
pr_001398794,0.974776,0.000000
pr_001160538,0.974776,0.000000
us_000555743,0.974776,0.000005
us_000538958,0.974776,0.000027
us_000606725,0.974776,0.000071
us_000533963,0.974776,0.000075
us_000595542,0.974776,0.000436
us_000611811,0.974776,0.000886
us_000602450,0.974776,0.001150
pr_000731683,0.974776,0.001202
us_000491199,0.974776,0.001211
pr_001031707,0.974776,0.001363
us_000498686,0.974776,0.001424
us_000545265,0.974776,0.001488
pr_000184818,0.974776,0.003535
us_000586568,0.974776,0.003898
pr_000238948,0.974776,0.003956
us_000494770,0.974776,0.004150
us_000573776,0.974776,0.010486
pr_000821057,0.974776,0.012109
pr_000807422,0.974776,0.014588
pr_001088041,0.974776,0.016136
pr_000785728,0.974776,0.016566
pr_000611082,0.974776,0.017572
us_000598183,0.974776,0.018161
pr_001666038,0.974776,0.020640
us_000546054,0.974776,0.024222
pr_001987093,0.974776,0.025261
pr_001751798,0.974776,0.028510
us_000598590,0.974776,0.033444
us_000471916,0.974776,0.044898
pr_001667735,0.974776,0.049417
pr_001068790,0.974776,0.053458
pr_001664692,0.974776,0.060166
pr_001659044,0.974776,0.064314
us_000535349,0.974776,0.088282
pr_000608693,0.974776,0.116305
us_000575431,0.974776,0.241699
us_000485626,0.974776,0.307588
us_000585470,0.957421,2.878513
us_000570723,0.905596,0.000000
us_000522827,0.905596,0.000000
us_000519095,0.905596,0.000000
us_000524908,0.905596,0.000000
us_000518497,0.905596,0.000000
us_000515338,0.905596,0.000000
us_000546756,0.905596,0.000002
us_000504333,0.905596,0.000002
us_000504509,0.905596,0.000002
us_000504525,0.905596,0.000002
us_000503740,0.905596,0.000003
pr_001207727,0.905596,0.000018
pr_001252661,0.905596,0.016306
us_000569704,0.905596,0.022086
us_000561978,0.905596,0.247817
us_000614975,0.905596,0.260961
us_000529280,0.905596,0.336103
us_000600948,0.905596,0.337673
