Product ID : 2090 # of JPs covered : 1 : 380 : M&A-Structuring Deals, 
OID,Confidence at Map Node,Error at Map Node
us_000503609,0.901810, 0.000001
us_000118389,0.901810, 0.000001
us_000458996,0.901810, 0.000001
us_000483211,0.901810, 0.000001
us_000458557,0.901810, 0.000001
us_000564950,0.901810, 0.000001
us_000127683,0.901810, 0.000001
us_000485510,0.901810, 0.000001
us_000477716,0.901810, 0.000001
us_000498262,0.901810, 0.000001
us_000459865,0.901810, 0.000001
us_000472371,0.901810, 0.000001
us_000458766,0.901810, 0.000001
us_000478674,0.901810, 0.000001
us_000474761,0.901810, 0.000001
us_000488997,0.901810, 0.000001
us_000458685,0.901810, 0.000001
us_000474263,0.901810, 0.000001
us_000051293,0.901810, 0.000001
us_000493164,0.901810, 0.000001
us_000500533,0.901810, 0.000001
us_000259105,0.901810, 0.000001
us_000563890,0.901810, 0.000001
us_000506662,0.901810, 0.000001
us_000506035,0.901810, 0.000002
pr_000762444,0.901810, 0.000003
pr_000765291,0.901810, 0.000006
us_000555788,0.901810, 0.000014
us_000481970,0.901810, 0.000014
us_000492365,0.901810, 0.000014
us_000564083,0.901810, 0.000014
us_000533126,0.901810, 0.000015
us_000613819,0.901810, 0.000027
us_000452165,0.901810, 0.000030
pr_001875570,0.901810, 0.000037
us_000550195,0.901810, 0.000038
us_000591898,0.901810, 0.000060
pr_000290742,0.901810, 0.000121
us_000480138,0.901810, 0.000397
pr_002081041,0.901810, 0.000433
us_000562944,0.901810, 0.001115
us_000471675,0.901810, 0.001117
us_000493938,0.901810, 0.001642
us_000230803,0.901810, 0.002455
us_000481214,0.901810, 0.002467
us_000589824,0.901810, 0.003105
us_000590075,0.901810, 0.006217
us_000591738,0.901810, 0.008062
us_000528381,0.901810, 0.008178
us_000564004,0.901810, 0.011864
us_000581121,0.901810, 0.016336
us_000518874,0.901810, 0.017066
us_000529065,0.901810, 0.017811
us_000529401,0.901810, 0.019960
us_000563683,0.901810, 0.022533
us_000530869,0.901810, 0.031560
us_000512515,0.901810, 0.076988
us_000504308,0.901810, 0.096200
us_000458943,0.901810, 8.278928
us_000553041,0.434705, 0.000000
us_000552308,0.434705, 0.000000
pr_001644419,0.434705, 0.000000
us_000567686,0.434705, 0.000000
us_000534668,0.434705, 0.000000
us_000567680,0.434705, 0.000000
us_000571706,0.434705, 0.000000
us_000553099,0.434705, 0.000000
us_000552105,0.434705, 0.000000
us_000552103,0.434705, 0.000000
us_000534696,0.434705, 0.000000
us_000503598,0.434705, 0.000000
us_000498930,0.434705, 0.000000
us_000523009,0.434705, 0.000000
us_000528890,0.434705, 0.000000
us_000504446,0.434705, 0.000000
us_000555385,0.434705, 0.000000
us_000489506,0.434705, 0.000000
us_000498541,0.434705, 0.000000
us_000498444,0.434705, 0.000000
pr_000594926,0.434705, 0.000002
pr_000888948,0.434705, 0.000002
pr_001071050,0.434705, 0.000003
pr_000837717,0.434705, 0.000004
pr_001070843,0.434705, 0.000007
pr_001111011,0.434705, 0.000010
pr_001816886,0.434705, 0.000010
pr_000945480,0.434705, 0.000017
pr_000737528,0.434705, 0.000019
pr_001671998,0.434705, 0.000020
pr_000563130,0.434705, 0.000028
pr_001705915,0.434705, 0.000039
us_000606569,0.434705, 0.000044
us_000599477,0.434705, 0.000112
us_000460541,0.434705, 0.000675
us_000478077,0.434705, 0.000705
us_000536994,0.434705, 0.000879
us_000542906,0.434705, 0.000909
us_000503156,0.434705, 0.001068
us_000475086,0.434705, 0.001075
us_000514786,0.434705, 0.001088
us_000496794,0.434705, 0.001132
us_000594844,0.434705, 0.001325
us_000550677,0.434705, 0.001611
us_000498933,0.434705, 0.001893
us_000478617,0.434705, 0.001925
us_000577298,0.434705, 0.002137
us_000497079,0.434705, 0.002565
us_000516751,0.434705, 0.002677
us_000478183,0.434705, 0.003127
us_000542089,0.434705, 0.003305
us_000501803,0.434705, 0.003769
us_000614369,0.434705, 0.004512
us_000505246,0.434705, 0.006259
us_000499614,0.434705, 0.007320
us_000542579,0.434705, 0.009862
us_000483650,0.434705, 0.010035
us_000477095,0.434705, 0.010301
us_000566346,0.434705, 0.010845
us_000562589,0.434705, 0.015323
us_000475890,0.434705, 0.015475
us_000565017,0.434705, 0.017221
us_000582549,0.434705, 0.018585
us_000546377,0.434705, 0.021337
us_000575308,0.434705, 0.026354
us_000469801,0.434705, 0.030733
us_000538390,0.434705, 0.031518
us_000463636,0.434705, 0.034271
us_000587536,0.434705, 0.065471
us_000314503,0.434705, 0.127623
us_000529455,0.434705, 6.773587
us_000587547,0.434705, 8.514680
pr_000788064,0.299845, 0.000000
pr_000770393,0.299845, 0.000000
pr_000861765,0.299845, 0.000000
pr_001006297,0.299845, 0.000000
pr_001700302,0.299845, 0.000000
pr_000765764,0.299845, 0.000000
pr_000752244,0.299845, 0.000000
pr_000861017,0.299845, 0.000000
pr_002083321,0.299845, 0.000000
pr_002176296,0.299845, 0.000000
pr_002054740,0.299845, 0.000000
pr_001153478,0.299845, 0.000017
us_000599541,0.299845, 0.006243
us_000580119,0.299845, 0.006243
us_000560791,0.299845, 0.038549
us_000390022,0.299845, 0.051181
us_000520224,0.299845, 0.113836
us_000492422,0.299845, 0.173292
us_000538508,0.299845, 0.207619
us_000522668,0.299845, 0.214893
us_000517653,0.299845, 0.215020
us_000503976,0.299845, 0.219428
us_000491079,0.299845, 0.227042
us_000504038,0.299845, 0.227564
us_000491064,0.299845, 0.229361
us_000528030,0.299845, 0.235075
us_000487103,0.299845, 0.237702
us_000534484,0.299845, 0.239065
us_000542794,0.299845, 0.241532
us_000501749,0.299845, 0.256992
us_000525907,0.299845, 0.261328
us_000499279,0.299845, 0.377071
us_000500082,0.265249, 0.000000
us_000542064,0.265249, 0.000000
us_000562339,0.265249, 0.001302
us_000516803,0.265249, 0.003123
pr_000075133,0.057418, 0.000000
us_000538436,0.057418, 0.000000
pr_000834852,0.057418, 0.000000
pr_001812326,0.057418, 0.000000
pr_000377121,0.057418, 0.000000
pr_001005638,0.057418, 0.000000
us_000576735,0.057418, 0.000002
us_000576738,0.057418, 0.000002
us_000595996,0.057418, 0.000003
us_000597544,0.057418, 0.000005
us_000615555,0.057418, 0.000005
us_000565267,0.057418, 0.000014
pr_000524797,0.057418, 0.000021
us_000597150,0.057418, 0.000061
us_000576798,0.057418, 0.000064
pr_000125791,0.057418, 0.000146
us_000488126,0.057418, 0.000226
us_000601750,0.057418, 0.000264
us_000535051,0.057418, 0.000303
us_000536791,0.057418, 0.000656
us_000534470,0.057418, 0.001012
us_000484876,0.057418, 0.001350
us_000555142,0.057418, 0.005198
us_000540085,0.057418, 0.011889
pr_000776777,0.051035, 0.000001
pr_000661330,0.051035, 0.000002
us_000564792,0.051035, 0.080028
us_000525953,0.051035, 0.086509
us_000554788,0.051035, 0.095065
us_000571972,0.051035, 0.100110
us_000489327,0.051035, 0.108059
us_000484623,0.051035, 0.108624
us_000532552,0.051035, 0.115930
us_000180572,0.051035, 0.119227
us_000256579,0.051035, 0.126940
us_000587572,0.051035, 0.127226
us_000539542,0.051035, 0.127400
us_000548813,0.051035, 0.133299
us_000552104,0.051035, 0.133769
us_000557458,0.051035, 0.139758
us_000526302,0.051035, 0.140167
us_000551527,0.051035, 0.140674
us_000490868,0.051035, 0.146696
us_000613306,0.051035, 0.147115
us_000595056,0.051035, 0.149622
us_000497065,0.051035, 0.154220
us_000521515,0.051035, 0.154487
us_000594878,0.051035, 0.155356
us_000548680,0.051035, 0.155834
us_000488496,0.051035, 0.156113
us_000615648,0.051035, 0.156662
us_000524207,0.051035, 0.156865
us_000536710,0.051035, 0.157409
us_000539123,0.051035, 0.157624
us_000514935,0.051035, 0.158247
us_000498874,0.051035, 0.159913
us_000511886,0.051035, 0.160112
us_000547943,0.051035, 0.160196
us_000530675,0.051035, 0.161209
us_000550806,0.051035, 0.161328
us_000614624,0.051035, 0.161786
us_000567634,0.051035, 0.162194
us_000503265,0.051035, 0.163468
us_000543375,0.051035, 0.163498
us_000492330,0.051035, 0.165116
us_000586808,0.051035, 0.165340
us_000574441,0.051035, 0.165347
us_000499168,0.051035, 0.166407
us_000543941,0.051035, 0.169567
us_000328499,0.051035, 0.170112
us_000503700,0.051035, 0.170629
us_000523795,0.051035, 0.171021
us_000550066,0.051035, 0.171475
us_000492997,0.051035, 0.173059
us_000538631,0.051035, 0.173783
us_000543015,0.051035, 0.174135
us_000494878,0.051035, 0.175449
us_000577692,0.051035, 0.176860
us_000511616,0.051035, 0.178214
us_000496133,0.051035, 0.178906
us_000551369,0.051035, 0.178906
us_000550940,0.051035, 0.180394
us_000601471,0.051035, 0.180635
us_000547412,0.051035, 0.180669
us_000578196,0.051035, 0.181196
us_000496781,0.051035, 0.181330
us_000526202,0.051035, 0.181675
us_000544425,0.051035, 0.182104
us_000493481,0.051035, 0.182571
us_000589900,0.051035, 0.182651
us_000547395,0.051035, 0.183012
us_000614259,0.051035, 0.183333
us_000537277,0.051035, 0.183354
us_000549928,0.051035, 0.183354
us_000585656,0.051035, 0.183373
us_000602980,0.051035, 0.183598
us_000601469,0.051035, 0.183598
us_000537770,0.051035, 0.183737
us_000497911,0.051035, 0.183905
us_000614697,0.051035, 0.183905
us_000585540,0.051035, 0.184182
