Product ID : 1037 JPs covered : 66 : Antitrust, 
OID,Confidence at Map Node,Error at Map Node
us_000555642,0.780181, 0.000337
pr_000636093,0.780181, 0.000464
pr_000664651,0.780181, 0.000588
pr_000945343,0.780181, 0.001695
pr_000124058,0.780181, 0.001716
pr_000145896,0.780181, 0.001823
us_000545196,0.780181, 0.006873
us_000547700,0.780181, 0.009329
us_000587976,0.780181, 0.009921
us_000538160,0.780181, 0.011485
us_000486983,0.780181, 0.308369
us_000572562,0.780181, 0.325626
us_000569245,0.780181, 0.342103
us_000487635,0.780181, 0.366754
us_000203801,0.780181, 0.639971
pr_000169063,0.582585, 0.000000
us_000474672,0.582585, 0.000000
us_000469839,0.582585, 0.000000
us_000533102,0.582585, 0.000000
us_000487191,0.582585, 0.000000
us_000584734,0.582585, 0.000000
us_000487422,0.582585, 0.000000
us_000471836,0.582585, 0.000000
us_000480456,0.582585, 0.000000
us_000589624,0.582585, 0.000000
us_000487126,0.582585, 0.000000
us_000468981,0.582585, 0.000000
us_000480142,0.582585, 0.000000
us_000049443,0.582585, 0.000000
us_000471272,0.582585, 0.000000
us_000554344,0.582585, 0.000000
us_000469269,0.582585, 0.000000
us_000465051,0.582585, 0.000000
us_000334476,0.582585, 0.000000
us_000018097,0.582585, 0.000000
us_000479815,0.582585, 0.000000
pr_000967362,0.582585, 0.000001
pr_001733898,0.582585, 0.000001
pr_001663126,0.582585, 0.000001
pr_000828695,0.582585, 0.000002
pr_000564048,0.582585, 0.000005
us_000602923,0.582585, 0.000006
us_000548294,0.582585, 0.000007
pr_000745570,0.582585, 0.000025
us_000600945,0.582585, 0.000044
us_000571406,0.582585, 0.000044
us_000561710,0.582585, 0.000044
us_000570944,0.582585, 0.000044
us_000577916,0.582585, 0.000044
us_000595658,0.582585, 0.000044
pr_000701201,0.582585, 0.000069
pr_000774772,0.582585, 0.000108
pr_000831928,0.582585, 0.000166
pr_001056304,0.582585, 0.000196
pr_001635004,0.582585, 0.000198
pr_001755371,0.582585, 0.000213
us_000526376,0.582585, 0.000726
pr_000900083,0.582585, 0.000903
pr_001002643,0.582585, 0.001304
us_000567308,0.582585, 0.003113
us_000425840,0.582585, 0.099150
pr_001030253,0.573603, 0.000000
us_000539652,0.573603, 0.000001
us_000616643,0.573603, 0.000001
pr_001048324,0.573603, 0.000018
us_000593362,0.573603, 0.000034
us_000578026,0.573603, 0.000043
pr_001406371,0.573603, 0.000051
us_000609792,0.573603, 0.000074
pr_000169488,0.573603, 0.000243
pr_001031469,0.573603, 0.000317
pr_000635327,0.573603, 0.000364
us_000489654,0.573603, 0.110282
us_000475423,0.573603, 0.124916
us_000079419,0.573603, 0.128767
us_000480971,0.573603, 0.130010
us_000460525,0.573603, 0.132696
us_000487642,0.573603, 0.136275
us_000460709,0.573603, 0.136702
us_000469812,0.573603, 0.136702
us_000467406,0.573603, 0.136702
us_000493374,0.573603, 0.136702
us_000487923,0.573603, 0.136702
us_000477730,0.573603, 0.136702
us_000480870,0.573603, 0.136702
us_000018190,0.573603, 0.140266
us_000573314,0.573603, 0.141439
us_000521355,0.573603, 0.141937
us_000487612,0.573603, 0.144131
us_000487092,0.573603, 0.145385
us_000467385,0.573603, 0.148916
us_000489609,0.573603, 0.149182
us_000467378,0.573603, 0.149182
us_000467244,0.573603, 0.149182
us_000482122,0.573603, 0.153497
us_000475343,0.573603, 0.154798
us_000522618,0.573603, 0.155996
us_000502545,0.573603, 0.157888
us_000542515,0.573603, 0.157888
us_000255315,0.573603, 0.159020
us_000476869,0.573603, 0.162357
us_000058894,0.573603, 0.167019
us_000522980,0.573603, 0.172612
us_000223167,0.573603, 0.179301
us_000480918,0.573603, 0.181131
us_000478348,0.573603, 0.185998
us_000124417,0.573603, 0.190500
us_000461197,0.573603, 0.191381
us_000472586,0.573603, 0.193160
us_000083644,0.573603, 0.196184
us_000262493,0.573603, 0.197041
us_000260830,0.573603, 0.208445
us_000474366,0.573603, 0.211153
us_000461530,0.573603, 0.212951
us_000286743,0.573603, 0.223973
us_000464879,0.573603, 0.229373
us_000486748,0.573603, 0.242005
us_000489937,0.573603, 0.265355
us_000459175,0.573603, 0.299115
us_000537001,0.573603, 0.331081
us_000475541,0.573603, 0.619617
us_000462633,0.573603, 0.643850
us_000549900,0.573603, 0.790197
us_000472700,0.573603, 0.836476
us_000471222,0.573603, 1.214545
us_000517421,0.573603, 1.365194
pr_000579134,0.536487, 0.000000
pr_000664089,0.536487, 0.000000
pr_000812284,0.536487, 0.000001
pr_000699753,0.536487, 0.000009
us_000461693,0.536487, 0.000041
us_000614644,0.536487, 0.003130
us_000549027,0.536487, 0.016413
us_000487025,0.536487, 0.123121
us_000502629,0.536487, 0.209572
us_000497969,0.536487, 0.254576
us_000584622,0.536487, 0.399506
us_000495452,0.536487, 0.486901
us_000493850,0.536487, 0.501110
us_000464491,0.536487, 0.501110
us_000528698,0.536487, 0.509281
us_000498442,0.536487, 0.569577
us_000489069,0.536487, 0.570718
us_000252897,0.536487, 0.570718
us_000487638,0.536487, 0.625386
us_000495222,0.536487, 0.627605
us_000528058,0.536487, 0.630460
us_000487921,0.536487, 0.630999
us_000487697,0.536487, 0.653232
us_000584618,0.536487, 0.674485
us_000033904,0.536487, 0.693784
pr_001066232,0.505789, 0.000000
pr_000319656,0.505789, 0.000000
pr_001632321,0.505789, 0.000000
pr_001751096,0.505789, 0.000000
pr_000901081,0.505789, 0.000000
pr_001589983,0.505789, 0.000000
pr_001595419,0.505789, 0.000000
us_000512587,0.505789, 0.000000
us_000538151,0.505789, 0.000000
pr_002144685,0.505789, 0.000000
pr_001038300,0.505789, 0.000000
us_000542652,0.505789, 0.000100
us_000473301,0.505789, 0.000116
us_000566011,0.505789, 0.000148
pr_000618062,0.505789, 0.000153
pr_002098303,0.505789, 0.000176
us_000547384,0.505789, 0.000715
us_000158977,0.505789, 0.096041
us_000569098,0.505789, 0.132494
us_000486859,0.505789, 0.138454
us_000489756,0.505789, 0.150596
us_000531584,0.505789, 0.155891
us_000539664,0.505789, 0.159338
us_000489765,0.505789, 0.161975
us_000381050,0.505789, 0.164596
us_000460371,0.505789, 0.168956
us_000459844,0.505789, 0.169680
us_000538096,0.505789, 0.172299
us_000489600,0.505789, 0.172734
us_000244096,0.505789, 0.173393
us_000488001,0.505789, 0.173393
us_000530505,0.505789, 0.173393
us_000581550,0.505789, 0.181356
us_000487311,0.505789, 0.181356
us_000577619,0.505789, 0.183291
us_000518696,0.505789, 0.188568
us_000486143,0.505789, 0.189043
us_000090673,0.505789, 0.196624
us_000463933,0.505789, 0.214817
us_000478826,0.505789, 0.234208
us_000518915,0.505789, 0.360000
pr_001012197,0.411319, 0.000001
pr_000656484,0.411319, 0.000037
us_000464065,0.411319, 0.114373
us_000464231,0.411319, 0.114373
us_000486942,0.411319, 0.114373
us_000197455,0.411319, 0.114373
us_000464142,0.411319, 0.114373
us_000406650,0.411319, 0.114373
us_000480750,0.411319, 0.114373
us_000481638,0.411319, 0.114373
us_000463939,0.411319, 0.114373
us_000487012,0.411319, 0.114373
us_000463921,0.411319, 0.114373
us_000464970,0.411319, 0.115747
us_000462987,0.411319, 0.118219
us_000489802,0.411319, 0.118219
us_000462550,0.411319, 0.118219
us_000113221,0.411319, 0.118219
us_000462506,0.411319, 0.118219
us_000462793,0.411319, 0.118219
us_000493050,0.411319, 0.118219
us_000463090,0.411319, 0.118219
us_000463394,0.411319, 0.118219
us_000463264,0.411319, 0.118219
us_000459236,0.411319, 0.120286
us_000480883,0.411319, 0.120294
us_000482400,0.411319, 0.121915
us_000490648,0.411319, 0.122141
us_000461572,0.411319, 0.122141
us_000542433,0.411319, 0.122141
us_000460939,0.411319, 0.122141
us_000487701,0.411319, 0.122141
us_000476108,0.411319, 0.122141
us_000461630,0.411319, 0.122141
us_000461208,0.411319, 0.122141
us_000190906,0.411319, 0.122141
us_000469103,0.411319, 0.122141
us_000542432,0.411319, 0.122141
us_000487536,0.411319, 0.122141
us_000461230,0.411319, 0.122141
us_000188598,0.411319, 0.122141
us_000486707,0.411319, 0.122141
us_000262773,0.411319, 0.122141
us_000461044,0.411319, 0.122141
us_000481043,0.411319, 0.122141
us_000542412,0.411319, 0.122141
us_000476049,0.411319, 0.122141
us_000474163,0.411319, 0.122141
us_000542445,0.411319, 0.122141
us_000462407,0.411319, 0.122141
us_000481462,0.411319, 0.122141
us_000461309,0.411319, 0.122141
us_000502243,0.411319, 0.122141
us_000459308,0.411319, 0.122141
us_000469258,0.411319, 0.122141
