Product ID : 2085 # of JPs covered : 1 : 333 : Bankruptcy-Asset-Recovery, 
us_000494446,0.501091, 1.388099
us_000511380,0.501091, 1.388099
us_000511392,0.501091, 1.388099
us_000494582,0.501091, 1.388099
us_000510368,0.501091, 1.388099
us_000491381,0.501091, 1.388488
us_000496968,0.501091, 1.390934
us_000491811,0.501091, 1.396038
us_000472834,0.501091, 1.396439
us_000481854,0.501091, 1.398814
us_000510334,0.501091, 1.399452
us_000510533,0.501091, 1.405693
us_000581486,0.501091, 1.406214
us_000499259,0.501091, 1.407221
us_000494471,0.501091, 1.407968
us_000509439,0.501091, 1.407968
us_000474607,0.501091, 1.407968
us_000494480,0.501091, 1.407968
us_000508164,0.501091, 1.407968
us_000510160,0.501091, 1.407968
us_000494533,0.501091, 1.407968
us_000509248,0.501091, 1.407968
us_000512055,0.501091, 1.407968
us_000510297,0.501091, 1.407968
us_000603263,0.501091, 1.407968
us_000512056,0.501091, 1.407968
us_000508279,0.501091, 1.407968
us_000508837,0.501091, 1.407968
us_000510070,0.501091, 1.407968
us_000511605,0.501091, 1.407968
us_000493744,0.501091, 1.407968
us_000494553,0.501091, 1.407968
us_000508691,0.501091, 1.407968
us_000509966,0.501091, 1.407968
us_000494508,0.501091, 1.407968
us_000604316,0.501091, 1.407968
us_000508782,0.501091, 1.407968
us_000512057,0.501091, 1.407968
us_000617321,0.501091, 1.409240
us_000512559,0.501091, 1.409590
us_000480131,0.501091, 1.409590
us_000604315,0.501091, 1.409881
us_000482986,0.501091, 1.410144
us_000510296,0.501091, 1.413242
us_000510269,0.501091, 1.415127
us_000588470,0.501091, 1.416630
us_000485893,0.501091, 1.417574
us_000511018,0.501091, 1.422590
us_000487978,0.501091, 1.424606
us_000509429,0.501091, 1.424887
us_000481360,0.501091, 1.427444
us_000472517,0.501091, 1.427444
us_000494384,0.501091, 1.427444
us_000481362,0.501091, 1.427444
us_000494561,0.501091, 1.428324
us_000494507,0.501091, 1.430122
us_000508896,0.501091, 1.437713
us_000491672,0.501091, 1.437967
us_000484217,0.501091, 1.446062
us_000613219,0.501091, 1.446802
us_000475869,0.501091, 1.455138
us_000464953,0.501091, 1.458228
us_000468902,0.501091, 1.463496
us_000475188,0.501091, 1.466082
us_000475746,0.501091, 1.468690
us_000479676,0.501091, 1.469350
us_000485574,0.501091, 1.472173
us_000472744,0.501091, 1.474269
us_000554035,0.501091, 1.477255
us_000485863,0.501091, 1.484284
us_000501376,0.501091, 1.489386
us_000480310,0.501091, 1.497845
us_000554396,0.501091, 1.509626
us_000485865,0.501091, 1.511367
us_000485529,0.501091, 1.511401
us_000518674,0.501091, 1.513099
us_000493844,0.501091, 1.516288
us_000491125,0.501091, 1.518182
us_000474887,0.501091, 1.518182
us_000485673,0.501091, 1.518182
us_000485587,0.501091, 1.518182
us_000488048,0.501091, 1.518182
us_000493411,0.501091, 1.518182
us_000474894,0.501091, 1.518182
us_000473200,0.501091, 1.518182
us_000512445,0.501091, 1.518349
us_000553030,0.501091, 1.535855
us_000506416,0.501091, 1.535855
us_000489216,0.501091, 1.536639
us_000466802,0.501091, 1.540527
us_000489695,0.501091, 1.552081
us_000489854,0.501091, 1.552610
us_000500870,0.501091, 1.552612
us_000488980,0.501091, 1.555870
us_000484484,0.501091, 1.559736
us_000485183,0.501091, 1.562156
us_000478872,0.501091, 1.566283
us_000535202,0.501091, 1.566411
us_000486991,0.501091, 1.569153
us_000494005,0.501091, 1.569700
us_000493487,0.501091, 1.570891
us_000473715,0.501091, 1.576901
us_000486665,0.501091, 1.576901
us_000474491,0.501091, 1.578745
us_000508856,0.501091, 1.580808
us_000508909,0.501091, 1.580808
us_000508871,0.501091, 1.580808
us_000473378,0.501091, 1.582385
us_000486391,0.501091, 1.584375
us_000555936,0.501091, 1.584647
us_000489194,0.501091, 1.584765
us_000485789,0.501091, 1.584765
us_000487802,0.501091, 1.585381
us_000458645,0.501091, 1.587115
us_000461098,0.501091, 1.587116
us_000473454,0.501091, 1.592746
us_000484911,0.501091, 1.592746
us_000484426,0.501091, 1.592746
us_000493845,0.501091, 1.592746
us_000473204,0.501091, 1.592746
us_000487435,0.501091, 1.592746
us_000489403,0.501091, 1.592746
us_000486361,0.501091, 1.592746
us_000473199,0.501091, 1.592746
us_000485977,0.501091, 1.592746
us_000485233,0.501091, 1.592746
us_000485170,0.501091, 1.592746
us_000485625,0.501091, 1.592746
us_000466484,0.501091, 1.593226
us_000582968,0.501091, 1.594949
us_000494448,0.501091, 1.604149
us_000494609,0.501091, 1.604149
us_000511036,0.501091, 1.604149
us_000504392,0.501091, 1.604149
us_000494416,0.501091, 1.604149
us_000558584,0.501091, 1.604331
us_000507253,0.501091, 1.605069
us_000525035,0.501091, 1.606925
us_000556325,0.501091, 1.615963
us_000487528,0.501091, 1.622073
us_000473445,0.501091, 1.622073
us_000516582,0.501091, 1.622073
us_000461311,0.501091, 1.622245
us_000353580,0.501091, 1.624123
us_000502267,0.501091, 1.626020
us_000544786,0.501091, 1.626584
us_000494122,0.501091, 1.626648
us_000485575,0.501091, 1.626864
us_000474527,0.501091, 1.626864
us_000511629,0.501091, 1.627875
us_000494353,0.501091, 1.627875
us_000509685,0.501091, 1.627875
us_000494498,0.501091, 1.627875
us_000494395,0.501091, 1.627875
us_000511520,0.501091, 1.627875
us_000510111,0.501091, 1.627875
us_000508821,0.501091, 1.627875
us_000510316,0.501091, 1.627875
us_000510227,0.501091, 1.627875
us_000512229,0.501091, 1.627875
us_000511395,0.501091, 1.627875
us_000510095,0.501091, 1.627875
us_000493491,0.501091, 1.627875
us_000494551,0.501091, 1.627875
us_000511394,0.501091, 1.627875
us_000508239,0.501091, 1.627875
us_000510259,0.501091, 1.627875
us_000494473,0.501091, 1.627875
us_000508046,0.501091, 1.627875
us_000500675,0.501091, 1.627875
us_000511898,0.501091, 1.627875
us_000509992,0.501091, 1.627875
us_000510061,0.501091, 1.627875
us_000505210,0.501091, 1.627875
us_000509579,0.501091, 1.627875
us_000494557,0.501091, 1.627875
us_000512540,0.501091, 1.627875
us_000511573,0.501091, 1.627875
us_000510258,0.501091, 1.627875
us_000510239,0.501091, 1.627875
us_000508807,0.501091, 1.627875
us_000508575,0.501091, 1.627875
us_000510285,0.501091, 1.627875
us_000511773,0.501091, 1.627875
us_000510237,0.501091, 1.627875
us_000511425,0.501091, 1.627875
us_000562494,0.501091, 1.627981
us_000524683,0.501091, 1.628440
us_000495643,0.501091, 1.628741
us_000494457,0.501091, 1.629334
us_000474790,0.501091, 1.629497
us_000523195,0.501091, 1.629497
us_000483995,0.501091, 1.629497
us_000221637,0.501091, 1.629777
us_000484295,0.501091, 1.630383
us_000494054,0.501091, 1.631449
us_000551312,0.501091, 1.635812
us_000519665,0.501091, 1.636766
us_000509331,0.501091, 1.637012
us_000519445,0.501091, 1.638335
us_000531511,0.501091, 1.638672
us_000552028,0.501091, 1.640092
us_000442856,0.501091, 1.641492
us_000511393,0.501091, 1.642363
us_000475329,0.501091, 1.642365
us_000487487,0.501091, 1.643078
us_000510290,0.501091, 1.643349
us_000508801,0.501091, 1.643567
us_000483527,0.501091, 1.643934
us_000484300,0.501091, 1.646141
us_000508227,0.501091, 1.647352
us_000475445,0.501091, 1.648902
us_000477800,0.501091, 1.649172
us_000497948,0.501091, 1.650477
us_000486997,0.501091, 1.651875
us_000486282,0.501091, 1.653127
us_000477904,0.501091, 1.654691
us_000477654,0.501091, 1.658338
us_000493958,0.501091, 1.658338
us_000484836,0.501091, 1.660788
us_000491117,0.501091, 1.660788
us_000485756,0.501091, 1.660788
us_000484839,0.501091, 1.660788
us_000486787,0.501091, 1.660788
us_000534830,0.501091, 1.662988
us_000489744,0.501091, 1.664601
us_000546729,0.501091, 1.665127
us_000477600,0.501091, 1.666451
us_000485533,0.501091, 1.667470
us_000491300,0.501091, 1.668015
us_000510332,0.501091, 1.669408
us_000538129,0.501091, 1.669818
us_000491205,0.501091, 1.669818
us_000493519,0.501091, 1.669818
us_000485498,0.501091, 1.669818
us_000491266,0.501091, 1.669818
us_000475143,0.501091, 1.669818
us_000556367,0.501091, 1.669818
us_000485905,0.501091, 1.669818
us_000487420,0.501091, 1.669818
us_000485648,0.501091, 1.669818
us_000473357,0.501091, 1.673290
us_000467396,0.501091, 1.673290
us_000524558,0.501091, 1.673333
us_000250365,0.501091, 1.673333
us_000484269,0.501091, 1.673334
us_000476024,0.501091, 1.673334
us_000530389,0.501091, 1.673486
us_000461022,0.501091, 1.673737
us_000474432,0.501091, 1.674761
us_000494034,0.501091, 1.675318
us_000484854,0.501091, 1.675749
us_000530199,0.501091, 1.678964
us_000555205,0.501091, 1.678964
us_000484902,0.501091, 1.678964
us_000490644,0.501091, 1.678964
us_000487218,0.501091, 1.678964
us_000466485,0.501091, 1.678964
us_000530325,0.501091, 1.678964
us_000490210,0.501091, 1.678964
us_000486135,0.501091, 1.678964
us_000486946,0.501091, 1.678964
us_000490752,0.501091, 1.678964
us_000489018,0.501091, 1.678964
us_000473885,0.501091, 1.678964
us_000485969,0.501091, 1.678964
us_000506152,0.501091, 1.678964
us_000484398,0.501091, 1.678964
us_000555183,0.501091, 1.678964
us_000489561,0.501091, 1.678964
us_000488985,0.501091, 1.678964
us_000488160,0.501091, 1.678964
us_000528050,0.501091, 1.678964
us_000487558,0.501091, 1.678964
us_000473651,0.501091, 1.678964
us_000530049,0.501091, 1.678964
us_000472966,0.501091, 1.678964
us_000485156,0.501091, 1.678964
us_000507644,0.501091, 1.678964
us_000487511,0.501091, 1.678964
us_000485975,0.501091, 1.678964
us_000474577,0.501091, 1.678964
us_000554828,0.501091, 1.678964
us_000485514,0.501091, 1.678964
us_000474475,0.501091, 1.678964
us_000492094,0.501091, 1.678964
us_000529089,0.501091, 1.678964
us_000486144,0.501091, 1.678964
us_000485635,0.501091, 1.678964
us_000555313,0.501091, 1.678964
us_000484441,0.501091, 1.678964
us_000484820,0.501091, 1.678964
us_000506197,0.501091, 1.678964
us_000485227,0.501091, 1.678964
us_000489615,0.501091, 1.678964
us_000485634,0.501091, 1.678964
us_000511903,0.501091, 1.679732
us_000496444,0.501091, 1.680098
us_000485875,0.501091, 1.681140
us_000524716,0.501091, 1.685075
us_000502750,0.501091, 1.685674
us_000521233,0.501091, 1.695021
us_000509862,0.501091, 1.697205
us_000499081,0.501091, 1.703211
us_000486002,0.501091, 1.709773
us_000486956,0.501091, 1.726460
us_000484933,0.501091, 1.745032
us_000484848,0.501091, 1.794759
us_000526687,0.501091, 1.827006
us_000504708,0.501091, 1.830548
us_000562879,0.501091, 1.844255
us_000473226,0.501091, 2.107198
pr_001909427,0.468999, 0.000004
pr_000019015,0.468999, 0.000004
pr_000602625,0.468999, 0.000007
pr_000809130,0.468999, 0.000007
pr_000110734,0.468999, 0.000007
pr_001040158,0.468999, 0.000009
pr_000622705,0.468999, 0.000014
pr_000216128,0.468999, 0.000014
pr_000273786,0.468999, 0.000083
us_000586971,0.468999, 0.001411
us_000532802,0.468999, 0.001576
us_000586272,0.468999, 0.002081
us_000612032,0.468999, 0.002298
us_000585156,0.468999, 0.006567
us_000486637,0.468999, 0.128293
us_000493821,0.468999, 0.140847
us_000505741,0.468999, 0.149522
us_000498743,0.468999, 0.150402
us_000510453,0.468999, 0.154820
us_000498436,0.468999, 0.156349
us_000540683,0.468999, 0.156349
us_000509922,0.468999, 0.156349
us_000493680,0.468999, 0.156349
us_000485870,0.468999, 0.161541
us_000532454,0.468999, 0.166390
us_000540925,0.468999, 0.168628
us_000494072,0.468999, 0.169183
us_000519609,0.468999, 0.169244
us_000531461,0.468999, 0.170236
us_000485938,0.468999, 0.173469
us_000532056,0.468999, 0.173536
us_000518466,0.468999, 0.173536
us_000515454,0.468999, 0.175827
us_000532452,0.468999, 0.175827
us_000507389,0.468999, 0.176201
us_000534040,0.468999, 0.176496
us_000554443,0.468999, 0.179849
us_000515452,0.468999, 0.187909
us_000487548,0.468999, 0.192780
us_000507907,0.468999, 0.193222
us_000511197,0.468999, 0.196381
us_000553348,0.468999, 0.196897
us_000550573,0.468999, 0.196897
us_000318026,0.468999, 0.197868
us_000491108,0.468999, 0.199817
us_000508222,0.468999, 0.199873
us_000541599,0.468999, 0.199873
us_000516086,0.468999, 0.199873
us_000533513,0.468999, 0.199873
us_000530812,0.468999, 0.200602
us_000515594,0.468999, 0.201141
us_000494350,0.468999, 0.201356
us_000503917,0.468999, 0.201388
us_000498469,0.468999, 0.202926
us_000493622,0.468999, 0.202926
us_000536379,0.468999, 0.202926
us_000516914,0.468999, 0.202926
us_000508913,0.468999, 0.202926
us_000495518,0.468999, 0.203317
us_000592345,0.468999, 0.204060
us_000516033,0.468999, 0.204510
us_000515586,0.468999, 0.204956
us_000529226,0.468999, 0.205802
us_000554289,0.468999, 0.205886
us_000522040,0.468999, 0.206981
us_000557984,0.468999, 0.207916
us_000528449,0.468999, 0.208393
us_000534019,0.468999, 0.208419
us_000554016,0.468999, 0.212531
us_000554181,0.468999, 0.213256
us_000507394,0.468999, 0.215296
us_000501068,0.468999, 0.216215
us_000554085,0.468999, 0.216261
us_000496641,0.468999, 0.217070
us_000554163,0.468999, 0.218461
us_000527004,0.468999, 0.219333
us_000559771,0.468999, 0.219333
us_000501664,0.468999, 0.220518
us_000502861,0.468999, 0.220599
us_000558151,0.468999, 0.220599
us_000531058,0.468999, 0.220599
us_000504520,0.468999, 0.220656
us_000516955,0.468999, 0.221434
us_000535618,0.468999, 0.222844
us_000497360,0.468999, 0.223703
us_000521312,0.468999, 0.224127
us_000499515,0.468999, 0.224307
us_000550127,0.468999, 0.225041
us_000523818,0.468999, 0.225249
us_000533931,0.468999, 0.225249
us_000533849,0.468999, 0.225249
us_000512633,0.468999, 0.226246
us_000542213,0.468999, 0.226395
us_000494841,0.468999, 0.226430
us_000547209,0.468999, 0.226430
us_000494146,0.468999, 0.226430
us_000526039,0.468999, 0.227248
us_000494486,0.468999, 0.227942
us_000512685,0.468999, 0.227942
us_000533233,0.468999, 0.229839
us_000516147,0.468999, 0.230092
us_000515075,0.468999, 0.230092
us_000535058,0.468999, 0.230092
us_000553399,0.468999, 0.230092
us_000517465,0.468999, 0.230092
us_000554399,0.468999, 0.230092
us_000550609,0.468999, 0.230092
us_000554002,0.468999, 0.230092
us_000522855,0.468999, 0.230092
