Product ID : 2080 # of JPs covered : 1 : 266 : Appellate Practice, 
OID,Confidence at Map Node,Error at Map Node
pr_001629975,0.962016, 0.000000
pr_001000024,0.962016, 0.000000
pr_001626263,0.962016, 0.000000
pr_001834627,0.962016, 0.000000
pr_001029374,0.962016, 0.000000
pr_001708860,0.962016, 0.000000
pr_001029587,0.962016, 0.000000
pr_001021284,0.962016, 0.000001
pr_001002884,0.962016, 0.000001
pr_001001203,0.962016, 0.000005
pr_001034110,0.962016, 0.000016
pr_001063544,0.962016, 0.000016
pr_001691606,0.962016, 0.000016
pr_001029578,0.962016, 0.000199
pr_001162736,0.962016, 0.002779
us_000491683,0.962016, 0.049873
us_000543248,0.962016, 0.183398
us_000580624,0.962016, 0.193428
us_000506100,0.962016, 0.196723
us_000590331,0.962016, 0.203702
us_000560631,0.962016, 0.225350
us_000559515,0.962016, 0.226429
us_000605069,0.962016, 0.248605
us_000576244,0.962016, 0.249101
us_000563474,0.962016, 0.263821
us_000543196,0.962016, 0.265530
us_000541063,0.962016, 0.272785
us_000588794,0.962016, 0.273833
us_000523509,0.962016, 0.273833
us_000583093,0.962016, 0.273833
us_000562011,0.962016, 0.273833
us_000574852,0.962016, 0.273845
us_000574716,0.962016, 0.274872
us_000506242,0.962016, 0.274872
us_000616363,0.962016, 0.274872
us_000543862,0.962016, 0.274872
us_000034888,0.962016, 0.278838
us_000538302,0.962016, 0.281319
us_000538267,0.962016, 0.281319
us_000575087,0.962016, 0.282219
us_000487470,0.962016, 0.282219
us_000533662,0.962016, 0.286892
us_000506214,0.962016, 0.309749
us_000543495,0.962016, 0.325865
us_000544094,0.962016, 0.336936
us_000498917,0.962016, 0.337468
us_000500538,0.962016, 0.344815
us_000484941,0.962016, 0.369955
us_000503990,0.962016, 0.371561
us_000477238,0.962016, 0.379273
us_000594537,0.962016, 0.387953
us_000597703,0.962016, 0.391139
us_000467463,0.908984, 0.000000
us_000337568,0.908984, 0.000000
us_000485830,0.908984, 0.000103
us_000565944,0.908984, 0.000139
us_000551696,0.908984, 0.000273
us_000583114,0.908984, 0.000486
us_000489766,0.908984, 0.001562
us_000495758,0.908984, 0.014425
us_000590257,0.908984, 0.842289
us_000508341,0.905732, 0.901311
us_000551247,0.905732, 3.820928
pr_000920038,0.892872, 0.000000
pr_000920111,0.892872, 0.000000
pr_000920270,0.892872, 0.000000
pr_000908623,0.892872, 0.000000
pr_000104140,0.892872, 0.000002
pr_001764501,0.892872, 0.000053
pr_000547419,0.892872, 0.000074
pr_001915748,0.892872, 0.000096
pr_000722418,0.892872, 0.000112
pr_000635860,0.892872, 0.000154
pr_000239252,0.892872, 0.000190
pr_001079738,0.892872, 0.000215
pr_000347210,0.892872, 0.000281
pr_000583191,0.892872, 0.000438
us_000582207,0.892872, 0.001176
us_000595676,0.892872, 0.001176
us_000585081,0.892872, 0.001597
us_000588302,0.892872, 0.002182
us_000574591,0.892872, 0.002433
us_000476176,0.892872, 0.002898
us_000594773,0.892872, 0.003146
us_000589055,0.892872, 0.003436
us_000596735,0.892872, 0.004947
us_000513423,0.892872, 0.005849
us_000582738,0.892872, 0.008229
us_000550714,0.892872, 0.008526
us_000551090,0.892872, 0.008933
us_000606870,0.892872, 0.024684
us_000562621,0.892872, 0.026036
us_000536816,0.892872, 0.031850
us_000601546,0.892872, 0.064152
pr_000582728,0.892872, 0.225752
us_000559743,0.892872, 0.452306
us_000559988,0.794953, 0.120511
us_000538438,0.794953, 0.126123
us_000562437,0.794953, 0.131875
us_000562338,0.794953, 0.131875
us_000569042,0.794953, 0.137765
us_000583193,0.794953, 0.143794
us_000544097,0.794953, 0.143794
us_000563028,0.794953, 0.143794
us_000500159,0.794953, 0.143794
us_000500315,0.794953, 0.143794
us_000592426,0.794953, 0.149962
us_000594297,0.794953, 0.149962
us_000507655,0.794953, 0.149962
us_000592520,0.794953, 0.149962
us_000522253,0.794953, 0.149962
us_000542819,0.794953, 0.149962
us_000592423,0.794953, 0.149962
us_000592525,0.794953, 0.149962
us_000592424,0.794953, 0.149962
us_000592421,0.794953, 0.149962
us_000536221,0.794953, 0.149962
us_000582786,0.794953, 0.149962
us_000507705,0.794953, 0.149962
us_000543404,0.794953, 0.149962
us_000540546,0.794953, 0.149962
us_000592528,0.794953, 0.149962
us_000543569,0.794953, 0.156269
us_000544037,0.794953, 0.156269
us_000591278,0.794953, 0.156269
us_000592523,0.794953, 0.156269
us_000560220,0.794953, 0.156269
us_000591282,0.794953, 0.156269
us_000562368,0.794953, 0.156269
us_000591285,0.794953, 0.156269
us_000506375,0.794953, 0.156269
us_000562357,0.794953, 0.156269
us_000591281,0.794953, 0.156269
us_000591284,0.794953, 0.156269
us_000560218,0.794953, 0.156269
us_000591287,0.794953, 0.156269
us_000561935,0.794953, 0.156269
us_000590935,0.794953, 0.156269
us_000562346,0.794953, 0.156269
us_000616076,0.794953, 0.156269
us_000591283,0.794953, 0.156269
us_000591280,0.794953, 0.156269
us_000591286,0.794953, 0.156269
us_000506350,0.794953, 0.156269
us_000569093,0.794953, 0.157598
pr_000573059,0.794953, 0.162715
us_000590211,0.794953, 0.162715
us_000552689,0.794953, 0.162715
us_000546260,0.794953, 0.162715
us_000542589,0.794953, 0.162715
us_000561818,0.794953, 0.162715
us_000583843,0.794953, 0.162715
us_000591600,0.794953, 0.162715
us_000587856,0.794953, 0.162715
us_000499293,0.794953, 0.162715
us_000543194,0.794953, 0.162715
us_000562075,0.794953, 0.162715
us_000592522,0.794953, 0.162715
us_000505557,0.794953, 0.162715
us_000528546,0.794953, 0.164136
us_000471284,0.794953, 0.166816
us_000582274,0.794953, 0.167001
us_000501117,0.794953, 0.169147
us_000486292,0.794953, 0.171630
us_000520731,0.794953, 0.174281
us_000505738,0.794953, 0.175006
pr_000999747,0.794953, 0.176023
us_000522949,0.794953, 0.176519
us_000528879,0.794953, 0.180130
us_000507703,0.794953, 0.188354
us_000508983,0.794953, 0.225327
us_000561813,0.794953, 0.231526
pr_001658697,0.751467, 0.000000
pr_000704453,0.751467, 0.000000
pr_000180447,0.751467, 0.000000
pr_002161062,0.751467, 0.000000
pr_000283139,0.751467, 0.000001
pr_001590052,0.751467, 0.000001
pr_001651031,0.751467, 0.000001
pr_001876863,0.751467, 0.000001
pr_001767996,0.751467, 0.000001
pr_001822527,0.751467, 0.000001
pr_000011894,0.751467, 0.000005
pr_000721313,0.751467, 0.000026
pr_000881251,0.751467, 0.000039
pr_000566923,0.751467, 0.000048
pr_000354201,0.751467, 0.000053
pr_000720589,0.751467, 0.000095
pr_000823051,0.751467, 0.000348
us_000616104,0.751467, 0.002400
pr_001981042,0.751467, 0.206552
us_000566930,0.703047, 0.005245
us_000549424,0.703047, 0.119426
us_000590306,0.703047, 0.119426
us_000561864,0.703047, 0.123904
us_000580417,0.703047, 0.124544
us_000582780,0.703047, 0.124544
us_000583574,0.703047, 0.127991
us_000583573,0.703047, 0.127991
us_000574854,0.703047, 0.128557
us_000574853,0.703047, 0.128557
us_000574859,0.703047, 0.128557
us_000487039,0.703047, 0.128557
us_000581184,0.703047, 0.129161
us_000581383,0.703047, 0.129161
us_000575409,0.703047, 0.129161
us_000575426,0.703047, 0.129161
us_000575392,0.703047, 0.129161
us_000581359,0.703047, 0.129161
us_000575430,0.703047, 0.129161
us_000575374,0.703047, 0.129161
us_000616846,0.703047, 0.129801
us_000616850,0.703047, 0.129801
us_000616843,0.703047, 0.129801
us_000616572,0.703047, 0.129801
us_000580744,0.703047, 0.129801
us_000616849,0.703047, 0.129801
us_000574298,0.703047, 0.129801
us_000574104,0.703047, 0.129801
us_000616844,0.703047, 0.129801
us_000616646,0.703047, 0.129801
us_000616845,0.703047, 0.129801
us_000574535,0.703047, 0.129801
us_000574665,0.703047, 0.129801
pr_001108950,0.703047, 0.138226
pr_000760167,0.703047, 0.143621
pr_000174791,0.703047, 0.148148
us_000583959,0.703047, 0.150832
us_000581378,0.703047, 0.150908
us_000501193,0.703047, 0.185986
us_000512497,0.703047, 0.356068
us_000521762,0.670468, 0.124245
us_000591488,0.670468, 0.149475
us_000543140,0.670468, 0.149475
us_000505490,0.670468, 0.149475
pr_000528174,0.670468, 0.203471
pr_001096968,0.651434, 0.098409
pr_000889941,0.651434, 0.102049
pr_000889017,0.651434, 0.102803
pr_000172367,0.651434, 0.108720
pr_000228888,0.651434, 0.113393
pr_001586030,0.651434, 0.114085
pr_001003961,0.651434, 0.117623
pr_001822128,0.651434, 0.118241
pr_001119406,0.651434, 0.118241
pr_000572732,0.651434, 0.118896
pr_001012109,0.651434, 0.119588
us_000616760,0.646075, 0.000000
us_000487023,0.646075, 0.000000
us_000487316,0.646075, 0.000000
us_000488890,0.646075, 0.000000
us_000473544,0.646075, 0.000007
pr_000748296,0.646075, 0.000025
pr_000838376,0.646075, 0.000613
pr_001136666,0.646075, 0.000703
pr_000713515,0.646075, 0.000704
pr_000958952,0.646075, 0.000732
pr_001047383,0.646075, 0.000796
pr_000989447,0.646075, 0.000847
pr_000637148,0.646075, 0.000876
pr_000822642,0.646075, 0.000885
pr_000555931,0.646075, 0.000924
pr_001583767,0.646075, 0.000961
pr_000724900,0.646075, 0.001168
pr_001086649,0.646075, 0.001181
pr_001076727,0.646075, 0.001211
pr_001015299,0.646075, 0.001219
pr_000728235,0.646075, 0.001312
pr_000727586,0.646075, 0.001347
pr_001020223,0.646075, 0.001347
pr_000939952,0.646075, 0.001347
pr_000338808,0.646075, 0.001471
pr_000997656,0.646075, 0.001524
pr_000163503,0.646075, 0.001608
pr_000891324,0.646075, 0.001746
pr_000862806,0.646075, 0.002237
pr_001657219,0.646075, 0.002528
pr_001017515,0.646075, 0.003204
us_000499755,0.646075, 0.014183
us_000471979,0.646075, 0.016132
us_000525890,0.646075, 0.021989
us_000502093,0.646075, 0.221894
us_000465139,0.646075, 0.865532
pr_001096500,0.632458, 0.094585
pr_000016792,0.632458, 0.099745
pr_001589547,0.632458, 0.099745
pr_001104706,0.632458, 0.099745
pr_000573167,0.632458, 0.105043
pr_001007981,0.632458, 0.105043
pr_000769754,0.632458, 0.105043
pr_001621079,0.632458, 0.105043
pr_000572889,0.632458, 0.110069
pr_001153688,0.632458, 0.110480
pr_001834634,0.632458, 0.110480
pr_000439399,0.632458, 0.110480
pr_001389426,0.632458, 0.110480
pr_000295429,0.632458, 0.110480
pr_001096640,0.632458, 0.110480
pr_001105105,0.632458, 0.110480
pr_001085646,0.632458, 0.110480
pr_001117575,0.632458, 0.110480
pr_000642070,0.632458, 0.110480
pr_001982788,0.632458, 0.110480
pr_001090696,0.632458, 0.110480
pr_000924735,0.632458, 0.110480
pr_000229182,0.632458, 0.111937
pr_000007563,0.632458, 0.149773
pr_001120818,0.600550, 0.102367
pr_000929831,0.600550, 0.103723
pr_001134947,0.600550, 0.103723
pr_000573099,0.600550, 0.104457
pr_001973738,0.600550, 0.104457
pr_001597678,0.600550, 0.104457
pr_001955004,0.600550, 0.104457
pr_002132406,0.600550, 0.108270
pr_002228496,0.600550, 0.108270
pr_002228480,0.600550, 0.108270
pr_002176197,0.600550, 0.108270
pr_001024574,0.600550, 0.108270
pr_000194514,0.600550, 0.108967
pr_001395767,0.600550, 0.108967
pr_001874755,0.600550, 0.108967
pr_000213389,0.600550, 0.109591
pr_001086016,0.600550, 0.109700
pr_000654525,0.600550, 0.109700
pr_000971221,0.600550, 0.109700
pr_001162990,0.600550, 0.109700
pr_001614718,0.600550, 0.109700
pr_001019513,0.600550, 0.109700
pr_000717121,0.600550, 0.109700
pr_000985502,0.600550, 0.109700
pr_001101252,0.600550, 0.109700
pr_001768275,0.600550, 0.110905
pr_002228515,0.600550, 0.111478
pr_001120913,0.542698, 0.081530
pr_000258942,0.542698, 0.081530
pr_001120125,0.542698, 0.081530
pr_000667805,0.542698, 0.081530
pr_001930240,0.542698, 0.081530
pr_001038221,0.542698, 0.081530
pr_000771010,0.542698, 0.081530
pr_000172344,0.542698, 0.081530
pr_000929491,0.542698, 0.081530
pr_001834072,0.542698, 0.081530
pr_000587847,0.542698, 0.081530
pr_000581308,0.542698, 0.081530
pr_001118868,0.542698, 0.081530
pr_000573364,0.542698, 0.081530
pr_001092702,0.542698, 0.081530
pr_000009764,0.542698, 0.081530
pr_001651549,0.542698, 0.081530
pr_001087053,0.542698, 0.081530
pr_000273520,0.542698, 0.081530
pr_001154172,0.542698, 0.082355
pr_001019594,0.542698, 0.089724
pr_001601482,0.542698, 0.093811
pr_001074150,0.542698, 0.093811
pr_001062903,0.542698, 0.094536
pr_001119999,0.542698, 0.094536
pr_001837417,0.542698, 0.094930
pr_001151571,0.542698, 0.097216
pr_001051099,0.542698, 0.103120
pr_001858508,0.542698, 0.167829
pr_000572672,0.510930, 0.078816
pr_000595102,0.510930, 0.079836
pr_002167974,0.510930, 0.081003
pr_001837610,0.510930, 0.081003
pr_002155686,0.510930, 0.081003
pr_001120142,0.510930, 0.081003
pr_002196527,0.510930, 0.081003
pr_001086077,0.510930, 0.081003
pr_001874892,0.510930, 0.081003
pr_001985716,0.510930, 0.081003
pr_000647914,0.510930, 0.081003
pr_001094759,0.510930, 0.081003
pr_002196035,0.510930, 0.081003
pr_002228077,0.510930, 0.081003
pr_001721655,0.510930, 0.081003
pr_001056208,0.510930, 0.081569
pr_001746699,0.510930, 0.081642
pr_000573050,0.510930, 0.081642
pr_002064739,0.510930, 0.081642
pr_000911569,0.510930, 0.081642
pr_001632953,0.510930, 0.081642
pr_000928613,0.510930, 0.081642
pr_000998875,0.510930, 0.081642
pr_000014205,0.510930, 0.081642
pr_000734289,0.510930, 0.081642
pr_000733502,0.510930, 0.081642
pr_000582097,0.510930, 0.081642
pr_001632952,0.510930, 0.081642
pr_000718397,0.510930, 0.081642
pr_000025248,0.510930, 0.081642
pr_000846285,0.510930, 0.081642
pr_000990564,0.510930, 0.081642
pr_000929494,0.510930, 0.081642
pr_000570963,0.510930, 0.081642
pr_001947005,0.510930, 0.081642
pr_000768147,0.510930, 0.081642
pr_000981670,0.510930, 0.081642
pr_001614872,0.510930, 0.081642
pr_001921748,0.510930, 0.081642
pr_001745837,0.510930, 0.081642
pr_000629382,0.510930, 0.081670
pr_001994177,0.510930, 0.083533
pr_001746477,0.510930, 0.083543
pr_000952916,0.510930, 0.084172
pr_000900043,0.510930, 0.085339
pr_001105851,0.510930, 0.089243
