Product ID : 2105 # of JPs covered : 1 : 256 : Tax Law-Real Property, 
OID,Confidence at Map Node,Error at Map Node
us_000554548,1.000000, 0.000000
us_000512893,1.000000, 0.000000
us_000514144,1.000000, 0.000000
us_000569176,1.000000, 0.000000
us_000540248,1.000000, 0.000000
us_000556752,1.000000, 0.000000
us_000508752,1.000000, 0.000000
us_000541197,1.000000, 0.000000
us_000520191,1.000000, 0.000000
us_000547211,1.000000, 0.000000
us_000513104,1.000000, 0.000000
us_000548735,1.000000, 0.000000
us_000520571,1.000000, 0.000000
us_000513150,1.000000, 0.000000
us_000563527,1.000000, 0.000000
us_000565803,1.000000, 0.000000
us_000566392,1.000000, 0.000000
us_000594032,1.000000, 0.000000
us_000584807,1.000000, 0.000000
us_000472443,1.000000, 0.000000
us_000468096,1.000000, 0.000000
us_000538281,1.000000, 0.000000
us_000541285,1.000000, 0.000000
us_000531792,1.000000, 0.000000
us_000512765,1.000000, 0.000000
us_000513749,1.000000, 0.000000
us_000597981,1.000000, 0.000000
us_000586165,1.000000, 0.000000
us_000521149,1.000000, 0.000000
us_000575964,1.000000, 0.000000
us_000531826,1.000000, 0.000000
us_000588165,1.000000, 0.000000
pr_001146805,1.000000, 0.000000
pr_000910415,1.000000, 0.000000
pr_001155516,1.000000, 0.000000
us_000510892,1.000000, 0.000000
us_000542756,1.000000, 0.000000
us_000581299,1.000000, 0.000009
pr_001050845,1.000000, 0.000009
us_000583522,1.000000, 0.000011
us_000595472,1.000000, 0.000011
us_000569882,1.000000, 0.000014
us_000569805,1.000000, 0.000014
us_000509150,1.000000, 0.000014
us_000565590,1.000000, 0.000014
pr_001673484,1.000000, 0.000015
us_000547831,1.000000, 0.000031
us_000597560,1.000000, 0.000038
us_000598293,1.000000, 0.000041
pr_000941310,1.000000, 0.000043
pr_000958077,1.000000, 0.000076
pr_001800144,1.000000, 0.000093
us_000040060,1.000000, 0.000109
pr_000882501,1.000000, 0.000156
pr_000820095,1.000000, 0.000156
pr_000816738,1.000000, 0.000160
pr_001150673,1.000000, 0.000204
us_000608611,1.000000, 0.000241
us_000478689,1.000000, 0.000292
us_000587766,1.000000, 0.000296
us_000484245,1.000000, 0.000478
pr_002095206,1.000000, 0.000568
us_000538248,1.000000, 0.000646
us_000509763,1.000000, 0.000936
us_000574346,1.000000, 0.001978
us_000544973,1.000000, 0.002947
us_000616713,1.000000, 0.003863
us_000518302,1.000000, 0.003906
us_000501962,1.000000, 0.003943
us_000542153,1.000000, 0.004854
us_000488166,1.000000, 0.010519
us_000510710,1.000000, 0.015015
us_000514395,1.000000, 0.016266
us_000585792,1.000000, 0.027209
us_000568275,1.000000, 0.032085
us_000480771,1.000000, 0.037798
us_000579485,1.000000, 0.050068
us_000097887,1.000000, 0.055109
us_000545568,1.000000, 0.179087
us_000475597,1.000000, 3.276980
us_000474913,1.000000, 3.679645
us_000485572,1.000000, 3.749323
us_000474853,1.000000, 3.953918
pr_000126181,0.992886, 0.000000
pr_001897446,0.992886, 0.000000
pr_001814224,0.992886, 0.000000
us_000492258,0.992886, 0.000000
us_000517469,0.992886, 0.000000
us_000540698,0.992886, 0.000000
us_000534258,0.992886, 0.000000
pr_001015782,0.992886, 0.000007
pr_000586966,0.992886, 0.000008
us_000535800,0.992886, 0.000009
us_000502683,0.992886, 0.000009
pr_000092802,0.992886, 0.000015
pr_000940761,0.992886, 0.000019
pr_002194887,0.992886, 0.000084
us_000616796,0.992886, 0.000123
pr_002000658,0.992886, 0.000156
us_000500634,0.992886, 0.000731
us_000522820,0.992886, 0.001117
us_000570218,0.992886, 0.003637
us_000474631,0.992886, 0.005417
us_000488246,0.992886, 0.006335
us_000478609,0.992886, 0.008827
us_000518504,0.992886, 0.010181
us_000585626,0.992886, 0.042574
us_000481008,0.992886, 0.059249
us_000503723,0.992886, 3.209715
us_000503569,0.992886, 3.334985
us_000513935,0.992886, 3.351085
us_000475720,0.992886, 3.354909
us_000514647,0.992886, 3.386618
us_000510238,0.992886, 3.396344
us_000483894,0.992886, 3.413551
us_000478547,0.992886, 3.419238
us_000503612,0.992886, 3.420614
us_000503722,0.992886, 3.463832
us_000460216,0.992886, 3.485619
us_000169563,0.992886, 3.486275
us_000491930,0.992886, 3.486275
us_000510776,0.992886, 3.486549
us_000492372,0.992886, 3.486549
us_000483945,0.992886, 3.490046
us_000491939,0.992886, 3.494789
us_000496605,0.992886, 3.497142
us_000497014,0.992886, 3.497142
