Product ID : 951 # of JPs covered : 1 : 250 : Energy-Finance, 
OID,Confidence at Map Node,Error at Map Node
us_000464360,1.000000, 0.687027
us_000475599,1.000000, 0.687027
us_000465096,1.000000, 0.687027
us_000466197,1.000000, 0.687027
us_000470465,1.000000, 0.687027
us_000470477,1.000000, 0.687027
us_000464829,1.000000, 0.687946
us_000460083,1.000000, 0.689265
us_000493834,1.000000, 0.690343
us_000498306,1.000000, 0.693351
us_000418484,1.000000, 0.693460
us_000473127,1.000000, 0.694689
us_000460024,1.000000, 0.694759
us_000508437,1.000000, 0.694965
us_000470173,1.000000, 0.697957
us_000470806,1.000000, 0.698963
us_000307932,1.000000, 0.701283
us_000466039,1.000000, 0.701647
us_000459858,1.000000, 0.702933
us_000466173,1.000000, 0.707675
us_000463392,1.000000, 0.707738
us_000522844,1.000000, 0.708622
us_000467824,1.000000, 0.709803
us_000463231,1.000000, 0.714788
us_000546129,1.000000, 0.715944
us_000268730,1.000000, 0.716808
us_000469399,1.000000, 0.718308
us_000014066,1.000000, 0.720524
us_000494778,1.000000, 0.722203
us_000479703,1.000000, 0.723540
us_000470033,1.000000, 0.739287
us_000461368,1.000000, 0.739936
us_000522669,1.000000, 0.743688
us_000523027,1.000000, 0.744744
us_000573917,0.745736, 0.045465
us_000078325,0.745736, 0.128234
us_000477599,0.745736, 0.316520
us_000501148,0.745736, 0.476093
us_000460573,0.745736, 0.500285
pr_000378691,0.549339, 0.000322
pr_000777747,0.549339, 0.000337
pr_000241642,0.549339, 0.000375
us_000461399,0.549339, 0.001056
us_000116411,0.549339, 0.126730
us_000600084,0.549339, 0.162750
us_000477083,0.549339, 0.171233
us_000470662,0.549339, 0.171682
us_000477804,0.549339, 0.172341
us_000471490,0.549339, 0.177338
us_000478807,0.549339, 0.177536
us_000263018,0.549339, 0.179233
us_000460873,0.549339, 0.179952
us_000015256,0.549339, 0.179952
us_000192100,0.549339, 0.182638
us_000462465,0.549339, 0.184301
us_000483633,0.549339, 0.184383
us_000048613,0.549339, 0.184476
us_000480247,0.549339, 0.185141
us_000478658,0.549339, 0.185942
us_000449474,0.549339, 0.185942
us_000460965,0.549339, 0.187447
us_000475129,0.549339, 0.187447
us_000195319,0.549339, 0.193717
us_000459749,0.549339, 0.194661
us_000470309,0.549339, 0.194661
us_000465524,0.549339, 0.194661
us_000460189,0.549339, 0.195490
us_000460206,0.549339, 0.195490
us_000481974,0.549339, 0.195490
us_000410064,0.549339, 0.195490
us_000462572,0.549339, 0.195490
us_000377596,0.549339, 0.198689
us_000577038,0.549339, 0.199376
us_000460823,0.549339, 0.199879
us_000465193,0.549339, 0.206783
us_000234452,0.549339, 0.206783
us_000470967,0.549339, 0.206783
us_000465114,0.549339, 0.206783
us_000472971,0.549339, 0.206783
us_000470902,0.549339, 0.206783
us_000126837,0.549339, 0.206783
us_000463796,0.549339, 0.215189
us_000001350,0.549339, 0.215189
us_000470532,0.549339, 0.215189
us_000461701,0.549339, 0.215189
us_000463822,0.549339, 0.215189
us_000463823,0.549339, 0.215189
us_000460696,0.549339, 0.215189
us_000472460,0.549339, 0.215189
us_000480737,0.549339, 0.215189
us_000461400,0.549339, 0.215189
us_000460614,0.549339, 0.215189
us_000444263,0.549339, 0.215189
us_000460749,0.549339, 0.215189
us_000463791,0.549339, 0.215189
us_000463847,0.549339, 0.215189
us_000460650,0.549339, 0.215189
us_000470642,0.549339, 0.215189
us_000460681,0.549339, 0.215189
us_000470500,0.549339, 0.215189
us_000470488,0.549339, 0.215189
us_000467057,0.549339, 0.215189
us_000460633,0.549339, 0.215189
us_000470493,0.549339, 0.215189
us_000461388,0.549339, 0.215189
us_000609678,0.549339, 0.215189
us_000478601,0.549339, 0.215189
us_000461401,0.549339, 0.215189
us_000287759,0.549339, 0.215189
us_000477373,0.549339, 0.215189
us_000461406,0.549339, 0.215401
us_000611232,0.549339, 0.215611
us_000326100,0.549339, 0.219099
us_000460882,0.549339, 0.223908
us_000466434,0.549339, 0.223908
us_000461276,0.549339, 0.223908
us_000149844,0.549339, 0.223908
us_000460424,0.549339, 0.223908
us_000474145,0.549339, 0.223908
us_000425726,0.549339, 0.223908
us_000460920,0.549339, 0.223908
us_000460954,0.549339, 0.223908
us_000178345,0.549339, 0.223908
us_000472263,0.549339, 0.223908
us_000361769,0.549339, 0.223908
us_000424286,0.549339, 0.223908
us_000466151,0.549339, 0.223908
us_000464804,0.549339, 0.223908
us_000470880,0.549339, 0.223908
us_000038782,0.549339, 0.223908
us_000463282,0.549339, 0.223908
us_000460967,0.549339, 0.223908
us_000460880,0.549339, 0.223908
us_000029320,0.549339, 0.223908
us_000464963,0.549339, 0.223908
us_000421634,0.549339, 0.223908
us_000470291,0.549339, 0.223908
us_000459085,0.549339, 0.223908
us_000464049,0.549339, 0.223908
us_000459921,0.549339, 0.223908
us_000461454,0.549339, 0.223908
us_000461433,0.549339, 0.223908
us_000465046,0.549339, 0.223908
us_000460285,0.549339, 0.223908
us_000459600,0.549339, 0.223908
us_000471976,0.549339, 0.223908
us_000465440,0.549339, 0.223908
us_000461366,0.549339, 0.223908
us_000463088,0.549339, 0.223908
us_000059610,0.549339, 0.223908
us_000460314,0.549339, 0.223908
us_000465098,0.549339, 0.223908
us_000459881,0.549339, 0.223908
us_000464508,0.549339, 0.223908
us_000460568,0.549339, 0.223908
us_000460961,0.549339, 0.223908
us_000302551,0.549339, 0.223908
us_000373503,0.549339, 0.223908
us_000465523,0.549339, 0.223908
us_000470839,0.549339, 0.223908
us_000470174,0.549339, 0.223908
us_000460950,0.549339, 0.223908
us_000460235,0.549339, 0.223908
us_000465601,0.549339, 0.223908
us_000464783,0.549339, 0.223908
us_000433279,0.549339, 0.223908
us_000470698,0.549339, 0.223908
us_000459910,0.549339, 0.223908
us_000476244,0.549339, 0.223908
us_000460397,0.549339, 0.223908
us_000460250,0.549339, 0.223908
us_000470822,0.549339, 0.223908
us_000461017,0.549339, 0.223908
us_000466327,0.549339, 0.223908
us_000442875,0.549339, 0.223908
us_000459827,0.549339, 0.223908
us_000366753,0.549339, 0.223908
us_000463989,0.549339, 0.223908
us_000321877,0.549339, 0.223908
us_000459664,0.549339, 0.223908
us_000480361,0.549339, 0.223908
us_000415373,0.549339, 0.224811
us_000461272,0.549339, 0.225098
us_000465635,0.549339, 0.226060
us_000465563,0.549339, 0.226640
us_000470467,0.549339, 0.226884
us_000481191,0.549339, 0.227158
us_000484942,0.549339, 0.227335
us_000461678,0.549339, 0.227384
us_000470474,0.549339, 0.227463
us_000256533,0.549339, 0.227646
us_000461680,0.549339, 0.228651
us_000465125,0.549339, 0.228721
us_000472372,0.549339, 0.229212
us_000461242,0.549339, 0.230418
us_000460291,0.549339, 0.230418
us_000471851,0.549339, 0.230571
us_000458781,0.549339, 0.232947
us_000575450,0.549339, 0.240212
us_000222679,0.549339, 0.241206
us_000458798,0.549339, 0.253920
us_000474756,0.549339, 0.254073
us_000487128,0.549339, 0.270416
pr_000746121,0.225949, 0.000000
us_000493258,0.225949, 0.002090
us_000570925,0.225949, 0.002347
us_000563380,0.225949, 0.009246
us_000473037,0.225949, 0.014252
us_000038431,0.225949, 0.041416
us_000515379,0.225949, 0.069917
us_000490371,0.225949, 0.256265
us_000530156,0.225949, 0.812028
us_000594126,0.225949, 0.822595
us_000522640,0.225949, 0.826990
us_000518257,0.225949, 0.829584
us_000587453,0.225949, 0.833447
us_000492714,0.225949, 0.835681
us_000560911,0.225949, 0.878121
us_000582027,0.225949, 0.894652
us_000565168,0.225949, 1.007726
us_000525867,0.225949, 1.085288
