Product ID : 98 # of JPs covered : 1 : 56 : Sales/Use, 
OID,Confidence at Map Node,Error at Map Node
us_000546728,1.000000, 0.000000
us_000539503,1.000000, 0.000000
pr_001892018,1.000000, 0.000000
pr_001773619,1.000000, 0.000000
pr_001787374,1.000000, 0.000000
pr_001891432,1.000000, 0.000000
us_000280299,1.000000, 0.916396
us_000012856,1.000000, 0.957611
us_000013507,1.000000, 1.131725
us_000554195,1.000000, 1.156728
us_000529911,1.000000, 1.196600
us_000519794,1.000000, 1.322831
us_000497648,1.000000, 1.346013
us_000469107,1.000000, 1.361186
us_000300352,1.000000, 1.372901
us_000296439,1.000000, 1.373197
us_000484495,1.000000, 1.435567
us_000472482,1.000000, 1.449647
us_000472118,1.000000, 1.456075
us_000473916,1.000000, 1.458196
us_000471894,1.000000, 1.464792
us_000501307,1.000000, 1.470856
us_000478445,1.000000, 1.476373
us_000506282,1.000000, 1.485404
us_000466831,1.000000, 1.485979
us_000022713,1.000000, 1.522879
us_000426466,1.000000, 1.524853
us_000107482,1.000000, 1.536232
us_000521825,1.000000, 1.536739
us_000501553,1.000000, 1.549692
us_000493375,1.000000, 1.550795
us_000557080,1.000000, 1.553958
us_000513627,1.000000, 1.557913
us_000494478,1.000000, 1.564699
us_000444611,1.000000, 1.587164
us_000467345,1.000000, 1.591710
us_000355547,1.000000, 1.596551
us_000232499,1.000000, 1.596613
us_000472083,1.000000, 1.603140
us_000504143,1.000000, 1.610733
us_000527884,1.000000, 1.612954
us_000232458,1.000000, 1.614371
us_000347003,1.000000, 1.614392
us_000498463,1.000000, 1.618664
us_000472411,1.000000, 1.640933
us_000112543,1.000000, 1.643959
us_000465321,1.000000, 1.652017
us_000296784,1.000000, 1.653254
us_000488897,1.000000, 1.664055
us_000478407,1.000000, 1.702047
us_000472074,1.000000, 1.703437
us_000479838,1.000000, 1.708996
us_000468971,1.000000, 1.727351
us_000544974,0.998279, 0.000039
us_000527868,0.998279, 0.000192
us_000480710,0.998279, 0.000462
us_000487043,0.998279, 0.000462
us_000504552,0.998279, 0.802943
us_000460016,0.998279, 0.845326
us_000472390,0.998279, 0.976161
us_000469960,0.998279, 0.980173
us_000461195,0.998279, 0.982496
us_000475825,0.998279, 1.025841
us_000469162,0.998279, 1.071664
us_000040613,0.998279, 1.073288
us_000478779,0.998279, 1.088761
us_000476393,0.998279, 1.089588
us_000530326,0.998279, 1.100529
us_000475202,0.998279, 1.113564
us_000524090,0.998279, 1.130352
us_000545636,0.998279, 1.147558
us_000498188,0.998279, 1.147917
us_000197128,0.998279, 1.164083
us_000328840,0.998279, 1.165694
us_000487823,0.998279, 1.168570
us_000478244,0.998279, 1.191260
us_000479625,0.998279, 1.199137
us_000500874,0.998279, 1.211405
us_000501909,0.998279, 1.216125
us_000473015,0.998279, 1.219248
us_000487359,0.998279, 1.223868
us_000460810,0.998279, 1.226186
us_000202089,0.998279, 1.226883
us_000545377,0.998279, 1.227505
us_000545483,0.998279, 1.227524
us_000516789,0.998279, 1.233095
us_000503009,0.998279, 1.239463
us_000530234,0.998279, 1.254966
us_000397133,0.998279, 1.260920
us_000516727,0.998279, 1.264604
us_000466578,0.998279, 1.268528
us_000395690,0.998279, 1.271937
us_000515239,0.998279, 1.316120
us_000481750,0.998279, 1.321288
us_000502320,0.998279, 1.329685
us_000469892,0.998279, 1.361108
us_000584802,0.947110, 0.000000
pr_001152326,0.947110, 0.000000
pr_000638804,0.947110, 0.000000
us_000476056,0.947110, 0.000117
us_000476325,0.947110, 0.000120
us_000487861,0.947110, 0.000303
us_000561039,0.947110, 0.000316
us_000552516,0.947110, 0.000702
us_000495836,0.947110, 0.030969
us_000215466,0.947110, 0.455335
us_000506319,0.947110, 0.513743
us_000472092,0.947110, 0.514113
us_000525217,0.947110, 0.566189
us_000520138,0.947110, 0.584594
us_000494927,0.947110, 0.594740
us_000489429,0.947110, 0.607298
us_000526515,0.947110, 0.629164
us_000447424,0.947110, 0.631369
us_000481712,0.947110, 0.634680
us_000517644,0.947110, 0.641647
us_000553243,0.947110, 0.645474
us_000464625,0.947110, 0.651080
us_000471991,0.947110, 0.662943
us_000525042,0.947110, 0.666736
us_000466867,0.947110, 0.668717
us_000466859,0.947110, 0.673731
us_000479886,0.947110, 0.676656
us_000468359,0.947110, 0.680078
us_000234120,0.947110, 0.681381
us_000482803,0.947110, 0.694226
us_000468264,0.947110, 0.701774
us_000492974,0.947110, 0.704467
us_000533941,0.947110, 0.708521
us_000472222,0.947110, 0.709125
us_000497897,0.947110, 0.709980
us_000489043,0.947110, 0.713110
us_000560392,0.947110, 0.716245
us_000534047,0.947110, 0.716837
us_000508712,0.947110, 0.721491
us_000238869,0.947110, 0.722175
us_000243248,0.947110, 0.722552
us_000517409,0.947110, 0.724667
us_000301543,0.947110, 0.725661
us_000526950,0.947110, 0.728152
us_000482900,0.947110, 0.730089
us_000526953,0.947110, 0.730577
us_000533619,0.947110, 0.730660
us_000116809,0.947110, 0.730906
us_000517068,0.947110, 0.731451
us_000484087,0.947110, 0.733353
us_000480358,0.947110, 0.738364
us_000465014,0.947110, 0.738364
us_000524216,0.947110, 0.738364
us_000554477,0.947110, 0.738980
us_000480357,0.947110, 0.740788
us_000506790,0.947110, 0.744732
us_000528663,0.947110, 0.747058
us_000487907,0.947110, 0.747706
us_000517942,0.947110, 0.753199
us_000506406,0.947110, 0.756492
us_000525957,0.947110, 0.765315
us_000511356,0.947110, 0.769963
us_000487003,0.947110, 0.784316
us_000524622,0.947110, 0.785773
us_000484588,0.947110, 0.786353
us_000531073,0.947110, 0.811787
us_000540524,0.947110, 0.902362
pr_001011135,0.932928, 0.000162
pr_000977867,0.932928, 0.000633
pr_001044382,0.932928, 0.000722
pr_000718955,0.932928, 0.000813
pr_001002342,0.932928, 0.000819
us_000131151,0.932928, 0.618121
us_000220133,0.932928, 0.792307
us_000523649,0.932928, 0.856697
us_000510030,0.932928, 0.858271
us_000494356,0.932928, 0.862214
us_000468169,0.932928, 0.895392
us_000503113,0.932928, 0.901606
us_000128005,0.932928, 0.916654
us_000297228,0.932928, 0.923157
us_000470636,0.932928, 0.936629
us_000139617,0.932928, 0.943334
us_000470612,0.932928, 0.988801
us_000139464,0.932928, 0.999346
us_000470533,0.932928, 1.033729
us_000466911,0.932928, 1.079043
us_000547417,0.903397, 0.000000
us_000535988,0.903397, 0.000000
us_000463701,0.903397, 1.120264
us_000519844,0.903397, 1.313205
us_000466027,0.903397, 1.364391
us_000554089,0.903397, 1.421492
us_000467262,0.903397, 1.485193
us_000469854,0.903397, 1.511663
us_000471554,0.903397, 1.512004
us_000480565,0.903397, 1.512677
us_000462817,0.903397, 1.535746
us_000468968,0.903397, 1.552098
us_000469248,0.903397, 1.591394
us_000471534,0.903397, 1.612614
us_000469491,0.903397, 1.629602
pr_001129419,0.858733, 0.000000
pr_000514328,0.858733, 0.000000
pr_000519872,0.858733, 0.000000
pr_000515730,0.858733, 0.000000
us_000458773,0.858733, 0.026133
us_000085172,0.858733, 0.094368
us_000094731,0.858733, 0.114260
us_000382053,0.858733, 0.118502
us_000050556,0.858733, 0.151784
us_000094982,0.858733, 0.155557
us_000095687,0.858733, 0.166508
us_000481255,0.858733, 0.181517
us_000499931,0.858733, 0.193838
us_000494941,0.858733, 0.196728
us_000395170,0.858733, 0.201198
us_000488275,0.858733, 0.202537
us_000488401,0.858733, 0.224447
us_000486671,0.858733, 0.247064
us_000100936,0.858733, 0.252865
us_000037463,0.858733, 0.257292
us_000507002,0.858733, 0.258861
us_000525230,0.858733, 0.261621
us_000530725,0.858733, 0.268941
us_000282700,0.858733, 0.271618
us_000535477,0.858733, 0.277168
us_000472818,0.858733, 0.283433
us_000458744,0.858733, 0.284436
us_000486841,0.858733, 0.285878
us_000460036,0.858733, 0.286887
us_000457073,0.858733, 0.288570
us_000486914,0.858733, 0.291089
us_000525674,0.858733, 0.291641
us_000480568,0.858733, 0.293693
us_000492893,0.858733, 0.294056
us_000553480,0.858733, 0.294056
us_000480652,0.858733, 0.295649
us_000467260,0.858733, 0.296208
us_000506982,0.858733, 0.298124
us_000473329,0.858733, 0.298267
us_000583760,0.858733, 0.300539
us_000506221,0.858733, 0.300755
us_000495609,0.858733, 0.311523
us_000516148,0.858733, 0.314251
us_000506218,0.858733, 0.315415
us_000507070,0.858733, 0.318783
us_000580828,0.858733, 0.320475
us_000498148,0.858733, 0.320921
us_000465822,0.858733, 0.322736
us_000331249,0.858733, 0.325005
us_000506114,0.858733, 0.325005
us_000495648,0.858733, 0.327284
us_000483973,0.858733, 0.328902
us_000505141,0.858733, 0.330220
us_000460566,0.858733, 0.334586
us_000476360,0.858733, 0.335579
us_000484325,0.858733, 0.335655
us_000515829,0.858733, 0.336109
us_000464670,0.858733, 0.339779
us_000555898,0.858733, 0.340210
us_000524823,0.858733, 0.341333
us_000556144,0.858733, 0.342417
us_000465364,0.858733, 0.343247
us_000479243,0.858733, 0.350670
us_000508057,0.858733, 0.351336
us_000494860,0.858733, 0.354465
us_000478653,0.858733, 0.357039
us_000470640,0.858733, 0.357652
us_000494475,0.858733, 0.358633
us_000568131,0.858733, 0.360095
us_000504502,0.858733, 0.362706
us_000203180,0.858733, 0.363060
us_000459352,0.858733, 0.363968
us_000492491,0.858733, 0.371707
us_000474431,0.858733, 0.372529
us_000524274,0.858733, 0.374701
us_000522219,0.858733, 0.375095
us_000573974,0.858733, 0.379583
us_000499009,0.858733, 0.380449
us_000570010,0.858733, 0.381637
us_000505868,0.858733, 0.382639
us_000459459,0.858733, 0.385190
us_000469952,0.858733, 0.385190
us_000460983,0.858733, 0.385190
us_000526504,0.858733, 0.386224
us_000519859,0.858733, 0.392341
us_000437594,0.858733, 0.393435
us_000491513,0.858733, 0.397658
us_000493349,0.858733, 0.398774
us_000542909,0.858733, 0.399667
us_000515318,0.858733, 0.403147
us_000521283,0.858733, 0.403590
us_000583927,0.858733, 0.407479
us_000481913,0.858733, 0.408882
us_000589413,0.858733, 0.410534
us_000481339,0.858733, 0.411656
us_000497855,0.858733, 0.411892
us_000508218,0.858733, 0.415106
us_000594822,0.858733, 0.416076
us_000500013,0.858733, 0.416829
us_000550755,0.858733, 0.420459
us_000504122,0.858733, 0.422466
us_000525196,0.858733, 0.422607
us_000505863,0.858733, 0.423778
us_000501384,0.858733, 0.424041
us_000525156,0.858733, 0.425187
us_000503966,0.858733, 0.425246
us_000516468,0.858733, 0.426480
us_000500215,0.858733, 0.426506
us_000417773,0.858733, 0.428504
us_000464987,0.858733, 0.430808
us_000560250,0.858733, 0.432919
us_000137563,0.858733, 0.433759
us_000024295,0.858733, 0.437009
us_000470762,0.858733, 0.437588
us_000534857,0.858733, 0.438328
us_000551648,0.858733, 0.439745
us_000497975,0.858733, 0.439982
us_000530154,0.858733, 0.440250
us_000516232,0.858733, 0.442637
us_000484864,0.858733, 0.442637
us_000512358,0.858733, 0.442704
