Product ID : 2148 # of JPs covered : 1 : 276 : ERISA-Executive Compensation, 
us_000495024,0.885937, 1.888701
us_000578699,0.885937, 1.904241
us_000493404,0.885937, 1.905428
us_000501512,0.885937, 1.912101
us_000521781,0.885937, 1.917990
us_000531991,0.885937, 1.918406
us_000535267,0.885937, 1.921031
us_000563907,0.885937, 1.921412
us_000582320,0.885937, 1.927354
us_000575000,0.885937, 1.936139
us_000585723,0.885937, 1.942371
us_000398169,0.885937, 1.946033
us_000497993,0.885937, 1.950287
us_000557070,0.885937, 1.955020
us_000585650,0.885937, 1.956645
us_000585030,0.885937, 1.961671
us_000583865,0.885937, 1.964705
us_000533953,0.885937, 1.964866
us_000554996,0.885937, 1.970895
us_000581977,0.885937, 1.974517
us_000566923,0.885937, 1.974647
us_000580586,0.885937, 1.975040
us_000505245,0.885937, 1.979496
us_000509500,0.885937, 1.985584
us_000584190,0.885937, 1.986423
us_000579272,0.885937, 1.988571
us_000518754,0.885937, 1.991088
us_000578205,0.885937, 1.993352
us_000431304,0.885937, 2.001098
us_000540027,0.885937, 2.001915
us_000530125,0.885937, 2.014127
us_000468298,0.885937, 2.016652
us_000521459,0.885937, 2.019487
us_000557042,0.885937, 2.027107
us_000458629,0.885937, 2.031589
us_000481454,0.885937, 2.031995
us_000499782,0.885937, 2.039763
us_000549712,0.885937, 2.044810
us_000582246,0.885937, 2.053681
us_000504917,0.885937, 2.054776
us_000502164,0.885937, 2.056706
us_000598287,0.885937, 2.058556
us_000479817,0.885937, 2.059998
us_000533391,0.885937, 2.060145
us_000408766,0.885937, 2.063237
us_000560522,0.885937, 2.064957
us_000500950,0.885937, 2.065076
us_000504076,0.885937, 2.067164
us_000550147,0.885937, 2.067759
us_000572291,0.885937, 2.068360
us_000585955,0.885937, 2.071794
us_000514349,0.885937, 2.074920
us_000565117,0.885937, 2.076502
us_000539411,0.885937, 2.077309
us_000506031,0.885937, 2.078989
us_000546649,0.885937, 2.080001
us_000591095,0.885937, 2.080888
us_000519637,0.885937, 2.082924
us_000564816,0.885937, 2.087404
us_000482399,0.885937, 2.087669
us_000558146,0.885937, 2.089601
us_000540260,0.885937, 2.098558
us_000533283,0.885937, 2.099081
us_000549695,0.885937, 2.099923
us_000556328,0.885937, 2.105944
us_000503901,0.885937, 2.108585
us_000400033,0.885937, 2.114690
us_000461721,0.885937, 2.123231
us_000544412,0.885937, 2.125217
us_000460055,0.885937, 2.135878
us_000339025,0.885937, 2.143084
us_000564071,0.885937, 2.143275
us_000469482,0.885937, 2.145013
us_000503960,0.885937, 2.146729
us_000583878,0.885937, 2.147014
us_000556213,0.885937, 2.149149
us_000517565,0.885937, 2.149266
us_000519141,0.885937, 2.159135
us_000611036,0.885937, 2.162823
us_000556304,0.885937, 2.170063
us_000533959,0.885937, 2.174806
us_000530509,0.885937, 2.180296
us_000586910,0.885937, 2.181565
us_000536991,0.885937, 2.185468
us_000485829,0.885937, 2.185708
us_000565824,0.885937, 2.187242
us_000549123,0.885937, 2.188081
us_000502779,0.885937, 2.188081
us_000535886,0.885937, 2.191305
us_000502781,0.885937, 2.191934
us_000482713,0.885937, 2.192582
us_000553889,0.885937, 2.192582
us_000483775,0.885937, 2.193236
us_000551879,0.885937, 2.211667
us_000520542,0.885937, 2.216241
us_000561062,0.885937, 2.217460
us_000496501,0.885937, 2.217640
us_000470986,0.885937, 2.224646
us_000483402,0.885937, 2.228903
us_000501876,0.885937, 2.229042
us_000478076,0.885937, 2.230997
us_000487798,0.885937, 2.231972
us_000554342,0.885937, 2.234771
us_000518577,0.885937, 2.234771
us_000469969,0.885937, 2.237744
us_000561243,0.885937, 2.237785
us_000539987,0.885937, 2.239330
us_000481396,0.885937, 2.239646
us_000478210,0.885937, 2.239646
us_000479863,0.885937, 2.239646
us_000539319,0.885937, 2.239646
us_000482166,0.885937, 2.239646
us_000484258,0.885937, 2.240965
us_000464342,0.885937, 2.246463
us_000528177,0.885937, 2.252951
us_000499212,0.885937, 2.253741
us_000479238,0.885937, 2.260741
us_000518043,0.885937, 2.263923
us_000011844,0.885937, 2.268263
us_000476853,0.885937, 2.269571
us_000540383,0.885937, 2.269671
us_000500267,0.885937, 2.272488
us_000551882,0.885937, 2.274821
us_000472807,0.885937, 2.275744
us_000534700,0.885937, 2.276351
us_000521571,0.885937, 2.276717
us_000553704,0.885937, 2.279995
us_000540199,0.885937, 2.285376
us_000490860,0.885937, 2.298933
us_000503644,0.885937, 2.315023
us_000471028,0.885937, 2.321454
us_000459786,0.885937, 2.344185
us_000480522,0.885937, 2.363730
us_000482292,0.885937, 2.367517
us_000476957,0.885937, 2.457655
pr_000876285,0.775044, 0.000001
us_000519723,0.775044, 0.000030
us_000512227,0.775044, 1.528989
us_000597275,0.775044, 1.930893
us_000550359,0.775044, 2.223825
us_000512344,0.775044, 2.228883
us_000503329,0.775044, 2.248921
us_000565567,0.775044, 2.521569
us_000494594,0.775044, 2.540042
us_000544337,0.775044, 2.657527
us_000544410,0.775044, 2.670082
us_000487817,0.775044, 2.696606
us_000499077,0.775044, 2.718136
us_000507445,0.775044, 2.744485
us_000567723,0.775044, 2.752868
us_000486501,0.775044, 2.827302
us_000318761,0.775044, 2.828845
us_000482156,0.775044, 2.854509
us_000535931,0.775044, 2.888224
us_000546314,0.775044, 2.888646
us_000582809,0.775044, 2.901968
us_000499941,0.775044, 2.909066
us_000465826,0.775044, 2.919895
us_000578835,0.775044, 2.936915
us_000469250,0.775044, 2.938211
us_000528262,0.775044, 2.968343
us_000544838,0.775044, 2.980640
us_000535086,0.775044, 3.016375
us_000522379,0.775044, 3.021714
us_000507681,0.775044, 3.024218
us_000301506,0.775044, 3.027775
us_000517604,0.775044, 3.040978
us_000483131,0.775044, 3.063603
us_000546305,0.775044, 3.082097
us_000546306,0.775044, 3.082097
us_000522386,0.775044, 3.112405
us_000522279,0.775044, 3.118709
us_000493331,0.775044, 3.120113
us_000577926,0.775044, 3.122569
us_000571294,0.775044, 3.139870
us_000545143,0.775044, 3.142789
us_000543499,0.775044, 3.169828
us_000596459,0.775044, 3.194859
us_000552576,0.775044, 3.195373
us_000598313,0.775044, 3.197713
us_000510802,0.775044, 3.207965
us_000510449,0.775044, 3.217732
us_000524560,0.775044, 3.229874
us_000481682,0.775044, 3.231433
us_000584993,0.775044, 3.233694
us_000568854,0.775044, 3.245923
us_000571674,0.775044, 3.253660
us_000487987,0.775044, 3.265141
us_000460158,0.775044, 3.266548
us_000458962,0.775044, 3.267311
us_000500141,0.775044, 3.306141
us_000546141,0.775044, 3.307061
us_000533240,0.775044, 3.330054
us_000545091,0.775044, 3.341587
us_000521420,0.775044, 3.371994
us_000561254,0.775044, 3.374985
us_000574712,0.775044, 3.377635
us_000566933,0.775044, 3.382079
us_000557650,0.775044, 3.385810
us_000495102,0.775044, 3.389935
us_000502462,0.775044, 3.403771
us_000510688,0.775044, 3.415225
us_000545530,0.775044, 3.415225
us_000546256,0.775044, 3.415225
us_000485813,0.350708, 0.000000
us_000475127,0.350708, 0.000000
us_000488042,0.350708, 0.000111
us_000474447,0.350708, 0.000111
us_000604960,0.350708, 0.000668
us_000584632,0.350708, 0.001333
us_000563454,0.350708, 1.253696
us_000409714,0.350708, 1.270866
us_000498342,0.350708, 1.274581
us_000544703,0.350708, 1.286093
us_000206873,0.350708, 1.288934
us_000484204,0.350708, 1.294463
us_000552372,0.350708, 1.308626
us_000447593,0.350708, 1.312938
us_000480401,0.350708, 1.313877
us_000613028,0.350708, 1.315337
us_000617506,0.350708, 1.315611
us_000589496,0.350708, 1.318101
us_000528347,0.350708, 1.318339
us_000477026,0.350708, 1.319884
us_000478495,0.350708, 1.322347
us_000526533,0.350708, 1.335332
us_000483781,0.350708, 1.335405
us_000591824,0.350708, 1.338411
us_000517658,0.350708, 1.339135
us_000481874,0.350708, 1.340552
us_000604616,0.350708, 1.345332
us_000510148,0.350708, 1.347705
us_000482642,0.350708, 1.347727
us_000481757,0.350708, 1.347961
us_000527911,0.350708, 1.348675
us_000607056,0.350708, 1.351118
us_000591068,0.350708, 1.351607
us_000481639,0.350708, 1.353354
us_000493760,0.350708, 1.355018
us_000518586,0.350708, 1.355641
us_000606356,0.350708, 1.355727
us_000546115,0.350708, 1.358476
us_000473796,0.350708, 1.359824
us_000563277,0.350708, 1.361462
us_000554494,0.350708, 1.364870
us_000559828,0.350708, 1.366244
us_000499627,0.350708, 1.367979
us_000517133,0.350708, 1.368996
us_000469768,0.350708, 1.377139
us_000469401,0.350708, 1.377693
us_000606086,0.350708, 1.377983
us_000193254,0.350708, 1.378487
us_000359928,0.350708, 1.378498
us_000481851,0.350708, 1.378638
us_000481168,0.350708, 1.378638
us_000481802,0.350708, 1.378638
us_000589706,0.350708, 1.379373
us_000458983,0.350708, 1.379381
us_000579401,0.350708, 1.380614
us_000529079,0.350708, 1.383227
us_000505914,0.350708, 1.385659
us_000589403,0.350708, 1.386693
us_000482745,0.350708, 1.387773
us_000499342,0.350708, 1.387773
us_000482824,0.350708, 1.387773
us_000481751,0.350708, 1.387773
us_000499511,0.350708, 1.387773
us_000481747,0.350708, 1.391428
us_000493041,0.350708, 1.396621
us_000613609,0.350708, 1.408215
us_000482837,0.350708, 1.424150
us_000591998,0.350708, 1.427095
us_000482843,0.350708, 1.437905
us_000588169,0.350708, 1.473544
us_000526295,0.350708, 1.540064
pr_001057258,0.267306, 0.000000
pr_000586640,0.267306, 0.000000
pr_001962014,0.267306, 0.000000
pr_000319868,0.267306, 0.000001
pr_000203078,0.267306, 0.000001
pr_000901382,0.267306, 0.000002
pr_000745675,0.267306, 0.000004
pr_000740439,0.267306, 0.000004
pr_002054732,0.267306, 0.000005
pr_000359611,0.267306, 0.000016
pr_000419663,0.267306, 0.000085
us_000511686,0.267306, 0.002134
us_000502205,0.267306, 0.110598
us_000544134,0.267306, 0.127292
us_000523786,0.267306, 0.178006
us_000515202,0.267306, 0.235710
us_000488660,0.267306, 0.284471
us_000563360,0.267306, 0.305740
us_000582502,0.267306, 0.310601
us_000479434,0.267306, 0.314861
us_000567055,0.267306, 0.318909
us_000590518,0.267306, 0.323639
us_000598050,0.267306, 0.324874
us_000563952,0.267306, 0.328948
us_000529779,0.267306, 0.330807
us_000502500,0.267306, 0.332692
us_000460938,0.267306, 0.333695
us_000571784,0.267306, 0.334242
us_000593572,0.267306, 0.335476
us_000481475,0.267306, 0.337174
us_000483317,0.267306, 0.340334
us_000572816,0.267306, 0.342836
us_000466169,0.267306, 0.342858
us_000580362,0.267306, 0.346019
us_000573215,0.267306, 0.346034
us_000079035,0.267306, 0.348469
us_000464529,0.267306, 0.348469
us_000462784,0.267306, 0.350358
us_000520160,0.267306, 0.351099
us_000481474,0.267306, 0.351192
us_000596632,0.267306, 0.356209
us_000572326,0.267306, 0.360528
us_000598585,0.267306, 0.361771
us_000572783,0.267306, 0.362071
us_000535269,0.267306, 0.362234
us_000541076,0.267306, 0.362421
us_000555746,0.267306, 0.362939
us_000573566,0.267306, 0.365609
us_000511401,0.267306, 0.366891
us_000485278,0.267306, 0.367800
us_000595432,0.267306, 0.368486
us_000557211,0.267306, 0.368985
us_000483788,0.267306, 0.369639
us_000477567,0.267306, 0.369762
us_000072062,0.267306, 0.370411
us_000477683,0.267306, 0.370504
us_000558699,0.267306, 0.371985
us_000533252,0.267306, 0.372197
us_000512476,0.267306, 0.372840
us_000484591,0.267306, 0.373149
us_000501631,0.267306, 0.373266
us_000597902,0.267306, 0.373831
us_000565726,0.267306, 0.374681
us_000586900,0.267306, 0.375980
us_000591128,0.267306, 0.375980
us_000588110,0.267306, 0.376174
us_000594030,0.267306, 0.376496
us_000480469,0.267306, 0.376674
us_000538516,0.267306, 0.377588
us_000558224,0.267306, 0.377915
us_000528976,0.267306, 0.378208
us_000580647,0.267306, 0.378330
us_000593247,0.267306, 0.378748
us_000535083,0.267306, 0.379534
us_000011334,0.267306, 0.379815
us_000475798,0.267306, 0.380242
us_000587729,0.267306, 0.380479
us_000599515,0.267306, 0.380580
us_000568894,0.267306, 0.381101
us_000232443,0.267306, 0.381649
us_000596509,0.267306, 0.381684
us_000555096,0.267306, 0.382071
us_000598619,0.267306, 0.382230
us_000472377,0.267306, 0.382230
us_000572396,0.267306, 0.382743
us_000580258,0.267306, 0.382743
us_000484594,0.267306, 0.382743
us_000483897,0.267306, 0.382743
us_000597598,0.267306, 0.382743
us_000596728,0.267306, 0.382743
us_000574384,0.267306, 0.382743
us_000588884,0.267306, 0.382743
us_000571152,0.267306, 0.382743
us_000346937,0.267306, 0.382887
us_000597479,0.267306, 0.384275
us_000501074,0.267306, 0.384316
us_000585078,0.267306, 0.384528
us_000574472,0.267306, 0.385925
us_000484627,0.267306, 0.386091
us_000574724,0.267306, 0.386148
us_000580698,0.267306, 0.386288
us_000482153,0.267306, 0.387640
us_000476614,0.267306, 0.388026
us_000463540,0.267306, 0.388026
us_000203160,0.267306, 0.388026
us_000347614,0.267306, 0.390103
us_000130170,0.267306, 0.390103
us_000462525,0.267306, 0.390103
us_000504312,0.267306, 0.390368
us_000459423,0.267306, 0.390541
us_000580144,0.267306, 0.390545
us_000578497,0.267306, 0.390634
us_000512845,0.267306, 0.390952
us_000517351,0.267306, 0.391800
us_000573801,0.267306, 0.393885
us_000563369,0.267306, 0.394212
us_000504353,0.267306, 0.394448
us_000540241,0.267306, 0.394609
us_000567250,0.267306, 0.394674
us_000539913,0.267306, 0.394732
us_000481719,0.267306, 0.394855
us_000594284,0.267306, 0.395463
us_000592311,0.267306, 0.396270
us_000478924,0.267306, 0.396361
us_000550357,0.267306, 0.396560
us_000574514,0.267306, 0.396717
us_000598709,0.267306, 0.397203
us_000543317,0.267306, 0.398314
us_000485031,0.267306, 0.398571
us_000583314,0.267306, 0.400472
us_000518479,0.267306, 0.401067
us_000299390,0.267306, 0.401190
us_000491731,0.267306, 0.401190
us_000561559,0.267306, 0.401389
us_000483056,0.267306, 0.401389
us_000568354,0.267306, 0.401389
us_000592304,0.267306, 0.402265
us_000581767,0.267306, 0.403001
us_000481659,0.267306, 0.403746
us_000567097,0.267306, 0.405422
us_000566989,0.267306, 0.405895
us_000594882,0.267306, 0.411382
us_000595428,0.267306, 0.412567
us_000060477,0.267306, 0.414610
us_000476389,0.267306, 0.414700
us_000482264,0.267306, 0.415495
us_000466073,0.267306, 0.417209
pr_000576510,0.267306, 0.418458
us_000598695,0.267306, 0.426283
us_000605000,0.267306, 0.430113
us_000493203,0.267306, 0.431542
us_000545926,0.267306, 0.436118
us_000552374,0.267306, 0.452169
us_000479748,0.267306, 0.459368
us_000533147,0.267306, 0.460030
us_000472046,0.267306, 0.461505
us_000440311,0.267306, 0.461639
us_000549147,0.267306, 0.462042
us_000534144,0.267306, 0.462042
us_000544814,0.267306, 0.462286
us_000523751,0.267306, 0.463075
us_000563808,0.267306, 0.463101
us_000548892,0.267306, 0.463101
us_000125930,0.267306, 0.463290
us_000512844,0.267306, 0.463428
us_000476796,0.267306, 0.463705
us_000471966,0.267306, 0.463797
us_000517601,0.267306, 0.463817
us_000555680,0.267306, 0.463817
us_000555677,0.267306, 0.463817
us_000553255,0.267306, 0.463817
us_000560710,0.267306, 0.463817
us_000484637,0.267306, 0.463817
us_000501624,0.267306, 0.463817
us_000524627,0.267306, 0.463817
us_000508795,0.267306, 0.464195
us_000587347,0.267306, 0.464509
us_000484218,0.267306, 0.464987
us_000504680,0.267306, 0.466227
us_000540079,0.267306, 0.466321
us_000499100,0.267306, 0.466468
us_000464459,0.267306, 0.468104
us_000470523,0.267306, 0.470573
us_000558431,0.267306, 0.471024
us_000522620,0.267306, 0.471108
us_000502167,0.267306, 0.471289
us_000502732,0.267306, 0.471289
us_000502188,0.267306, 0.471289
us_000458800,0.267306, 0.471289
us_000484789,0.267306, 0.471432
us_000502764,0.267306, 0.472148
us_000483735,0.267306, 0.472324
us_000614238,0.267306, 0.473215
us_000506973,0.267306, 0.473257
us_000557078,0.267306, 0.473654
us_000533938,0.267306, 0.474089
us_000480049,0.267306, 0.475181
us_000540450,0.267306, 0.475249
us_000534657,0.267306, 0.475249
us_000540460,0.267306, 0.475249
us_000534638,0.267306, 0.475249
us_000540452,0.267306, 0.475249
us_000533266,0.267306, 0.477065
us_000522085,0.267306, 0.477286
us_000575405,0.267306, 0.477286
us_000555136,0.267306, 0.477286
us_000539914,0.267306, 0.477286
us_000560166,0.267306, 0.477286
us_000480506,0.267306, 0.477286
us_000550292,0.267306, 0.477286
us_000533351,0.267306, 0.477286
us_000568194,0.267306, 0.477978
us_000534081,0.267306, 0.479360
us_000485088,0.267306, 0.479360
us_000560868,0.267306, 0.479360
us_000483412,0.267306, 0.479360
us_000484494,0.267306, 0.479360
us_000551845,0.267306, 0.479360
us_000484179,0.267306, 0.479360
us_000518634,0.267306, 0.479360
us_000481492,0.267306, 0.479360
us_000564373,0.267306, 0.480313
us_000472012,0.267306, 0.480945
us_000535742,0.267306, 0.480965
us_000495644,0.267306, 0.481219
us_000501113,0.267306, 0.481273
us_000479088,0.267306, 0.481362
us_000523782,0.267306, 0.481470
us_000481625,0.267306, 0.481472
us_000556561,0.267306, 0.481472
us_000549960,0.267306, 0.481472
us_000549450,0.267306, 0.481472
us_000523783,0.267306, 0.481472
us_000504487,0.267306, 0.481472
us_000481611,0.267306, 0.481472
us_000517576,0.267306, 0.481472
us_000483013,0.267306, 0.481472
us_000504419,0.267306, 0.481472
us_000480340,0.267306, 0.481472
us_000523785,0.267306, 0.481472
us_000554167,0.267306, 0.481472
us_000540971,0.267306, 0.482480
us_000550183,0.267306, 0.482552
us_000550350,0.267306, 0.482576
us_000586912,0.267306, 0.482692
us_000481705,0.267306, 0.482701
us_000567078,0.267306, 0.482853
us_000483058,0.267306, 0.482853
us_000478033,0.267306, 0.482905
us_000534180,0.267306, 0.482920
us_000504025,0.267306, 0.482989
us_000539902,0.267306, 0.483021
us_000523691,0.267306, 0.483028
us_000523035,0.267306, 0.483082
us_000481200,0.267306, 0.483101
us_000432693,0.267306, 0.483108
us_000568220,0.267306, 0.483114
us_000523039,0.267306, 0.483182
us_000476675,0.267306, 0.483218
us_000473515,0.267306, 0.483314
us_000518405,0.267306, 0.483363
us_000540613,0.267306, 0.483368
us_000485016,0.267306, 0.483498
us_000472125,0.267306, 0.483498
us_000537046,0.267306, 0.483621
us_000568937,0.267306, 0.483621
us_000576898,0.267306, 0.483621
us_000548834,0.267306, 0.483621
us_000553426,0.267306, 0.483621
us_000502446,0.267306, 0.483621
us_000535982,0.267306, 0.483621
us_000568868,0.267306, 0.483621
us_000482442,0.267306, 0.483621
us_000483818,0.267306, 0.483621
us_000557043,0.267306, 0.483621
us_000558773,0.267306, 0.483621
us_000523787,0.267306, 0.483621
us_000555681,0.267306, 0.483621
us_000523822,0.267306, 0.483621
us_000556912,0.267306, 0.483621
us_000504965,0.267306, 0.483621
us_000567988,0.267306, 0.483621
us_000518420,0.267306, 0.483621
us_000517024,0.267306, 0.483621
us_000569850,0.267306, 0.483621
us_000538851,0.267306, 0.483621
us_000559646,0.267306, 0.483621
us_000479807,0.267306, 0.483621
us_000540685,0.267306, 0.483621
us_000535682,0.267306, 0.483621
us_000555702,0.267306, 0.483621
us_000537032,0.267306, 0.483621
us_000553613,0.267306, 0.483621
us_000520514,0.267306, 0.483621
us_000523789,0.267306, 0.483621
us_000558295,0.267306, 0.483621
us_000569070,0.267306, 0.483621
us_000555724,0.267306, 0.483621
us_000483776,0.267306, 0.483621
us_000556853,0.267306, 0.483621
us_000517545,0.267306, 0.483621
us_000478761,0.267306, 0.483621
us_000532918,0.267306, 0.483621
us_000502087,0.267306, 0.483621
us_000560704,0.267306, 0.483621
us_000539639,0.267306, 0.483621
us_000537033,0.267306, 0.483621
us_000501660,0.267306, 0.483621
us_000523790,0.267306, 0.483621
us_000517693,0.267306, 0.483621
us_000501704,0.267306, 0.483621
us_000484862,0.267306, 0.483621
us_000484596,0.267306, 0.483621
us_000517535,0.267306, 0.483621
us_000481263,0.267306, 0.483621
us_000509123,0.267306, 0.483621
us_000521669,0.267306, 0.483621
us_000554060,0.267306, 0.483621
us_000484438,0.267306, 0.483621
us_000518716,0.267306, 0.483621
us_000479109,0.267306, 0.483806
us_000247852,0.267306, 0.483941
us_000520950,0.267306, 0.483945
us_000492778,0.267306, 0.484103
us_000550037,0.267306, 0.484526
us_000553277,0.267306, 0.484660
us_000549271,0.267306, 0.484664
us_000481673,0.267306, 0.484857
us_000345409,0.267306, 0.485129
us_000529932,0.267306, 0.485602
us_000478031,0.267306, 0.485623
us_000523788,0.267306, 0.485943
us_000485332,0.267306, 0.486668
us_000523799,0.267306, 0.487142
us_000482972,0.267306, 0.488149
us_000576697,0.267306, 0.488418
us_000526873,0.267306, 0.488821
us_000521384,0.267306, 0.489009
us_000576731,0.267306, 0.489842
us_000483498,0.267306, 0.490121
us_000474503,0.267306, 0.492944
