Product ID : 2063 # of JPs covered : 1 : 233 : Banking Litigation, 
OID,Confidence at Map Node,Error at Map Node
us_000485523,1.000000, 0.000000
us_000484252,1.000000, 0.000000
us_000484764,1.000000, 0.000000
us_000488119,1.000000, 0.000000
us_000474457,1.000000, 0.000000
us_000488118,1.000000, 0.000000
us_000493036,1.000000, 0.000000
us_000489773,1.000000, 0.000000
us_000473284,1.000000, 0.000000
us_000409214,1.000000, 0.000000
us_000518500,1.000000, 0.000000
us_000532012,1.000000, 0.000000
pr_001693868,1.000000, 0.000137
us_000474822,1.000000, 0.000766
us_000491333,1.000000, 0.000946
us_000503622,1.000000, 0.004152
us_000459503,1.000000, 0.004259
us_000524828,1.000000, 0.004464
us_000564030,1.000000, 0.019135
us_000546448,1.000000, 0.029905
us_000072202,1.000000, 0.061987
us_000355091,1.000000, 0.106684
us_000354047,1.000000, 0.109928
us_000473341,1.000000, 0.385685
us_000302062,1.000000, 0.500241
us_000304483,1.000000, 0.514362
us_000304659,1.000000, 0.897483
pr_001870852,0.999192, 0.000000
us_000587661,0.999192, 0.000009
us_000600120,0.999192, 0.000366
us_000521899,0.999192, 0.004086
us_000591178,0.999192, 0.066710
us_000488310,0.999192, 0.161612
us_000523819,0.999192, 0.224514
us_000487632,0.999192, 0.232315
us_000523205,0.999192, 0.232315
us_000077284,0.999192, 0.253121
us_000473828,0.999192, 0.309826
us_000469538,0.999192, 0.319250
us_000523385,0.999192, 0.319250
us_000518457,0.999192, 0.319413
us_000562822,0.999192, 0.346349
us_000477811,0.999192, 0.361146
us_000476800,0.999192, 0.379203
us_000562976,0.999192, 0.383963
us_000513015,0.999192, 0.387986
us_000474299,0.999192, 0.389269
us_000482445,0.999192, 0.400486
us_000466912,0.999192, 0.406339
us_000523752,0.999192, 0.411370
us_000531025,0.999192, 0.411370
us_000487791,0.999192, 0.411370
us_000478750,0.999192, 0.411370
us_000526879,0.999192, 0.411370
us_000523744,0.999192, 0.421765
us_000524397,0.999192, 0.422004
us_000476260,0.999192, 0.422418
us_000482419,0.999192, 0.422418
us_000463137,0.999192, 0.422418
us_000538142,0.999192, 0.422418
us_000493273,0.999192, 0.422418
us_000521903,0.999192, 0.422418
us_000567401,0.999192, 0.422418
us_000475840,0.999192, 0.422418
us_000475391,0.999192, 0.422418
us_000501661,0.999192, 0.423456
us_000521895,0.999192, 0.423489
us_000487690,0.999192, 0.429687
us_000474387,0.999192, 0.492110
us_000474244,0.999192, 0.504293
us_000566278,0.999192, 0.529147
us_000483084,0.999192, 0.529147
us_000524455,0.999192, 0.529147
us_000473092,0.999192, 0.529147
us_000479043,0.999192, 0.529147
us_000492339,0.999192, 0.529147
us_000482916,0.999192, 0.529147
us_000475815,0.999192, 0.539865
us_000474333,0.999192, 0.541818
us_000476825,0.999192, 0.541818
us_000523196,0.999192, 0.541818
us_000523425,0.999192, 0.541818
us_000481690,0.999192, 0.541818
us_000476185,0.999192, 0.541818
us_000522686,0.999192, 0.541818
