Product ID : 2126 JPs covered : 243 : Family Law, 
OID,Confidence at Map Node,Error at Map Node
pr_000657989,1.000000, 0.000000
pr_000999800,1.000000, 0.000000
pr_002233247,1.000000, 0.000000
pr_000708422,1.000000, 0.000000
pr_001921263,1.000000, 0.000000
pr_000658586,1.000000, 0.000000
pr_001685975,1.000000, 0.000000
pr_001914949,1.000000, 0.000000
pr_000854251,1.000000, 0.000000
pr_001947693,1.000000, 0.000000
pr_001764219,1.000000, 0.000000
pr_001820083,1.000000, 0.000000
pr_000868668,1.000000, 0.000000
pr_002227062,1.000000, 0.000000
pr_000993613,1.000000, 0.000000
pr_000853781,1.000000, 0.000000
pr_002054718,1.000000, 0.000000
pr_000995766,1.000000, 0.000000
pr_001951517,1.000000, 0.000000
pr_001914930,1.000000, 0.000000
pr_002236946,1.000000, 0.000000
pr_000604225,1.000000, 0.000000
pr_000770431,1.000000, 0.000000
pr_000836369,1.000000, 0.000000
pr_000971318,1.000000, 0.000000
pr_001887585,1.000000, 0.000000
pr_000849731,1.000000, 0.000000
pr_000806567,1.000000, 0.000000
pr_000714526,1.000000, 0.000000
pr_002151420,1.000000, 0.000000
pr_000900019,1.000000, 0.000000
pr_000854474,1.000000, 0.000000
pr_000863494,1.000000, 0.000000
pr_000908216,1.000000, 0.000000
pr_001932308,1.000000, 0.000000
pr_002169187,1.000000, 0.000000
pr_002199435,1.000000, 0.000000
pr_000929550,1.000000, 0.000000
pr_001085166,1.000000, 0.000000
pr_000979359,1.000000, 0.000000
pr_000871815,1.000000, 0.000000
pr_001620232,1.000000, 0.000000
pr_001788613,1.000000, 0.000000
pr_001736676,1.000000, 0.000000
pr_000851013,1.000000, 0.000000
pr_000705571,1.000000, 0.000000
pr_000965207,1.000000, 0.000000
pr_001803548,1.000000, 0.000000
pr_000650014,1.000000, 0.000000
pr_001082322,1.000000, 0.000000
pr_001855710,1.000000, 0.000000
pr_000884015,1.000000, 0.000000
pr_000872706,1.000000, 0.000000
pr_000858867,1.000000, 0.000000
pr_000874458,1.000000, 0.000000
pr_000957415,1.000000, 0.000000
pr_000956891,1.000000, 0.000000
pr_000752365,1.000000, 0.000000
pr_001708012,1.000000, 0.000000
pr_002043246,1.000000, 0.000000
pr_000833330,1.000000, 0.000000
pr_001984330,1.000000, 0.000000
pr_000725295,1.000000, 0.000000
pr_000714265,1.000000, 0.000000
pr_001125257,1.000000, 0.000000
pr_000995137,1.000000, 0.000000
pr_002050588,1.000000, 0.000000
pr_000657456,1.000000, 0.000000
pr_000580852,1.000000, 0.000000
pr_001053476,1.000000, 0.000001
us_000560599,1.000000, 0.000007
us_000484065,1.000000, 0.000007
pr_000459720,1.000000, 0.000035
us_000566501,1.000000, 0.000098
us_000560774,1.000000, 0.000112
us_000571586,1.000000, 0.000165
us_000500226,1.000000, 0.040358
us_000496156,1.000000, 0.112112
us_000534779,1.000000, 0.132746
us_000491014,1.000000, 0.150537
us_000491048,1.000000, 0.152133
us_000485601,1.000000, 0.205894
us_000491556,1.000000, 0.226930
us_000489650,1.000000, 0.232664
us_000501092,1.000000, 0.235563
us_000495943,1.000000, 0.259513
us_000538366,1.000000, 0.273760
us_000488055,1.000000, 0.298474
us_000494220,1.000000, 0.304673
us_000505845,1.000000, 0.308056
us_000496889,1.000000, 0.308135
us_000498523,1.000000, 0.311461
us_000537431,1.000000, 0.325292
us_000499493,1.000000, 0.342955
us_000534469,1.000000, 0.370004
pr_000632668,0.964141, 0.000000
pr_001907797,0.964141, 0.000007
pr_001942710,0.964141, 0.000009
pr_002080749,0.964141, 0.000033
pr_000951484,0.964141, 0.000049
pr_001906025,0.964141, 0.000376
us_000482462,0.964141, 0.216008
us_000502220,0.964141, 0.224644
us_000516111,0.964141, 0.224644
us_000499663,0.964141, 0.231561
us_000501579,0.964141, 0.232744
us_000502716,0.964141, 0.235002
us_000494813,0.964141, 0.238744
us_000491466,0.964141, 0.239461
us_000484903,0.964141, 0.245535
us_000487946,0.964141, 0.245535
us_000527685,0.964141, 0.245535
us_000498171,0.964141, 0.273912
us_000497516,0.964141, 0.280450
us_000505596,0.964141, 0.282880
us_000499680,0.964141, 0.284945
us_000488669,0.964141, 0.287072
us_000471278,0.964141, 0.287102
us_000483558,0.964141, 0.293779
us_000489412,0.964141, 0.300527
us_000483736,0.964141, 0.300570
us_000501602,0.964141, 0.300570
us_000498455,0.964141, 0.307445
us_000571605,0.964141, 0.307445
us_000488674,0.964141, 0.307587
us_000479820,0.964141, 0.343837
us_000483701,0.964141, 0.358043
us_000497518,0.964141, 0.521146
us_000498456,0.964141, 0.741417
us_000484360,0.964141, 1.437425
pr_001710804,0.885034, 0.000000
pr_000818348,0.885034, 0.000000
pr_001149711,0.885034, 0.000000
pr_000856910,0.885034, 0.000000
pr_000089825,0.885034, 0.000000
us_000494379,0.885034, 0.000000
us_000487097,0.885034, 0.000000
us_000536260,0.885034, 0.000000
us_000521400,0.885034, 0.000013
us_000500244,0.885034, 0.000013
us_000545532,0.885034, 0.000013
us_000376839,0.885034, 0.000077
us_000484979,0.885034, 0.000143
us_000607117,0.885034, 0.000274
us_000615539,0.885034, 0.001710
us_000562191,0.885034, 0.002995
us_000543000,0.885034, 0.004344
us_000568689,0.885034, 0.005717
us_000563734,0.885034, 0.006547
us_000524835,0.885034, 0.006619
us_000611951,0.885034, 0.007078
us_000507943,0.885034, 0.007136
us_000478734,0.885034, 0.007519
us_000519936,0.885034, 0.009361
us_000593332,0.885034, 0.009726
us_000613350,0.885034, 0.011132
us_000559527,0.885034, 0.012383
us_000615605,0.885034, 0.012992
us_000583625,0.885034, 0.015076
us_000474841,0.885034, 0.015355
us_000592445,0.885034, 0.016770
us_000613429,0.885034, 0.024266
us_000517153,0.885034, 0.047277
us_000468629,0.885034, 0.048146
us_000526482,0.885034, 0.072412
us_000480274,0.885034, 0.111017
us_000249864,0.885034, 0.175958
pr_001063497,0.467475, 0.000004
pr_000887985,0.467475, 0.000009
us_000487378,0.467475, 0.004271
us_000502224,0.467475, 0.068845
us_000499298,0.467475, 0.072087
us_000496965,0.467475, 0.072087
us_000506422,0.467475, 0.073740
us_000487938,0.467475, 0.073740
us_000490522,0.467475, 0.073740
us_000496406,0.467475, 0.075414
us_000482632,0.467475, 0.077109
us_000496337,0.467475, 0.077109
us_000487225,0.467475, 0.077370
us_000505701,0.467475, 0.078825
us_000532892,0.467475, 0.078825
us_000501711,0.467475, 0.079198
us_000496986,0.467475, 0.080562
us_000500584,0.467475, 0.080562
us_000508887,0.467475, 0.080562
us_000507189,0.467475, 0.082320
us_000503505,0.467475, 0.084099
us_000491661,0.467475, 0.089564
us_000535281,0.467475, 0.089564
us_000501572,0.467475, 0.089564
us_000484987,0.467475, 0.093312
us_000501324,0.467475, 0.093312
us_000529282,0.467475, 0.095218
us_000492509,0.467475, 0.097144
us_000545316,0.467475, 0.097144
us_000536296,0.467475, 0.097144
us_000487575,0.467475, 0.098580
us_000496942,0.467475, 0.098591
us_000500937,0.467475, 0.099092
us_000494031,0.467475, 0.099092
us_000521914,0.467475, 0.099163
us_000514584,0.467475, 0.101061
us_000507621,0.467475, 0.101061
us_000506895,0.467475, 0.101061
us_000527700,0.467475, 0.101061
us_000490597,0.467475, 0.103747
us_000487650,0.467475, 0.106574
us_000463859,0.467475, 0.107091
us_000568190,0.467475, 0.107485
us_000498979,0.467475, 0.108542
us_000500797,0.467475, 0.109148
us_000492238,0.467475, 0.109148
us_000492257,0.467475, 0.109148
us_000511791,0.467475, 0.111223
us_000485137,0.467475, 0.111484
us_000578608,0.467475, 0.113318
us_000496624,0.467475, 0.113318
us_000486741,0.467475, 0.115435
us_000487362,0.467475, 0.115435
us_000503980,0.467475, 0.115435
us_000487966,0.467475, 0.115435
us_000499901,0.467475, 0.115435
us_000497019,0.467475, 0.115435
us_000501655,0.467475, 0.115435
us_000506270,0.467475, 0.117572
us_000516957,0.467475, 0.117572
us_000496929,0.467475, 0.117572
us_000521437,0.467475, 0.117572
us_000496927,0.467475, 0.117572
us_000473236,0.467475, 0.117572
us_000472721,0.467475, 0.119659
us_000502857,0.467475, 0.119731
us_000490127,0.467475, 0.119731
us_000516493,0.467475, 0.119731
us_000526486,0.467475, 0.119731
us_000501076,0.467475, 0.120419
us_000503521,0.467475, 0.120920
us_000489603,0.467475, 0.121539
us_000513714,0.467475, 0.121911
us_000487292,0.467475, 0.121911
us_000525259,0.467475, 0.121911
us_000574811,0.467475, 0.121911
us_000496596,0.467475, 0.121911
us_000518303,0.467475, 0.121911
us_000507515,0.467475, 0.121911
us_000574193,0.467475, 0.121911
us_000564534,0.467475, 0.121911
us_000526399,0.467475, 0.122048
us_000485155,0.467475, 0.122325
us_000487940,0.467475, 0.122497
us_000493921,0.467475, 0.123677
us_000487303,0.467475, 0.124112
us_000488536,0.467475, 0.124518
us_000473232,0.467475, 0.125207
us_000492244,0.467475, 0.128393
us_000496510,0.467475, 0.131169
us_000485286,0.467475, 0.132726
us_000496993,0.467475, 0.132823
us_000485282,0.467475, 0.140795
us_000484460,0.467475, 0.145617
us_000462452,0.467475, 0.156205
us_000575364,0.467475, 0.174946
us_000485600,0.467475, 0.186073
us_000499690,0.467475, 0.188224
us_000496714,0.467475, 0.200062
us_000487673,0.467475, 0.237915
us_000498596,0.467475, 0.243543
us_000496068,0.467475, 1.080940
us_000496338,0.467475, 1.110670
pr_001032674,0.417731, 0.000000
pr_000662197,0.417731, 0.000000
pr_001051133,0.417731, 0.000000
pr_001105446,0.417731, 0.000000
pr_000950822,0.417731, 0.000000
pr_000575766,0.417731, 0.000000
pr_001039851,0.417731, 0.000000
pr_000609656,0.417731, 0.000000
pr_001062510,0.417731, 0.000000
pr_001049075,0.417731, 0.000000
pr_000904871,0.417731, 0.000000
pr_000937602,0.417731, 0.000000
pr_000892122,0.417731, 0.000000
pr_001053718,0.417731, 0.000000
pr_001039808,0.417731, 0.000000
pr_000898470,0.417731, 0.000000
pr_001003744,0.417731, 0.000000
pr_001039985,0.417731, 0.000000
pr_001013264,0.417731, 0.000000
pr_001052522,0.417731, 0.000000
pr_001058370,0.417731, 0.000000
pr_001098883,0.417731, 0.000000
pr_001041369,0.417731, 0.000000
pr_000940095,0.417731, 0.000002
pr_000881134,0.417731, 0.000002
pr_001071710,0.417731, 0.000002
pr_000441375,0.417731, 0.000002
pr_000904439,0.417731, 0.000003
pr_000693119,0.417731, 0.000004
pr_001049137,0.417731, 0.000004
pr_001061643,0.417731, 0.000004
pr_001092508,0.417731, 0.000015
pr_001041283,0.417731, 0.000015
pr_001052276,0.417731, 0.000016
pr_001057861,0.417731, 0.000034
pr_000758172,0.417731, 0.000034
pr_001039891,0.417731, 0.000035
pr_000769196,0.417731, 0.000035
pr_000435388,0.417731, 0.000036
pr_000939531,0.417731, 0.000041
pr_000954089,0.417731, 0.000044
pr_001047749,0.417731, 0.000056
pr_001086752,0.417731, 0.000084
pr_000433403,0.417731, 0.000084
pr_001070283,0.417731, 0.000099
pr_001040709,0.417731, 0.000100
pr_001040062,0.417731, 0.000131
pr_001051714,0.417731, 0.000181
pr_001029458,0.417731, 0.000196
pr_001123897,0.269822, 0.000000
us_000508918,0.269822, 0.000000
us_000494144,0.269822, 0.000000
us_000495728,0.269822, 0.000000
us_000543982,0.269822, 0.000002
us_000494290,0.269822, 0.000002
us_000564154,0.269822, 0.000002
us_000565363,0.269822, 0.000002
us_000601349,0.269822, 0.000009
us_000561991,0.269822, 0.000255
us_000574990,0.269822, 0.000346
us_000510963,0.269822, 0.000630
us_000509708,0.269822, 0.000630
us_000616410,0.269822, 0.001340
us_000553744,0.269822, 0.001602
us_000520402,0.269822, 0.003838
us_000510502,0.269822, 0.005312
us_000483289,0.269822, 0.173679
us_000511816,0.269822, 0.174105
us_000502510,0.269822, 0.186947
us_000490591,0.269822, 0.212186
us_000494825,0.269822, 0.223453
us_000482667,0.269822, 0.242563
us_000580495,0.269822, 0.247165
us_000501051,0.269822, 0.282160
us_000521869,0.269822, 0.285028
us_000498497,0.269822, 0.292453
us_000537395,0.269822, 0.304198
pr_000763914,0.129933, 0.000001
us_000520069,0.129933, 0.058667
us_000498480,0.129933, 0.058667
us_000511817,0.129933, 0.058667
us_000498582,0.129933, 0.060188
us_000579760,0.129933, 0.060188
us_000489973,0.129933, 0.060188
us_000496063,0.129933, 0.061730
us_000516872,0.129933, 0.063293
us_000488103,0.129933, 0.063293
us_000502276,0.129933, 0.063293
us_000484659,0.129933, 0.063293
us_000524544,0.129933, 0.063293
us_000511499,0.129933, 0.063293
us_000483901,0.129933, 0.063293
us_000504652,0.129933, 0.064877
us_000518349,0.129933, 0.064877
us_000493465,0.129933, 0.064877
us_000517371,0.129933, 0.064877
us_000492154,0.129933, 0.064877
us_000508974,0.129933, 0.066483
us_000503291,0.129933, 0.066483
us_000507313,0.129933, 0.066483
us_000505881,0.129933, 0.066483
us_000511999,0.129933, 0.066483
us_000525777,0.129933, 0.068109
us_000492863,0.129933, 0.068109
us_000490141,0.129933, 0.068109
us_000480429,0.129933, 0.068662
us_000506882,0.129933, 0.069756
us_000508594,0.129933, 0.069756
us_000494430,0.129933, 0.069756
us_000508978,0.129933, 0.069756
us_000528532,0.129933, 0.069756
us_000518241,0.129933, 0.069756
us_000508817,0.129933, 0.069756
us_000497485,0.129933, 0.069756
us_000479149,0.129933, 0.069756
us_000580724,0.129933, 0.071425
us_000513342,0.129933, 0.071425
us_000496098,0.129933, 0.071425
us_000520738,0.129933, 0.071425
us_000502821,0.129933, 0.071425
us_000533272,0.129933, 0.071425
