Product ID : 2126 JPs covered : 243 : Family Law, 
us_000487217,0.129933, 0.071425
us_000517366,0.129933, 0.071425
us_000493814,0.129933, 0.071425
us_000505898,0.129933, 0.071425
us_000506926,0.129933, 0.073115
us_000524762,0.129933, 0.073125
us_000484704,0.129933, 0.073630
us_000534223,0.129933, 0.074624
us_000502951,0.129933, 0.074825
us_000494011,0.129933, 0.074825
us_000495842,0.129933, 0.074825
us_000488732,0.129933, 0.076557
us_000508249,0.129933, 0.076557
us_000520102,0.129933, 0.076557
us_000492993,0.129933, 0.076976
us_000574802,0.129933, 0.078310
us_000500997,0.129933, 0.078310
us_000508260,0.129933, 0.078310
us_000516522,0.129933, 0.078310
us_000496960,0.129933, 0.078310
us_000502228,0.129933, 0.078310
us_000508298,0.129933, 0.078310
us_000528630,0.129933, 0.078310
us_000562239,0.129933, 0.078310
us_000492304,0.129933, 0.080084
us_000489705,0.129933, 0.080084
us_000492281,0.129933, 0.080084
us_000497266,0.129933, 0.080084
us_000519034,0.129933, 0.080084
us_000492975,0.129933, 0.080084
us_000496087,0.129933, 0.080084
us_000466790,0.129933, 0.080867
us_000479649,0.129933, 0.083570
us_000567650,0.129933, 0.087956
us_000468984,0.129933, 0.088616
us_000524856,0.129933, 0.096158
us_000520704,0.129933, 0.100685
us_000503297,0.129933, 0.100909
us_000483470,0.129933, 0.106112
us_000484720,0.129933, 0.118321
us_000517456,0.129933, 0.129322
us_000499243,0.129933, 0.166725
us_000496088,0.129933, 0.224370
us_000514480,0.129933, 0.260167
us_000500518,0.129933, 0.359214
pr_000418401,0.109212, 0.000000
us_000499446,0.109212, 0.000001
pr_001834872,0.109212, 0.000001
pr_002149437,0.109212, 0.000001
pr_001839573,0.109212, 0.000001
pr_000742365,0.109212, 0.000027
pr_001027550,0.109212, 0.000031
pr_001039655,0.109212, 0.000032
pr_000733961,0.109212, 0.000040
pr_001040694,0.109212, 0.000062
pr_001725138,0.109212, 0.000082
pr_001626372,0.109212, 0.000094
pr_000954526,0.109212, 0.000141
pr_000640755,0.109212, 0.000152
pr_000638460,0.109212, 0.000152
pr_000584524,0.109212, 0.000152
pr_000757634,0.109212, 0.000158
pr_001882036,0.109212, 0.000171
pr_001620964,0.109212, 0.000179
pr_000939537,0.109212, 0.000191
pr_000575981,0.109212, 0.000191
pr_001907307,0.109212, 0.000192
pr_000941436,0.109212, 0.000201
pr_000935029,0.109212, 0.000218
pr_001065637,0.109212, 0.000219
pr_000964609,0.109212, 0.000230
pr_000746585,0.109212, 0.000248
pr_001087217,0.109212, 0.000269
pr_001807165,0.109212, 0.000279
pr_000705565,0.109212, 0.000327
pr_000631487,0.109212, 0.000405
pr_001027577,0.109212, 0.000644
pr_000945482,0.109212, 0.000942
pr_002204934,0.109212, 0.001015
pr_001654940,0.109212, 0.001170
pr_001081733,0.109212, 0.001479
pr_001133217,0.109212, 0.001496
us_000572828,0.109212, 0.002344
us_000494222,0.109212, 0.024001
pr_000869938,0.091839, 0.000000
pr_000784221,0.091839, 0.000000
us_000523405,0.091839, 0.000019
pr_002110742,0.091839, 0.000029
pr_001047794,0.091839, 0.000254
us_000588306,0.091839, 0.001068
us_000601843,0.091839, 0.002082
us_000525719,0.091839, 0.064544
us_000528487,0.091839, 0.089998
us_000529755,0.091839, 0.101780
us_000479190,0.091839, 0.107626
us_000484001,0.091839, 0.108677
us_000511726,0.091839, 0.112856
us_000524521,0.091839, 0.115727
us_000555971,0.091839, 0.116362
us_000499488,0.091839, 0.117770
us_000529753,0.091839, 0.120059
us_000532539,0.091839, 0.125029
us_000497620,0.091839, 0.125172
us_000535691,0.091839, 0.132095
us_000499556,0.091839, 0.175615
us_000514587,0.091839, 0.207975
