Product ID : 2114 # of JPs covered : 1 : 377 : Energy-Renewable-Contracts, 
OID,Confidence at Map Node,Error at Map Node
pr_000655596,0.658151, 0.000449
pr_001127848,0.658151, 0.000449
pr_001410297,0.658151, 0.000449
pr_000841315,0.658151, 0.000450
pr_000622291,0.658151, 0.000466
pr_001673589,0.658151, 0.000472
pr_001146818,0.658151, 0.000515
pr_002071238,0.658151, 0.000522
pr_000395368,0.658151, 0.000615
pr_000512838,0.658151, 0.000619
pr_000888672,0.658151, 0.000660
pr_000394395,0.658151, 0.000669
pr_000911143,0.658151, 0.000801
pr_000932121,0.658151, 0.000999
us_000493042,0.658151, 0.001067
pr_000396566,0.658151, 0.001300
pr_000347959,0.658151, 0.001351
us_000465967,0.658151, 0.001658
pr_001064873,0.658151, 0.001942
pr_001412940,0.658151, 0.003275
us_000520396,0.658151, 0.003548
us_000520377,0.658151, 0.006454
us_000591568,0.658151, 0.024226
us_000593371,0.658151, 0.175503
us_000597179,0.658151, 3.753362
us_000596935,0.658151, 3.763901
us_000478909,0.513258, 0.000001
pr_001061083,0.513258, 0.000001
pr_001061790,0.513258, 0.000001
pr_000720606,0.513258, 0.000001
us_000570776,0.513258, 0.000008
pr_001897476,0.513258, 0.000038
us_000460538,0.513258, 0.000056
us_000508764,0.513258, 0.000056
us_000519572,0.513258, 0.000056
us_000478273,0.513258, 0.000056
pr_001416779,0.513258, 0.000083
pr_001903862,0.513258, 0.000159
pr_001743491,0.513258, 0.000190
pr_000189966,0.513258, 0.000442
pr_001136044,0.513258, 0.000464
pr_000974154,0.513258, 0.000536
pr_000163892,0.513258, 0.000809
us_000526647,0.513258, 0.001171
pr_000177035,0.513258, 0.001662
us_000514295,0.513258, 0.003469
pr_001054958,0.513258, 0.005794
us_000572203,0.513258, 0.006421
us_000592774,0.513258, 0.010696
us_000470747,0.513258, 0.012642
us_000485778,0.513258, 0.066994
us_000477297,0.513258, 1.125872
us_000318376,0.513258, 1.143980
us_000491477,0.513258, 1.269838
us_000488108,0.513258, 1.275374
us_000471786,0.513258, 1.329634
us_000490000,0.513258, 1.398062
us_000523120,0.513258, 1.405536
us_000480087,0.513258, 1.408482
us_000483218,0.513258, 1.424756
us_000470970,0.513258, 1.438184
us_000473439,0.513258, 1.438388
us_000518878,0.513258, 1.449254
us_000501090,0.513258, 1.492857
us_000519446,0.513258, 1.495565
us_000527328,0.513258, 1.533592
us_000467765,0.513258, 1.544650
us_000525975,0.513258, 1.579762
us_000495445,0.513258, 1.588972
us_000494381,0.485596, 0.000000
pr_001706196,0.485596, 0.000000
pr_001927460,0.485596, 0.000000
pr_002132274,0.485596, 0.000000
pr_002131458,0.485596, 0.000000
pr_001709752,0.485596, 0.000000
pr_001899285,0.485596, 0.000000
pr_001936643,0.485596, 0.000000
pr_002191686,0.485596, 0.000000
pr_002132215,0.485596, 0.000000
pr_001588193,0.485596, 0.000000
pr_002150272,0.485596, 0.000000
pr_001946208,0.485596, 0.000000
pr_001699249,0.485596, 0.000000
pr_001167280,0.485596, 0.000000
pr_001667177,0.485596, 0.000000
pr_001392368,0.485596, 0.000000
pr_001645442,0.485596, 0.000000
pr_002099914,0.485596, 0.000000
pr_001655065,0.485596, 0.000000
pr_001609000,0.485596, 0.000000
pr_001960116,0.485596, 0.000000
pr_001118111,0.485596, 0.000000
pr_002118944,0.485596, 0.000000
pr_002191489,0.485596, 0.000000
pr_002176864,0.485596, 0.000000
pr_001964104,0.485596, 0.000000
pr_001140697,0.485596, 0.000000
pr_001672393,0.485596, 0.000000
pr_001975796,0.485596, 0.000000
pr_001900476,0.485596, 0.000000
pr_000000210,0.485596, 0.000000
pr_001057949,0.485596, 0.000001
pr_000989938,0.485596, 0.000001
pr_000933920,0.485596, 0.000003
pr_000765514,0.485596, 0.000006
pr_001040090,0.485596, 0.000007
pr_001123765,0.485596, 0.000007
pr_001050440,0.485596, 0.000007
pr_001661340,0.485596, 0.000008
pr_002072234,0.485596, 0.000008
pr_001964216,0.485596, 0.000008
pr_000767256,0.485596, 0.000009
pr_001051008,0.485596, 0.000009
pr_001085929,0.485596, 0.000009
pr_001046566,0.485596, 0.000009
pr_001049475,0.485596, 0.000009
pr_001040043,0.485596, 0.000009
pr_001061797,0.485596, 0.000009
pr_001049504,0.485596, 0.000015
pr_001047888,0.485596, 0.000019
pr_001086205,0.485596, 0.000019
pr_001027125,0.485596, 0.000019
pr_001028651,0.485596, 0.000019
pr_001051507,0.485596, 0.000019
pr_001048969,0.485596, 0.000019
pr_001061697,0.485596, 0.000019
pr_000755488,0.485596, 0.000019
pr_001058519,0.485596, 0.000019
pr_001068602,0.485596, 0.000025
pr_000775075,0.485596, 0.000025
pr_001049418,0.485596, 0.000025
