Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 247 | Accounting-Accounting Only (jp:247,idx:66)
Class Probability,Ex Count at BMU,BMU Map Loc
0.5769231,225.0,(39|14)
0.4591837,45.0,(40|14)
0.2871795,56.0,(38|14)
0.2857143,10.0,(39|15)
0.1666667,2.0,(3|47)
0.05660377,6.0,(39|13)
0.04347826,2.0,(38|15)
0.03448276,1.0,(43|3)
0.03333334,1.0,(40|13)
0.02666667,2.0,(44|5)
0.02000000,2.0,(43|2)
0.01863354,3.0,(44|2)
0.01470588,2.0,(2|45)
0.01242236,2.0,(4|49)
0.01219512,2.0,(2|41)
0.01197605,2.0,(48|47)
0.01003344,3.0,(47|43)
0.009090909,1.0,(0|2)
0.008849557,2.0,(43|5)
0.006711409,1.0,(3|0)
0.006060606,1.0,(41|1)
0.005714286,1.0,(42|5)
0.005235602,1.0,(42|45)
0.004950495,1.0,(0|47)
0.004784689,1.0,(4|46)
0.004784689,1.0,(44|49)
0.004672897,1.0,(41|11)
0.004424779,1.0,(49|44)
0.003787879,1.0,(46|44)
0.003448276,1.0,(44|6)
0.001226994,1.0,(3|2)
