Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 427 | Foreign Business (jp:427,idx:183)
Class Probability,Ex Count at BMU,BMU Map Loc
0.04320988,7.0,(35|31)
0.04273504,10.0,(3|43)
0.04255319,2.0,(34|42)
0.04255319,20.0,(41|12)
0.04240283,12.0,(39|46)
0.04201681,5.0,(45|35)
0.04166667,7.0,(46|48)
0.04166667,4.0,(49|49)
0.04145078,8.0,(48|36)
0.04135338,11.0,(33|36)
0.04104478,11.0,(31|39)
0.04081633,2.0,(48|26)
0.04046243,7.0,(0|3)
0.04040404,4.0,(37|15)
0.04000000,1.0,(35|13)
0.04000000,1.0,(36|15)
0.04000000,1.0,(44|12)
0.03921569,6.0,(30|40)
0.03870968,12.0,(39|11)
0.03846154,9.0,(38|8)
0.03846154,8.0,(45|44)
0.03785489,12.0,(44|35)
0.03755869,8.0,(36|11)
0.03636364,6.0,(41|1)
0.03623188,10.0,(49|43)
0.03539823,4.0,(37|42)
0.03508772,10.0,(38|47)
0.03482587,7.0,(40|41)
0.03473945,14.0,(35|44)
0.03389831,2.0,(41|3)
0.03344481,10.0,(3|40)
0.03333334,10.0,(40|45)
0.03305785,4.0,(39|42)
0.03271028,7.0,(39|39)
0.03271028,7.0,(41|11)
0.03149606,4.0,(0|39)
0.03140097,13.0,(32|35)
0.03103448,9.0,(46|45)
0.03092784,6.0,(2|3)
0.03092784,6.0,(45|38)
0.03086420,10.0,(36|26)
0.03045685,6.0,(1|49)
0.03040541,9.0,(0|40)
0.03015075,6.0,(41|9)
0.02941176,2.0,(33|43)
0.02941176,1.0,(35|34)
0.02941176,2.0,(46|1)
0.02919708,8.0,(38|48)
0.02903226,9.0,(45|36)
0.02898551,2.0,(49|0)
0.02884615,3.0,(36|31)
0.02873563,10.0,(37|5)
0.02857143,3.0,(36|12)
0.02857143,3.0,(43|30)
0.02816901,8.0,(44|40)
0.02807775,13.0,(37|12)
0.02758621,8.0,(44|6)
0.02727273,6.0,(46|40)
0.02702703,4.0,(43|27)
0.02688172,5.0,(0|42)
0.02681992,7.0,(44|11)
0.02671756,7.0,(40|38)
0.02666667,2.0,(46|5)
0.02631579,7.0,(33|34)
0.02631579,1.0,(39|30)
0.02586207,6.0,(44|38)
0.02571429,9.0,(38|12)
0.02564103,2.0,(37|4)
0.02531646,2.0,(0|1)
0.02525252,5.0,(41|7)
0.02508961,7.0,(42|37)
0.02500000,2.0,(12|20)
0.02500000,2.0,(38|7)
0.02479339,3.0,(44|1)
0.02453988,4.0,(44|43)
0.02450980,5.0,(41|38)
0.02439024,6.0,(0|41)
0.02439024,2.0,(4|48)
0.02439024,12.0,(40|18)
0.02427184,10.0,(32|34)
0.02409638,8.0,(31|35)
0.02380952,5.0,(44|44)
0.02380952,3.0,(48|39)
0.02369668,5.0,(36|39)
0.02338129,13.0,(46|34)
0.02325581,2.0,(46|2)
0.02307692,9.0,(39|14)
0.02304148,5.0,(1|48)
0.02290076,3.0,(36|5)
0.02255639,3.0,(33|35)
0.02255639,3.0,(45|23)
0.02222222,4.0,(42|42)
0.02212389,5.0,(43|44)
0.02197802,6.0,(41|44)
0.02173913,5.0,(45|39)
0.02164502,5.0,(35|3)
0.02153846,7.0,(43|12)
0.02137767,9.0,(39|43)
0.02135231,6.0,(38|46)
0.02116402,4.0,(47|0)
0.02054795,3.0,(44|3)
0.02040816,2.0,(40|14)
0.02020202,2.0,(47|40)
0.02000000,2.0,(43|2)
0.02000000,5.0,(45|0)
0.01948052,3.0,(1|43)
0.01941748,4.0,(1|3)
0.01914894,9.0,(38|35)
0.01904762,4.0,(43|22)
0.01886792,3.0,(1|46)
0.01886792,2.0,(39|13)
0.01869159,2.0,(25|4)
0.01869159,4.0,(26|10)
0.01860465,4.0,(47|2)
0.01851852,2.0,(35|18)
0.01851852,4.0,(40|40)
0.01841360,13.0,(36|1)
0.01834862,4.0,(44|37)
0.01818182,2.0,(47|42)
0.01807229,3.0,(46|39)
0.01796407,3.0,(48|47)
0.01785714,2.0,(27|3)
0.01785714,2.0,(31|41)
0.01762114,4.0,(32|41)
0.01761252,9.0,(32|42)
0.01744186,3.0,(36|10)
0.01742160,5.0,(35|12)
0.01716738,4.0,(39|40)
0.01694915,2.0,(37|16)
0.01666667,6.0,(38|45)
0.01652892,2.0,(49|36)
0.01630435,3.0,(37|6)
0.01626016,2.0,(37|45)
0.01619433,4.0,(46|43)
0.01618705,9.0,(37|23)
0.01612903,2.0,(26|48)
0.01612903,2.0,(39|38)
0.01604278,3.0,(49|37)
0.01578947,3.0,(34|34)
0.01578947,3.0,(36|3)
0.01562500,1.0,(32|37)
0.01550388,2.0,(47|34)
0.01544402,4.0,(47|38)
0.01538462,3.0,(38|14)
0.01538462,1.0,(45|2)
0.01526718,6.0,(38|40)
0.01520913,4.0,(45|42)
0.01519757,5.0,(49|40)
0.01515152,3.0,(40|8)
0.01508621,7.0,(40|4)
0.01500000,3.0,(47|39)
0.01492537,2.0,(41|10)
0.01481481,2.0,(37|24)
0.01459854,2.0,(38|39)
0.01457726,5.0,(43|1)
0.01454545,4.0,(41|37)
0.01454545,4.0,(47|1)
0.01449275,2.0,(43|40)
0.01444043,4.0,(47|49)
0.01442308,3.0,(37|35)
0.01435407,3.0,(42|43)
0.01428571,3.0,(42|8)
0.01424501,5.0,(39|12)
0.01417004,7.0,(32|32)
0.01408451,3.0,(44|26)
0.01404494,5.0,(34|36)
0.01400560,5.0,(48|43)
0.01397624,20.0,(32|17)
0.01397624,20.0,(32|18)
0.01395349,3.0,(41|43)
0.01388889,1.0,(33|37)
0.01379310,2.0,(26|1)
0.01360544,2.0,(40|16)
0.01348315,6.0,(49|33)
0.01346801,4.0,(20|31)
0.01345291,3.0,(42|39)
0.01342282,2.0,(40|39)
0.01339286,3.0,(43|38)
0.01337793,4.0,(47|43)
0.01327434,3.0,(49|44)
0.01324503,2.0,(1|2)
0.01290323,2.0,(40|37)
0.01282051,2.0,(37|44)
0.01277955,4.0,(22|28)
0.01271186,3.0,(43|37)
0.01261830,4.0,(35|4)
0.01257862,2.0,(43|42)
0.01255230,3.0,(2|44)
0.01255230,3.0,(46|37)
0.01234568,1.0,(42|19)
0.01230769,4.0,(0|37)
0.01229508,3.0,(33|42)
0.01226994,2.0,(1|41)
0.01219512,2.0,(2|41)
0.01197605,2.0,(41|42)
0.01190476,2.0,(45|37)
0.01181102,3.0,(46|42)
0.01169591,4.0,(36|13)
0.01146132,4.0,(0|38)
0.01145038,3.0,(49|39)
0.01142857,2.0,(36|46)
0.01129944,2.0,(36|42)
0.01129944,2.0,(43|35)
0.01127820,3.0,(1|39)
0.01111111,1.0,(36|0)
0.01111111,2.0,(41|13)
0.01092896,2.0,(41|8)
0.01086957,2.0,(39|36)
0.01069519,2.0,(49|41)
0.01063830,4.0,(37|17)
0.01056338,3.0,(39|35)
0.01047120,2.0,(43|36)
0.01015228,2.0,(47|44)
0.01010101,1.0,(34|40)
0.01010101,1.0,(45|11)
0.009900990,2.0,(43|34)
0.009803922,1.0,(48|42)
0.009756098,2.0,(43|43)
0.009708738,1.0,(9|34)
0.009523810,1.0,(3|45)
0.009375000,3.0,(41|39)
0.009259259,2.0,(44|39)
0.009132420,2.0,(40|42)
0.009074410,5.0,(38|38)
0.008928572,2.0,(32|33)
0.008875740,3.0,(43|16)
0.008869180,4.0,(26|46)
0.008588957,7.0,(3|2)
0.008510638,2.0,(13|32)
0.008450705,3.0,(35|26)
0.008421052,4.0,(36|21)
0.008368201,2.0,(34|48)
0.008264462,2.0,(40|35)
0.008152174,3.0,(21|0)
0.008046818,11.0,(31|34)
0.008046818,11.0,(32|36)
0.008000000,1.0,(49|24)
0.007874016,1.0,(10|21)
0.007827789,4.0,(27|5)
0.007751938,3.0,(42|28)
0.007739938,5.0,(35|5)
0.007692308,2.0,(48|37)
0.007547170,2.0,(48|2)
0.007371007,3.0,(27|46)
0.007326007,4.0,(36|48)
0.007220217,2.0,(36|23)
0.007117438,2.0,(12|11)
0.007117438,2.0,(42|9)
0.006944444,2.0,(38|36)
0.006756757,1.0,(13|22)
0.006666667,2.0,(32|15)
0.006557377,2.0,(49|4)
